OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
3349,450377,STRAYER UNIVERSITY-ALABAMA,"2 20TH STREET NORTH, #150",BIRMINGHAM,AL,35203,NOT AVAILABLE,(877) 455-7180
1900,101116,SOUTH UNIVERSITY-MONTGOMERY,5355 VAUGHN RD,MONTGOMERY,AL,36116,NOT AVAILABLE,(334) 395-8800
6515,494375,STRAYER UNIVERSITY - DECATUR CAMPUS,"305 2ND AVENUE, SOUTHEAST",DECATUR,AL,35601,2319,NOT AVAILABLE
1898,100830,AUBURN UNIVERSITY AT MONTGOMERY,7440 EAST DRIVE,MONTGOMERY,AL,36117,3596,(334) 244-3000
6242,101277,NEW BEGINNING COLLEGE OF COSMETOLOGY,421 MARTLING ROAD,ALBERTVILLE,AL,35951,NOT AVAILABLE,(256) 878-6430
605,102067,SHELTON STATE COMMUNITY COLLEGE,9500 OLD GREENSBORO RD,TUSCALOOSA,AL,35405,8522,(205) 391-2211
2452,100751,THE UNIVERSITY OF ALABAMA,739 UNIVERSITY BLVD,TUSCALOOSA,AL,35487,0100,(205) 348-6010
4378,102270,STILLMAN COLLEGE,3601 STILLMAN BOULEVARD,TUSCALOOSA,AL,35401,NOT AVAILABLE,(205) 349-4240
5363,100937,BIRMINGHAM-SOUTHERN COLLEGE,900 ARKADELPHIA ROAD,BIRMINGHAM,AL,35254,NOT AVAILABLE,(205) 226-4600
2570,455460,FORTIS COLLEGE-DOTHAN,200 VULCAN WAY,DOTHAN,AL,36303,NOT AVAILABLE,(334) 677-2832
3260,366535,REMINGTON COLLEGE-MOBILE CAMPUS,828 DOWNTOWNER LOOP W,MOBILE,AL,36609,NOT AVAILABLE,(251) 343-8200
3377,486707,ROSS MEDICAL EDUCATION CENTER-HUNTSVILLE,"930 OLD MONROVIA ROAD, NW",HUNTSVILLE,AL,35806,2509,(256) 430-9740
2277,449348,HUNTSVILLE BIBLE COLLEGE,906 OAKWOOD AVE,HUNTSVILLE,AL,35811,1632,(256) 469-7536
5150,101462,J. F. DRAKE STATE COMMUNITY AND TECHNICAL COLLEGE,3421 MERIDIAN ST N,HUNTSVILLE,AL,35811,NOT AVAILABLE,(256) 539-8161
1887,436641,FORTIS COLLEGE-FOLEY,200 EAST LAUREL AVENUE,FOLEY,AL,36535,NOT AVAILABLE,(251) 970-1460
5215,476805,UNIVERSITY ACADEMY OF HAIR DESIGN,2204 GREENSBORO AVENUE,TUSCALOOSA,AL,35401,5621,(205) 333-7373 EXT 2
192,487816,MIDFIELD INSTITUTE OF COSMETOLOGY,26 B PHILLIPS DRIVE,MIDFIELD,AL,35228,2233,(205) 925-7600
516,444440,BLUE CLIFF CAREER COLLEGE,"2970 COTTAGE HILL RD., SUITE 175",MOBILE,AL,36606,NOT AVAILABLE,(251) 473-2220
622,101480,JACKSONVILLE STATE UNIVERSITY,700 PELHAM ROAD NORTH,JACKSONVILLE,AL,36265,NOT AVAILABLE,(256) 782-5781
625,102313,H COUNCILL TRENHOLM STATE COMMUNITY COLLEGE,1225 AIR BASE BLVD,MONTGOMERY,AL,36108,3199,(334) 420-4200
1905,102058,SELMA UNIVERSITY,"1501 LAPSLEY ST, DINKINS HALL",SELMA,AL,36701,NOT AVAILABLE,(334) 872-2533 EXT 101
