OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
1053,107619,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,1000 CAMPUS DRIVE,HELENA,AR,72342,0785,(870) 338-6474
1914,107080,HENDRIX COLLEGE,1600 WASHINGTON AVE,CONWAY,AR,72032,3080,(501) 329-6811
5153,107743,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE RICH MOUNTAIN,1100 COLLEGE DR,MENA,AR,71953,NOT AVAILABLE,(479) 394-7622
563,106485,UNIVERSITY OF ARKANSAS AT MONTICELLO,HIGHWAY 425 SOUTH,MONTICELLO,AR,71656,NOT AVAILABLE,(870) 367-6811
1897,454458,BRYAN UNIVERSITY,3704 W. WALNUT ST.,ROGERS,AR,72756,NOT AVAILABLE,(479) 899-6644
2293,106458,ARKANSAS STATE UNIVERSITY,2105 E. AGGIE ROAD,JONESBORO,AR,72401,NOT AVAILABLE,(870) 972-2100
4369,420538,ARKANSAS STATE UNIVERSITY-MOUNTAIN HOME,1600 SOUTH COLLEGE STREET,MOUNTAIN HOME,AR,72653,NOT AVAILABLE,(870) 508-6100
102,485591,NEW BEGINNINGS BEAUTY ACADEMY,1609 WEST 26TH STREET,PINE BLUFF,AR,71601,5257,(870) 850-7788
2455,106999,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE-BATESVILLE,2005 WHITE DRIVE,BATESVILLE,AR,72503,3350,(870) 612-2000
4250,107044,HARDING UNIVERSITY,915 E. MARKET AVE.,SEARCY,AR,72149,5615,(501) 279-4000
1915,107123,JEFFERSON REGIONAL MEDICAL CENTER SCHOOL OF NURSING,1600 WEST 40TH AVENUE,PINE BLUFF,AR,71603,NOT AVAILABLE,(870) 541-7858
2294,107637,SOUTHEAST ARKANSAS COLLEGE,1900 S HAZEL STREET,PINE BLUFF,AR,71603,NOT AVAILABLE,(870) 543-5900
3833,106397,UNIVERSITY OF ARKANSAS,ADMINISTRATION BLDG 425,FAYETTEVILLE,AR,72701,NOT AVAILABLE,(479) 575-2000
1050,107220,CAREER ACADEMY OF HAIR DESIGN,346 E. ROBINSON AVE,SPRINGDALE,AR,72764,7128,(479) 633-8110
6321,492069,CHAMPION CHRISTIAN COLLEGE,600 GARLAND AVENUE,HOT SPRINGS,AR,71913,NOT AVAILABLE,(501) 623-2272
4249,106810,CROWLEY'S RIDGE COLLEGE,100 COLLEGE DR,PARAGOULD,AR,72450,NOT AVAILABLE,(870) 236-6901
5531,106315,ARKANSAS BEAUTY SCHOOL-LITTLE ROCK,8521 GEYER SPRINGS ROAD UNIT 30,LITTLE ROCK,AR,72209,NOT AVAILABLE,(501) 562-5673
1154,107460,NORTH ARKANSAS COLLEGE,1515 PIONEER DR,HARRISON,AR,72601,5508,(870) 743-3000
3084,490540,DELTA DESIGNS COSMETOLOGY SCHOOL,671 ADDISON DRIVE,WYNNE,AR,72396,1602,(870) 208-8787
3306,486619,ACADEMY OF PROFESSIONAL COSMETOLOGY,2600 WEST HUDSON ROAD SUITE A,ROGERS,AR,72756,2028,(479) 246-0046
3480,488527,ARKANSAS COLLEGES OF HEALTH EDUCATION,7000 CHAD COLLEY BLVD.,FORT SMITH,AR,72916,0366,(479) 308-2200
5223,460987,THE SALON PROFESSIONAL ACADEMY-NORTH LITTLE ROCK,13125 HWY 107,SHERWOOD,AR,72120,NOT AVAILABLE,(501) 753-2400
3290,457192,WASHINGTON BARBER COLLEGE INC,5300 WEST 65TH STREET,LITTLE ROCK,AR,72209,3820,(501) 568-8800
5532,106360,ARTHUR'S BEAUTY COLLEGE,2000 NORTH B STREET,FORT SMITH,AR,72901,3342,(479) 783-3301
6472,493725,UNIVERSITY OF ARKANSAS SYSTEM EVERSITY,2402 NORTH UNIVERSITY AVENUE,LITTLE ROCK,AR,72207,3608,(844) 837-7489
2738,107442,NEW TYLER BARBER COLLEGE INC,1221 E 7TH ST,NORTH LITTLE ROCK,AR,72114,4973,(501) 375-0377
4252,107488,NORTHWEST TECHNICAL INSTITUTE,709 S OLD MISSOURI RD,SPRINGDALE,AR,72764,NOT AVAILABLE,(479) 751-8824 EXT 0
2291,106342,LYON COLLEGE,2300 HIGHLAND ROAD,BATESVILLE,AR,72501,NOT AVAILABLE,(870) 307-7000
5207,458885,STRAYER UNIVERSITY-ARKANSAS,10825 FINANCIAL CENTRE PKWY STE 400,LITTLE ROCK,AR,72211,NOT AVAILABLE,(877) 445-7180
5684,107983,SOUTHERN ARKANSAS UNIVERSITY MAIN CAMPUS,100 E. UNIVERSITY,MAGNOLIA,AR,71753,NOT AVAILABLE,(870) 235-4000
4740,106324,ARKANSAS BEAUTY COLLEGE,109 N COMMERCE ST,RUSSELLVILLE,AR,72801,NOT AVAILABLE,(479) 968-3075
1059,107992,SOUTHERN ARKANSAS UNIVERSITY TECH,6415 SPELLMAN ROAD,CAMDEN,AR,71701,1906,(870) 574-4500
4253,108092,UNIVERSITY OF ARKANSAS-FORT SMITH,5210 GRAND AVE,FORT SMITH,AR,72913,3649,(479) 788-7000
5755,108065,VELVATEX COLLEGE OF BEAUTY CULTURE,1520 MARTIN LUTHER KING DR,LITTLE ROCK,AR,72202,5452,(501) 372-9678
1051,107318,ARKANSAS STATE UNIVERSITY MID-SOUTH,2000 W. BROADWAY,WEST MEMPHIS,AR,72301,3829,(870) 733-6722
1052,107585,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE-MORRILTON,1537 UNIVERSITY BLVD.,MORRILTON,AR,72110,NOT AVAILABLE,(501) 977-2000
1917,107877,WILLIAMS BAPTIST UNIVERSITY,60 W FULBRIGHT AVENUE,WALNUT RIDGE,AR,72476,NOT AVAILABLE,(870) 886-6741
