OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
425,120403,OTIS COLLEGE OF ART AND DESIGN,9045 LINCOLN BLVD,LOS ANGELES,CA,90045,3505,(800) 527-6847
589,382258,MT. DIABLO ADULT EDUCATION-MT. DIABLO USD,LOMA VISTA ADULT CENTER - 1266 SAN CARLOS AVENUE.,CONCORD,CA,94518,1199,(925) 685-7340
1388,439367,CBD COLLEGE,"3699 WILSHIRE BLVD., FOURTH FLOOR",LOS ANGELES,CA,90010,NOT AVAILABLE,(213) 427-2200
2030,432144,SOUTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT,28000 MARGUERITE PKY,MISSION VIEJO,CA,92692,6399,(949) 582-4999
2036,440031,KECK GRADUATE INSTITUTE,535 WATSON DR,CLAREMONT,CA,91711,NOT AVAILABLE,(909) 607-7855
2139,120971,PALOMAR COLLEGE,1140 W. MISSION,SAN MARCOS,CA,92069,1487,(760) 744-1150
2305,113856,EAST LOS ANGELES COLLEGE,1301 AVENIDA CESAR CHAVEZ,MONTEREY PARK,CA,91754,6099,(323) 265-8650
2437,122889,SANTA BARBARA CITY COLLEGE,721 CLIFF DRIVE,SANTA BARBARA,CA,93109,2394,(805) 965-0581
3326,480019,ADVANCED CAREER INSTITUTE,1728 NORTH KELSEY STREET,VISALIA,CA,93291,NOT AVAILABLE,(559) 651-1978
3341,458575,ZAYTUNA COLLEGE,1712 EUCLID AVENUE,BERKELEY,CA,94709,NOT AVAILABLE,(510) 900-3154
3836,117052,REEDLEY COLLEGE,995 N REED AVE,REEDLEY,CA,93654,NOT AVAILABLE,(559) 638-0300
4141,484631,UNIVERSITY OF PHOENIX-CALIFORNIA,3110 EAST GUASTI ROAD,ONTARIO,CA,91761,NOT AVAILABLE,(866) 766-0766
4158,485263,CALIFORNIA COLLEGE SAN DIEGO,6602 CONVOY COURT STE 100,SAN DIEGO,CA,92111,NOT AVAILABLE,(619) 680-4430 EXT 1501
4258,110501,CALIFORNIA STATE UNIVERSITY-CHANCELLORS OFFICE,"INSTITUTIONAL RESEARCH & ANALYSES 401 GOLDEN SHORE, 6TH FLOOR",LONG BEACH,CA,90802,4210,(562) 951-4000
4943,458210,WEST COAST UNIVERSITY-ORANGE COUNTY,1477 S MANCHESTER AVE,ANAHEIM,CA,92802,NOT AVAILABLE,(714) 782-1700
5277,433013,CAREER NETWORKS INSTITUTE,1610 E. SAINT ANDREW PLACE SUITE 200,SANTA ANA,CA,92705,NOT AVAILABLE,(714) 437-9697
5301,443207,NTMA TRAINING CENTERS OF SOUTHERN CALIFORNIA,12131 TELEGRAPH ROAD,SANTA FE SPRINGS,CA,90670,NOT AVAILABLE,(562) 404-4295 EXT 0
5328,446561,STANBRIDGE UNIVERSITY,2041 BUSINESS CTR DR STE 107,IRVINE,CA,92612,NOT AVAILABLE,(949) 794-9090 EXT 5104
5660,117867,LOS ANGELES MISSION COLLEGE,13356 ELDRIDGE AVENUE,SYLMAR,CA,91342,3200,(818) 364-7600
5672,122782,SAN MATEO COUNTY COMMUNITY COLLEGE DISTRICT OFFICE,3401 CSM DRIVE,SAN MATEO,CA,94402,NOT AVAILABLE,(650) 574-6550
5757,115728,HOLY NAMES UNIVERSITY,3500 MOUNTAIN BLVD,OAKLAND,CA,94619,1699,(510) 436-1000
5835,399869,SOUTHERN CALIFORNIA INSTITUTE OF TECHNOLOGY,525 N. MULLER STREET,ANAHEIM,CA,92801,3758,(714) 300-0300
6494,494126,COLUMBIA COLLEGE - NAVAL BASE SAN DIEGO,"3975 NORMAN SCOTT ROAD BUILDING 3280, ROOM B103",SAN DIEGO,CA,92136,5588,NOT AVAILABLE
129,486372,SAN FRANCISCO FILM SCHOOL,155 SANSOME STREET 2ND FLOOR,SAN FRANCISCO,CA,94104,2835,(415) 824-7000
414,108232,ACADEMY OF ART UNIVERSITY,79 NEW MONTGOMERY,SAN FRANCISCO,CA,94105,NOT AVAILABLE,(800) 544-2787
564,109350,ANTELOPE VALLEY COLLEGE,3041 WEST AVE K,LANCASTER,CA,93536,5426,(661) 722-6300
612,117645,LONG BEACH CITY COLLEGE,4901 E. CARSON ST.,LONG BEACH,CA,90808,1706,(562) 938-4111
1085,115287,GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT,8800 GROSSMONT COLLEGE DR,EL CAJON,CA,92020,1799,(619) 644-7010
1125,457086,HOMESTEAD SCHOOLS,23800 HAWTHORNE BLVD. STE 200,TORRANCE,CA,90505,NOT AVAILABLE,(310) 791-9975
1357,121275,PLATT COLLEGE-SAN DIEGO,6250 EL CAJON BLVD,SAN DIEGO,CA,92115,3919,(619) 265-0107
1906,117557,LINCOLN UNIVERSITY,401 15TH STREET,OAKLAND,CA,94612,2801,(510) 628-8010
2052,442444,SAN JOAQUIN VALLEY COLLEGE-ONTARIO,4580 ONTARIO MILLS PARKWAY,ONTARIO,CA,91764,5107,(559) 734-9000
2365,443128,INTERNATIONAL TECHNOLOGICAL UNIVERSITY,3120 SCOTT BLVD,SANTA CLARA,CA,95054,NOT AVAILABLE,(888) 488-4968
2751,115931,INSTITUTE FOR BUSINESS AND TECHNOLOGY,2400 WALSH AVENUE,SANTA CLARA,CA,95051,1303,(408) 727-1060 EXT 260
2885,123855,ST JOHN'S SEMINARY,5012 SEMINARY RD,CAMARILLO,CA,93012,2500,(805) 482-2755 EXT 1014
3204,495350,PAUL MITCHELL THE SCHOOL-RENO-NORTH TAHOE,12047 DONNER PASS ROAD SUITE A 1,TRUCKEE,CA,96161,0000,(530) 563-4716
3234,495952,SAN JOAQUIN VALLEY COLLEGE-RANCHO MIRAGE,34275 MONTEREY AVENUE,RANCHO MIRAGE,CA,92270,2701,(559) 734-9000
3379,486497,CALIFORNIA BARBER AND BEAUTY COLLEGE,5315 EL CAJON BOULEVARD,SAN DIEGO,CA,92115,4730,(619) 265-0500
4166,110413,CALIFORNIA LUTHERAN UNIVERSITY,60 W OLSEN RD,THOUSAND OAKS,CA,91360,2787,(805) 492-2411
4661,456852,SAN JOAQUIN VALLEY COLLEGE-HESPERIA,9331 MARIPOSA ROAD,HESPERIA,CA,92344,8086,(559) 734-9000
5365,123925,STATE CENTER COMMUNITY COLLEGE DISTRICT,1171 FULTON STREET,FRESNO,CA,93721,NOT AVAILABLE,(559) 243-7100
5556,125170,BERKELEY CITY COLLEGE,2050 CENTER SREET,BERKELEY,CA,94704,NOT AVAILABLE,(510) 981-2800
5665,120883,UNIVERSITY OF THE PACIFIC,3601 PACIFIC AVE,STOCKTON,CA,95211,0197,(209) 946-2011
5765,125727,WESTMONT COLLEGE,955 LA PAZ RD,SANTA BARBARA,CA,93108,1089,(805) 565-6000
5767,118976,MODESTO JUNIOR COLLEGE,435 COLLEGE AVE,MODESTO,CA,95350,5800,(209) 575-6550
6256,490063,SOUTHERN STATES UNIVERSITY,"1094 CUHADY PLACE, #120",SAN DIEGO,CA,92110,NOT AVAILABLE,(619) 298-1829
581,371830,CRU INSTITUTE OF COSMETOLOGY AND BARBERING,11889 VALLEY VIEW ST SUITE C,GARDEN GROVE,CA,92845,4321,(714) 330-4666
608,111461,COLLEGE OF THE CANYONS,26455 ROCKWELL CANYON RD,SANTA CLARITA,CA,91355,1899,(661) 259-7800
611,113573,COLLEGE OF THE DESERT,43-500 MONTEREY AVE,PALM DESERT,CA,92260,NOT AVAILABLE,(760) 346-8041
