OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
5147,126164,THE SALON PROFESSIONAL ACADEMY-GRAND JUNCTION,432 NORTH AVENUE,GRAND JUNCTION,CO,81501,NOT AVAILABLE,(970) 245-1110
5696,127653,NAROPA UNIVERSITY,2130 ARAPAHOE AVE,BOULDER,CO,80302,6697,(303) 444-0202
5698,128391,WESTERN COLORADO UNIVERSITY,1 WESTERN WAY,GUNNISON,CO,81231,NOT AVAILABLE,(970) 943-2119
617,127909,RED ROCKS COMMUNITY COLLEGE,13300 W SIXTH AVE,LAKEWOOD,CO,80228,1255,(303) 914-6600
5561,126614,UNIVERSITY OF COLORADO BOULDER,REGENT DRIVE AT BROADWAY,BOULDER,CO,80309,0017,(303) 492-1411
5564,126951,LINCOLN COLLEGE OF TECHNOLOGY-DENVER,11194 E 45TH AVE,DENVER,CO,80239,NOT AVAILABLE,(303) 722-5724 EXT 43000
1178,454856,DENVER COLLEGE OF NURSING,1401 19TH ST,DENVER,CO,80202,NOT AVAILABLE,(303) 292-0015
2315,127945,ROCKY MOUNTAIN COLLEGE OF ART AND DESIGN,1600 PIERCE ST,LAKEWOOD,CO,80214,NOT AVAILABLE,(303) 753-6046
2752,381732,COLORADO SCHOOL OF HEALING ARTS,7655 W MISSISSIPPI STE 100,LAKEWOOD,CO,80226,NOT AVAILABLE,(303) 986-2320
3396,461810,UNITED BEAUTY COLLEGE,1701 S FEDERAL BOULEVARD # A,DENVER,CO,80219,NOT AVAILABLE,(303) 922-1852
3753,447166,EMPIRE BEAUTY SCHOOL-LITTLETON,8996 W. BOWLES AVE. # E-F,LITTLETON,CO,80123,NOT AVAILABLE,(800) 920-4593
677,476823,NEW DIMENSIONS BEAUTY ACADEMY INC,10158 SOUTH PARKER ROAD UNIT 101,PARKER,CO,80138,9801,(303) 840-6424
2317,128179,INTELLITEC COLLEGE-COLORADO SPRINGS,2315 EAST PIKES PEAK AVENUE,COLORADO SPRINGS,CO,80909,6096,(719) 632-7626 EXT 1101
4653,454810,AUGUSTE ESCOFFIER SCHOOL OF CULINARY ARTS-BOULDER,"637 S BROADWAY, STE H",BOULDER,CO,80305,NOT AVAILABLE,(303) 494-7988
5560,126580,UNIVERSITY OF COLORADO COLORADO SPRINGS,1420 AUSTIN BLUFFS PARKWAY,COLORADO SPRINGS,CO,80918,NOT AVAILABLE,(719) 255-3000
5899,262466,DR. IDA ROLF INSTITUTE,"5055 CHAPARRAL COURT, SUITE 103",BOULDER,CO,80301,0000,(303) 449-5903
711,476975,COLORADO STATE UNIVERSITY-GLOBAL CAMPUS,585 SALIDA WAY,AURORA,CO,80011,0000,(800) 920-6723
2320,128337,EMPIRE BEAUTY SCHOOL-THORNTON,3811 E 120TH AVE,THORNTON,CO,80233,NOT AVAILABLE,(800) 920-4593
2756,449454,ACADEMY OF NATURAL THERAPY INC,625 8TH AVE,GREELEY,CO,80631,9441,(970) 352-1181
6310,491792,STACEY JAMES INSTITUTE,"16534 KEYSTONE BOULEVARD, UNIT C",PARKER,CO,80134,3358,(303) 810-1033
6396,494986,APEX COLLEGE OF VETERINARY TECHNOLOGY,330 SOUTH EL PASO STREET,COLORADO SPRINGS,CO,80903,NOT AVAILABLE,(719) 375-8228
635,128258,TRINIDAD STATE JUNIOR COLLEGE,600 PROSPECT STREET,TRINIDAD,CO,81082,NOT AVAILABLE,(719) 846-5011
660,476586,COLLEGE OF INTERNATIONAL ESTHETICS INC,"7330 WEST 52ND AVENUE, SUITE T",ARVADA,CO,80002,3754,(720) 540-0333
4725,404912,PIMA MEDICAL INSTITUTE-DENVER,7475 DAKIN ST. SUITE 100,DENVER,CO,80221,NOT AVAILABLE,(303) 426-1800
