OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
2477,130110,PAIER COLLEGE OF ART INC,20 GORHAM AVE,HAMDEN,CT,6514,3902,(203) 287-3031
2735,129367,CAPITAL COMMUNITY COLLEGE,950 MAIN STREET,HARTFORD,CT,6103,NOT AVAILABLE,(860) 906-5000
5427,130314,UNIVERSITY OF SAINT JOSEPH,1678 ASYLUM AVENUE,WEST HARTFORD,CT,6117,NOT AVAILABLE,(860) 232-4571
2187,129941,UNIVERSITY OF NEW HAVEN,300 BOSTON POST ROAD,WEST HAVEN,CT,6516,1916,(203) 932-7000
4153,130776,WESTERN CONNECTICUT STATE UNIVERSITY,181 WHITE STREET,DANBURY,CT,6810,6826,(203) 837-8200
4963,128577,ASNUNTUCK COMMUNITY COLLEGE,170 ELM ST,ENFIELD,CT,6082,NOT AVAILABLE,(860) 253-3000
5968,128902,CONNECTICUT COLLEGE,270 MOHEGAN AVENUE,NEW LONDON,CT,6320,4196,(860) 447-1911
3353,485607,DOLCE LLC THE ACADEMY,91 SCHRAFFTS DRIVE SUITE 7,WATERBURY,CT,6705,NOT AVAILABLE,(203) 528-3550
937,130396,GATEWAY COMMUNITY COLLEGE,20 CHURCH STREET,NEW HAVEN,CT,6510,NOT AVAILABLE,(203) 285-2000
1179,130040,NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE,PARK PL E,WINSTED,CT,6098,NOT AVAILABLE,(860) 738-6300
2757,129808,THREE RIVERS COMMUNITY COLLEGE,574 NEW LONDON TURNPIKE,NORWICH,CT,6360,NOT AVAILABLE,(860) 215-9000
4285,129774,MITCHELL COLLEGE,437 PEQUOT AVENUE,NEW LONDON,CT,6320,NOT AVAILABLE,(860) 701-5000
918,484127,RICCI'S ACADEMY OF COSMETOLOGY,99 SOUTH MAIN STREET,NEWTOWN,CT,6470,0000,(203) 426-1138
938,130606,TUNXIS COMMUNITY COLLEGE,271 SCOTT SWAMP ROAD,FARMINGTON,CT,6032,3187,(860) 773-1300
4666,480903,NEW ENGLAND TRACTOR TRAILER TRAINING SCHOOL OF CT-BRIDGEPORT,510 BARNUM AVE,BRIDGEPORT,CT,6608,NOT AVAILABLE,(203) 368-9069
1086,129525,UNIVERSITY OF HARTFORD,200 BLOOMFIELD AVE,WEST HARTFORD,CT,6117,1599,(860) 768-4100
2188,130226,QUINNIPIAC UNIVERSITY,MT CARMEL AVE,HAMDEN,CT,6518,NOT AVAILABLE,(203) 582-8200
2758,129932,NEW ENGLAND TRACTOR TRAILER TRAINING SCHOOL OF CONNECTICUT,32 FIELD RD,SOMERS,CT,6071,NOT AVAILABLE,(800) 243-3544
3041,463056,UNIVERSITY OF CONNECTICUT-HARTFORD CAMPUS,10 PROSPECT STREET,HARTFORD,CT,6103,NOT AVAILABLE,(959) 200-3500
