OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
146,133650,FLORIDA AGRICULTURAL AND MECHANICAL UNIVERSITY,1500 S MARTIN LUTHER KING JR BLVD,TALLAHASSEE,FL,32307,NOT AVAILABLE,(850) 599-3000
957,138354,THE UNIVERSITY OF WEST FLORIDA,11000 UNIVERSITY PARKWAY,PENSACOLA,FL,32514,5750,(850) 474-2000
1184,133492,ECKERD COLLEGE,4200 54TH AVE S,SAINT PETERSBURG,FL,33711,4700,(727) 867-1166
1532,137351,UNIVERSITY OF SOUTH FLORIDA,4202 EAST FOWLER AVE,TAMPA,FL,33620,9951,(813) 974-2011
1955,457439,SUMMIT SALON ACADEMY-GAINESVILLE,"6915 NW 4TH BLVD., SUITE B",GAINESVILLE,FL,32607,NOT AVAILABLE,(352) 331-2424 EXT 4
3406,136233,NORTHWEST FLORIDA STATE COLLEGE,100 COLLEGE BOULEVARD,NICEVILLE,FL,32578,1295,(850) 678-5111
4102,483470,MORE TECH INSTITUTE,1010 WEST 49TH STREET,HIALEAH,FL,33012,NOT AVAILABLE,(305) 231-2520
4719,367884,HODGES UNIVERSITY,4501 COLONIAL BLVD,FORT MYERS,FL,33966,NOT AVAILABLE,(239) 513-1122
4758,419226,MARION TECHNICAL COLLEGE,1014 SW 7TH RD,OCALA,FL,34471,3172,(352) 671-7200
4762,449898,SOUTH UNIVERSITY-TAMPA,"4401 N HIMES AVE, SUITE 175",TAMPA,FL,33614,7095,(813) 393-3800
6434,496052,RUBEN'S FIVE STAR ACADEMY,104 STATE ROAD 60 WEST,LAKE WALES,FL,33853,4409,(863) 241-0287
11,133872,ADVENTHEALTH UNIVERSITY,671 WINYAH DRIVE,ORLANDO,FL,32803,NOT AVAILABLE,(407) 303-7742
59,487445,FLORIDA CAREER COLLEGE-BOYNTON BEACH,1743 NORTH CONGRESS AVENUE,BOYNTON BEACH,FL,33426,8205,(561) 853-9941
904,483896,PARISIAN SPA INSTITUTE,1045 RIVERSIDE AVENUE,JACKSONVILLE,FL,32204,4127,(904) 350-9796
950,138275,WARNER UNIVERSITY,13895 HWY 27,LAKE WALES,FL,33859,8797,(863) 638-1426
1026,482936,FLORIDA POLYTECHNIC UNIVERSITY,4700 RESEARCH WAY,LAKELAND,FL,33805,8531,(863) 583-9050
2699,449490,PALM BEACH ACADEMY OF HEALTH & BEAUTY,1220-A 10TH ST,LAKE PARK,FL,33403,NOT AVAILABLE,(561) 845-1400
2763,134024,FLORIDA SCHOOL OF MASSAGE,6421 SW 13TH ST,GAINESVILLE,FL,32608,5419,(352) 378-7891
3195,495235,TOTAL BEAUTY INSTITUTE,5308 NORTH PEARL STREET,JACKSONVILLE,FL,32208,5119,(904) 240-1688
3214,495545,NATIONAL UNIVERSITY COLLEGE - PEMBROKE PINES,12520 PINES BOULEVARD SUITE 100A,PEMBROKE PINES,FL,33027,1767,NOT AVAILABLE
3250,496414,TECHSHERPAS 365,10213 WILSKY BLVD,TAMPA,FL,33625,NOT AVAILABLE,(813) 287-8876
3378,486512,FLORIDA INTERNATIONAL TRAINING INSTITUTE,7265 NORTHWEST 25TH STREET,MIAMI,FL,33122,1707,(305) 594-3151
4410,133155,LORENZO WALKER TECHNICAL COLLEGE,3702 ESTEY AVENUE,NAPLES,FL,34104,4405,(239) 377-0900
4779,438285,CORTIVA INSTITUTE-MAITLAND,2600 LAKE LUCIEN DRIVE SUITE#240,MAITLAND,FL,32751,NOT AVAILABLE,(954) 962-2624
5231,461306,D A DORSEY TECHNICAL COLLEGE,7100 N. W. 17TH AVENUE,MIAMI,FL,33147,6304,(305) 693-2490 EXT 2111
204,488059,MED ACADEMY,"3418 WEST 84TH STREET, SUITE 106",HIALEAH,FL,33018,4937,(786) 271-0987
1408,446127,ATA CAREER EDUCATION,"7351 SPRING HILL DRIVE, SUITE 11",SPRING HILL,FL,34606,NOT AVAILABLE,(352) 684-3007
2764,132675,NORTH FLORIDA TECHNICAL COLLEGE,609 N ORANGE ST,STARKE,FL,32091,NOT AVAILABLE,(904) 966-6764
4411,133881,FLORIDA INSTITUTE OF TECHNOLOGY,150 WEST UNIVERSITY BOULEVARD,MELBOURNE,FL,32901,6975,(321) 674-8000
4608,434469,NEW PROFESSIONS TECHNICAL INSTITUTE,4000 W. FLAGLER ST.,MIAMI,FL,33134,NOT AVAILABLE,(305) 461-2223
4799,451167,SHEAR EXCELLENCE HAIR ACADEMY,3663 & 3679 W. WATERS AVENUE,TAMPA,FL,33614,NOT AVAILABLE,(813) 933-2468
5834,386472,HERZING UNIVERSITY-ORLANDO,1865 SR 436,WINTER PARK,FL,32792,NOT AVAILABLE,(407) 478-0500
153,136215,NOVA SOUTHEASTERN UNIVERSITY,3301 COLLEGE AVE,FORT LAUDERDALE,FL,33314,7796,(954) 262-7300
158,486150,TREASURE COAST TECHNICAL COLLEGE,4680 28TH COURT,VERO BEACH,FL,32967,3527,(772) 564-4970
761,481313,KAIZEN BEAUTY ACADEMY,8405 PINES BOULEVARD,PEMBROKE PINES,FL,33024,6609,(954) 433-4442
1736,133669,FLORIDA ATLANTIC UNIVERSITY,"777 GLADES RD, ADMINISTRATION BLDG., ROOM 339",BOCA RATON,FL,33431,0991,(561) 297-3000
2415,372462,ACADEMY OF COSMETOLOGY,2088 N. COURTENAY PARKWAY,MERRITT ISLAND,FL,32953,NOT AVAILABLE,(321) 452-8490
2694,445744,FORTIS INSTITUTE-PORT SAINT LUCIE,9022 SOUTH US HIGHWAY 1,PORT SAINT LUCIE,FL,34952,NOT AVAILABLE,(772) 221-9799
3363,487418,FLORIDA CAREER COLLEGE-LAUDERDALE LAKES,3383 NORTH STATE ROAD 7,LAUDERDALE LAKES,FL,33319,5617,(954) 908-4700
4208,133809,FLORIDA COLLEGE,119 N GLEN ARVEN AVE,TEMPLE TERRACE,FL,33617,NOT AVAILABLE,(813) 988-5131 EXT 102
4911,457378,EMERALD COAST TECHNICAL COLLEGE,761 N 20TH ST,DEFUNIAK SPRINGS,FL,32433,NOT AVAILABLE,(850) 892-1241
5175,132471,BARRY UNIVERSITY,11300 NE 2ND AVE,MIAMI,FL,33161,6695,(800) 756-6000
6333,492652,KCK BEAUTY & BARBER ACADEMY,10592 BALMORAL CIRCLE EAST,JACKSONVILLE,FL,32218,5578,(904) 516-9280
152,135726,UNIVERSITY OF MIAMI,UNIVERSITY OF MIAMI,CORAL GABLES,FL,33146,NOT AVAILABLE,(305) 284-2211
1132,137713,RIVEROAK TECHNICAL COLLEGE,415 SW PINEWOOD DR,LIVE OAK,FL,32064,NOT AVAILABLE,(386) 647-4200
2671,475547,PAUL MITCHELL THE SCHOOL-FORT MYERS,9941 INTERSTATE COMMERCE DRIVE,FORT MYERS,FL,33913,NOT AVAILABLE,(239) 332-2011
2679,442295,AVE MARIA SCHOOL OF LAW,1025 COMMONS CIRCLE,NAPLES,FL,34119,NOT AVAILABLE,(239) 687-5300
4428,135179,LAKE TECHNICAL COLLEGE,2001 KURT STREET,EUSTIS,FL,32726,NOT AVAILABLE,(352) 589-2250 EXT 1800
5014,457387,IMMOKALEE TECHNICAL COLLEGE,508 N 9TH ST,IMMOKALEE,FL,34142,NOT AVAILABLE,(239) 377-9900
5906,427991,OSCEOLA TECHNICAL COLLEGE,501 SIMPSON RD,KISSIMMEE,FL,34744,NOT AVAILABLE,(407) 344-5080
6500,494214,MIAMI LAKES EDUCATIONAL CENTER AND TECHNICAL COLLEGE -,5780 NORTHWEST 158TH STREET,MIAMI LAKES,FL,33014,6720,NOT AVAILABLE
13,138293,WEBBER INTERNATIONAL UNIVERSITY,1201 N SCENIC HWY,BABSON PARK,FL,33827,0096,(863) 638-1431
1197,135160,FLORIDA GATEWAY COLLEGE,HIGHWAY 90 EAST,LAKE CITY,FL,32025,2007,(386) 752-1822
1555,439446,ATLANTIC INSTITUTE OF ORIENTAL MEDICINE,"100 E BROWARD BLVD, SUITE 100",FORT LAUDERDALE,FL,33301,3510,(954) 763-9840 EXT 203
2767,133845,CONCORDE CAREER INSTITUTE-JACKSONVILLE,7259 SALISBURY ROAD,JACKSONVILLE,FL,32256,6905,(904) 725-0525
3114,492032,AMSLEE INSTITUTE,5391 LAKEWOOD RANCH BLVD STE 203,SARASOTA,FL,34240,NOT AVAILABLE,(941) 773-9020
4432,367875,BREWSTER TECHNICAL COLLEGE,2222 N TAMPA ST,TAMPA,FL,33602,2196,(813) 276-5448
154,136358,PALM BEACH STATE COLLEGE,4200 CONGRESS AVE,LAKE WORTH,FL,33461,4796,(561) 967-7222
681,476966,SAE INSTITUTE OF TECHNOLOGY-MIAMI,16051 W. DIXIE HIGHWAY,NORTH MIAMI BEACH,FL,33160,4307,(954) 415-0901
843,135559,MERRYFIELD SCHOOL OF PET GROOMING,5040 NORTHEAST 13 AVENUE,OAKLAND PARK,FL,33334,4925,(954) 771-4030
1207,137032,SAINT LEO UNIVERSITY,33701 STATE ROAD 52,SAINT LEO,FL,33574,6665,(352) 588-8200
2889,134079,FLORIDA SOUTHERN COLLEGE,111 LAKE HOLLINGSWORTH DR,LAKELAND,FL,33801,5698,(863) 680-4111
3431,490018,NATIONAL PERSONAL TRAINING INSTITUTE-TAMPA,8411 SUNSTATE STREET,TAMPA,FL,33634,NOT AVAILABLE,(813) 374-2017
4641,444334,ADVANCE SCIENCE INTERNATIONAL COLLEGE,5190 NW 167 ST STE 200,MIAMI LAKES,FL,33014,NOT AVAILABLE,(305) 626-6004
4670,481252,ULTRASOUND MEDICAL INSTITUTE,503 ROYAL PALM BEACH BLVD,ROYAL PALM BEACH,FL,33411,NOT AVAILABLE,(216) 688-5112
4734,482459,DEVRY UNIVERSITY-FLORIDA,2300 SW 145TH AVE.,MIRAMAR,FL,33027,NOT AVAILABLE,(954) 499-9775
4780,439686,INTERNATIONAL TRAINING CAREERS,7360 SW 24TH STREET SUITE 31,MIAMI,FL,33155,NOT AVAILABLE,(305) 263-9696
6272,490391,AMERICAN BEAUTY SCHOOLS,8100 SOUTHWEST 8TH STREET,MIAMI,FL,33144,0000,(786) 558-9608
6389,496256,COLUMBIA COLLEGE - TAVARES PD,1565 LANE PARK CUTOFF ROAD,TAVARES,FL,32778,6100,NOT AVAILABLE
110,487393,FLORIDA CAREER COLLEGE-WEST PALM BEACH,6058 OKEECHOBEE BLVD.,WEST PALM BEACH,FL,33417,4326,(561) 282-5441
3022,135188,LAKE-SUMTER STATE COLLEGE,9501 US HWY 441,LEESBURG,FL,34788,8751,(352) 787-3747
3023,135391,STATE COLLEGE OF FLORIDA-MANATEE-SARASOTA,5840 26TH ST W,BRADENTON,FL,34207,NOT AVAILABLE,(941) 752-5000
3215,495554,NUC UNIVERSITY - FLORIDA TECHNICAL COLLEGE - LAKELAND,4715 SOUTH FLORIDA AVENUE SUITE 4,LAKELAND,FL,33813,2101,NOT AVAILABLE
3309,486521,THE TRAINING DOMAIN,12761 WORLD PLAZA LANE,FORT MYERS,FL,33907,4080,(239) 267-3833
3404,133508,FLORIDA SOUTHWESTERN STATE COLLEGE,8099 COLLEGE PARKWAY,FORT MYERS,FL,33919,NOT AVAILABLE,(239) 489-9300
