OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
120,486840,KENNESAW STATE UNIVERSITY,1000 CHASTAIN RD,KENNESAW,GA,30144,NOT AVAILABLE,(470) 578-6000
1075,140003,GWINNETT COLLEGE-LILBURN,4230 HWY 29 STE 11,LILBURN,GA,30047,3447,(770) 381-7200
2478,139861,GEORGIA COLLEGE & STATE UNIVERSITY,231 W HANCOCK STREET,MILLEDGEVILLE,GA,31061,NOT AVAILABLE,(800) 342-0471
2484,139968,GORDON STATE COLLEGE,419 COLLEGE DR,BARNESVILLE,GA,30204,NOT AVAILABLE,(678) 359-5555
2560,141325,WESLEYAN COLLEGE,4760 FORSYTH ROAD,MACON,GA,31210,4462,(478) 477-1110
3333,413893,UNITED EDUCATION INSTITUTE-MORROW,1564 SOUTHLAKE PARKWAY,MORROW,GA,30260,2941,(678) 422-4500
4205,485458,COASTAL PINES TECHNICAL COLLEGE,1701 CARSWELL AVE,WAYCROSS,GA,31503,NOT AVAILABLE,(912) 287-5818
4267,139144,BERRY COLLEGE,2277 MARTHA BERRY HWY NW,MOUNT BERRY,GA,30149,NOT AVAILABLE,(706) 232-5374
4655,454926,PAUL MITCHELL THE SCHOOL-ATLANTA,887 WEST MARIETTA STREET SUITE A,ATLANTA,GA,30318,NOT AVAILABLE,(404) 888-0070 EXT 24
1919,139393,COVENANT COLLEGE,14049 SCENIC HIGHWAY,LOOKOUT MOUNTAIN,GA,30750,4164,(706) 820-1560
3094,491570,INSTITUTE OF MEDICAL ULTRASOUND,"225 PEACHTREE STREET NE, SUITE 1925",ATLANTA,GA,30303,3030,(404) 881-1916
2180,138956,AUGUSTA TECHNICAL COLLEGE,3200 AUGUSTA TECH DRIVE,AUGUSTA,GA,30906,NOT AVAILABLE,(706) 771-4000
3669,140951,SAVANNAH COLLEGE OF ART AND DESIGN,342 BULL ST,SAVANNAH,GA,31402,3146,(912) 525-5000
4317,138868,POINT UNIVERSITY,507 WEST 10TH STREET,WEST POINT,GA,31833,NOT AVAILABLE,(706) 385-1000
6505,494269,NATIONAL AMERICAN UNIVERSITY-KINGS BAY,918 USS JAMES MADISON ROAD BLDG 1030,KINGS BAY,GA,31547,2532,(605) 718-6550
580,368911,SOUTHEASTERN TECHNICAL COLLEGE,3001 E FIRST ST,VIDALIA,GA,30474,NOT AVAILABLE,(912) 538-3100
2340,139986,SOUTHERN CRESCENT TECHNICAL COLLEGE,501 VARSITY RD,GRIFFIN,GA,30223,2042,(770) 229-3327
2420,413945,TONI & GUY HAIRDRESSING ACADEMY-ATLANTA,"1355 ROSWELL RD, SUITE 150",MARIETTA,GA,30062,NOT AVAILABLE,(770) 565-3285
2421,417381,EMPIRE BEAUTY SCHOOL-DUNWOODY,4719 ASHFORD-DUNWOODY RD SUITE 205,DUNWOODY,GA,30338,NOT AVAILABLE,(800) 920-4593
2481,141060,SPELMAN COLLEGE,350 SPELMAN LANE SW,ATLANTA,GA,30314,4399,(404) 681-3643
4005,481146,WOODRUFF MEDICAL TRAINING AND TESTING,1927 LAKESIDE PARKWAY,TUCKER,GA,30084,NOT AVAILABLE,(470) 259-4514
4315,140553,MOREHOUSE COLLEGE,830 WESTVIEW DR SW,ATLANTA,GA,30314,NOT AVAILABLE,(470) 639-0999
530,447917,AUGUSTA SCHOOL OF MASSAGE,608 PONDER PLACE DR,EVANS,GA,30809,NOT AVAILABLE,(706) 863-4799
1074,139940,GEORGIA STATE UNIVERSITY,33 GILMER ST,ATLANTA,GA,30303,3083,(404) 413-2000
1076,140872,REINHARDT UNIVERSITY,7300 REINHARDT CIRCLE,WALESKA,GA,30183,2981,(770) 720-5600
2545,139348,COLUMBIA THEOLOGICAL SEMINARY,701 S. COLUMBIA DR,DECATUR,GA,30030,4118,(404) 378-8821
4006,481155,HELMS COLLEGE,5171 EISENHOWER PARKWAY,MACON,GA,31206,5309,(478) 319-3373
4156,485111,GEORGIA MILITARY COLLEGE,201 E GREENE ST,MILLEDGEVILLE,GA,31061,NOT AVAILABLE,(478) 387-4900
4269,140331,CHATTAHOOCHEE TECHNICAL COLLEGE,980 S COBB DRIVE DR SE,MARIETTA,GA,30060,NOT AVAILABLE,(770) 528-4545
6426,495819,MAK BEAUTY INSTITUTE - DULUTH,3980 PEACHTREE INDUSTRIAL BOULEVARD SUITE #400,DULUTH,GA,30096,4846,NOT AVAILABLE
115,487092,EMORY UNIVERSITY-OXFORD COLLEGE,801 EMORY STREET,OXFORD,GA,30054,NOT AVAILABLE,(770) 784-8888
2190,139506,PRO WAY HAIR SCHOOL,5684 MEMORIAL DR,STONE MOUNTAIN,GA,30083,3254,(404) 299-5156
2485,141255,WIREGRASS GEORGIA TECHNICAL COLLEGE,4089 VAL TECH RD,VALDOSTA,GA,31602,0929,(229) 333-2100
4268,139199,BRENAU UNIVERSITY,500 WASHINGTON STREET SE,GAINESVILLE,GA,30501,3668,(770) 534-6299
1073,138947,CLARK ATLANTA UNIVERSITY,"223 JAMES P BRAWLEY DRIVE, SW",ATLANTA,GA,30314,4391,(404) 880-8000
1216,139214,BROWN COLLEGE OF COURT REPORTING,"1100 SPRING STREET, SUITE 101",ATLANTA,GA,30309,NOT AVAILABLE,(404) 876-1227
2483,138840,ATLANTA TECHNICAL COLLEGE,1560 METROPOLITAN PKWY SW,ATLANTA,GA,30310,4446,(404) 225-4400
2894,139995,GUPTON JONES COLLEGE OF FUNERAL SERVICE,5141 SNAPFINGER WOODS DR,DECATUR,GA,30035,4022,(770) 593-2257
3367,487162,SOUTHERN REGIONAL TECHNICAL COLLEGE,15689 US HWY 19 NORTH,THOMASVILLE,GA,31792,NOT AVAILABLE,(229) 225-4096
3398,475732,CHAMBERLAIN UNIVERSITY-GEORGIA,"5775 PEACHTREE-DUNWOODY ROAD, NE, SUITE A100",ATLANTA,GA,30342,NOT AVAILABLE,(404) 250-8500
3732,460826,PLATT COLLEGE-MILLER-MOTTE TECHNICAL-AUGUSTA,621 NW FRONTAGE ROAD,AUGUSTA,GA,30907,0921,(706) 396-8000
5490,366465,OGEECHEE TECHNICAL COLLEGE,ONE JOSEPH E. KENNEDY BLVD,STATESBORO,GA,30458,NOT AVAILABLE,(912) 681-5500
164,139959,UNIVERSITY OF GEORGIA,ADMINISTRATION BUILDING,ATHENS,GA,30602,NOT AVAILABLE,(706) 542-3000
1106,140720,PAINE COLLEGE,1235 15TH ST,AUGUSTA,GA,30901,3182,(706) 821-8200
5430,139931,GEORGIA SOUTHERN UNIVERSITY,1332 SOUTHERN DRIVE,STATESBORO,GA,30460,8126,(912) 478-5391
5576,140252,LIFE UNIVERSITY,1269 BARCLAY CIRCLE,MARIETTA,GA,30060,NOT AVAILABLE,(800) 543-3202
6438,496317,DIGITAL FILM ACADEMY - ATLANTA,10 PARK PLACE SOUTH,ATLANTA,GA,30303,2913,NOT AVAILABLE
401,139278,WEST GEORGIA TECHNICAL COLLEGE,176 MURPHY CAMPUS BLVD.,WACO,GA,30182,NOT AVAILABLE,(770) 537-6000
648,246813,ATHENS TECHNICAL COLLEGE,800 U.S. HWY 29 NORTH,ATHENS,GA,30601,NOT AVAILABLE,(706) 355-5000
1133,139311,CLAYTON STATE UNIVERSITY,2000 CLAYTON STATE BOULEVARD,MORROW,GA,30260,0285,(678) 466-4000
5429,139764,GEORGIA SOUTHWESTERN STATE UNIVERSITY,800 GEORGIA SOUTHWESTERN STATE UNIVERSITY DR.,AMERICUS,GA,31709,4693,(877) 871-4594
5773,140696,OGLETHORPE UNIVERSITY,"4484 PEACHTREE ROAD, NE",ATLANTA,GA,30319,2797,(404) 261-1441
1079,141361,YOUNG HARRIS COLLEGE,1 COLLEGE STREET,YOUNG HARRIS,GA,30582,NOT AVAILABLE,(706) 379-3111
3305,486691,EMPIRE BEAUTY SCHOOL-NORTHLAKE,"BRIARCLIFF VILLAGE, 2190 HENDERSON MILL ROAD",ATLANTA,GA,30345,3762,(800) 920-4593
3661,138664,INTERACTIVE COLLEGE OF TECHNOLOGY-MORROW,1580 SOUTHLAKE PARKWAY SUITE C,MORROW,GA,30260,NOT AVAILABLE,(770) 960-1298
4270,140340,HERZING UNIVERSITY-ATLANTA,50 HURT PLAZA SE STE. 400,ATLANTA,GA,30303,NOT AVAILABLE,(404) 816-4533 EXT 116
4798,141167,THOMAS UNIVERSITY,1501 MILLPOND RD,THOMASVILLE,GA,31792,NOT AVAILABLE,(800) 538-9784 EXT 1000
5283,440101,EMPIRE BEAUTY SCHOOL-KENNESAW,"TOWN CENTER OAKS, 2615 GEORGE BUSBEE PARKWAY, STE 9",KENNESAW,GA,30144,NOT AVAILABLE,(800) 920-4593
729,480301,SAVANNAH LAW SCHOOL,7426 HODGSON MEMORIAL DRIVE,SAVANNAH,GA,31406,NOT AVAILABLE,NOT AVAILABLE
946,485120,NEW HORIZONS MEDICAL INSTITUTE-WINDER,138 PARK AVE SUITE 200,WINDER,GA,30680,2130,(678) 963-0387
1077,141006,SOUTH GEORGIA TECHNICAL COLLEGE,900 SOUTH GA TECH PARKWAY,AMERICUS,GA,31709,NOT AVAILABLE,(229) 931-2394
2339,140960,SAVANNAH STATE UNIVERSITY,3219 COLLEGE STREET,SAVANNAH,GA,31404,5310,(912) 675-6265
6265,490230,REFORMED UNIVERSITY,1724 ATKINSON ROAD,LAWRENCEVILLE,GA,30043,5604,(770) 232-2717
6370,494269,NATIONAL AMERICAN UNIVERSITY-KINGS BAY,918 USS JAMES MADISON ROAD BLDG 1030,KINGS BAY,GA,31547,2532,(605) 718-6550
1569,141185,TOCCOA FALLS COLLEGE,107 KINCAID DRIVE,TOCCOA FALLS,GA,30598,NOT AVAILABLE,(706) 886-6831
2037,440059,AVIATION INSTITUTE OF MAINTENANCE-ATLANTA,2025 SATELLITE POINTE,DULUTH,GA,30096,NOT AVAILABLE,(678) 377-5600
2075,444796,OMNITECH INSTITUTE,1800 PHOENIX BLVD. BLDG 100 SUITE 104,ATLANTA,GA,30349,NOT AVAILABLE,(404) 284-8121
3662,138761,ANDREW COLLEGE,501COLLEGE ST,CUTHBERT,GA,39840,5550,(229) 732-2171
