OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
2487,153922,MARSHALLTOWN COMMUNITY COLLEGE,3700 S CENTER ST,MARSHALLTOWN,IA,50158,NOT AVAILABLE,(641) 752-7106
2771,152992,BRIAR CLIFF UNIVERSITY,3303 REBECCA STREET,SIOUX CITY,IA,51104,NOT AVAILABLE,(712) 279-5321
5249,154174,PALMER COLLEGE OF CHIROPRACTIC,1000 BRADY ST,DAVENPORT,IA,52803,5287,(563) 884-5000
6117,153427,HAMILTON TECHNICAL COLLEGE,1011 E 53RD ST,DAVENPORT,IA,52807,NOT AVAILABLE,(563) 386-3570
392,153001,BUENA VISTA UNIVERSITY,610 W 4TH ST,STORM LAKE,IA,50588,NOT AVAILABLE,(712) 749-2400
5605,153764,LA JAMES INTERNATIONAL COLLEGE-JOHNSTON,8805 CHAMBERY BLVD,JOHNSTON,IA,50131,NOT AVAILABLE,(515) 278-2208
5708,154378,SOUTHEASTERN COMMUNITY COLLEGE,1500 WEST AGENCY ROAD,WEST BURLINGTON,IA,52655,0180,(319) 752-2731
5374,153375,GRAND VIEW UNIVERSITY,1200 GRANDVIEW AVE,DES MOINES,IA,50316,NOT AVAILABLE,(515) 263-2800
1119,153588,AMERICAN COLLEGE OF HAIRSTYLING-DES MOINES,603 E SIXTH ST,DES MOINES,IA,50309,NOT AVAILABLE,(515) 244-0971
5999,154536,WARTBURG THEOLOGICAL SEMINARY,333 WARTBURG PL,DUBUQUE,IA,52003,7769,(563) 589-0200
1371,381486,FAUST INSTITUTE OF COSMETOLOGY-SPIRIT LAKE,1543 18TH STREET,SPIRIT LAKE,IA,51360,NOT AVAILABLE,(712) 336-0512
3426,153737,KIRKWOOD COMMUNITY COLLEGE,6301 KIRKWOOD BLVD SW,CEDAR RAPIDS,IA,52406,2068,(319) 398-5411
