OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
1036,454218,CHAMBERLAIN UNIVERSITY-ADMINISTRATIVE OFFICE,"500 W. MONROE STREET, SUITE 28",CHICAGO,IL,60661,NOT AVAILABLE,(312) 651-1400
2904,149763,RESURRECTION UNIVERSITY,1431 N. CLAREMONT,CHICAGO,IL,60622,NOT AVAILABLE,(773) 252-6464
3115,492078,CHICAGO PROFESSIONAL CENTER,16 PIPER LN. SUITE 127,PROSPECT HEIGHTS,IL,60090,NOT AVAILABLE,(847) 215-8203
3588,458265,MIDWEST TECHNICAL INSTITUTE-EAST PEORIA,280 HIGH POINT LN,EAST PEORIA,IL,61611,NOT AVAILABLE,(309) 427-2750 EXT 1249
4064,401764,JOHN AMICO SCHOOL OF HAIR DESIGN,15301 SOUTH CICERO AVENUE,OAK FOREST,IL,60452,2501,(708) 687-7800
4361,417442,CAREER CENTER OF SOUTHERN ILLINOIS,6137 BECK RD,RED BUD,IL,62278,NOT AVAILABLE,(618) 473-2222
175,148256,REND LAKE COLLEGE,468 N KEN GRAY PKWY,INA,IL,62846,NOT AVAILABLE,(618) 437-5321
178,149727,WAUBONSEE COMMUNITY COLLEGE,RTE 47 AT WAUBONSEE DRIVE,SUGAR GROVE,IL,60554,9454,(630) 466-7900 EXT 2255
1095,148937,SOUTHEASTERN ILLINOIS COLLEGE,3575 COLLEGE ROAD,HARRISBURG,IL,62946,NOT AVAILABLE,(618) 252-5400
1669,457527,AMBRIA COLLEGE OF NURSING,5210 TRILLIUM BLVD,HOFFMAN ESTATES,IL,60192,NOT AVAILABLE,(847) 397-0300 EXT 2271
2496,148335,ROBERT MORRIS UNIVERSITY ILLINOIS,401 S STATE STREET,CHICAGO,IL,60605,NOT AVAILABLE,(312) 935-6800
4277,145831,ILLINOIS VALLEY COMMUNITY COLLEGE,815 N ORLANDO SMITH ROAD,OGLESBY,IL,61348,9692,(815) 224-2720
6127,143543,EMPIRE BEAUTY SCHOOL-HANOVER PARK,1166 EAST LAKE ST,HANOVER PARK,IL,60133,5421,(800) 920-4593
200,487968,CAAN ACADEMY OF NURSING,4747 LINCOLN MALL DR. - SUITE 420,MATTESON,IL,60443,3821,(708) 983-1645
1081,142832,ADLER UNIVERSITY,17 NORTH DEARBORN STREET,CHICAGO,IL,60602,NOT AVAILABLE,(312) 662-4000
2369,454971,TRICOCI UNIVERSITY OF BEAUTY CULTURE-CHICAGO NW,5321 N HARLEM AVE,CHICAGO,IL,60656,NOT AVAILABLE,(630) 528-3330
2547,147013,MCKENDREE UNIVERSITY,701 COLLEGE RD,LEBANON,IL,62254,1291,(618) 537-4481
3886,143853,MIDWESTERN UNIVERSITY-DOWNERS GROVE,555 31ST STREET,DOWNERS GROVE,IL,60515,5514,(630) 969-4400
4458,146454,EDUCATORS OF BEAUTY COLLEGE OF COSMETOLOGY-PERU,3602 MARQUETTE RD STE 2,PERU,IL,61354,1450,(815) 223-7326
6126,145239,FOX COLLEGE,6640 S. CICERO,BEDFORD PARK,IL,60638,NOT AVAILABLE,(708) 444-4500
6131,147439,MR JOHN'S SCHOOL OF COSMETOLOGY ESTHETICS & NAILS-DECATUR,1745 E ELDORADO ST.,DECATUR,IL,62521,NOT AVAILABLE,NOT AVAILABLE
177,149222,SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,LINCOLN DRIVE,CARBONDALE,IL,62901,4512,(618) 453-2121
347,458274,PAUL MITCHELL THE SCHOOL-CHICAGO,1225 S HALSTED ST,CHICAGO,IL,60607,NOT AVAILABLE,(312) 733-9285
1589,145433,HAIR PROFESSIONALS SCHOOL OF COSMETOLOGY,5460 U.S. HIGHWAY 34,OSWEGO,IL,60543,NOT AVAILABLE,(630) 554-2266
4077,367972,CAPITAL AREA SCHOOL OF PRACTICAL NURSING,2201 TORONTO RD,SPRINGFIELD,IL,62712,3803,(217) 585-1215
4081,373216,PIVOT POINT ACADEMY,"144 EAST LAKE STREET, SUITE C",BLOOMINGDALE,IL,60108,0000,(847) 985-5900
4433,369455,WORSHAM COLLEGE OF MORTUARY SCIENCE,495 NORTHGATE PKWY,WHEELING,IL,60090,2646,(847) 808-8444
4449,145354,GRAHAM HOSPITAL SCHOOL OF NURSING,210 W WALNUT ST,CANTON,IL,61520,2497,(309) 647-4086
4838,146825,MACMURRAY COLLEGE,447 EAST COLLEGE AVE,JACKSONVILLE,IL,62650,2590,NOT AVAILABLE
5584,143048,SCHOOL OF THE ART INSTITUTE OF CHICAGO,36 S WABASH,CHICAGO,IL,60603,NOT AVAILABLE,(312) 629-6118
596,462053,STATE CAREER COLLEGE,2770 W. GRAND AVENUE,WAUKEGAN,IL,60085,5129,(847) 693-3838 EXT 103
1107,145886,INSTITUTE FOR CLINICAL SOCIAL WORK,1345 W ARGYLE STREET,CHICAGO,IL,60640,1229,(773) 943-6500
1226,148876,SAINT AUGUSTINE COLLEGE,1345 W. ARGYLE ST.,CHICAGO,IL,60640,3501,(773) 878-8756
2775,149514,TRINITY INTERNATIONAL UNIVERSITY-ILLINOIS,2065 HALF DAY RD,DEERFIELD,IL,60015,1283,(847) 945-8800
3884,147800,OAKTON COMMUNITY COLLEGE,1600 E GOLF RD.,DES PLAINES,IL,60016,1268,(847) 635-1600
4299,145707,OLNEY CENTRAL COLLEGE,305 N WEST STREET,OLNEY,IL,62450,NOT AVAILABLE,(618) 393-2982
4451,146490,LAKE FOREST GRADUATE SCHOOL OF MANAGEMENT,1905 W. FIELD COURT,LAKE FOREST,IL,60045,NOT AVAILABLE,(847) 234-5005
6433,496007,NETWORKS BARBER COLLEGE,325 WEST 103RD STREET,CHICAGO,IL,60628,2503,NOT AVAILABLE
2062,443368,ILLINOIS EASTERN COMMUNITY COLLEGE-SYSTEM OFFICE,233 E CHESTNUT STREET,OLNEY,IL,62450,NOT AVAILABLE,(618) 393-2982
2192,145406,G SKIN & BEAUTY INSTITUTE,90 W HILLCREST BLVD SUITE 302,SCHAUMBURG,IL,60195,NOT AVAILABLE,(847) 836-5900
2346,144740,DEPAUL UNIVERSITY,1 E JACKSON BLVD,CHICAGO,IL,60604,NOT AVAILABLE,(312) 362-8000
2661,147697,NORTHERN BAPTIST THEOLOGICAL SEMINARY,"410 WARRENVILLE ROAD, SUITE 300",LISLE,IL,60532,1348,(630) 620-2100
3443,149842,WILLIAM RAINEY HARPER COLLEGE,1200 W ALGONQUIN RD,PALATINE,IL,60067,7398,(847) 925-6000
3894,476489,LARRY'S BARBER COLLEGE,10456 S. HALSTED STREET,CHICAGO,IL,60628,2322,(773) 779-2100
4278,146205,JOHN A LOGAN COLLEGE,700 LOGAN COLLEGE DRIVE,CARTERVILLE,IL,62918,2500,(618) 985-3741
5423,455008,TRICOCI UNIVERSITY OF BEAUTY CULTURE-ROCKFORD,5485 E STATE ST,ROCKFORD,IL,61108,NOT AVAILABLE,(630) 528-3330
6005,144971,EUREKA COLLEGE,300 E. COLLEGE AVENUE,EUREKA,IL,61530,NOT AVAILABLE,(309) 467-3721
6099,475653,REFLECTIONS ACADEMY OF BEAUTY,241 NORTH MAIN STREET,DECATUR,IL,62523,1208,(217) 425-9117
