OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
6008,150455,EARLHAM COLLEGE,801 NATIONAL RD WEST,RICHMOND,IN,47374,4095,(765) 983-1200
917,484109,PAUL MITCHELL THE SCHOOL-MERRILLVILLE,7990 BROADWAY,MERRILLVILLE,IN,46410,5540,(219) 793-9246
1231,151290,INDIANA INSTITUTE OF TECHNOLOGY,1600 E WASHINGTON BLVD,FORT WAYNE,IN,46803,1228,(800) 937-2448
2197,152080,UNIVERSITY OF NOTRE DAME,400 MAIN BUILDING,NOTRE DAME,IN,46556,NOT AVAILABLE,(574) 631-5000
2916,150251,COLLEGE OF COURT REPORTING INC,"455 WEST LINCOLNWAY, SUITE A",VALPARAISO,IN,46385,NOT AVAILABLE,(219) 531-1459
3479,488439,KENNY'S ACADEMY OF BARBERING,2150 LAFAYETTE ROAD,INDIANAPOLIS,IN,46222,2327,(317) 635-5900
4453,150534,UNIVERSITY OF EVANSVILLE,1800 LINCOLN AVENUE,EVANSVILLE,IN,47722,NOT AVAILABLE,(812) 488-2000
6007,152673,WABASH COLLEGE,301 WEST WABASH AVENUE,CRAWFORDSVILLE,IN,47933,0352,(765) 361-6100
1229,150604,FRANKLIN COLLEGE,101 BRANIGIN BLVD,FRANKLIN,IN,46131,2623,(317) 738-8000
1232,151306,UNIVERSITY OF SOUTHERN INDIANA,8600 UNIVERSITY BLVD,EVANSVILLE,IN,47712,NOT AVAILABLE,(812) 464-8600
3601,458681,FORTIS COLLEGE-INDIANAPOLIS,9001 N WESLEYAN RD STE 101,INDIANAPOLIS,IN,46268,NOT AVAILABLE,(317) 808-4800
1535,151351,INDIANA UNIVERSITY-BLOOMINGTON,107 SOUTH INDIANA AVE.,BLOOMINGTON,IN,47405,7000,(812) 855-4848
1966,458858,EMPIRE BEAUTY SCHOOL-SPEEDWAY,5750 A CRAWFORDSVILLE RD,SPEEDWAY,IN,46224,NOT AVAILABLE,(800) 920-4593
2198,152318,ROSE-HULMAN INSTITUTE OF TECHNOLOGY,5500 WABASH AVENUE,TERRE HAUTE,IN,47803,3920,(812) 877-1511
2279,449603,DENMARK COLLEGE,8101 POLO CLUB DR,MERRILLVILLE,IN,46410,NOT AVAILABLE,(219) 736-9999
4621,437857,RUDAE'S SCHOOL OF BEAUTY CULTURE-FT WAYNE,5317 COLDWATER RD COLDWATER CROSSING,FORT WAYNE,IN,46825,5444,(260) 483-2466
2666,456506,ROSS MEDICAL EDUCATION CENTER-FORT WAYNE,"4122 LIMA ROAD, UNIT A5",FORT WAYNE,IN,46805,NOT AVAILABLE,(260) 471-4840
3318,462017,SUMMIT SALON ACADEMY-KOKOMO,1012 S REED RD,KOKOMO,IN,46901,6248,(765) 454-9840
1280,461917,PAUL MITCHELL THE SCHOOL-INDIANAPOLIS,8751 US 31 HIGHWAY SOUTH,INDIANAPOLIS,IN,46227,6252,(317) 885-0348
1957,457563,AVEDA FREDRIC'S INSTITUTE-INDIANAPOLIS,6020 E 82ND ST,INDIANAPOLIS,IN,46250,NOT AVAILABLE,(513) 533-0700
2371,151810,MARTIN UNIVERSITY,2186 NORTH SHERMAN DRIVE,INDIANAPOLIS,IN,46218,0567,(317) 543-3235
4629,438735,AVIATION INSTITUTE OF MAINTENANCE-INDIANAPOLIS,7251 W. MCCARTY ST.,INDIANAPOLIS,IN,46241,NOT AVAILABLE,(317) 243-4519
6009,152150,PJ'S COLLEGE OF COSMETOLOGY-RICHMOND,50 HAYES ARBORETUM ROAD,RICHMOND,IN,47374,NOT AVAILABLE,(765) 962-3005
811,482228,VERITAS BAPTIST COLLEGE,"181 US 50 E., SUITE 204",GREENDALE,IN,47025,NOT AVAILABLE,(812) 221-1714
1470,367088,TRICOCI UNIVERSITY OF BEAUTY CULTURE LLC-BLOOMINGTON,1681 N. COLLEGE AVE,BLOOMINGTON,IN,47404,NOT AVAILABLE,(630) 528-3330
1534,151324,INDIANA STATE UNIVERSITY,210 N 7TH ST,TERRE HAUTE,IN,47809,NOT AVAILABLE,(812) 237-6311
1608,150677,GRACE COLLEGE AND THEOLOGICAL SEMINARY,200 SEMINARY DR,WINONA LAKE,IN,46590,1274,(574) 372-5100
2917,151564,TAYLOR INSTITUTE OF COSMETOLOGY II,320 E CULVER RD,KNOX,IN,46534,NOT AVAILABLE,(574) 772-5500
3855,150172,CALUMET COLLEGE OF SAINT JOSEPH,2400 NEW YORK AVE,WHITING,IN,46394,NOT AVAILABLE,(219) 473-7770 EXT 224
706,152637,VINCENNES UNIVERSITY,1002 N FIRST ST,VINCENNES,IN,47591,NOT AVAILABLE,(812) 888-8888
3069,490805,PURDUE UNIVERSITY NORTHWEST,2200 169TH STREET,HAMMOND,IN,46323,NOT AVAILABLE,(219) 989-2400
3111,491941,CARIS COLLEGE,"2780 JEFFERSON CENTRE WAY, SUITE 103",JEFFERSONVILLE,IN,47130,8293,(812) 258-9510
3615,152567,TRINE UNIVERSITY,1 UNIVERSITY AVE,ANGOLA,IN,46703,1764,(260) 665-4100
4384,152099,OAKLAND CITY UNIVERSITY,138 N LUCRETIA ST,OAKLAND CITY,IN,47660,1099,(800) 737-5125
5115,243780,PURDUE UNIVERSITY-MAIN CAMPUS,HOVDE HALL OF ADMINISTRATION,WEST LAFAYETTE,IN,47907,2040,(765) 494-4600
6006,150668,GOSHEN COLLEGE,1700 S MAIN ST,GOSHEN,IN,46526,4794,(574) 535-7000
2782,151607,TRICOCI UNIVERSITY OF BEAUTY CULTURE-LAFAYETTE,833 FERRY STREET,LAFAYETTE,IN,47901,NOT AVAILABLE,(630) 528-3330
3091,491525,UNION BIBLE COLLEGE,434 S. UNION STREET,WESTFIELD,IN,46074,0900,(317) 896-9324
5602,152309,ROGERS ACADEMY OF HAIR DESIGN,221 MAIN STREET,EVANSVILLE,IN,47708,NOT AVAILABLE,(812) 429-0110 EXT 4
239,488679,INDIANA WESLEYAN UNIVERSITY-NATIONAL & GLOBAL,1900 WEST 50TH STREET,MARION,IN,46953,NOT AVAILABLE,(765) 677-2870
2781,152497,SAINT ELIZABETH SCHOOL OF NURSING,1501 HARTFORD STREET,LAFAYETTE,IN,47904,9988,(765) 423-6400
707,150400,DEPAUW UNIVERSITY,313 S LOCUST ST,GREENCASTLE,IN,46135,1772,(765) 658-4800
2672,475574,LIL LOU'S BEAUTY AND BARBER COLLEGE,4853 BROADWAY STREET,GARY,IN,46409,2404,(219) 884-9954 EXT 120
2915,150428,DON ROBERTS SCHOOL OF HAIR DESIGN,152 EAST US ROUTE 30,SCHERERVILLE,IN,46375,NOT AVAILABLE,(219) 864-1600
3953,151388,INDIANA UNIVERSITY-EAST,2325 CHESTER BLVD,RICHMOND,IN,47374,1289,(765) 973-8200
6299,491552,CHRISTINA AND COMPANY EDUCATION CENTER,220 MEIJER DRIVE,LAFAYETTE,IN,47905,4633,(765) 446-1811
1211,151865,ANABAPTIST MENNONITE BIBLICAL SEMINARY,3003 BENHAM AVE,ELKHART,IN,46517,1999,(574) 295-3726
1228,150303,TRICOCI UNIVERSITY OF BEAUTY CULTURE-HIGHLAND,2549 HIGHWAY AVE,HIGHLAND,IN,46322,NOT AVAILABLE,(630) 528-3330
1230,151111,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,420 UNIVERSITY BLVD,INDIANAPOLIS,IN,46202,5143,(317) 274-5555
2195,151652,EMPIRE BEAUTY SCHOOL-INDIANAPOLIS,3810 E SOUTHPORT RD.,INDIANAPOLIS,IN,46237,3249,(800) 920-4593
4455,150756,HANOVER COLLEGE,517 BALL DRIVE,HANOVER,IN,47243,NOT AVAILABLE,(812) 866-7000
5778,152600,VALPARAISO UNIVERSITY,US HIGHWAY 30 AND STURDY ROAD,VALPARAISO,IN,46383,NOT AVAILABLE,(219) 464-5000
5943,449597,IDEAL BEAUTY ACADEMY,1401 YOUNGSTOWN DR,JEFFERSONVILLE,IN,47130,NOT AVAILABLE,(812) 282-1371
260,489779,PURDUE UNIVERSITY GLOBAL,"2550 NORTHWESTERN AVENUE, SUITE 1100",WEST LAFAYETTE,IN,47906,NOT AVAILABLE,(866) 522-7747
701,151801,INDIANA WESLEYAN UNIVERSITY-MARION,4201 SOUTH WASHINGTON STREET,MARION,IN,46953,4974,(765) 674-6901
2026,414869,TRICOCI UNIVERSITY OF BEAUTY CULTURE-INDIANAPOLIS,9725 CROSSPOINT COMMONS,INDIANAPOLIS,IN,46256,NOT AVAILABLE,(630) 528-3330
2563,151263,UNIVERSITY OF INDIANAPOLIS,1400 E HANNA AVE,INDIANAPOLIS,IN,46227,3697,(317) 788-3368
4760,151342,INDIANA UNIVERSITY-SOUTH BEND,1700 MISHAWAKA AVE,SOUTH BEND,IN,46615,7111,(574) 520-4872
