OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
3918,476902,MITSU SATO HAIR ACADEMY,9062 METCALF AVENUE,OVERLAND PARK,KS,66212,1457,(913) 341-7286
6133,155627,OTTAWA UNIVERSITY-OTTAWA,1001 SOUTH CEDAR,OTTAWA,KS,66067,3399,(785) 242-5200
6365,493831,MIDWEST BARBER COLLEGE,901 SW. 37TH STREET,TOPEKA,KS,66611,2358,(785) 266-2500
658,155830,SALINA AREA TECHNICAL COLLEGE,2562 CENTENNIAL ROAD,SALINA,KS,67401,NOT AVAILABLE,(785) 309-3100
716,478953,BELLUS ACADEMY,1130 WESTLOOP PLACE,MANHATTAN,KS,66502,2838,(858) 748-1490
4242,454582,OTTAWA UNIVERSITY-ONLINE,1001 SOUTH CEDAR,OTTAWA,KS,66067,NOT AVAILABLE,(785) 242-5200
5330,154697,BARTON COUNTY COMMUNITY COLLEGE,245 NE 30TH ROAD,GREAT BEND,KS,67530,NOT AVAILABLE,(620) 792-2701
5793,155520,MIDAMERICA NAZARENE UNIVERSITY,2030 E COLLEGE WAY,OLATHE,KS,66062,1899,(913) 782-3750
2096,154642,ALLEN COUNTY COMMUNITY COLLEGE,1801 N COTTONWOOD,IOLA,KS,66749,NOT AVAILABLE,(620) 365-5116 EXT 100
3401,155812,UNIVERSITY OF SAINT MARY,4100 S 4TH ST,LEAVENWORTH,KS,66048,5082,(913) 682-5151
4847,155496,MANHATTAN CHRISTIAN COLLEGE,1415 ANDERSON AVE,MANHATTAN,KS,66502,4801,(785) 539-3571
2919,155636,OTTAWA UNIVERSITY-KANSAS CITY,4370 W. 109TH STREET SUITE 200,OVERLAND PARK,KS,66211,NOT AVAILABLE,(913) 451-1431
6556,494898,WELLSPRING SCHOOL OF ALLIED HEALTH-WICHITA,"650 N CARRIAGE PARKWAY, STE 55",WICHITA,KS,67208,4501,(913) 406-8072
2786,156134,WICHITA TECHNICAL INSTITUTE,2051 SOUTH MERIDIAN,WICHITA,KS,67213,1927,(316) 943-2241
6483,493831,MIDWEST BARBER COLLEGE,901 SW. 37TH STREET,TOPEKA,KS,66611,2358,(785) 266-2500
