OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
1923,159601,OPELOUSAS SCHOOL OF COSMETOLOGY,529 E VINE ST,OPELOUSAS,LA,70570,NOT AVAILABLE,(337) 942-6147
1924,160472,LASALLE TECH,300 HOWARD AVE,HOUMA,LA,70363,NOT AVAILABLE,(985) 873-8978 EXT 1457
2979,444662,MOORE CAREER COLLEGE,"14141 AIRLINE HIGHWAY, BUILDING 1, SUITE X",BATON ROUGE,LA,70817,NOT AVAILABLE,(225) 757-3770 EXT 73770
4971,439738,FORTIS COLLEGE-BATON ROUGE,"14111 AIRLINE HWY, SUITE 101",BATON ROUGE,LA,70817,NOT AVAILABLE,(225) 248-1015
5620,160612,SOUTHEASTERN LOUISIANA UNIVERSITY,548 NED MCGEHEE AVE.,HAMMOND,LA,70402,NOT AVAILABLE,(985) 549-2000
6026,373526,DIESEL DRIVING ACADEMY-BATON ROUGE,8067 AIRLINE HWY,BATON ROUGE,LA,70815,NOT AVAILABLE,(318) 636-6300
2714,451866,REMINGTON COLLEGE-SHREVEPORT CAMPUS,2106 BERT KOUNS INDUSTRIAL LOOP,SHREVEPORT,LA,71101,NOT AVAILABLE,(318) 671-4000
3074,491084,UNITECH TRAINING ACADEMY-BATON ROUGE,10551 COURSEY BLVD,BATON ROUGE,LA,70816,4040,(337) 988-4042
3319,469911,UNITECH TRAINING ACADEMY-ALEXANDRIA,2800 S. MACARTHUR DRIVE,ALEXANDRIA,LA,71301,NOT AVAILABLE,(337) 988-4042
3679,158431,BOSSIER PARISH COMMUNITY COLLEGE,6220 EAST TEXAS,BOSSIER CITY,LA,71111,6922,(318) 678-6000
5869,439491,BLUE CLIFF COLLEGE-LAFAYETTE,120 JAMES COMEAUX RD.,LAFAYETTE,LA,70508,NOT AVAILABLE,(337) 269-0620
457,160409,SAINT JOSEPH SEMINARY COLLEGE,75376 RIVER ROAD,ST. BENEDICT,LA,70457,NOT AVAILABLE,(985) 867-2232
5868,436650,MEDICAL TRAINING COLLEGE,10525 PLAZA AMERICANA DRIVE,BATON ROUGE,LA,70816,5820,(225) 926-5820
1551,434821,BLUE CLIFF COLLEGE-METAIRIE,3200 CLEARY AVE,METAIRIE,LA,70002,5714,(504) 456-3141 EXT 2225
2376,158246,AYERS CAREER COLLEGE,8820 JEWELLA AVE,SHREVEPORT,LA,71118,NOT AVAILABLE,(318) 868-3000
3515,457606,MY LE'S BEAUTY COLLEGE,601 TERRY PARKWAY STE. A,GRETNA,LA,70056,NOT AVAILABLE,(504) 362-3150
458,160524,REMINGTON COLLEGE-LAFAYETTE CAMPUS,303 RUE LOUIS XIV,LAFAYETTE,LA,70508,NOT AVAILABLE,(337) 981-4010
2700,449612,LOUISIANA CULINARY INSTITUTE,10550 AIRLINE HWY,BATON ROUGE,LA,70816,NOT AVAILABLE,(225) 769-8820
5002,437103,BATON ROUGE COMMUNITY COLLEGE,201 COMMUNITY COLLEGE DRIVE,BATON ROUGE,LA,70806,NOT AVAILABLE,(866) 217-9823
5166,160010,NORTHWEST LOUISIANA TECHNICAL COMMUNITY COLLEGE,9500 INDUSTRIAL DRIVE,MINDEN,LA,71055,0000,(318) 371-3035
5613,159647,LOUISIANA TECH UNIVERSITY,1310 WEST RAILROAD AVENUE,RUSTON,LA,71272,NOT AVAILABLE,(318) 257-2000
2989,159373,LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER-NEW ORLEANS,433 BOLIVAR ST,NEW ORLEANS,LA,70112,2223,(504) 568-4808
4676,447467,UNITECH TRAINING ACADEMY-WEST MONROE,"111 CROSLEY STREET, SUITE 4",WEST MONROE,LA,71291,NOT AVAILABLE,(337) 988-4042
5024,456825,VANGUARD COLLEGE OF COSMETOLOGY-BATON ROUGE,12158 COURSEY BLVD,BATON ROUGE,LA,70816,NOT AVAILABLE,(225) 769-5053
5879,448646,UNITECH TRAINING ACADEMY-HOUMA,6007 WEST PARK AVENUE,HOUMA,LA,70364,NOT AVAILABLE,(337) 988-4042
6022,160621,SOUTHERN UNIVERSITY AND A & M COLLEGE,"P.O. BOX 9374, HARDING BLVD",BATON ROUGE,LA,70813,NOT AVAILABLE,(225) 771-4500
144,364751,EASTERN COLLEGE OF HEALTH VOCATIONS-NEW ORLEANS,201 EVANS RD. BLDG 400,NEW ORLEANS,LA,70123,NOT AVAILABLE,(504) 736-0654
453,158538,CLOYD'S BEAUTY SCHOOL 1 INC,603 NATCHITOCHES ST,WEST MONROE,LA,71291,0603,(318) 376-9133
4707,247083,UNIVERSITY OF LOUISIANA-SYSTEM ADMINISTRATION,"CLAIBORNE BUILDING, 1201 N. 3RD ST., SUITE 7-300",BATON ROUGE,LA,70802,NOT AVAILABLE,(225) 342-6950
1222,160658,UNIVERSITY OF LOUISIANA AT LAFAYETTE,104 UNIVERSITY CIRCLE,LAFAYETTE,LA,70503,NOT AVAILABLE,(377) 482-1000
1734,158644,D'JAY'S INSTITUTE OF COSMETOLOGY AND ESTHIOLOGY,10120 RED OAKS DR.,BATON ROUGE,LA,70815,NOT AVAILABLE,(225) 272-6595
2703,450128,BLUE CLIFF COLLEGE-ALEXANDRIA,1505 METRO DR STE 1,ALEXANDRIA,LA,71301,NOT AVAILABLE,(318) 445-2778
4170,158662,DELGADO COMMUNITY COLLEGE,615 CITY PARK AVENUE,NEW ORLEANS,LA,70119,NOT AVAILABLE,(504) 671-5000
4850,160667,NORTHSHORE TECHNICAL COMMUNITY COLLEGE,65556 CENTERPOINT BLVD.,LACOMBE,LA,70445,NOT AVAILABLE,(985) 545-1500
1921,433536,HERZING UNIVERSITY-NEW ORLEANS,3900 N. CAUSEWAY BLVD.,METAIRIE,LA,70002,NOT AVAILABLE,(504) 733-0074
2792,158325,BATON ROUGE GENERAL MEDICAL CENTER SCHOOL OF NURSING & SCHOOL OF RADIOLOGIC TECHNOLOGY,3616 NORTH BLVD,BATON ROUGE,LA,70806,NOT AVAILABLE,(225) 387-7623
6020,158477,CENTENARY COLLEGE OF LOUISIANA,2911 CENTENARY BOULEVARD,SHREVEPORT,LA,71104,NOT AVAILABLE,(318) 869-5011
6021,159717,MCNEESE STATE UNIVERSITY,4205 RYAN ST,LAKE CHARLES,LA,70605,NOT AVAILABLE,(337) 475-5000
1922,407142,COSMETOLOGY TRAINING CENTER,"5520 JOHNSTON STREET, SUITE H2",LAFAYETTE,LA,70503,NOT AVAILABLE,(337) 237-6868
4650,444945,UNITECH TRAINING ACADEMY-LAFAYETTE,3253 AMBASSADOR CAFFERY,LAFAYETTE,LA,70506,NOT AVAILABLE,(337) 988-4042
4768,158802,DILLARD UNIVERSITY,2601 GENTILLY BLVD,NEW ORLEANS,LA,70122,NOT AVAILABLE,(504) 816-4768
6025,366270,DELTA COLLEGE OF ARTS & TECHNOLOGY,7380 EXCHANGE PLACE,BATON ROUGE,LA,70806,1529,(225) 928-7770
921,484190,PARK PLACE PREMIER BARBER SCHOOL,3024 GENTILLY BOULEVARD,NEW ORLEANS,LA,70122,3808,(504) 872-0686
1793,160904,XAVIER UNIVERSITY OF LOUISIANA,1 DREXEL DRIVE,NEW ORLEANS,LA,70125,1098,(504) 486-7411
2383,160038,NORTHWESTERN STATE UNIVERSITY OF LOUISIANA,175 SAM SIBLEY DRIVE,NATCHITOCHES,LA,71497,0002,(318) 357-6011
2791,407151,STAGE ONE-THE HAIR SCHOOL,209 W COLLEGE ST,LAKE CHARLES,LA,70605,NOT AVAILABLE,(337) 474-0533
3681,160320,AVEDA ARTS & SCIENCES INSTITUTE-COVINGTON,1355 POLDERS LANE,COVINGTON,LA,70433,NOT AVAILABLE,(985) 892-3826 EXT 1224
4062,373456,BLALOCK'S PROFESSIONAL BEAUTY COLLEGE,8101 KINGSTON RD STE 103,SHREVEPORT,LA,71108,5745,(318) 638-8662
4833,450021,BLUE CLIFF COLLEGE-HOUMA,803 BARROW ST,HOUMA,LA,70360,NOT AVAILABLE,(985) 601-4000
5616,159948,NEW ORLEANS BAPTIST THEOLOGICAL SEMINARY,3939 GENTILLY BLVD,NEW ORLEANS,LA,70126,NOT AVAILABLE,(504) 282-4455
456,158787,DENHAM SPRINGS BEAUTY SCHOOL,923 FLORIDA BLVD SE,DENHAM SPRINGS,LA,70726,NOT AVAILABLE,(225) 665-6188
1472,367112,PLATT COLLEGE-MCCANN-MONROE,2319 LOUISVILLE AVE,MONROE,LA,71201,NOT AVAILABLE,(318) 323-2889
3059,490416,J'S BARBER COLLEGE,1207 CENTER STREET,NEW IBERIA,LA,70560,6138,(337) 364-2552
3678,158088,CENTRAL LOUISIANA TECHNICAL COMMUNITY COLLEGE,516 MURRAY STREET,ALEXANDRIA,LA,71301,NOT AVAILABLE,(318) 487-5443
