OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
466,166498,LOWELL ACADEMY HAIRSTYLING INSTITUTE,136 CENTRAL ST,LOWELL,MA,1852,1909,(978) 453-3235
1927,165255,CATHERINE HINDS INSTITUTE OF ESTHETICS,300 WILDWOOD AVENUE,WOBURN,MA,1801,6819,(781) 935-3344 EXT 244
2685,443678,EMPIRE BEAUTY SCHOOL-FRAMINGHAM,624 WORCESTER RD,FRAMINGHAM,MA,1702,NOT AVAILABLE,(800) 920-4593
2862,168430,WORCESTER STATE UNIVERSITY,486 CHANDLER ST,WORCESTER,MA,1602,2597,(508) 929-8000
3000,165671,EMMANUEL COLLEGE,400 THE FENWAY,BOSTON,MA,2115,NOT AVAILABLE,(617) 735-9715
4472,164580,BABSON COLLEGE,231 FOREST STREET,WELLESLEY,MA,2457,0310,(781) 235-1200
996,165264,LABOURE COLLEGE,303 ADAMS STREET,MILTON,MA,2186,NOT AVAILABLE,(617) 296-8300
3688,165884,BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY,41 BERKELEY ST,BOSTON,MA,2116,NOT AVAILABLE,(617) 423-4630
4477,166656,MCPHS UNIVERSITY,179 LONGWOOD AVE,BOSTON,MA,2115,5896,(617) 732-2800
6028,166683,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,77 MASSACHUSETTS AVENUE,CAMBRIDGE,MA,2139,4307,(617) 253-1000
3686,165750,ROB ROY ACADEMY-FALL RIVER,260 S MAIN ST,FALL RIVER,MA,2720,3445,(508) 672-4751
4673,447403,UNIVERSAL TECHNICAL INSTITUTE OF MASSACHUSETTS INC,"ONE UPLAND ROAD, BUILDING 200",NORWOOD,MA,2062,NOT AVAILABLE,(781) 948-2000
5032,165060,SIGNATURE HEALTHCARE BROCKTON HOSPITAL SCHOOL OF NURSING,53 ADAMS STREET,BROCKTON,MA,2302,1905,(508) 941-7040
1250,164599,BANCROFT SCHOOL OF MASSAGE THERAPY,333 SHREWSBURY ST,WORCESTER,MA,1604,NOT AVAILABLE,(508) 757-7923
2388,165981,GREENFIELD COMMUNITY COLLEGE,ONE COLLEGE DR,GREENFIELD,MA,1301,9739,(413) 775-1000
3687,165802,FISHER COLLEGE,118 BEACON STREET,BOSTON,MA,2116,NOT AVAILABLE,(617) 236-8800
3708,166027,HARVARD UNIVERSITY,MASSACHUSETTS HALL,CAMBRIDGE,MA,2138,NOT AVAILABLE,(617) 495-1000
4601,382416,GREATER LOWELL TECHNICAL SCHOOL,250 PAWTUCKET BLVD,TYNGSBORO,MA,1879,NOT AVAILABLE,(978) 441-4870
5720,168421,WORCESTER POLYTECHNIC INSTITUTE,100 INSTITUTE ROAD,WORCESTER,MA,1609,2280,(508) 831-5000
6030,164748,BERKLEE COLLEGE OF MUSIC,1140 BOYLSTON ST,BOSTON,MA,2215,NOT AVAILABLE,(617) 747-2222
2501,168342,WILLIAMS COLLEGE,880 MAIN ST,WILLIAMSTOWN,MA,1267,NOT AVAILABLE,(413) 597-3131
2993,165936,GORDON COLLEGE,255 GRAPEVINE RD,WENHAM,MA,1984,NOT AVAILABLE,(978) 927-2300 EXT 978
