OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
272,457642,MARKETTI ACADEMY OF COSMETOLOGY,4390 DIXIE HWY,WATERFORD,MI,48329,NOT AVAILABLE,(248) 618-6394
1353,461944,PROTEGE ACADEMY,4960 NORTHWIND DR.,EAST LANSING,MI,48823,8660,(517) 324-3388
2594,261676,ROSS MEDICAL EDUCATION CENTER-BRIGHTON,8110 MURPHY DRIVE,BRIGHTON,MI,48116,NOT AVAILABLE,(810) 227-0160
4976,172705,WESTERN THEOLOGICAL SEMINARY,101 E 13TH ST,HOLLAND,MI,49423,3622,(616) 392-8555
6039,169983,KETTERING UNIVERSITY,1700 UNIVERSITY AVENUE,FLINT,MI,48504,6214,(800) 955-4464
468,171100,MICHIGAN STATE UNIVERSITY,NOT AVAILABLE,EAST LANSING,MI,48824,1046,(517) 355-1855
2816,169734,DORSEY SCHOOL OF BUSINESS-MADISON HEIGHTS,31739 JOHN R ROAD,MADISON HEIGHTS,MI,48071,NOT AVAILABLE,(248) 588-9660
4467,168591,ALMA COLLEGE,614 W SUPERIOR,ALMA,MI,48801,1599,(989) 463-7111
5722,172264,SIENA HEIGHTS UNIVERSITY,1247 E. SIENA HEIGHTS DR.,ADRIAN,MI,49221,NOT AVAILABLE,(517) 263-0731
6041,171456,NORTHERN MICHIGAN UNIVERSITY,1401 PRESQUE ISLE AVENUE,MARQUETTE,MI,49855,5301,(906) 227-2650
385,459417,COMPASS COLLEGE OF CINEMATIC ARTS,41 SHELDON BLVD SE,GRAND RAPIDS,MI,49503,NOT AVAILABLE,(616) 988-1000
3001,170657,LANSING COMMUNITY COLLEGE,610 N CAPITOL AVE,LANSING,MI,48933,NOT AVAILABLE,(517) 483-1957
3989,170082,GRAND VALLEY STATE UNIVERSITY,1 CAMPUS DR,ALLENDALE,MI,49401,9403,(616) 331-2020
968,170541,KALAMAZOO VALLEY COMMUNITY COLLEGE,6767 WEST O AVE,KALAMAZOO,MI,49003,4070,(269) 488-4100
1462,363013,ROSS MEDICAL EDUCATION CENTER-PORT HURON,"2887 KRAFFT ROAD, SUITE 700",PORT HURON,MI,48060,NOT AVAILABLE,(810) 982-0454
2099,170550,KELLOGG COMMUNITY COLLEGE,450 NORTH AVE,BATTLE CREEK,MI,49017,3397,(269) 965-3931
2808,172334,SPRING ARBOR UNIVERSITY,106 E. MAIN ST,SPRING ARBOR,MI,49283,9799,(517) 750-1200
3066,490568,CAREER QUEST LEARNING CENTER-MT. PLEASANT,2116 SOUTH MISSION STREET,MOUNT PLEASANT,MI,48858,4427,(989) 817-4431
6347,492096,D&S SCHOOL OF COSMETOLOGY,4180 ELIZABETH LAKE ROAD,WATERFORD,MI,48328,NOT AVAILABLE,(248) 738-3860
21,168740,ANDREWS UNIVERSITY,"4150 ADMINISTRATION DRIVE, ROOM 136",BERRIEN SPRINGS,MI,49104,NOT AVAILABLE,(800) 253-2874
219,169275,MOTT COMMUNITY COLLEGE,1401 E COURT ST,FLINT,MI,48503,2089,(810) 762-0200
1595,446136,CAREER QUEST LEARNING CENTERS-LANSING,3215 S. PENNSYLVANIA AVENUE,LANSING,MI,48910,NOT AVAILABLE,(517) 318-3330
2595,261685,ROSS MEDICAL EDUCATION CENTER-ANN ARBOR,4741 WASHTENAW AVE,ANN ARBOR,MI,48108,1411,(734) 434-7320
3002,170000,GRACE CHRISTIAN UNIVERSITY,1011 ALDON SW,WYOMING,MI,49509,NOT AVAILABLE,(616) 538-2330
3131,493424,CAREER QUEST LEARNING CENTER-BAY CITY BRANCH,3900 STATE STREET ROAD STE 200,BAY CITY,MI,48706,1234,(989) 322-3900
5037,172671,WEST SHORE COMMUNITY COLLEGE,3000 N STILES RD,SCOTTVILLE,MI,49454,0277,(231) 845-6211
500,460127,ROSS MEDICAL EDUCATION CENTER-CANTON,44958 FORD RD,CANTON,MI,48187,NOT AVAILABLE,(734) 459-1723
1258,169248,CENTRAL MICHIGAN UNIVERSITY,106 WARRINER HALL,MOUNT PLEASANT,MI,48859,NOT AVAILABLE,(989) 774-4000
2414,247773,YESHIVA GEDOLAH OF GREATER DETROIT,24600 GREENFIELD RD,OAK PARK,MI,48237,NOT AVAILABLE,(248) 968-3360
52,172422,MICHIGAN CAREER AND TECHNICAL INSTITUTE,11611 WEST PINE LAKE ROAD,PLAINWELL,MI,49080,9254,(269) 664-4461
339,172200,SCHOOLCRAFT COLLEGE,18600 HAGGERTY ROAD,LIVONIA,MI,48152,2696,(734) 462-4400
1002,169576,DETROIT BUSINESS INSTITUTE-DOWNRIVER,19100 FORT ST,RIVERVIEW,MI,48193,NOT AVAILABLE,(734) 479-0660
1267,171571,OAKLAND UNIVERSITY,2200 NORTH SQUIRREL ROAD,ROCHESTER HILLS,MI,48309,4401,(248) 370-2100
2806,168555,HILLSDALE BEAUTY COLLEGE,64 WALDRON ST,HILLSDALE,MI,49242,NOT AVAILABLE,(517) 437-4670
2809,169910,FERRIS STATE UNIVERSITY,1201 S STATE ST,BIG RAPIDS,MI,49307,2251,(231) 591-2000
3492,488970,ROSS MEDICAL EDUCATION CENTER-MIDLAND,2600 N. SAGINAW,MIDLAND,MI,48640,2690,(989) 633-3068
4103,483504,DORSEY SCHOOL OF BUSINESS-DEARBORN,18660 FORD RD,DETROIT,MI,48228,NOT AVAILABLE,(313) 982-3730
4214,169716,UNIVERSITY OF DETROIT MERCY,4001 W MCNICHOLS RD,DETROIT,MI,48221,3038,(313) 993-1000
6509,494302,HILLSDALE BEAUTY COLLEGE,440 MARSHALL STREET,COLDWATER,MI,49036,0000,NOT AVAILABLE
846,172680,PAUL MITCHELL THE SCHOOL-GRAND RAPIDS,2855 29TH STREET SE SUITE B,KENTWOOD,MI,49512,1781,(616) 975-7778
967,172307,SOUTHWESTERN MICHIGAN COLLEGE,58900 CHERRY GROVE RD,DOWAGIAC,MI,49047,9793,(269) 782-1000
1263,170587,KIRTLAND COMMUNITY COLLEGE,4800 W 4 MILE ROAD,GRAYLING,MI,49738,NOT AVAILABLE,(989) 275-5000
2811,171234,MONTCALM COMMUNITY COLLEGE,2800 COLLEGE DR.,SIDNEY,MI,48885,9723,(989) 328-2111
2815,169187,CARNEGIE INSTITUTE,550 STEPHENSON HWY SUITE 100,TROY,MI,48083,NOT AVAILABLE,(248) 589-1078
