OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
2826,174321,MODEL COLLEGE OF HAIR DESIGN,201 EIGHTH AVE S,SAINT CLOUD,MN,56301,4332,(320) 253-4222 EXT 101
6046,173124,BEMIDJI STATE UNIVERSITY,1500 BIRCHMONT DR,BEMIDJI,MN,56601,NOT AVAILABLE,(800) 475-2001
6212,174020,METROPOLITAN STATE UNIVERSITY,700 EAST SEVENTH STREET,SAINT PAUL,MN,55106,5000,(651) 793-1300
4492,173160,BETHEL UNIVERSITY,3900 BETHEL DR,SAINT PAUL,MN,55112,NOT AVAILABLE,(651) 638-6400
4828,125231,WALDEN UNIVERSITY,"100 WASHINGTON AVENUE SOUTH, SUITE 900",MINNEAPOLIS,MN,55401,NOT AVAILABLE,(866) 492-5336
6050,175078,SOUTHWEST MINNESOTA STATE UNIVERSITY,1501 STATE ST,MARSHALL,MN,56258,5468,(507) 537-7678
2823,173957,MAYO CLINIC COLLEGE OF MEDICINE AND SCIENCE,200 1ST ST SW,ROCHESTER,MN,55905,NOT AVAILABLE,(507) 284-3208
2824,175005,ST CATHERINE UNIVERSITY,2004 RANDOLPH AVE,SAINT PAUL,MN,55105,NOT AVAILABLE,(651) 690-6000
3990,173063,RIVERLAND COMMUNITY COLLEGE,1900 8TH AVE NW,AUSTIN,MN,55912,1473,(507) 433-0600
4217,175139,UNITED THEOLOGICAL SEMINARY OF THE TWIN CITIES,767 EUSTIS ST. SUITE 140,ST. PAUL,MN,55114,NOT AVAILABLE,(651) 633-4311
4491,172954,ANOKA TECHNICAL COLLEGE,1355 HIGHWAY 10 WEST,ANOKA,MN,55303,NOT AVAILABLE,(763) 433-1100
4510,173142,BETHANY LUTHERAN COLLEGE,700 LUTHER DR,MANKATO,MN,56001,NOT AVAILABLE,(507) 344-7000
6346,428453,MINNESOTA STATE COLLEGES AND UNIVERSITIES SYSTEM OFFICE,30 EAST 7TH ST,ST PAUL,MN,55101,NOT AVAILABLE,(800) 456-8519
224,173559,MINNESOTA STATE COMMUNITY AND TECHNICAL COLLEGE,1414 COLLEGE WAY,FERGUS FALLS,MN,56537,1000,(218) 736-1500
2819,380368,FOND DU LAC TRIBAL AND COMMUNITY COLLEGE,2101 14TH ST,CLOQUET,MN,55720,2342,(218) 879-0800
238,175263,MINNESOTA STATE COLLEGE SOUTHEAST,1250 HOMER RD,WINONA,MN,55987,NOT AVAILABLE,(507) 453-2700
4356,174251,UNIVERSITY OF MINNESOTA-MORRIS,309 BEHMLER HALL,MORRIS,MN,56267,NOT AVAILABLE,(320) 589-6035
1273,174862,CROWN COLLEGE,8700 COLLEGE VIEW DRIVE,SAINT BONIFACIUS,MN,55375,9001,(952) 446-4100
1515,413413,CAPELLA UNIVERSITY,"225 SOUTH 6TH STREET, 9TH FLOOR",MINNEAPOLIS,MN,55402,3389,(866) 808-4080
3005,173045,AUGSBURG UNIVERSITY,2211 RIVERSIDE AVE,MINNEAPOLIS,MN,55454,NOT AVAILABLE,(612) 330-1000
1272,174792,SAINT JOHNS UNIVERSITY,2850 ABBEY PLAZA,COLLEGEVILLE,MN,56321,NOT AVAILABLE,(320) 363-2011
3263,172866,ACADEMY COLLEGE,"1600 W. 82ND STREET, SUITE 100",BLOOMINGTON,MN,55431,1411,(952) 851-0066
6214,174844,ST OLAF COLLEGE,1520 ST OLAF AVE,NORTHFIELD,MN,55057,1098,(507) 786-2222
1282,174604,RAINY RIVER COMMUNITY COLLEGE,1501 HIGHWAY 71,INTERNATIONAL FALLS,MN,56649,2160,(218) 285-7722
1592,174747,COLLEGE OF SAINT BENEDICT,37 S. COLLEGE AVE.,SAINT JOSEPH,MN,56374,NOT AVAILABLE,(320) 363-5011
2818,173452,MARTIN LUTHER COLLEGE,1995 LUTHER CT,NEW ULM,MN,56073,3965,(507) 354-8221 EXT 211
5723,174075,UNIVERSITY OF MINNESOTA-CROOKSTON,2900 UNIVERSITY AVE,CROOKSTON,MN,56716,5001,(800) 862-6466
1807,175315,CENTURY COLLEGE,3300 CENTURY AVE N,WHITE BEAR LAKE,MN,55110,NOT AVAILABLE,(651) 770-3200
3004,175227,DUNWOODY COLLEGE OF TECHNOLOGY,818 DUNWOODY BLVD,MINNEAPOLIS,MN,55403,1192,(612) 374-5800
3464,173638,MINNESOTA WEST COMMUNITY AND TECHNICAL COLLEGE,1593 11TH AVE,GRANITE FALLS,MN,56241,NOT AVAILABLE,(800) 658-2330
3465,173708,HENNEPIN TECHNICAL COLLEGE,9000 BROOKLYN BLVD,BROOKLYN PARK,MN,55445,NOT AVAILABLE,(952) 995-1300
3519,457679,AVALON SCHOOL OF COSMETOLOGY,1428 N MCMILLAN ST,WORTHINGTON,MN,56187,NOT AVAILABLE,(507) 372-2344
1549,443979,PCI ACADEMY-PLYMOUTH,4315 PEONY LANE N,PLYMOUTH,MN,55446,NOT AVAILABLE,(763) 452-7681
4842,174491,UNIVERSITY OF NORTHWESTERN-ST PAUL,3003 SNELLING AVE N,SAINT PAUL,MN,55113,1598,(651) 631-5100
5023,456135,EMPIRE BEAUTY SCHOOL-SPRING LAKE PARK,8205 UNIVERSITY AVE,SPRING LAKE PARK,MN,55432,NOT AVAILABLE,(800) 920-4593
6049,173805,ITASCA COMMUNITY COLLEGE,1851 EAST HIGHWAY 169,GRAND RAPIDS,MN,55744,3397,(218) 322-2300
741,173203,CENTRAL LAKES COLLEGE-BRAINERD,501 WEST COLLEGE DRIVE,BRAINERD,MN,56401,3900,(218) 855-8000
1269,173258,CARLETON COLLEGE,ONE NORTH COLLEGE STREET,NORTHFIELD,MN,55057,NOT AVAILABLE,(507) 222-4000
