OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
19,177418,FONTBONNE UNIVERSITY,6800 WYDOWN BLVD,SAINT LOUIS,MO,63105,3098,(314) 862-3456
1943,178518,NAZARENE THEOLOGICAL SEMINARY,1700 E MEYER BLVD,KANSAS CITY,MO,64131,1246,(816) 268-5400
2399,178208,MIDWESTERN BAPTIST THEOLOGICAL SEMINARY,5001 N. OAK TRAFFICWAY,KANSAS CITY,MO,64118,4697,(816) 414-3700
2593,260336,CLINTON TECHNICAL SCHOOL,602 S. FIFTH ST.,CLINTON,MO,64735,NOT AVAILABLE,(660) 885-6101
4586,445267,CENTRAL METHODIST UNIVERSITY-COLLEGE OF GRADUATE AND EXTENDED STUDIES,411 CENTRAL METHODIST SQUARE,FAYETTE,MO,65248,1198,(660) 248-3391
4855,455099,URSHAN GRADUATE SCHOOL OF THEOLOGY,1151 CENTURY TEL DRIVE,WENTZVILLE,MO,63385,NOT AVAILABLE,(314) 838-8858
6497,494153,COLUMBIA COLLEGE - WAYNESVILLE,"TOWNFIELD PLAZA CENTER 320 ICHORD AVENUE, SUITE A",WAYNESVILLE,MO,65583,3449,NOT AVAILABLE
2832,178989,RESEARCH COLLEGE OF NURSING,2525 E. MEYER BOULEVARD,KANSAS CITY,MO,64132,1199,(816) 995-2800
3186,496210,COLUMBIA COLLEGE - SPRINGFIELD TMOBILE,2645 N. AIRPORT PLAZA AVE,SPRINGFIELD,MO,65803,6404,NOT AVAILABLE
4507,177685,PAUL MITCHELL THE SCHOOL-MISSOURI COLUMBIA,1101 HUTCHENS DRIVE,COLUMBIA,MO,65203,NOT AVAILABLE,(573) 449-7527
5051,179265,UNIVERSITY OF HEALTH SCIENCES AND PHARMACY IN ST. LOUIS,1 PHARMACY PLACE,SAINT LOUIS,MO,63110,1088,(800) 278-5267
6215,177214,DRURY UNIVERSITY,900 N. BENTON AVE,SPRINGFIELD,MO,65802,3791,(417) 873-7879
6263,490203,BOLIVAR TECHNICAL COLLEGE,1135 NORTH OAKLAND AVENUE,BOLIVAR,MO,65613,8095,(417) 777-5062
