OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
1290,180328,LITTLE BIG HORN COLLEGE,8645 SOUTH WEAVER DRIVE,CROW AGENCY,MT,59022,NOT AVAILABLE,(406) 638-3104
6075,180151,DAWSON COMMUNITY COLLEGE,300 COLLEGE DR,GLENDIVE,MT,59330,NOT AVAILABLE,(406) 377-3396
1285,180054,BLACKFEET COMMUNITY COLLEGE,504 S.E. EAST BOUNDARY,BROWNING,MT,59417,0819,(406) 338-5441 EXT 2201
2843,180373,MILES COMMUNITY COLLEGE,2715 DICKINSON STREET,MILES CITY,MT,59301,4774,(800) 541-9281
6385,180717,YELLOWSTONE CHRISTIAN COLLEGE,1515 S. SHILOH ROAD,BILLINGS,MT,59106,3303,(406) 656-9950
2844,180416,MONTANA TECHNOLOGICAL UNIVERSITY,1300 W PARK ST,BUTTE,MT,59701,8997,(406) 496-4256
1288,180212,FORT PECK COMMUNITY COLLEGE,605 INDIAN STREET,POPLAR,MT,59255,0398,(406) 768-6300
2842,180249,GREAT FALLS COLLEGE MONTANA STATE UNIVERSITY,2100 16TH AVE S,GREAT FALLS,MT,59405,NOT AVAILABLE,(406) 268-3700
3264,179991,ACADEMY OF COSMETOLOGY INC,133 W MENDENHALL,BOZEMAN,MT,59715,3544,(406) 587-1264
4220,262165,MONTANA BIBLE COLLEGE,20 CORNERSTONE WAY,BOZEMAN,MT,59718,NOT AVAILABLE,(406) 586-3585
1287,180179,MONTANA STATE UNIVERSITY BILLINGS,1500 UNIVERSITY DRIVE,BILLINGS,MT,59101,0298,(406) 657-2011
2686,444316,BOLD BEAUTY ACADEMY,"928 BROADWATER AVE, SUITE C",BILLINGS,MT,59101,NOT AVAILABLE,(406) 252-3232 EXT 216
2841,180692,THE UNIVERSITY OF MONTANA-WESTERN,710 S ATLANTIC,DILLON,MT,59725,3598,(406) 683-7011
1289,180276,HELENA COLLEGE UNIVERSITY OF MONTANA,1115 N ROBERTS STREET,HELENA,MT,59601,NOT AVAILABLE,(406) 447-6900
3525,180197,FLATHEAD VALLEY COMMUNITY COLLEGE,777 GRANDVIEW DR,KALISPELL,MT,59901,NOT AVAILABLE,(406) 756-3822
6559,494922,UNIVERSITY OF MONTANA (THE) - BITTERROOT COLLEGE UNIVERSITY OF MONTANA,103 SOUTH 9TH STREET,HAMILTON,MT,59840,3213,NOT AVAILABLE
4516,180647,SALISH KOOTENAI COLLEGE,58138 US HIGHWAY 93,PABLO,MT,59855,NOT AVAILABLE,(406) 275-4931
1286,180160,CHIEF DULL KNIFE COLLEGE,1 COLLEGE DRIVE,LAME DEER,MT,59043,NOT AVAILABLE,(406) 477-6215 EXT 100
1466,366340,STONE CHILD COLLEGE,8294 UPPER BOX ELDER ROAD,BOX ELDER,MT,59521,9796,(406) 395-4875 EXT 3264
1774,180090,CREVIER'S ACADEMY OF COSMETOLOGY ARTS,240 WEST IDAHO,KALISPELL,MT,59901,NOT AVAILABLE,(406) 257-2525
6077,180081,HIGHLANDS COLLEGE OF MONTANA TECH,25 BASIN CREEK RD,BUTTE,MT,59701,NOT AVAILABLE,(406) 496-3711
5052,180461,MONTANA STATE UNIVERSITY,MONTANA STATE UNIVERSITY,BOZEMAN,MT,59717,NOT AVAILABLE,(406) 994-0211
4625,180522,MONTANA STATE UNIVERSITY-NORTHERN,300 W 11TH ST,HAVRE,MT,59501,NOT AVAILABLE,(406) 265-3700
6076,180063,BUTTE ACADEMY OF BEAUTY CULTURE,303 W PARK ST,BUTTE,MT,59701,NOT AVAILABLE,(406) 782-6297
3008,180595,ROCKY MOUNTAIN COLLEGE,1511 POLY DRIVE,BILLINGS,MT,59102,1796,(406) 657-1000
4922,457749,MONTANA ACADEMY OF SALONS,501 2ND ST S,GREAT FALLS,MT,59405,NOT AVAILABLE,(406) 771-8772 EXT 4
3258,180203,AANIIIH NAKODA COLLEGE,269 BLACKFEET AVENUE AGENCY,HARLEM,MT,59526,NOT AVAILABLE,(406) 353-2607 EXT 3901
261,489812,PIMA MEDICAL INSTITUTE-DILLON,434 E. POINDEXTER STREET,DILLON,MT,59725,NOT AVAILABLE,(406) 988-0888
4227,180489,THE UNIVERSITY OF MONTANA,"MISSOULA, MONTANA",MISSOULA,MT,59812,NOT AVAILABLE,(406) 243-0211
4624,180258,UNIVERSITY OF PROVIDENCE,1301 20TH ST S,GREAT FALLS,MT,59405,4996,(406) 761-8210
4626,180106,CARROLL COLLEGE,1601 N BENTON AVE,HELENA,MT,59625,0002,(406) 447-4300
301,457721,BITTERROOT SCHOOL OF COSMETOLOGY,2079 N FIRST ST STE B,HAMILTON,MT,59840,NOT AVAILABLE,(406) 363-3355
