OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
26,199148,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,1400 SPRING GARDEN ST,GREENSBORO,NC,27402,6170,(336) 334-5000
332,199731,SOUTHWESTERN COMMUNITY COLLEGE,447 COLLEGE DRIVE,SYLVA,NC,28779,NOT AVAILABLE,(828) 339-4000
971,198622,GUILFORD TECHNICAL COMMUNITY COLLEGE,601 E. MAIN STREET,JAMESTOWN,NC,27282,NOT AVAILABLE,(336) 334-4822
1159,198871,LOUISBURG COLLEGE,501 N. MAIN ST.,LOUISBURG,NC,27549,2399,(919) 496-2521
1402,199953,WILSON COMMUNITY COLLEGE,902 HERRING AVE,WILSON,NC,27893,3310,(252) 291-1195
2711,451352,SOUTHEASTERN COLLEGE-CHARLOTTE,207 REGENCY EXECUTIVE PARK DRIVE,CHARLOTTE,NC,28217,NOT AVAILABLE,(704) 527-4979
3010,199962,WINGATE UNIVERSITY,301 E. WILSON STREET,WINGATE,NC,28174,0159,(704) 233-8000
3175,494764,AVIATION INSTITUTE OF MAINTENANCE-CHARLOTTE,7421 E. INDEPENDENCE BOULEVARD,CHARLOTTE,NC,28227,9403,(980) 785-0700
4011,481720,SOUTH UNIVERSITY-HIGH POINT,3975 PREMIER DRIVE,HIGH POINT,NC,27265,8320,(336) 812-7200
4254,199281,UNIVERSITY OF NORTH CAROLINA AT PEMBROKE,ONE UNIVERSITY DRIVE,PEMBROKE,NC,28372,1510,(910) 521-6000
4549,199412,QUEENS UNIVERSITY OF CHARLOTTE,1900 SELWYN AVE,CHARLOTTE,NC,28274,0001,(704) 337-2200
6087,199263,PAMLICO COMMUNITY COLLEGE,5049 HWY 306 SOUTH,GRANTSBORO,NC,28529,NOT AVAILABLE,(252) 249-1851 EXT 3084
735,199759,SOUTHEASTERN BAPTIST THEOLOGICAL SEMINARY,120 S. WINGATE STREET,WAKE FOREST,NC,27587,1889,(919) 761-2100
1327,198677,HERITAGE BIBLE COLLEGE,494 ANTIOCH CHURCH ROAD,DUNN,NC,28334,NOT AVAILABLE,(910) 892-3178
1336,199689,PAUL MITCHELL THE SCHOOL-FAYETTEVILLE,505A CROSS CREEK MALL,FAYETTEVILLE,NC,28303,5364,(910) 485-6310
1788,455910,CENTER FOR MASSAGE,"16 EAGLE STREET, SUITE 100",ASHEVILLE,NC,28801,NOT AVAILABLE,(828) 658-0814
3430,489937,CAROLINA UNIVERSITY,420 S. BROAD ST.,WINSTON-SALEM,NC,27101,NOT AVAILABLE,(336) 725-8344
3574,199795,TRI-COUNTY COMMUNITY COLLEGE,21 CAMPUS CIRCLE,MURPHY,NC,28906,NOT AVAILABLE,(828) 837-6810
3575,199908,WESTERN PIEDMONT COMMUNITY COLLEGE,1001 BURKEMONT AVE,MORGANTON,NC,28655,4511,(828) 448-3500
4636,199139,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,9201 UNIVERSITY CITY BLVD,CHARLOTTE,NC,28223,0001,(704) 687-2000
6221,198756,JOHNSON C SMITH UNIVERSITY,100 BEATTIES FORD ROAD,CHARLOTTE,NC,28216,5398,(704) 378-1000
326,198817,LENOIR COMMUNITY COLLEGE,231 HIGHWAY 58 SOUTH,KINSTON,NC,28502,0188,(252) 527-6223
1060,199883,WATTS SCHOOL OF NURSING,2828 CROADSAILE DRIVE SUITE 200,DURHAM,NC,27705,2505,(919) 470-7348
2849,199087,NASH COMMUNITY COLLEGE,522 N. OLD CARRIAGE ROAD,ROCKY MOUNT,NC,27804,NOT AVAILABLE,(252) 443-4011
2850,199476,ROBESON COMMUNITY COLLEGE,5160 FAYETTEVILLE ROAD,LUMBERTON,NC,28360,NOT AVAILABLE,(910) 272-3700
4552,199607,SALEM COLLEGE,601 S CHURCH ST,WINSTON-SALEM,NC,27101,NOT AVAILABLE,(336) 721-2600
4553,199847,WAKE FOREST UNIVERSITY,1834 WAKE FOREST ROAD,WINSTON-SALEM,NC,27106,NOT AVAILABLE,(336) 758-5000
4999,198950,MEREDITH COLLEGE,3800 HILLSBOROUGH ST,RALEIGH,NC,27607,5298,(919) 760-8600
6078,199111,UNIVERSITY OF NORTH CAROLINA AT ASHEVILLE,ONE UNIVERSITY HEIGHTS,ASHEVILLE,NC,28804,8510,(828) 251-6600
6086,198330,COASTAL CAROLINA COMMUNITY COLLEGE,444 WESTERN BLVD,JACKSONVILLE,NC,28546,6816,(910) 455-1221
6217,198321,CLEVELAND COMMUNITY COLLEGE,137 S POST RD,SHELBY,NC,28152,6224,(704) 669-4081
327,198987,MITCHELL COMMUNITY COLLEGE,500 W BROAD STREET,STATESVILLE,NC,28677,5293,(704) 878-3200
1564,443076,HOOD THEOLOGICAL SEMINARY,1810 LUTHERAN SYNOD DRIVE,SALISBURY,NC,28144,NOT AVAILABLE,(704) 636-7611
3296,459046,EMPIRE BEAUTY SCHOOL-WINSTON-SALEM,7740 N POINT BLVD,WINSTON-SALEM,NC,27106,NOT AVAILABLE,(800) 920-4593
4637,199120,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,103 SOUTH BLDG CB 9100,CHAPEL HILL,NC,27599,NOT AVAILABLE,(919) 962-2211
5093,199458,MID-ATLANTIC CHRISTIAN UNIVERSITY,715 N POINDEXTER ST,ELIZABETH CITY,NC,27909,4054,(252) 334-2000
5805,198464,EAST CAROLINA UNIVERSITY,EAST 5TH STREET,GREENVILLE,NC,27858,4353,(252) 328-6131
5902,475556,PAUL MITCHELL THE SCHOOL-RALEIGH,"8551 GLENWOOD AVENUE, SUITE 100",RALEIGH,NC,27612,7358,(919) 789-4500
6089,199582,SAINT AUGUSTINE'S UNIVERSITY,1315 OAKWOOD AVENUE,RALEIGH,NC,27610,2298,(919) 516-4000
345,198233,CATAWBA VALLEY COMMUNITY COLLEGE,2550 HWY 70 SE,HICKORY,NC,28602,0699,(828) 327-7000
828,482565,DEVRY UNIVERSITY-NORTH CAROLINA,"2015 AYRSLEY TOWN BLVD., STE. 109",CHARLOTTE,NC,28273,NOT AVAILABLE,(704) 697-1020
1846,198640,HALIFAX COMMUNITY COLLEGE,100 COLLEGE DRIVE,WELDON,NC,27890,NOT AVAILABLE,(252) 536-2551
1847,198969,METHODIST UNIVERSITY,5400 RAMSEY ST,FAYETTEVILLE,NC,28311,1420,(910) 630-7000
5026,456968,HEALTH AND STYLE INSTITUTE,500 FOUR SEASONS TOWN CENTRE,GREENSBORO,NC,27407,NOT AVAILABLE,(336) 885-3452
5867,436632,GWINNETT COLLEGE,"3200 SPRING FOREST ROAD, SUITE 214",RALEIGH,NC,27616,NOT AVAILABLE,(919) 872-6386
6220,197984,BELMONT ABBEY COLLEGE,100 BELMONT-MT HOLLY ROAD,BELMONT,NC,28012,1802,(704) 461-6700
1742,198215,CATAWBA COLLEGE,2300 W INNES ST,SALISBURY,NC,28144,NOT AVAILABLE,(800) 228-2922
6085,198978,PLATT COLLEGE-MILLER-MOTTE-WILMINGTON,5000 MARKET STREET,WILMINGTON,NC,28405,NOT AVAILABLE,(910) 392-4660
6199,199272,WILLIAM PEACE UNIVERSITY,15 E PEACE ST,RALEIGH,NC,27604,1194,(919) 508-2000
6330,492421,NO GREASE BARBER SCHOOL,3120 WILKINSON BLVD,CHARLOTTE,NC,28208,NOT AVAILABLE,(980) 819-9481
314,198367,CRAVEN COMMUNITY COLLEGE,800 COLLEGE CT,NEW BERN,NC,28562,4900,(252) 638-7200
1335,199634,SANDHILLS COMMUNITY COLLEGE,3395 AIRPORT RD,PINEHURST,NC,28374,NOT AVAILABLE,(910) 692-6185
1502,408163,PINNACLE INSTITUTE OF COSMETOLOGY,461-C EAST PLAZA DRIVE,MOORESVILLE,NC,28115,NOT AVAILABLE,(704) 235-0185
4551,199485,ROCKINGHAM COMMUNITY COLLEGE,215 WRENN MEMORIAL ROAD,WENTWORTH,NC,27375,NOT AVAILABLE,(336) 342-4261
6081,198835,LENOIR-RHYNE UNIVERSITY,625 7TH AVENUE NE,HICKORY,NC,28601,NOT AVAILABLE,(828) 328-1741
1401,199892,WAYNE COMMUNITY COLLEGE,3000 WAYNE MEMORIAL DR,GOLDSBORO,NC,27534,8002,(919) 735-5151
1849,199078,COLLEGE OF WILMINGTON,3500 OLEANDER DRIVE SUITE 1111,WILMINGTON,NC,28403,NOT AVAILABLE,(910) 763-4418
1995,461528,GRACE COLLEGE OF DIVINITY,5117 CLIFFDALE ROAD,FAYETTEVILLE,NC,28314,2343,(910) 221-2224
2101,198118,CALDWELL COMMUNITY COLLEGE AND TECHNICAL INSTITUTE,2855 HICKORY BOULEVARD,HUDSON,NC,28638,NOT AVAILABLE,(828) 726-2200
2102,199926,WILKES COMMUNITY COLLEGE,1328 SOUTH COLLEGIATE DR,WILKESBORO,NC,28697,NOT AVAILABLE,(336) 838-6100
3569,198914,MAYLAND COMMUNITY COLLEGE,200 MAYLAND DRIVE,SPRUCE PINE,NC,28777,NOT AVAILABLE,(828) 765-7351
5803,198136,CAMPBELL UNIVERSITY,143 MAIN STREET,BUIES CREEK,NC,27506,NOT AVAILABLE,(800) 334-4111
3731,460817,PLATT COLLEGE-MILLER-MOTTE-JACKSONVILLE,105 NEW FRONTIER WAY,JACKSONVILLE,NC,28546,NOT AVAILABLE,(910) 478-4300
3742,461485,SHEPHERDS THEOLOGICAL SEMINARY,6051 TRYON ROAD,CARY,NC,27518,9316,(919) 573-5350
4643,444486,PAUL MITCHELL THE SCHOOL-GASTONIA,284 E GARRISON BLVD,GASTONIA,NC,28054,NOT AVAILABLE,(704) 864-8723
1331,199449,RICHMOND COMMUNITY COLLEGE,1042 W HAMLET AVE,HAMLET,NC,28345,1189,(910) 410-1700
2853,413972,MITCHELLS ACADEMY,1301 BUCK JONES RD,RALEIGH,NC,27606,NOT AVAILABLE,(919) 469-5807
3558,198455,DURHAM TECHNICAL COMMUNITY COLLEGE,1637 LAWSON STREET,DURHAM,NC,27703,5023,(919) 536-7200
4001,199324,PIEDMONT COMMUNITY COLLEGE,1715 COLLEGE DR,ROXBORO,NC,27573,NOT AVAILABLE,(336) 599-1181
1623,421832,LIVING ARTS COLLEGE,3000 WAKEFIELD CROSSING DRIVE,RALEIGH,NC,27614,7076,(919) 488-8500
5801,197993,BENNETT COLLEGE,900 E WASHINGTON ST,GREENSBORO,NC,27401,3239,(336) 517-2100
5807,198543,FAYETTEVILLE STATE UNIVERSITY,1200 MURCHISON RD,FAYETTEVILLE,NC,28301,4298,(910) 672-1111
184,434292,ANSON COLLEGE OF COSMETOLOGY,1217 EAST CASWELL STREET,WADESBORO,NC,28170,2147,(704) 694-6677
316,198552,FORSYTH TECHNICAL COMMUNITY COLLEGE,2100 SILAS CREEK PKY,WINSTON-SALEM,NC,27103,5197,(336) 723-0371
1769,198862,LIVINGSTONE COLLEGE,701 W MONROE ST,SALISBURY,NC,28144,NOT AVAILABLE,(704) 216-6000
2100,197887,ASHEVILLE-BUNCOMBE TECHNICAL COMMUNITY COLLEGE,340 VICTORIA RD,ASHEVILLE,NC,28801,4897,(828) 254-1921
3267,199980,WINSTON SALEM BARBER SCHOOL,1531 SILAS CREEK PKY,WINSTON-SALEM,NC,27127,NOT AVAILABLE,(336) 763-4740
3560,198710,ISOTHERMAL COMMUNITY COLLEGE,286 ICC LOOP ROAD,SPINDALE,NC,28160,0804,(828) 286-3636
4000,197814,COLLEGE OF THE ALBEMARLE,1208 N ROAD ST,ELIZABETH CITY,NC,27906,2327,(252) 335-0821 EXT 0
5091,198598,GREENSBORO COLLEGE,815 W MARKET ST,GREENSBORO,NC,27401,1875,(336) 272-7102
