OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
1812,181464,UNIVERSITY OF NEBRASKA-LINCOLN,1400 R STREET,LINCOLN,NE,68588,0419,(402) 472-7211
4677,181783,WAYNE STATE COLLEGE,1111 MAIN ST,WAYNE,NE,68787,NOT AVAILABLE,(402) 375-7000
4861,180957,COLLEGE OF HAIR DESIGN-DOWNTOWN,304 S ELEVENTH ST,LINCOLN,NE,68508,2199,(402) 474-4244
4862,181491,NORTHEAST COMMUNITY COLLEGE,801 E BENJAMIN,NORFOLK,NE,68702,0469,(402) 371-2020
1148,181738,UNION COLLEGE,3800 S 48TH STREET,LINCOLN,NE,68506,NOT AVAILABLE,(402) 486-2600
1173,446598,UNIVERSAL COLLEGE OF HEALING ARTS,8702 NORTH 30TH STREET,OMAHA,NE,68112,1810,(402) 556-4456
1946,181446,NEBRASKA WESLEYAN UNIVERSITY,5000 ST PAUL AVE,LINCOLN,NE,68504,2794,(402) 466-2371
2868,181394,UNIVERSITY OF NEBRASKA AT OMAHA,6001 DODGE ST,OMAHA,NE,68182,0225,(402) 554-2800
1546,434432,MYOTHERAPY INSTITUTE,4001 PIONEER WOODS DRIVE,LINCOLN,NE,68506,NOT AVAILABLE,(402) 421-7410
3526,180902,CENTRAL COMMUNITY COLLEGE,3134 WEST HWY 34,GRAND ISLAND,NE,68802,4903,(308) 398-4222
4774,434016,LITTLE PRIEST TRIBAL COLLEGE,601 E. COLLEGE DRIVE,WINNEBAGO,NE,68071,0270,(402) 878-2380 EXT 155
1294,181419,NEBRASKA INDIAN COMMUNITY COLLEGE,1111 HWY 75,MACY,NE,68039,0428,(402) 494-2311
2854,181145,CHI HEALTH SCHOOL OF RADIOLOGIC TECHNOLOGY,6901 NORTH 72ND ST,OMAHA,NE,68122,NOT AVAILABLE,(402) 572-3654
3527,181312,MID-PLAINS COMMUNITY COLLEGE,1101 HALLIGAN DRIVE,NORTH PLATTE,NE,69101,NOT AVAILABLE,(800) 658-4308
5333,181303,METROPOLITAN COMMUNITY COLLEGE AREA,30 & FORT STREET,OMAHA,NE,68111,1610,(531) 622-2400
5053,181428,UNIVERSITY OF NEBRASKA MEDICAL CENTER,42ND & DEWEY AVE,OMAHA,NE,68198,7815,(402) 559-4000
119,486859,DAVINES PROFESSIONAL ACADEMY OF BEAUTY AND BUSINESS,5601 SOUTH 59TH STREET SUITE D,LINCOLN,NE,68516,2306,(402) 261-5322
4674,181215,UNIVERSITY OF NEBRASKA AT KEARNEY,2504 9TH AVENUE,KEARNEY,NE,68849,1212,(308) 865-8441
4860,180948,CHADRON STATE COLLEGE,1000 MAIN ST,CHADRON,NE,69337,2690,(308) 432-6000
1625,181330,MIDLAND UNIVERSITY,900 N. CLARKSON ST.,FREMONT,NE,68025,NOT AVAILABLE,(800) 642-8382
3711,181640,SOUTHEAST COMMUNITY COLLEGE AREA,301 SOUTH 68TH STREET PLACE,LINCOLN,NE,68510,2449,(402) 471-3333
5186,181002,CREIGHTON UNIVERSITY,2500 CALIFORNIA PLAZA,OMAHA,NE,68178,NOT AVAILABLE,(402) 280-2700
5187,181604,COLLEGE OF SAINT MARY,7000 MERCY RD.,OMAHA,NE,68106,NOT AVAILABLE,(402) 399-2400
769,181817,WESTERN NEBRASKA COMMUNITY COLLEGE,1601 EAST 27TH STREET,SCOTTSBLUFF,NE,69361,1899,(308) 635-3606
5226,477996,NATIONAL AMERICAN UNIVERSITY-BELLEVUE,3604 SUMMIT PLAZA DRIVE,BELLEVUE,NE,68123,1065,(402) 972-4250
4517,180878,BRYAN COLLEGE OF HEALTH SCIENCES,1535 S 52ND ST,LINCOLN,NE,68506,NOT AVAILABLE,(402) 481-3801
1626,430485,THE CREATIVE CENTER,10850 EMMET STREET,OMAHA,NE,68164,NOT AVAILABLE,(402) 898-1000
1292,181297,NEBRASKA METHODIST COLLEGE OF NURSING & ALLIED HEALTH,720 NORTH 87TH STREET,OMAHA,NE,68114,2852,(402) 354-7000
1293,181376,NEBRASKA CHRISTIAN COLLEGE OF HOPE INTERNATIONAL UNIVERSITY,12550 S. 114TH ST.,PAPILLION,NE,68046,NOT AVAILABLE,(402) 935-9400
1630,181190,JOSEPH'S COLLEGE COSMETOLOGY,6810 P STREET #200,LINCOLN,NE,68505,NOT AVAILABLE,(402) 475-5385 EXT 104
1633,180814,BELLEVUE UNIVERSITY,1000 GALVIN RD S,BELLEVUE,NE,68005,3098,(402) 291-8100
3034,456287,COLLEGE OF HAIR DESIGN-EAST CAMPUS,9000 ANDERMATT DR,LINCOLN,NE,68526,NOT AVAILABLE,(402) 488-7007
4518,181543,SUMMIT CHRISTIAN COLLEGE,2025 21ST STREET,GERING,NE,69341,NOT AVAILABLE,(308) 632-6933
1629,181765,NEBRASKA COLLEGE OF TECHNICAL AGRICULTURE,404 EAST 7TH,CURTIS,NE,69025,9552,(308) 367-5259
1624,181127,HASTINGS COLLEGE,710 N TURNER AVE,HASTINGS,NE,68901,NOT AVAILABLE,(402) 463-2402 EXT 7405
1628,407355,XENON INTERNATIONAL ACADEMY-OMAHA,8516 PARK DRIVE,OMAHA,NE,68127,3622,(402) 697-2398
1631,181534,PERU STATE COLLEGE,600 HOYT STREET,PERU,NE,68421,0010,(402) 872-3815
1632,181020,DOANE UNIVERSITY,1014 BOSWELL AVENUE,CRETE,NE,68333,NOT AVAILABLE,(402) 826-2161
2597,365693,CAPITOL SCHOOL OF HAIRSTYLING AND ESTHETICS,10803 JOHN GALT BLVD.,OMAHA,NE,68137,2325,(402) 333-3329
3699,181747,UNIVERSITY OF NEBRASKA-CENTRAL ADMINISTRATION SYSTEM OFFICE,3835 HOLDREGE ST,LINCOLN,NE,68583,0743,(402) 472-5242
1291,180984,CONCORDIA UNIVERSITY-NEBRASKA,800 N COLUMBIA AVE,SEWARD,NE,68434,1556,(800) 535-5494
4863,181853,YORK COLLEGE,1125 E 8TH ST,YORK,NE,68467,2699,(402) 363-5600
