OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
288,183257,GRANITE STATE COLLEGE,25 HALL STREET,CONCORD,NH,3301,3471,(603) 228-3000
1635,183248,ST JOSEPH SCHOOL OF NURSING,5 WOODWARD AVE,NASHUA,NH,3060,NOT AVAILABLE,(603) 884-4643
4866,183211,RIVIER UNIVERSITY,420 SOUTH MAIN ST,NASHUA,NH,3060,NOT AVAILABLE,(603) 888-1311
1639,182917,MAGDALEN COLLEGE,511 KEARSARGE MOUNTAIN ROAD,WARNER,NH,3278,4012,(603) 456-2656
4865,183080,PLYMOUTH STATE UNIVERSITY,17 HIGH STREET,PLYMOUTH,NH,3264,1595,(603) 535-5000
5054,182652,CONTINENTAL ACADEMIE OF HAIR DESIGN-HUDSON,102 DERRY ST,HUDSON,NH,3051,NOT AVAILABLE,(603) 889-1614
2704,450641,EMPIRE BEAUTY SCHOOL-HOOKSETT,1328 HOOKSETT RD,HOOKSETT,NH,3106,NOT AVAILABLE,(603) 792-1400
6135,182892,KEENE BEAUTY ACADEMY,800 PARK AVE,KEENE,NH,3431,NOT AVAILABLE,(603) 357-3736
3057,490382,HARMONY HEALTH CARE INSTITUTE,"10 AL PAUL LANE, SUITE 204",MERRIMACK,NH,3054,0000,(603) 886-0822
4522,183123,LAKES REGION COMMUNITY COLLEGE,379 BELMONT ROAD,LACONIA,NH,3246,NOT AVAILABLE,(603) 524-3207
5631,183132,MANCHESTER COMMUNITY COLLEGE,1066 FRONT ST,MANCHESTER,NH,3102,8518,(603) 206-8000
1634,182795,FRANKLIN PIERCE UNIVERSITY,40 UNIVERSITY DRIVE,RINDGE,NH,3461,0060,(603) 899-4000
4232,183071,UNIVERSITY OF NEW HAMPSHIRE AT MANCHESTER,88 COMMERCIAL STREET,MANCHESTER,NH,3101,1113,(603) 641-4101
4685,182829,UNIVERSITY OF NEW HAMPSHIRE-FRANKLIN PIERCE SCHOOL OF LAW,2 WHITE ST,CONCORD,NH,3301,4197,(603) 228-1541
1636,183239,SAINT ANSELM COLLEGE,100 SAINT ANSELM DRIVE,MANCHESTER,NH,3102,1310,(603) 641-7000
5057,183099,NHTI-CONCORD'S COMMUNITY COLLEGE,31 COLLEGE DRIVE,CONCORD,NH,3301,7412,(603) 271-6484
4607,440004,UPPER VALLEY EDUCATORS INSTITUTE,194 DARTMOUTH COLLEGE HIGHWAY,LEBANON,NH,3766,1358,(603) 678-4888 EXT 101
1638,183026,SOUTHERN NEW HAMPSHIRE UNIVERSITY,2500 NORTH RIVER ROAD,MANCHESTER,NH,3106,1045,(603) 668-2211
5055,182704,EMPIRE BEAUTY SCHOOL-LACONIA,556 MAIN ST,LACONIA,NH,3246,NOT AVAILABLE,(603) 524-8777
6136,183202,PAUL MITCHELL THE SCHOOL-PORTSMOUTH,140 CONGRESS STREET,PORTSMOUTH,NH,3801,4084,(603) 436-7775
1637,182980,NEW ENGLAND COLLEGE,98 BRIDGE ST,HENNIKER,NH,3242,NOT AVAILABLE,(603) 428-2211
1928,182953,MICHAELS SCHOOL OF HAIR DESIGN AND ESTHETICS-PAUL MITCHELL PARTNER SCHOOL,79-6 SOUTH RIVER ROAD,BEDFORD,NH,3110,NOT AVAILABLE,(603) 668-4300
2233,245865,ANTIOCH UNIVERSITY-NEW ENGLAND,40 AVON ST,KEENE,NH,3431,NOT AVAILABLE,(603) 357-3122
4684,183275,THOMAS MORE COLLEGE OF LIBERAL ARTS,6 MANCHESTER ST,MERRIMACK,NH,3054,NOT AVAILABLE,(603) 880-8308 EXT 18
5230,461290,AMERICAN ACADEMY OF HEALTH AND BEAUTY,981 SECOND STREET,MANCHESTER,NH,3102,5263,(603) 625-6100
