OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
3086,490896,ADVANTAGE CAREER INSTITUTE,2 MERIDIAN ROAD,EATONTOWN,NJ,7724,NOT AVAILABLE,(732) 440-4110
3095,491622,YESHIVA CHEMDAS HATORAH,950 MASSACHUSETTS AVENUE,LAKEWOOD,NJ,8701,4618,(732) 364-3949
3266,187444,WILLIAM PATERSON UNIVERSITY OF NEW JERSEY,300 POMPTON RD,WAYNE,NJ,7470,NOT AVAILABLE,(973) 720-2000
4009,481447,CENTER FOR THE HEALING ARTS,8102 TOWN CENTER BOULEVARD,VOORHEES,NJ,8043,1911,(856) 552-2273
4871,384421,RABBI JACOB JOSEPH SCHOOL,ONE PLAINFIELD AVE,EDISON,NJ,8817,4494,(732) 985-6533
122,486734,JOLIE HEALTH & BEAUTY ACADEMY-CHERRY HILL,1490 BERLIN RD STE 21,CHERRY HILL,NJ,8003,NOT AVAILABLE,(856) 324-5688
2682,443225,PC AGE-METROPARK,120 WOOD AVENUE SOUTH,ISELIN,NJ,8830,NOT AVAILABLE,(732) 287-3622 EXT 7003
2922,184791,ROWAN COLLEGE OF SOUTH JERSEY GLOUCESTER CAMPUS,1400 TANYARD ROAD,SEWELL,NJ,8080,NOT AVAILABLE,(856) 468-5000
2926,186469,SALEM COMMUNITY COLLEGE,460 HOLLYWOOD AVENUE,CARNEYS POINT,NJ,8069,2799,(856) 299-2100
2927,407407,CAPRI INSTITUTE OF HAIR DESIGN-KENILWORTH,660 N MICHIGAN AVE,KENILWORTH,NJ,7033,NOT AVAILABLE,(800) 232-2774
3148,493628,PRO BEAUTY ACADEMY,"1655 OAK TREE ROAD, SUITE 285A",EDISON,NJ,8820,2843,(732) 318-6400
3533,186131,PRINCETON UNIVERSITY,1 NASSAU HALL,PRINCETON,NJ,8544,0070,(609) 258-3000
4310,414063,ARTISTIC ACADEMY OF HAIR DESIGN,"301 GIBRALTAR DRIVE, SUITE 1-A",MORRIS PLAINS,NJ,7950,NOT AVAILABLE,(973) 656-1401 EXT 0
362,186034,PASSAIC COUNTY COMMUNITY COLLEGE,ONE COLLEGE BLVD,PATERSON,NJ,7505,1179,(973) 684-6800
3531,183655,ATLANTIC CAPE COMMUNITY COLLEGE,5100 BLACK HORSE PIKE,MAYS LANDING,NJ,8330,2699,(609) 625-1111
4526,184816,EMPIRE BEAUTY SCHOOL-CHERRY HILL,2100 STATE HIGHWAY #38 PLAZA CHERRY HILL,CHERRY HILL,NJ,8002,NOT AVAILABLE,(800) 920-4593
6143,185396,LINCOLN TECHNICAL INSTITUTE-UNION,2299 VAUXHALL RD,UNION,NJ,7083,NOT AVAILABLE,(908) 964-7800 EXT 40500
203,488013,GARDEN STATE SCIENCE AND TECHNOLOGY INSTITUTE,"591 SUMMIT AVENUE, SUITE 705",JERSEY CITY,NJ,7306,2714,(201) 963-1500
1338,184278,DIVERS ACADEMY INTERNATIONAL,"LAKESIDE BUSINESS PARK, 1500 LIBERTY PLACE",ERIAL,NJ,8081,NOT AVAILABLE,(856) 404-6100 EXT 17
2404,183804,BETH MEDRASH GOVOHA,617 6TH ST,LAKEWOOD,NJ,8701,2754,(732) 367-1060
4136,484321,JOLIE HEALTH AND BEAUTY ACADEMY-TURNERSVILLE,5200 ROUTE 42,TURNERSVILLE,NJ,8012,1760,(856) 481-2444
4524,184603,FAIRLEIGH DICKINSON UNIVERSITY-METROPOLITAN CAMPUS,1000 RIVER RD,TEANECK,NJ,7666,NOT AVAILABLE,(201) 692-2000
6302,491613,YESHIVA GEDOLAH TIFERES BORUCH,21 ROCKVIEW AVENUE,NORTH PLAINFIELD,NJ,7060,0000,(908) 753-2600
341,183938,CAMDEN COUNTY COLLEGE,200 COLLEGE DRIVE,BLACKWOOD,NJ,8012,NOT AVAILABLE,(856) 227-7200
1651,194718,RABBINICAL SEMINARY MKOR CHAIM,160 LOCUST STREET,LAKEWOOD,NJ,8701,5827,(732) 901-2428
3052,490249,MOBILE TECHNICAL TRAINING,460 US HIGHWAY 46,SOUTH HACKENSACK,NJ,7606,0000,(201) 329-9000
3534,187198,UNION COUNTY COLLEGE,1033 SPRINGFIELD AVENUE,CRANFORD,NJ,7016,1528,(908) 709-7000
4874,407391,CAPRI INSTITUTE OF HAIR DESIGN-BRICK,268 BRICK BLVD,BRICK,NJ,8723,NOT AVAILABLE,(800) 232-2774
515,461847,KESER TORAH-MAYAN HATALMUD,218 JOE PARKER ROAD,LAKEWOOD,NJ,8701,2758,(732) 367-4259
3151,493716,YESHIVA GEDOLA TIFERES YAAKOV YITZCHOK,65 CROSS STREET,LAKEWOOD,NJ,8701,5502,(732) 901-6703
193,487852,AMERICAN INSTITUTE OF ALTERNATIVE MEDICINE,"223 RT. 18, SUITE 205",EAST BRUNSWICK,NJ,8816,NOT AVAILABLE,(732) 651-6060
1492,420343,LINCOLN TECHNICAL INSTITUTE-MAHWAH,70 MCKEE DR,MAHWAH,NJ,7430,NOT AVAILABLE,(201) 529-1414 EXT 41400
2925,185758,NEW BRUNSWICK THEOLOGICAL SEMINARY,35 SEMINARY PLACE,NEW BRUNSWICK,NJ,8901,1107,(732) 247-5241
6281,490869,AMERICAN INSTITUTE-SOMERSET,80 COTTONTAIL LANE,SOMERSET,NJ,8873,1100,(732) 201-8335
485,482963,AMERICAN INSTITUTE-TOMS RIVER,2363 LAKEWOOD RD,TOMS RIVER,NJ,8755,NOT AVAILABLE,(732) 719-2730
1339,185466,RIZZIERI AVEDA SCHOOL FOR BEAUTY AND WELLNESS,8200 TOWN CENTER BLVD,VOORHEES,NJ,8043,1800,(856) 988-8600
2402,183488,EASTWICK COLLEGE-HACKENSACK,250 MOORE STREET,HACKENSACK,NJ,7601,NOT AVAILABLE,(201) 488-9400 EXT 5022
4527,184959,EASTWICK COLLEGE-RAMSEY,10 SOUTH FRANKLIN TURNPIKE,RAMSEY,NJ,7446,2551,(201) 327-8877
6140,184995,HUDSON COUNTY COMMUNITY COLLEGE,70 SIP AVENUE,JERSEY CITY,NJ,7306,NOT AVAILABLE,(201) 714-7100
