OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
929,484710,UNIVERSITY OF PHOENIX-NEVADA,3755 BREAKTHROUGH WAY,LAS VEGAS,NV,89135,NOT AVAILABLE,(866) 766-0766
6,455211,CASAL INSTITUTE OF NEVADA,4856 S EASTERN AVE,LAS VEGAS,NV,89119,NOT AVAILABLE,(702) 459-2900
6501,494223,UNIVERSITY OF OKLAHOMA - NELLIS AIR FORCE BASE,4475 ENGLAND AVENUE,NELLIS AFB,NV,89191,6506,NOT AVAILABLE
99,457110,CARRINGTON COLLEGE-RENO,5580 KIETZKE LN.,RENO,NV,89511,NOT AVAILABLE,(775) 335-2900
112,487375,ARIZONA COLLEGE OF NURSING-LAS VEGAS,2320 SOUTH RANCHO DRIVE,LAS VEGAS,NV,89102,4512,(855) 706-8382
28,182458,SIERRA NEVADA UNIVERSITY,999 TAHOE BLVD.,INCLINE VILLAGE,NV,89451,NOT AVAILABLE,(775) 831-1314
2717,454555,MILAN INSTITUTE OF COSMETOLOGY-RENO,4020 KIETZKE LANE,RENO,NV,89502,NOT AVAILABLE,(775) 784-7171
4047,482255,AVIATION INSTITUTE OF MAINTENANCE-LAS VEGAS,5870 S. EASTERN AVE.,LAS VEGAS,NV,89119,NOT AVAILABLE,(702) 798-5511
4795,448044,INSTITUTE OF PROFESSIONAL CAREERS,4448 SOUTH EASTERN AVENUE,LAS VEGAS,NV,89119,NOT AVAILABLE,(702) 734-9900
349,458423,EUROPEAN MASSAGE THERAPY SCHOOL-LAS VEGAS,"9440 W. SAHARA AVE., SUITE 250",LAS VEGAS,NV,89117,NOT AVAILABLE,(702) 202-2455
827,482547,DEVRY UNIVERSITY-NEVADA,"2490 PASEO VERDE PKWY., STE. 150",HENDERSON,NV,89074,NOT AVAILABLE,(702) 933-9700
2684,443669,MILAN INSTITUTE-SPARKS,950 INDUSTRIAL WAY,SPARKS,NV,89431,NOT AVAILABLE,(775) 348-7200
5934,445735,ROSEMAN UNIVERSITY OF HEALTH SCIENCES,11 SUNSET WAY,HENDERSON,NV,89014,NOT AVAILABLE,(702) 990-4433
1728,459824,TOURO UNIVERSITY NEVADA,874 AMERICAN PACIFIC DRIVE,HENDERSON,NV,89014,NOT AVAILABLE,(702) 777-8687
4519,182519,NEVADA SYSTEM OF HIGHER EDUCATION-SYSTEM OFFICE,2601 ENTERPRISE RD,RENO,NV,89512,NOT AVAILABLE,(775) 784-4901
3490,488907,WONGU UNIVERSITY OF ORIENTAL MEDICINE,8620 SOUTH EASTERN AVENUE,LAS VEGAS,NV,89123,2836,(702) 463-2122
4179,182564,WESTERN NEVADA COLLEGE,2201 WEST COLLEGE PARKWAY,CARSON CITY,NV,89703,7399,(775) 445-3000
2705,450720,EUPHORIA INSTITUTE OF BEAUTY ARTS & SCIENCES-SUMMERLIN,9340 W. SAHARA AVE STE. 205,LAS VEGAS,NV,89117,NOT AVAILABLE,(702) 341-8111 EXT 49500
1295,181941,CAREER COLLEGE OF NORTHERN NEVADA,1421 PULLMAN DR.,SPARKS,NV,89434,7905,(775) 856-2266
117,486938,CHAMBERLAIN UNIVERSITY-NEVADA,9901 COVINGTON CROSS DRIVE,LAS VEGAS,NV,89144,NOT AVAILABLE,(702) 786-1660
5926,444592,EXPERTISE COSMETOLOGY INSTITUTE,1911 STELLA LAKE STREET,LAS VEGAS,NV,89106,NOT AVAILABLE,(702) 636-8686
6097,182500,TRUCKEE MEADOWS COMMUNITY COLLEGE,7000 DANDINI BLVD,RENO,NV,89512,3999,(775) 673-7000
6278,490717,L MAKEUP INSTITUTE,440 S. RAMPART BLVD. B-130,LAS VEGAS,NV,89145,NOT AVAILABLE,(702) 685-9298
279,182281,UNIVERSITY OF NEVADA-LAS VEGAS,4505 S MARYLAND PKY,LAS VEGAS,NV,89154,NOT AVAILABLE,(702) 895-3011
6148,182148,LAS VEGAS COLLEGE,170 NORTH STEPHAINE SUITE 145,HENDERSON,NV,89074,8811,(702) 567-1920
2933,181880,ACADEMY OF HAIR DESIGN-LAS VEGAS,"5191 W. CHARLESTON, #150",LAS VEGAS,NV,89146,NOT AVAILABLE,(702) 878-1185 EXT 21
3917,476841,PAUL MITCHELL THE SCHOOL-RENO,1600 HOLCOMB AVENUE,RENO,NV,89502,NOT AVAILABLE,(775) 284-2901
6147,414939,NEVADA CAREER INSTITUTE,3231 NORTH DECATUR BOULEVARD,LAS VEGAS,NV,89130,NOT AVAILABLE,(702) 893-3300
4644,445948,NORTHWEST CAREER COLLEGE,"7398 SMOKE RANCH ROAD, STE 100",LAS VEGAS,NV,89128,NOT AVAILABLE,(702) 254-7577
98,457101,CARRINGTON COLLEGE-LAS VEGAS,"5740 S. EASTERN AVE., STE. 140",LAS VEGAS,NV,89119,NOT AVAILABLE,(702) 688-4300
3811,462008,PAUL MITCHELL THE SCHOOL-LAS VEGAS,"9490 SOUTH EASTERN AVENUE, SUITE 100",LAS VEGAS,NV,89123,8014,(702) 740-4247
3869,475325,MILAN INSTITUTE-LAS VEGAS,710 SOUTH TONOPAH DRIVE,LAS VEGAS,NV,89106,4031,(702) 671-4242
1988,461430,ADVANCED TRAINING INSTITUTE,5150 S. DECATUR BLVD.,LAS VEGAS,NV,89118,1519,(702) 658-7900
363,182306,GREAT BASIN COLLEGE,1500 COLLEGE PARKWAY,ELKO,NV,89801,NOT AVAILABLE,(775) 738-8493
3545,457785,INTERNATIONAL ACADEMY OF STYLE,2295 MARKET ST,RENO,NV,89502,1559,(775) 823-9003
4786,441900,NEVADA STATE COLLEGE,1125 NEVADA STATE DRIVE,HENDERSON,NV,89002,NOT AVAILABLE,(702) 992-2000
5929,445230,PIMA MEDICAL INSTITUTE-LAS VEGAS,3333 EAST FLAMINGO ROAD,LAS VEGAS,NV,89121,NOT AVAILABLE,(702) 458-9650
6439,496380,MEDSPA ACADEMIES - NIMA NATIONAL INSTITUTE OF MODERN AESTHETICS,3993 HOWARD HUGHES PARKWAY SUITE 150,LAS VEGAS,NV,89169,6745,NOT AVAILABLE
1813,182290,UNIVERSITY OF NEVADA-RENO,NORTH VIRGINIA STREET,RENO,NV,89557,NOT AVAILABLE,(775) 784-1110
3528,182005,COLLEGE OF SOUTHERN NEVADA,6375 W. CHARLESTON BLVD.,LAS VEGAS,NV,89146,1164,(702) 651-5000
