OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
194,487861,FELBRY COLLEGE SCHOOL OF NURSING,6055 CLEVELAND AVENUE,COLUMBUS,OH,43231,2256,(614) 781-1085 EXT 102
236,204839,OHIO UNIVERSITY-SOUTHERN CAMPUS,1804 LIBERTY AVE,IRONTON,OH,45638,NOT AVAILABLE,(740) 533-4600
661,203757,LOURDES UNIVERSITY,6832 CONVENT BLVD,SYLVANIA,OH,43560,2898,(419) 885-3211
732,204608,OHIO TECHNICAL COLLEGE,1374 E 51ST ST,CLEVELAND,OH,44103,NOT AVAILABLE,(216) 881-1700
776,407513,PICKAWAY ROSS JOINT VOCATIONAL SCHOOL DISTRICT,1410 INDUSTRIAL DRIVE,CHILLICOTHE,OH,45601,1038,(740) 642-1200 EXT 31288
1521,204893,TRINITY HEALTH SYSTEM SCHOOL OF NURSING,4000 SUNSET BOULEVARD SUITE 2631,STEUBENVILLE,OH,43952,3512,(740) 266-1230
1855,203580,LAKE ERIE COLLEGE,391 W WASHINGTON ST,PAINESVILLE,OH,44077,3389,(440) 375-7000
1983,461111,ALLSTATE HAIRSTYLING & BARBER COLLEGE,2546 LORAIN AVENUE,CLEVELAND,OH,44113,3413,(216) 241-6684
2245,363882,RAPHAEL'S SCHOOL OF BEAUTY CULTURE INC-BRUNSWICK,3307 CENTER RD.,BRUNSWICK,OH,44212,NOT AVAILABLE,(330) 782-3395
3162,494250,VALLEY COLLEGE-CLEVELAND,8700 BROOKPARK ROAD,CLEVELAND,OH,44129,6810,(216) 453-8201
3877,204796,OHIO STATE UNIVERSITY-MAIN CAMPUS,190 N. OVAL MALL,COLUMBUS,OH,43210,NOT AVAILABLE,(614) 292-6446
4022,204705,OHIO STATE UNIVERSITY-NEWARK CAMPUS,1179 UNIVERSITY DR,NEWARK,OH,43055,NOT AVAILABLE,(740) 366-3321
4048,482574,DEVRY UNIVERSITY-OHIO,"2 EASTON OVAL, STE 210",COLUMBUS,OH,43219,NOT AVAILABLE,(614) 253-7291
4854,206039,TIFFIN ACADEMY OF HAIR DESIGN,104 E MARKET ST,TIFFIN,OH,44883,NOT AVAILABLE,(419) 447-3117
5297,442392,ANTIOCH UNIVERSITY-PHD PROGRAM IN LEADERSHIP AND CHANGE,900 DAYTON STREET,YELLOW SPRINGS,OH,45387,NOT AVAILABLE,(937) 769-1360
5384,202222,COLUMBUS STATE COMMUNITY COLLEGE,550 E SPRING ST,COLUMBUS,OH,43215,NOT AVAILABLE,(614) 287-5353
5424,455275,AVEDA INSTITUTE-COLUMBUS,889 BETHEL ROAD,COLUMBUS,OH,43214,NOT AVAILABLE,(614) 291-2421
186,204015,MIAMI UNIVERSITY-MIDDLETOWN,4200 E UNIVERSITY BLVD,MIDDLETOWN,OH,45042,NOT AVAILABLE,(513) 727-3200
254,454236,CHAMBERLAIN UNIVERSITY-OHIO,1350 ALUM CREEK DRIVE,COLUMBUS,OH,43209,NOT AVAILABLE,(614) 252-8890
264,206288,UNITED THEOLOGICAL SEMINARY,4501 DENLINGER RD.,DAYTON,OH,45426,2308,(937) 529-2201
781,204024,MIAMI UNIVERSITY-OXFORD,501 EAST HIGH ST,OXFORD,OH,45056,NOT AVAILABLE,(513) 529-1809
883,407832,WARREN COUNTY CAREER CENTER,3525 NORTH STATE ROUTE 48,LEBANON,OH,45036,1099,(513) 932-8145
1032,452081,ROSS COLLEGE-SYLVANIA,"5834 MONROE STREET, SUITE F-J",SYLVANIA,OH,43560,NOT AVAILABLE,(419) 882-3203
3621,201159,AUBURN CAREER CENTER,8140 AUBURN RD,CONCORD TWP,OH,44077,NOT AVAILABLE,(440) 357-7542
3874,202152,COLUMBIANA COUNTY CAREER AND TECHNICAL CENTER,9364 ST RT 45,LISBON,OH,44432,NOT AVAILABLE,(330) 424-9561 EXT 116
3901,201539,CANTON CITY SCHOOLS ADULT CAREER AND TECHNICAL EDUCATION,2800 13TH STREET S.W.,CANTON,OH,44710,NOT AVAILABLE,(330) 438-2556
4029,204820,OHIO UNIVERSITY-CHILLICOTHE CAMPUS,101 UNIVERSITY DRIVE,CHILLICOTHE,OH,45601,0629,(740) 774-7200
4923,201751,CHATFIELD COLLEGE,20918 STATE ROUTE 251,SAINT MARTIN,OH,45118,9705,(513) 875-3344 EXT 152
4930,203720,OHIO BUSINESS COLLEGE-SHEFFIELD,5095 WATERFORD DR.,SHEFFIELD VILLAGE,OH,44035,0701,(440) 934-3101 EXT 2330
779,201131,ASHTABULA COUNTY TECHNICAL AND CAREER CAMPUS,1565 STATE ROUTE 167,JEFFERSON,OH,44047,NOT AVAILABLE,(440) 576-6015 EXT 1007
1341,203544,KETTERING COLLEGE,3737 SOUTHERN BLVD,KETTERING,OH,45429,1299,(937) 395-8601
1601,200873,ALLEGHENY WESLEYAN COLLEGE,2161 WOODSDALE RD,SALEM,OH,44460,9598,(330) 337-6403 EXT 170
1854,203517,KENT STATE UNIVERSITY AT KENT,"EXECUTIVE OFFICE, 2ND FLOOR LIBRARY",KENT,OH,44242,0001,(330) 672-3000
2146,201548,CAPITAL UNIVERSITY,1 COLLEGE AND MAIN,COLUMBUS,OH,43209,2394,(614) 236-6011
3600,204422,NORTH CENTRAL STATE COLLEGE,2441 KENWOOD CIRCLE,MANSFIELD,OH,44901,0698,(419) 755-4800
3808,375416,REMINGTON COLLEGE-CLEVELAND CAMPUS,14445 BROADWAY AVE,CLEVELAND,OH,44125,1957,(440) 777-2560
3899,204699,OHIO STATE UNIVERSITY-MARION CAMPUS,1461 MOUNT VERNON AVE,MARION,OH,43302,5695,(740) 389-6786
4406,205391,THE MODERN COLLEGE OF DESIGN,1725 E DAVID RD,KETTERING,OH,45440,NOT AVAILABLE,(937) 294-0592
5435,201955,UNIVERSITY OF CINCINNATI-BLUE ASH COLLEGE,9555 PLAINFIELD RD,BLUE ASH,OH,45236,1096,(513) 745-5600
5436,204884,OHIO VALLEY COLLEGE OF TECHNOLOGY,15258 STATE ROUTE 170,EAST LIVERPOOL,OH,43920,9585,(330) 385-1070
5439,206604,WRIGHT STATE UNIVERSITY-MAIN CAMPUS,3640 COLONEL GLENN HIGHWAY,DAYTON,OH,45435,0001,(937) 775-1000
258,203526,KENT STATE UNIVERSITY AT GEAUGA,14111 CLARIDON-TROY RD,BURTON,OH,44021,NOT AVAILABLE,(440) 834-4187
364,201672,CENTRAL OHIO TECHNICAL COLLEGE,1179 UNIVERSITY DRIVE,NEWARK,OH,43055,1767,(740) 366-1351
1613,206154,TRI-STATE BIBLE COLLEGE,506 MARGARET ST,SOUTH POINT,OH,45680,NOT AVAILABLE,(740) 377-2520 EXT 10
3388,457916,SUMMIT SALON ACADEMY-PERRYSBURG,116 W S BOUNDARY ST,PERRYSBURG,OH,45551,NOT AVAILABLE,(419) 873-9999 EXT 3
3449,204459,TOLEDO PUBLIC SCHOOLS ADULT AND CONTINUING EDUCATION,3281 UPTON AVENUE,TOLEDO,OH,43613,NOT AVAILABLE,(419) 671-8700
4024,202648,EDISON STATE COMMUNITY COLLEGE,1973 EDISON DR,PIQUA,OH,45356,9239,(937) 778-8600
4585,421717,VANGUARD-SENTINEL ADULT CAREER AND TECHNOLOGY CENTER,1306 CEDAR ST,FREMONT,OH,43420,NOT AVAILABLE,(567) 201-2856
235,418223,NORTHERN CAREER INSTITUTE,"34050 GLEN DRIVE, SUITE 2",EASTLAKE,OH,44094,NOT AVAILABLE,(440) 602-5094
1137,201654,CEDARVILLE UNIVERSITY,251 N. MAIN STREET,CEDARVILLE,OH,45314,0601,(937) 766-7700
1856,203739,OHIO BUSINESS COLLEGE-SANDUSKY,5202 TIMBER COMMONS DRIVE,SANDUSKY,OH,44870,5871,(419) 627-8345 EXT 2210
3789,418278,VANTAGE CAREER CENTER,818 NORTH FRANKLIN STREET,VAN WERT,OH,45891,NOT AVAILABLE,(419) 238-5411 EXT 2116
3908,476683,ATHENA CAREER ACADEMY,5203 AIRPORT HWY,TOLEDO,OH,43615,NOT AVAILABLE,(419) 472-1150
4106,483647,OHIO INSTITUTE OF ALLIED HEALTH,6245 OLD TROY PIKE,HUBER HEIGHTS,OH,45424,3646,(937) 237-1010
4185,203368,JOHN CARROLL UNIVERSITY,1 JOHN CARROLL BOULEVARD,UNIVERSITY HEIGHTS,OH,44118,4538,(888) 388-2977
4215,450395,BROWN AVEDA INSTITUTE-STRONGSVILLE,17901 SOUTHPARK CENTER - SPACE 160,STRONGSVILLE,OH,44136,NOT AVAILABLE,(440) 255-9494 EXT 246
4561,202912,GOOD SAMARITAN COLLEGE OF NURSING AND HEALTH SCIENCE,375 DIXMYTH AVE,CINCINNATI,OH,45220,2489,(513) 862-2631
5098,203465,KENT STATE UNIVERSITY AT STARK,6000 FRANK AVE NW,CANTON,OH,44720,7599,(330) 499-9600
5437,204909,OHIO WESLEYAN UNIVERSITY,61 S SANDUSKY STREET,DELAWARE,OH,43015,2370,(740) 368-2000
5438,204936,OTTERBEIN UNIVERSITY,1 SOUTH GROVE STREET,WESTERVILLE,OH,43081,NOT AVAILABLE,(614) 890-3000
32,476629,SALON INSTITUTE-TOLEDO CAMPUS,3034 WILFORD DRIVE,TOLEDO,OH,43615,1731,(419) 866-4489
257,201432,BOWLING GREEN STATE UNIVERSITY-FIRELANDS,ONE UNIVERSITY DRIVE,HURON,OH,44839,9791,(419) 372-5526
334,202356,CUYAHOGA COMMUNITY COLLEGE DISTRICT,700 CARNEGIE AVE,CLEVELAND,OH,44115,2878,(800) 954-8742
389,204486,UNIVERSITY OF NORTHWESTERN OHIO,1441 N CABLE RD,LIMA,OH,45805,NOT AVAILABLE,(419) 227-3141
397,200697,AIR FORCE INSTITUTE OF TECHNOLOGY-GRADUATE SCHOOL OF ENGINEERING & MANAGEMENT,2950 HOBSON WAY,WRIGHT-PATTERSON AFB,OH,45433,7765,(937) 255-3636
