OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
1689,206932,CENTRAL OKLAHOMA COLLEGE,14820 SERENITA AVENUE,OKLAHOMA CITY,OK,73134,NOT AVAILABLE,(405) 609-6622
1951,206941,UNIVERSITY OF CENTRAL OKLAHOMA,100 N UNIVERSITY DR,EDMOND,OK,73034,NOT AVAILABLE,(405) 974-2000
2107,206923,CARL ALBERT STATE COLLEGE,1507 S MCKENNA,POTEAU,OK,74953,5208,(918) 647-1200
244,488934,TULSA TECHNOLOGY CENTER,3420 S MEMORIAL DRIVE,TULSA,OK,74145,NOT AVAILABLE,(918) 828-5000
2255,375726,KIAMICHI TECHNOLOGY CENTER-MCALESTER,301 KIAMICHI DR,MCALESTER,OK,74501,NOT AVAILABLE,(918) 465-2323
3904,206914,CAMERON UNIVERSITY,2800 WEST GORE BLVD,LAWTON,OK,73505,6377,(580) 581-2200
4082,375656,CHISHOLM TRAIL TECHNOLOGY CENTER,283 STATE HIGHWAY 33,OMEGA,OK,73764,6335,(405) 729-8324
995,448424,BROKEN ARROW BEAUTY COLLEGE,11122 E 71ST ST,TULSA,OK,74133,NOT AVAILABLE,(918) 294-8627
3633,207458,OKLAHOMA CITY UNIVERSITY,2501 N BLACKWELDER,OKLAHOMA CITY,OK,73106,1402,(405) 208-5000
4114,431017,MID-DEL TECHNOLOGY CENTER,1621 MAPLE DR,MIDWEST CITY,OK,73110,4825,(405) 739-1707 EXT 6323
5442,206905,PONTOTOC TECHNOLOGY CENTER,601 W 33RD,ADA,OK,74820,NOT AVAILABLE,(580) 310-2200 EXT 2223
410,207397,OKLAHOMA STATE UNIVERSITY-OKLAHOMA CITY,900 N PORTLAND,OKLAHOMA CITY,OK,73107,6195,(405) 947-4421
1688,207087,ENID BEAUTY COLLEGE,3905 S. LA MESA DRIVE,ENID,OK,73703,4538,(580) 237-6677
2235,245999,FRANCIS TUTTLE TECHNOLOGY CENTER,12777 N ROCKWELL AVE,OKLAHOMA CITY,OK,73142,2789,(405) 717-7799
2419,413820,YUKON BEAUTY COLLEGE INC,221 W. MAIN,YUKON,OK,73099,NOT AVAILABLE,(405) 354-3172
3197,495253,DURANT INSTITUTE OF HAIR DESIGN,2836 WEST UNIVERSITY BOULEVARD,DURANT,OK,74701,3089,(580) 579-5611
3815,418302,WESTERN TECHNOLOGY CENTER,621 SOONER DRIVE,BURNS FLAT,OK,73624,1469,(580) 562-3181 EXT 279
5343,207306,NORTHWESTERN OKLAHOMA STATE UNIVERSITY,709 OKLAHOMA BLVD,ALVA,OK,73717,2799,(580) 327-1700
739,207962,TULSA WELDING SCHOOL-TULSA,2545 E. 11TH STREET,TULSA,OK,74104,NOT AVAILABLE,(800) 935-3776
4667,480967,COLLEGE OF THE MUSCOGEE NATION,2170 RAVEN CIRCLE,OKMULGEE,OK,74447,0917,(918) 549-2800
4937,245980,PONCA CITY BEAUTY COLLEGE,3010 NORTH 14TH STREET,PONCA CITY,OK,74601,NOT AVAILABLE,(580) 762-1470
