OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
1690,209153,PHAGANS MEDFORD BEAUTY SCHOOL,2320 POPLAR DR,MEDFORD,OR,97504,NOT AVAILABLE,(541) 772-6155
3734,460862,AVEDA INSTITUTE-PORTLAND,325 NORTHWEST 13TH AVENUE,PORTLAND,OR,97209,3144,(503) 294-6000 EXT 382
4342,209241,MOUNT ANGEL SEMINARY,1 ABBEY DRIVE,SAINT BENEDICT,OR,97373,NOT AVAILABLE,(503) 845-3951
5391,210401,WILLAMETTE UNIVERSITY,900 STATE ST,SALEM,OR,97301,NOT AVAILABLE,(503) 370-6300
2550,208725,NEW HOPE CHRISTIAN COLLEGE-EUGENE,2155 BAILEY HILL RD,EUGENE,OR,97405,NOT AVAILABLE,(541) 485-1780
2635,437325,LINFIELD UNIVERSITY-ONLINE AND CONTINUING EDUCATION,900 SE BAKER STREET,MCMINNVILLE,OR,97128,6894,(503) 883-2447
3198,495262,PREMIERE AESTHETICS INSTITUTE,1693 SOUTHWEST CHANDLER AVENUE,BEND,OR,97702,3230,(541) 797-6578
231,488590,CHRISTIAN CULINARY ACADEMY,289 N SPRUCE ST #1484,CANNON BEACH,OR,97110,1484,(503) 794-4083
2152,210304,WARNER PACIFIC UNIVERSITY,2219 SE 68TH AVE,PORTLAND,OR,97215,NOT AVAILABLE,(503) 517-1000
3982,208187,PAUL MITCHELL THE SCHOOL-PORTLAND,234 SW BROADWAY,PORTLAND,OR,97205,NOT AVAILABLE,(503) 222-7687
4940,208433,COLLEGE OF HAIR DESIGN CAREERS,1684 CLAY ST NE,SALEM,OR,97301,1952,(503) 588-5888
5291,441168,NORTHWEST COLLEGE-HILLSBORO,"1049 SW BASELINE RD, SUITE 500, BUILDING E",HILLSBORO,OR,97123,NOT AVAILABLE,(503) 844-7320
1692,210340,COLLEGE OF COSMETOLOGY,357 E MAIN ST,KLAMATH FALLS,OR,97601,3233,(541) 882-6644
2508,420723,TILLAMOOK BAY COMMUNITY COLLEGE,4301 THIRD ST.,TILLAMOOK,OR,97141,NOT AVAILABLE,(503) 842-8222
5780,209612,PACIFIC UNIVERSITY,2043 COLLEGE WAY,FOREST GROVE,OR,97116,NOT AVAILABLE,(877) 722-8648
2634,437316,LINFIELD UNIVERSITY-SCHOOL OF NURSING,2255 NW NORTHRUP ST,PORTLAND,OR,97210,2932,(503) 413-8481
788,210146,SOUTHERN OREGON UNIVERSITY,1250 SISKIYOU BLVD,ASHLAND,OR,97520,NOT AVAILABLE,(541) 552-7672
948,485166,BEAU MONDE ACADEMY OF COSMETOLOGY AND BARBERING,2201 LLOYD CENTER SUITE C304,PORTLAND,OR,97232,1315,(503) 252-7444
1435,209296,NATIONAL UNIVERSITY OF NATURAL MEDICINE,49 S PORTER ST.,PORTLAND,OR,97201,4848,(503) 552-1555
