OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
1713,213668,LYCOMING COLLEGE,ONE COLLEGE PLACE,WILLIAMSPORT,PA,17701,5192,(570) 321-4000
2113,214795,PENNSYLVANIA STATE UNIVERSITY-PENN STATE MONT ALTO,1 CAMPUS DRIVE,MONT ALTO,PA,17237,9700,(717) 749-6000
2160,216162,ST LUKES HOSPITAL SCHOOL OF NURSING,801 OSTRUM STREET,BETHLEHEM,PA,18015,NOT AVAILABLE,(484) 526-3401
2163,215275,UNIVERSITY OF PITTSBURGH-GREENSBURG,150 FINOLI DRIVE,GREENSBURG,PA,15601,5860,(724) 837-7040
3550,457952,METRO BEAUTY ACADEMY,4977 MEDICAL CENTER CIRCLE,ALLENTOWN,PA,18106,NOT AVAILABLE,(610) 398-6227
3565,216311,TALMUDICAL YESHIVA OF PHILADELPHIA,6063 DREXEL RD,PHILADELPHIA,PA,19131,NOT AVAILABLE,(215) 477-1000
3759,213163,UPMC JAMESON SCHOOL OF NURSING,2414 WILMINGTON ROAD,NEW CASTLE,PA,16105,NOT AVAILABLE,(724) 936-3941
3764,213598,LINCOLN UNIVERSITY,1570 BALTIMORE PIKE,LINCOLN UNIVERSITY,PA,19352,0999,(484) 365-8000
4058,215309,UNIVERSITY OF PITTSBURGH-TITUSVILLE,504 EAST MAIN STREET,TITUSVILLE,PA,16354,NOT AVAILABLE,(888) 878-0462
5447,212993,HUSSIAN COLLEGE-PHILADELPHIA,1500 SPRING GARDEN STREET STE. 101,PHILADELPHIA,PA,19130,NOT AVAILABLE,(717) 380-1385
90,443784,STRAYER UNIVERSITY-PENNSYLVANIA,3800 HORIZON BLVD STE 100,TREVOSE,PA,19053,NOT AVAILABLE,(877) 445-7180
422,212443,EVANGELICAL THEOLOGICAL SEMINARY,121 S COLLEGE ST,MYERSTOWN,PA,17067,1222,(717) 866-5775
541,213321,KING'S COLLEGE,133 N RIVER ST,WILKES-BARRE,PA,18711,0801,(570) 208-5900
718,479956,PENNSYLVANIA STATE UNIVERSITY-WORLD CAMPUS,128 OUTREACH BUILDING,UNIVERSITY PARK,PA,16802,1503,(814) 865-5403
1360,418409,YORK COUNTY SCHOOL OF TECHNOLOGY-ADULT & CONTINUING EDUCATION,2179 S QUEEN ST,YORK,PA,17402,4696,(717) 747-2130
2553,211024,CLARKS SUMMIT UNIVERSITY,538 VENARD RD,CLARKS SUMMIT,PA,18411,1250,(570) 586-2400
2959,215619,RECONSTRUCTIONIST RABBINICAL COLLEGE,1299 CHURCH RD,WYNCOTE,PA,19095,1898,(215) 576-0800
3541,210711,THE BEAUTY INSTITUTE,1921 UNION BLVD,ALLENTOWN,PA,18109,1629,(732) 320-2194 EXT 90890
4060,213987,MERCYHURST UNIVERSITY,501 E 38TH ST,ERIE,PA,16546,NOT AVAILABLE,(814) 824-2000
4352,365383,WILKES-BARRE AREA CAREER AND TECHNICAL CENTER PRACTICAL NURSING,350 JUMPER RD,WILKES BARRE,PA,18705,0699,(570) 822-6539 EXT 8
4583,418427,CHESTER COUNTY INTERMEDIATE UNIT,443 BOOT ROAD,DOWNINGTOWN,PA,19335,NOT AVAILABLE,(484) 593-5950
5398,211468,CEDAR CREST COLLEGE,100 COLLEGE DRIVE,ALLENTOWN,PA,18104,6196,(610) 606-4666
5728,214698,PENNSYLVANIA STATE UNIVERSITY-PENN STATE BEAVER,100 UNIVERSITY DRIVE,MONACA,PA,15061,2764,(724) 773-3800
329,212601,GANNON UNIVERSITY,109 W SIXTH ST,ERIE,PA,16541,0001,(814) 871-7000
594,419484,CRAWFORD COUNTY CAREER AND TECHNICAL CENTER PRACTICAL NURSING PROGRAM,860 THURSTON RD,MEADVILLE,PA,16335,NOT AVAILABLE,(814) 724-6028
743,216667,WASHINGTON & JEFFERSON COLLEGE,60 S LINCOLN ST,WASHINGTON,PA,15301,NOT AVAILABLE,(724) 503-1001
2111,215284,UNIVERSITY OF PITTSBURGH-JOHNSTOWN,450 SCHOOLHOUSE ROAD,JOHNSTOWN,PA,15904,NOT AVAILABLE,(814) 269-7000
3543,211088,ARCADIA UNIVERSITY,450 S EASTON RD,GLENSIDE,PA,19038,3295,(215) 572-2900
3659,214111,MONTGOMERY COUNTY COMMUNITY COLLEGE,340 DEKALB PIKE,BLUE BELL,PA,19422,0796,(215) 641-6300
3761,213303,KEYSTONE COLLEGE,ONE COLLEGE GREEN,LA PLUME,PA,18440,0200,(570) 945-8000
5397,213570,LINCOLN TECHNICAL INSTITUTE-ALLENTOWN,5151 TILGHMAN ST,ALLENTOWN,PA,18104,9889,(610) 398-5300 EXT 40700
6161,210474,JOLIE HAIR AND BEAUTY ACADEMY-HAZLETON,1057A NORTH CHURCH STREET,HAZLETON,PA,18201,NOT AVAILABLE,(570) 459-5501
6301,491598,EUROPEAN MEDICAL SCHOOL OF MASSAGE,2913 WINDMILL ROAD SUITE 12,SINKING SPRING,PA,19608,1680,(610) 670-6100
6458,493585,HEALTH AND TECHNOLOGY TRAINING INSTITUTE,100 SOUTH BROAD STREET,PHILADELPHIA,PA,19110,1024,(215) 568-2220
431,214148,MOORE COLLEGE OF ART AND DESIGN,20TH AND THE PARKWAY,PHILADELPHIA,PA,19103,1179,(215) 568-4515
493,215293,UNIVERSITY OF PITTSBURGH-PITTSBURGH CAMPUS,4200 FIFTH AVENUE,PITTSBURGH,PA,15260,NOT AVAILABLE,(412) 624-4141
931,484783,UNIVERSITY OF PHOENIX-PENNSYLVANIA,30 S 17TH ST,PHILADELPHIA,PA,19103,NOT AVAILABLE,(866) 766-0766
2606,414911,PENNSYLVANIA HIGHLANDS COMMUNITY COLLEGE,101 COMMUNITY COLLEGE WAY,JOHNSTOWN,PA,15904,2949,(814) 262-6400
3144,493585,HEALTH AND TECHNOLOGY TRAINING INSTITUTE,100 SOUTH BROAD STREET,PHILADELPHIA,PA,19110,1024,(215) 568-2220
4080,211361,CALIFORNIA UNIVERSITY OF PENNSYLVANIA,250 UNIVERSITY AVE,CALIFORNIA,PA,15419,1394,(724) 938-4400
4389,216542,UNIVERSITY OF VALLEY FORGE,1401 CHARLESTOWN ROAD,PHOENIXVILLE,PA,19460,2373,(610) 935-0450
5400,214069,MISERICORDIA UNIVERSITY,301 LAKE ST,DALLAS,PA,18612,1098,(570) 674-6400
5814,215798,SAINT VINCENT COLLEGE,300 FRASER PURCHASE RD,LATROBE,PA,15650,2690,(724) 539-9761
5815,216074,SOUTH HILLS BEAUTY ACADEMY,3269 W LIBERTY AVE,PITTSBURGH,PA,15216,NOT AVAILABLE,(412) 561-3381 EXT 13381
6164,213932,ROXBOROUGH MEMORIAL HOSPITAL SCHOOL OF NURSING,5800 RIDGE AVE,PHILADELPHIA,PA,19128,NOT AVAILABLE,(215) 487-4344
597,430971,DELAWARE COUNTY TECHNICAL SCHOOL-PRACTICAL NURSING PROGRAM,85 NORTH MALIN ROAD,BROOMALL,PA,19008,NOT AVAILABLE,(484) 423-7000 EXT 6675
842,214591,PENNSYLVANIA STATE UNIVERSITY-PENN STATE ERIE-BEHREND COLLEGE,4701 COLLEGE DRIVE,ERIE,PA,16563,0001,(814) 898-6000
862,418542,LEBANON COUNTY AREA VOCATIONAL TECHNICAL SCHOOL,833 METRO DR,LEBANON,PA,17042,NOT AVAILABLE,(717) 273-8551 EXT 0
864,215266,UNIVERSITY OF PITTSBURGH-BRADFORD,300 CAMPUS DRIVE,BRADFORD,PA,16701,NOT AVAILABLE,(814) 362-7500
1160,215424,PITTSBURGH THEOLOGICAL SEMINARY,616 N HIGHLAND AVE,PITTSBURGH,PA,15206,2596,(412) 362-5610
2155,210605,COMMUNITY COLLEGE OF ALLEGHENY COUNTY,800 ALLEGHENY AVE,PITTSBURGH,PA,15233,1895,(412) 323-2323
