OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
38,243212,UNIVERSITY OF PUERTO RICO-PONCE,2151 SANTIAGO DE LOS CABALLEROS AVENUE,PONCE,PR,716,9996,(787) 844-8181
3119,492476,EDP UNIVERSITY OF PUERTO RICO-VILLALBA,"ROAD #149, KM. 54.2 BARRIO VILLALBA ARRIBA",VILLALBA,PR,766,2353,(787) 588-0003 EXT 6001
5109,241793,CENTER FOR ADVANCED STUDIES ON PUERTO RICO AND THE CARIBBEAN,CALLE DEL CRISTO #52,SAN JUAN,PR,901,NOT AVAILABLE,(787) 723-4481 EXT 21
1342,241720,COLEGIO UNIVERSITARIO DE SAN JUAN,180 JOSE OLIVER ST TRES MONJITAS IND. PARK,SAN JUAN,PR,918,NOT AVAILABLE,(787) 480-2400
3218,495615,NUC UNIVERSITY - IBC INSTITUTE - MAYAG?EZ,#75 AVENIDA TENERIFE CARRETERA #2 BARRIO SULTANA,MAYAGUEZ,PR,680,1429,NOT AVAILABLE
3310,486576,PPG TECHNICAL COLLEGE,"VILLA BLANCA INDUSTRIAL PARK, AVE SAKURA #6",CAGUAS,PR,726,3164,(787) 961-6832
4700,240985,EDUCATIONAL TECHNICAL COLLEGE-RECINTO DE BAYAMON,CALLE SANTA CRUZ #28,BAYAMON,PR,961,NOT AVAILABLE,(787) 780-8234
5640,241146,AMERICAN EDUCATIONAL COLLEGE,45 SANTA CRUZ STREET,BAYAMON,PR,961,NOT AVAILABLE,(787) 798-1199 EXT 251
5921,444194,BAYAMON COMMUNITY COLLEGE,17 MACEO ST,BAYAMON,PR,961,NOT AVAILABLE,(787) 780-4242
5930,445498,COLEGIO TECNICO DE ELECTRICIDAD GALLOZA,CARR 4416 KM 2.5 INT. BO LAGUNA,AGUADA,PR,602,NOT AVAILABLE,(787) 252-0922
6550,494834,EDUCATIONAL TECHNICAL COLLEGE,"CALLE ALBIZU CAMPOS #65, INTERIOR",LARES,PR,669,0000,(787) 780-8234
2696,448707,EDUCATIONAL TECHNICAL COLLEGE-RECINTO DE COAMO,CALLE BALDORIOTY #16,COAMO,PR,769,NOT AVAILABLE,(787) 825-0370
5830,376288,INSTITUCION CHAVIANO DE MAYAGUEZ,CALLE RAMOS ANTONINI #116 ESTE,MAYAGUEZ,PR,680,NOT AVAILABLE,(787) 833-2474
5840,414461,MECH-TECH COLLEGE,NUM 39-40 B ST W INDUSTRIAL PK,CAGUAS,PR,725,0000,(787) 744-1060 EXT 1000
6419,495606,NUC UNIVERSITY - IBC INSTITUTE - PONCE,CALLE FERROCARRIL #709 ESQUINA CONCORDIA,PONCE,PR,717,5033,NOT AVAILABLE
33,243106,UNIVERSITY OF PUERTO RICO-AGUADILLA,BELT ST. RAMEY BASE,AGUADILLA,PR,604,6150,(787) 890-2681 EXT 2207
1864,241517,CEM COLLEGE-SAN JUAN,1206 13TH. STREET EXT SAN AGUSTIN,SAN JUAN,PR,926,1931,(787) 765-4210 EXT 105
4778,437705,MONTECLARO ESCUELA DE HOTELERIA Y ARTES CULINARIAS,CARR. 955 KM. 4.8 BARRIO PALMER,RIO GRANDE,PR,745,0000,(787) 888-1135
1351,242820,LICEO DE ARTE Y TECNOLOGIA,405 PONCE DE LEON AVE.,SAN JUAN,PR,917,NOT AVAILABLE,(787) 999-2473 EXT 2356
1453,243841,ICPR JUNIOR COLLEGE,558 MUNOZ RIVERA AVENUE,HATO REY,PR,919,0304,(787) 753-6000
1868,242617,INTER AMERICAN UNIVERSITY OF PUERTO RICO-SAN GERMAN,RD. 102 KM. 30.6,SAN GERMAN,PR,683,NOT AVAILABLE,(787) 264-1912 EXT 7243
3222,495651,NUC UNIVERSITY - IBC INSTITUTE - LOS COLOBOS,"CARRETERA PR#3,KM.13.8 LOTE3-A LOS COLOBOS CANOVANILLAS",CAROLINA,PR,983,0001,NOT AVAILABLE
4565,241191,UNIVERSIDAD ADVENTISTA DE LAS ANTILLAS,CARR 106 KM 2.2 INT,MAYAGUEZ,PR,680,0000,(787) 834-9595 EXT 0
4797,448123,MYRANGEL BEAUTY INSTITUTE,CALLE MUNOZ RIVERA #57 SUR,SAN LORENZO,PR,754,NOT AVAILABLE,(787) 736-0435
5865,436553,CENTURY COLLEGE,1316 PONCE DE LEON AVENUE,SAN JUAN,PR,907,NOT AVAILABLE,(787) 724-3017
3,241739,UNIVERSIDAD ANA G. MENDEZ-CUPEY CAMPUS,1399 AVE. ANA G. MENDEZ,SAN JUAN,PR,926,2602,(787) 766-1717 EXT 6400
1344,241906,EMMA'S BEAUTY ACADEMY-MAYAGUEZ,CALLE MUNOZ RIVERA 9 OESTE,MAYAGUEZ,PR,680,NOT AVAILABLE,(787) 833-0980
1870,242945,MODERN HAIRSTYLING INSTITUTE-BAYAMON,BETANCES #20 ESQUINA DEGETAU,BAYAMON,PR,961,NOT AVAILABLE,(787) 778-0300
4745,409193,PROFESSIONAL TECHNICAL INSTITUTION,CALLE COMERIO FINAL KM. 20.5 BO. LA ALDEA,BAYAMON,PR,959,NOT AVAILABLE,(787) 740-6810
5114,242972,NUC UNIVERSITY,CARR. #2 EDIFICIO NATIONAL COLLEGE PLAZA,BAYAMON,PR,960,NOT AVAILABLE,(787) 982-3000 EXT 1140
5919,443562,DEWEY UNIVERSITY-HATO REY,BARBOSA AVE #427 3RD FLOOR - MALCO BLDG,HATO REY,PR,910,NOT AVAILABLE,(787) 753-0039 EXT 0
6507,494287,EDP UNIVERSITY OF PUERTO RICO-MANATI,MCKINLEY STREET #52,MANATI,PR,674,0000,(787) 621-3652
4800,451501,INSTITUTO EDUCATIVO PREMIER,CALLE VILLA #123,PONCE,PR,730,NOT AVAILABLE,(787) 843-1515
