OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
2077,444866,SOUTHEASTERN COLLEGE-COLUMBIA,1628 BROWNING ROAD,COLUMBIA,SC,29210,NOT AVAILABLE,(803) 798-8800
2083,445841,KENNETH SHULER SCHOOL OF COSMETOLOGY-SPARTANBURG,1515 JOHN B WHITE SR BLVD,SPARTANBURG,SC,29301,NOT AVAILABLE,(864) 587-6000
3109,491923,SOUTHEASTERN ESTHETICS INSTITUTE,823 GERVAIS STREET,COLUMBIA,SC,29201,0000,(803) 814-1772
3925,218025,FLORENCE-DARLINGTON TECHNICAL COLLEGE,2715 W. LUCAS STREET,FLORENCE,SC,29501,0548,(843) 661-8324
4224,451510,CHARLESTON SCHOOL OF LAW,81 MARY STREET,CHARLESTON,SC,29403,NOT AVAILABLE,(843) 329-1000
4956,217828,CHARZANNE BEAUTY COLLEGE,1549 HWY 72 E,GREENWOOD,SC,29649,NOT AVAILABLE,(864) 223-7321
875,218690,UNIVERSITY OF SOUTH CAROLINA-SUMTER,200 MILLER RD,SUMTER,SC,29150,2498,(803) 775-8727
1110,445850,KENNETH SHULER SCHOOL OF COSMETOLOGY-COLUMBIA,7474 GARNERS FERRY ROAD,COLUMBIA,SC,29209,NOT AVAILABLE,(803) 776-9100
4960,218867,SUMTER BEAUTY COLLEGE,921 CAROLINA AVE,SUMTER,SC,29150,2871,(803) 773-7311
526,217925,COLUMBIA INTERNATIONAL UNIVERSITY,7435 MONTICELLO RD,COLUMBIA,SC,29203,1513,(800) 777-2227
2240,251312,SOUTH UNIVERSITY-COLUMBIA,9 SCIENCE COURT,COLUMBIA,SC,29203,NOT AVAILABLE,(803) 799-9082
2962,376446,ACADEMY OF HAIR TECHNOLOGY,3715 E NORTH ST STE F,GREENVILLE,SC,29615,2363,(864) 322-0300
3755,218195,KENNETH SHULER SCHOOL OF COSMETOLOGY AND NAILS-COLUMBIA,449 SAINT ANDREWS RD,COLUMBIA,SC,29210,NOT AVAILABLE,(803) 772-6042
5289,441025,PLATT COLLEGE-MILLER-MOTTE TECHNICAL-CHARLESTON,"8085 RIVERS AVE., STE E",CHARLESTON,SC,29418,NOT AVAILABLE,(843) 574-0101
536,218724,COASTAL CAROLINA UNIVERSITY,103 TOM TROUT DRIVE,CONWAY,SC,29526,NOT AVAILABLE,(843) 347-3161
684,218645,UNIVERSITY OF SOUTH CAROLINA AIKEN,471 UNIVERSITY PKWY,AIKEN,SC,29801,NOT AVAILABLE,(803) 648-6851
3749,217749,BOB JONES UNIVERSITY,1700 WADE HAMPTON BOULAVARD,GREENVILLE,SC,29614,0001,(864) 242-5100
3751,217882,CLEMSON UNIVERSITY,201 SIKES HALL,CLEMSON,SC,29634,NOT AVAILABLE,(864) 656-4636
4321,218973,WOFFORD COLLEGE,429 N CHURCH ST,SPARTANBURG,SC,29303,3663,(864) 597-4000
873,218113,GREENVILLE TECHNICAL COLLEGE,506 S PLEASANTBURG DR,GREENVILLE,SC,29606,NOT AVAILABLE,(864) 250-8000
3757,218830,SPARTANBURG COMMUNITY COLLEGE,107 COMMUNITY COLLEGE DRIVE,SPARTANBURG,SC,29303,NOT AVAILABLE,(864) 592-4500
3845,467906,KENNETH SHULER SCHOOL OF COSMETOLOGY-GREENVILLE,3528-A EARL E. MORRIS JR. HIGHWAY,GREENVILLE,SC,29611,7553,(864) 269-6886
4958,218399,MORRIS COLLEGE,100 WEST COLLEGE STREET,SUMTER,SC,29150,3599,(803) 934-3200
1400,457174,REMINGTON COLLEGE-COLUMBIA CAMPUS,607 BUSH RIVER RD,COLUMBIA,SC,29210,NOT AVAILABLE,(803) 214-9000
1723,218751,SHERMAN COLLEGE OF CHIROPRACTIC,2020 SPRINGFIELD RD,SPARTANBURG,SC,29316,NOT AVAILABLE,(864) 578-8770
3390,457998,AIKEN SCHOOL OF COSMETOLOGY AND BARBERING,225 RICHLAND AVE EAST,AIKEN,SC,29801,NOT AVAILABLE,(803) 644-7133
3754,217989,DENMARK TECHNICAL COLLEGE,1126 SOLOMON BLATT BLVD,DENMARK,SC,29042,NOT AVAILABLE,(803) 793-5100
5794,217688,CHARLESTON SOUTHERN UNIVERSITY,9200 UNIVERSITY BLVD,CHARLESTON,SC,29406,9121,(843) 863-7000
872,217712,TECHNICAL COLLEGE OF THE LOWCOUNTRY,921 RIBAUT ROAD,BEAUFORT,SC,29901,1288,(800) 768-8252
525,217864,CITADEL MILITARY COLLEGE OF SOUTH CAROLINA,171 MOULTRIE ST,CHARLESTON,SC,29409,NOT AVAILABLE,(843) 225-3294
537,218742,UNIVERSITY OF SOUTH CAROLINA-UPSTATE,800 UNIVERSITY WAY,SPARTANBURG,SC,29303,4999,(864) 503-5000
3766,218964,WINTHROP UNIVERSITY,701 OAKLAND AVE,ROCK HILL,SC,29733,NOT AVAILABLE,(803) 323-2211
3844,467872,PAUL MITCHELL THE SCHOOL-CHARLESTON,"4952 CENTRE POINTE DRIVE, SUITE 114",NORTH CHARLESTON,SC,29418,6993,(843) 725-0246
753,218070,FURMAN UNIVERSITY,3300 POINSETT HIGHWAY,GREENVILLE,SC,29613,6162,(864) 294-2000
874,218520,PIEDMONT TECHNICAL COLLEGE,620 NORTH EMERALD ROAD,GREENWOOD,SC,29646,NOT AVAILABLE,(864) 941-8324
1377,434496,STRAND COLLEGE OF HAIR DESIGN,423 79TH AVE N,MYRTLE BEACH,SC,29572,NOT AVAILABLE,(843) 467-2397
1399,218894,TRIDENT TECHNICAL COLLEGE,7000 RIVERS AVENUE,CHARLESTON,SC,29423,8067,(843) 574-6111
3712,460020,FORTIS COLLEGE-COLUMBIA,246 STONERIDGE DR STE 101,COLUMBIA,SC,29210,NOT AVAILABLE,(803) 678-4800
4098,483337,PAUL MITCHELL THE SCHOOL-GREENVILLE,"1215 WOODRUFF ROAD, BLDG A",GREENVILLE,SC,29607,NOT AVAILABLE,(864) 640-8111
3453,488040,CONSTRUCTION TRAINING CENTER,7355 GARNERS FERRY ROAD,COLUMBIA,SC,29209,NOT AVAILABLE,(803) 403-1990
