OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
374,229841,WHARTON COUNTY JUNIOR COLLEGE,911 BOLING HWY,WHARTON,TX,77488,NOT AVAILABLE,(979) 532-4560
713,478014,NATIONAL AMERICAN UNIVERSITY-MESQUITE,18600 LBJ FREEWAY,MESQUITE,TX,75150,5628,(972) 773-8800
893,224615,DALLAS COLLEGE,1601 SOUTH LAMAR,DALLAS,TX,75215,3604,(214) 378-1824
900,225423,HOUSTON COMMUNITY COLLEGE,3100 MAIN STREET,HOUSTON,TX,77002,NOT AVAILABLE,(877) 422-6111
936,484905,UNIVERSITY OF NORTH TEXAS AT DALLAS,7300 UNIVERSITY HILLS DRIVE,DALLAS,TX,75241,NOT AVAILABLE,(972) 780-3600
943,484996,HOUSTON TRAINING SCHOOLS-GESSNER,3722 SOUTH GESSNER,HOUSTON,TX,77063,0000,(281) 867-9099
1445,225201,HALLMARK UNIVERSITY,10401 IH 10 W,SAN ANTONIO,TX,78230,1736,(210) 690-9000
1969,460206,CONCORDE CAREER COLLEGE-SAN ANTONIO,4803 NW LOOP 410,SAN ANTONIO,TX,78229,NOT AVAILABLE,(210) 428-2000
2011,224013,BK COSMO COLLEGE OF COSMETOLOGY,320 W. WATER STREET SUITE E,KERRVILLE,TX,78028,4312,(830) 896-2380
2165,225627,UNIVERSITY OF THE INCARNATE WORD,4301 BROADWAY,SAN ANTONIO,TX,78209,NOT AVAILABLE,(210) 829-6000
3945,224891,FRANK PHILLIPS COLLEGE,1301 W. ROOSEVELT ST.,BORGER,TX,79008,5118,(806) 457-4200
3971,480125,OGLE SCHOOL HAIR SKIN NAILS-SAN ANTONIO,742 N. LOOP 410 STE 226,SAN ANTONIO,TX,78216,NOT AVAILABLE,(210) 424-0555
4405,456153,MEDIATECH INSTITUTE-HOUSTON,3324 WALNUT BEND LN,HOUSTON,TX,77042,NOT AVAILABLE,(832) 242-3426
4693,225548,HOWARD PAYNE UNIVERSITY,1000 FISK ST.,BROWNWOOD,TX,76801,2794,(325) 646-2502
