OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
251,489247,AMERICAN BEAUTY ACADEMY-WEST VALLEY CAMPUS,3695 S REDWOOD RD,WEST VALLEY CITY,UT,84119,NOT AVAILABLE,(801) 281-6708
1994,461494,TAYLOR ANDREWS ACADEMY OF HAIR DESIGN-WEST JORDAN,9052 SOUTH 1510 WEST,WEST JORDAN,UT,84088,6577,(801) 748-2288
2513,230144,COLLECTIV ACADEMY,10301 S. 1300 E.,SANDY,UT,84094,NOT AVAILABLE,(801) 561-5610
3411,230621,STEVENS-HENAGER COLLEGE,1350 W. 1890 S.,WEST HAVEN,UT,84401,NOT AVAILABLE,(801) 622-1567 EXT 1000
4686,475723,TOOELE TECHNICAL COLLEGE,88 SOUTH TOOELE BLVD.,TOOELE,UT,84074,2093,(435) 248-1800
5741,230597,SNOW COLLEGE,150 E COLLEGE AVE,EPHRAIM,UT,84627,NOT AVAILABLE,(435) 283-7000
620,474924,AVALON SCHOOL OF COSMETOLOGY-LAYTON,1992 W ANTELOPE DRIVE,LAYTON,UT,84041,NOT AVAILABLE,(801) 614-5040
2095,447263,AMERITECH COLLEGE-DRAPER,12257 SOUTH BUSINESS PARK DRIVE-STE 100,DRAPER,UT,84020,6545,(801) 816-1444
2261,380465,UNIVERSITY OF PHOENIX-UTAH,5373 S. GREEN STREET,SALT LAKE CITY,UT,84123,4642,(866) 766-0766
1413,475495,ROCKY MOUNTAIN UNIVERSITY OF HEALTH PROFESSIONS,122 EAST 1700 SOUTH,PROVO,UT,84606,NOT AVAILABLE,(801) 375-5125
5105,230366,EAGLE GATE COLLEGE-MURRAY,5588 SOUTH GREEN STREET,MURRAY,UT,84123,6965,(801) 333-8100
763,481456,BONNIE JOSEPH ACADEMY OF COSMETOLOGY & BARBERING,164 SOUTH MAIN STREET,HEBER CITY,UT,84032,2044,(435) 654-9800
2182,455381,SKIN SCIENCE INSTITUTE,10299 S. 1300 E.,SANDY,UT,84094,NOT AVAILABLE,(801) 983-0619
3798,230746,SALT LAKE COMMUNITY COLLEGE,4600 S REDWOOD RD,SALT LAKE CITY,UT,84123,NOT AVAILABLE,(801) 957-4111
5318,445692,NEUMONT COLLEGE OF COMPUTER SCIENCE,143 SOUTH MAIN STREET,SALT LAKE CITY,UT,84111,1917,(801) 302-2800
2512,230764,UNIVERSITY OF UTAH,"201 PRESIDENTS CIRCLE, ROOM 201",SALT LAKE CITY,UT,84112,9008,(801) 581-7200
3207,495411,PAUL MITCHELL THE SCHOOL-RICHLAND-PROVO,480 NORTH 900 EAST,PROVO,UT,84606,3424,(801) 494-0214
4742,465812,INDEPENDENCE UNIVERSITY,4021 S 700 E STE 400,SALT LAKE CITY,UT,84107,NOT AVAILABLE,(800) 972-5149
774,456454,FORTIS COLLEGE-SALT LAKE CITY,3949 S 700 E STE 150,SALT LAKE CITY,UT,84107,NOT AVAILABLE,(801) 713-0915
3892,476294,PAUL MITCHELL THE SCHOOL-OGDEN,2285 GRANT AVENUE,OGDEN,UT,84401,NOT AVAILABLE,(801) 392-2104
4957,459541,AMERICAN BEAUTY ACADEMY,87 W 600 S,PAYSON,UT,84651,NOT AVAILABLE,(801) 465-1650
5461,230728,UTAH STATE UNIVERSITY,OLD MAIN HILL,LOGAN,UT,84322,1400,(435) 797-1000
2260,380456,PAUL MITCHELL THE SCHOOL-PROVO,480 N 900 E,PROVO,UT,84606,NOT AVAILABLE,(801) 374-5111
4508,461926,TAYLOR ANDREWS ACADEMY-ST GEORGE,2214 E RIVERSIDE DRIVE,ST. GEORGE,UT,84790,NOT AVAILABLE,(435) 673-8150
570,230782,WEBER STATE UNIVERSITY,3850 DIXON PARKWAY DR. DEPT. 1031,OGDEN,UT,84408,1031,(801) 626-6000
2511,230676,UINTAH BASIN TECHNICAL COLLEGE,1100 E LAGOON ST 124-5,ROOSEVELT,UT,84066,NOT AVAILABLE,(435) 722-6900
3170,494649,ESTEEM ACADEMY OF BEAUTY,1682 EAST 5600 SOUTH,SOUTH OGDEN,UT,84403,4374,(801) 689-3031
6402,495101,ZION MASSAGE COLLEGE,567 S. VALLEY VIEW DR. SUITE 4,ST. GEORGE,UT,84770,8819,(435) 261-4203
4372,230162,DAVIS TECHNICAL COLLEGE,550 E 300 S,KAYSVILLE,UT,84037,2699,(801) 593-2500
5201,458104,RENAISSANCE ACADEMIE,1460 N. MOONRIVER DRIVE,PROVO,UT,84604,NOT AVAILABLE,(801) 373-2887 EXT 2
1751,230056,BROADVIEW UNIVERSITY-WEST JORDAN,1902 W 7800 S,WEST JORDAN,UT,84088,NOT AVAILABLE,(385) 501-4803
2076,444857,SKINWORKS SCHOOL OF ADVANCED SKINCARE,2121 SOUTH 230 EAST,SALT LAKE CITY,UT,84115,NOT AVAILABLE,(801) 530-0001
2174,230807,WESTMINSTER COLLEGE,1840 SOUTH 1300 EAST,SALT LAKE CITY,UT,84105,NOT AVAILABLE,(801) 484-7651
1857,230171,DIXIE STATE UNIVERSITY,225 S UNIVERSITY AVENUE,SAINT GEORGE,UT,84770,3876,(435) 652-7500
4194,447421,EAGLE GATE COLLEGE-LAYTON,915 N 400 W,LAYTON,UT,84041,NOT AVAILABLE,(801) 546-7500
3791,448248,MOUNTAINLAND TECHNICAL COLLEGE,2301 WEST ASHTON BLVD.,LEHI,UT,84043,NOT AVAILABLE,(801) 753-4100
1382,438151,STEVENS-HENAGER COLLEGE,383 W VINE ST,MURRAY,UT,84123,5671,(801) 281-7620
1858,230214,PAUL MITCHELL THE SCHOOL-SALT LAKE CITY,1969 EAST MURRAY HOLLADAY ROAD,HOLLADAY,UT,84117,NOT AVAILABLE,(801) 266-4693
5460,229957,AMERITECH COLLEGE-PROVO,,PROVO,UT,84604,NOT AVAILABLE,(801) 377-2900
4669,481100,TOP NAILS & HAIR BEAUTY SCHOOL,1735 WEST 5400 SOUTH,TAYLORSVILLE,UT,84118,0000,(801) 964-5400
4992,230418,ENSIGN COLLEGE,95 NORTH 300 WEST,SALT LAKE CITY,UT,84101,3500,(801) 524-8100
5315,444787,NIGHTINGALE COLLEGE,175 S MAIN ST SUITE 400,SALT LAKE CITY,UT,84111,NOT AVAILABLE,(801) 689-2160
