OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
357,233019,PATRICK HENRY COMMUNITY COLLEGE,645 PATRIOT AVENUE,MARTINSVILLE,VA,24112,NOT AVAILABLE,(276) 656-0200
2218,231688,CENTRAL SCHOOL OF PRACTICAL NURSING,1330 N MILLITARY HWY,NORFOLK,VA,23502,NOT AVAILABLE,(757) 892-3300
4393,234164,VIRGINIA UNION UNIVERSITY,1500 N LOMBARDY ST,RICHMOND,VA,23220,NOT AVAILABLE,(804) 257-5600
5171,231697,CENTRAL VIRGINIA COMMUNITY COLLEGE,3506 WARDS RD,LYNCHBURG,VA,24502,2498,(434) 832-7600
5465,231280,PAUL MITCHELL THE SCHOOL-ROANOKE,658 BRANDON AVE SW STE 210,ROANOKE,VA,24015,NOT AVAILABLE,(540) 343-0153
6351,493530,BRISTOL SCHOOL OF HAIR DESIGN,805 COMMONWEALTH AVENUE,BRISTOL,VA,24201,3323,(276) 669-2112
750,233541,SHENANDOAH UNIVERSITY,1460 UNIVERSITY DR,WINCHESTER,VA,22601,5195,(540) 665-4500
1147,377449,CENTURA COLLEGE-NEWPORT NEWS,616 DENBIGH BLVD.,NEWPORT NEWS,VA,23608,NOT AVAILABLE,(757) 874-2121
2223,234076,UNIVERSITY OF VIRGINIA-MAIN CAMPUS,1827 UNIVERSITY AVENUE,CHARLOTTESVILLE,VA,22903,2628,(434) 924-0311
3891,476179,EMPIRE BEAUTY SCHOOL-VIRGINIA BEACH,116 SOUTH INDEPENDENCE BOULEVARD,VIRGINIA BEACH,VA,23462,6779,(800) 920-4593
4146,484765,UNIVERSITY OF PHOENIX-VIRGINIA,4636 COLUMBUS STREET,VIRGINIA BEACH,VA,23462,NOT AVAILABLE,(866) 766-0766
5257,233408,RIVERSIDE COLLEGE OF HEALTH CAREERS,316 MAIN STREET,NEWPORT NEWS,VA,23601,NOT AVAILABLE,(757) 240-2200
5502,382957,FORTIS COLLEGE-RICHMOND,"2000 WESTMORELAND STREET, SUITE A",RICHMOND,VA,23230,NOT AVAILABLE,(804) 323-1020
