OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
941,230834,CASTLETON UNIVERSITY,62 ALUMNI DR,CASTLETON,VT,5735,NOT AVAILABLE,(802) 468-5611
1175,456001,ADVANCED WELDING INSTITUTE,2 GREEN TREE DR SUITE 3,SOUTH BURLINGTON,VT,5403,NOT AVAILABLE,(802) 660-0600
2014,230959,MIDDLEBURY COLLEGE,OLD CHAPEL,MIDDLEBURY,VT,5753,NOT AVAILABLE,(802) 443-5000
942,230861,COMMUNITY COLLEGE OF VERMONT,660 ELM STREET,MONTPELIER,VT,5602,NOT AVAILABLE,(802) 828-4060
4345,231095,STERLING COLLEGE,16 STERLING DRIVE,CRAFTSBURY COMMON,VT,5827,0072,(802) 586-7711
6186,231004,O'BRIENS AVEDA INSTITUTE,400 CORNERSTONE DR 220,WILLISTON,VT,5495,NOT AVAILABLE,(802) 876-7044
5463,231059,SAINT MICHAEL'S COLLEGE,ONE WINOOSKI PARK,COLCHESTER,VT,5439,NOT AVAILABLE,(802) 654-2000
4404,455992,VERMONT COLLEGE OF FINE ARTS,36 COLLEGE ST,MONTPELIER,VT,5602,NOT AVAILABLE,(802) 828-8600
6185,230816,BENNINGTON COLLEGE,ONE COLLEGE DRIVE,BENNINGTON,VT,5201,6003,(802) 442-5401
5464,231068,SIT GRADUATE INSTITUTE,1 KIPLING RD,BRATTLEBORO,VT,5302,0676,(802) 257-7751
6187,230977,NEW ENGLAND CULINARY INSTITUTE,"62 RIDGE STREET, 2ND FLOOR",MONTPELIER,VT,5602,NOT AVAILABLE,(802) 327-0287
6189,231147,VERMONT LAW SCHOOL,164 CHELSEA STREET,SOUTH ROYALTON,VT,5068,0096,(802) 831-1000
5253,231174,UNIVERSITY OF VERMONT,85 S PROSPECT ST,BURLINGTON,VT,5405,0160,(802) 656-3131
2013,230940,MARLBORO COLLEGE,2582 SOUTH RD,MARLBORO,VT,5344,0300,(802) 490-0553
4155,230852,CHAMPLAIN COLLEGE,163 S WILLARD ST,BURLINGTON,VT,5401,NOT AVAILABLE,(802) 860-2700
6188,230889,GODDARD COLLEGE,123 PITKIN ROAD,PLAINFIELD,VT,5667,9432,(802) 454-8311
940,230913,NORTHERN VERMONT UNIVERSITY,337 COLLEGE HILL,JOHNSON,VT,5656,9464,(802) 635-2356
2216,231156,VERMONT STATE COLLEGES-OFFICE OF THE CHANCELLOR,"575 STONE CUTTERS WAY, SUITE 1",MONTPELIER,VT,5602,NOT AVAILABLE,(802) 224-3001
2238,247649,LANDMARK COLLEGE,19 RIVER RD SOUTH,PUTNEY,VT,5346,NOT AVAILABLE,(802) 387-6700
5286,440411,MARLBORO COLLEGE GRADUATE & PROFESSIONAL STUDIES,2582 SOUTH ROAD,MARLBORO,VT,5344,NOT AVAILABLE,(802) 258-9200
5353,230995,NORWICH UNIVERSITY,158 HARMON DRIVE,NORTHFIELD,VT,5663,1035,(802) 485-2000
2217,231165,VERMONT TECHNICAL COLLEGE,124 ADMIN DRIVE,RANDOLPH,VT,5061,NOT AVAILABLE,(802) 728-1000
