OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
1374,434362,NORTHWEST HVAC/R TRAINING CENTER,204 E. NORA AVE,SPOKANE,WA,99207,NOT AVAILABLE,(509) 747-8810
2177,237066,WHITWORTH UNIVERSITY,300 W HAWTHORNE RD,SPOKANE,WA,99251,NOT AVAILABLE,(509) 777-1000
2021,236948,UNIVERSITY OF WASHINGTON-SEATTLE CAMPUS,1400 NE CAMPUS PARKWAY,SEATTLE,WA,98195,4550,(206) 543-2100
1024,451626,VICTORIA'S ACADEMY OF COSMETOLOGY,23 W. 1ST AVE.,KENNEWICK,WA,99336,NOT AVAILABLE,(509) 586-9979
1164,235431,HIGHLINE COLLEGE,2400 S 240TH ST,DES MOINES,WA,98198,9800,(206) 878-3710
5262,236382,RENTON TECHNICAL COLLEGE,3000 NE FOURTH ST,RENTON,WA,98056,4123,(425) 235-2352
78,485476,STUDIO BEAUTY SCHOOL,10001 E SPRAGUE AVE,SPOKANE VALLEY,WA,99206,NOT AVAILABLE,(509) 242-9921
571,235097,EASTERN WASHINGTON UNIVERSITY,526 5TH STREET,CHENEY,WA,99004,2496,(509) 359-6200
1963,458140,NORTHWEST SCHOOL OF WOODEN BOAT BUILDING,42 N WATER ST,PORT HADLOCK,WA,98339,NOT AVAILABLE,(360) 385-4948
2517,236692,SPOKANE COMMUNITY COLLEGE,1810 NORTH GREENE STREET,SPOKANE,WA,99217,5399,(509) 533-7000
2972,236133,NORTHWEST UNIVERSITY,5520 108TH AVE NE,KIRKLAND,WA,98083,0579,(425) 822-8266
3800,236939,WASHINGTON STATE UNIVERSITY,FRENCH ADMINISTRATION BUILDING,PULLMAN,WA,99164,5910,(509) 335-3564
3956,380377,NORTHWEST INDIAN COLLEGE,2522 KWINA RD,BELLINGHAM,WA,98226,9217,(360) 676-2772
5261,236230,PACIFIC LUTHERAN UNIVERSITY,12180 PARK AVE SOUTH,TACOMA,WA,98447,0003,(253) 535-8145
5746,237011,WESTERN WASHINGTON UNIVERSITY,516 HIGH STREET,BELLINGHAM,WA,98225,9008,(360) 650-3000
5748,237039,WHATCOM COMMUNITY COLLEGE,237 W KELLOGG RD,BELLINGHAM,WA,98226,NOT AVAILABLE,(360) 383-3000
3821,462071,PAUL MITCHELL THE SCHOOL-SPOKANE,"15303 EAST SPRAGUE AVENUE, SUITE C",SPOKANE VALLEY,WA,99037,5041,(509) 924-7454
60,487348,AVEDA INSTITUTE PORTLAND-VANCOUVER CAMPUS,6615 NORTH EAST 4TH PLAIN BOULEVARD,VANCOUVER,WA,98661,7264,(360) 326-0567 EXT 382
1909,102845,CHARTER COLLEGE,"17200 S.E. MILL PLAIN BOULEVARD, SUITE 100",VANCOUVER,WA,98683,7575,(360) 448-2000
2516,236577,SEATTLE PACIFIC UNIVERSITY,3307 3RD AVE W,SEATTLE,WA,98119,1997,(206) 281-2000
5325,446260,EVERGREEN BEAUTY AND BARBER COLLEGE-EVERETT,802 SE EVERETT MALL WAY STE A,EVERETT,WA,98208,NOT AVAILABLE,(425) 423-9186
7,482185,ACADEMY OF INTERACTIVE ENTERTAINMENT,305 HARRISON ST STE 405,SEATTLE,WA,98109,4623,(206) 428-6350
1113,234951,CLOVER PARK TECHNICAL COLLEGE,4500 STEILACOOM BLVD SW,LAKEWOOD,WA,98499,4004,(253) 589-5800
2178,236452,SAINT MARTIN'S UNIVERSITY,5000 ABBEY WAY SE,LACEY,WA,98503,7500,(360) 491-4700
4696,235583,HIGHLIGHTS BEAUTY SCHOOLS,6007- A 244TH STREET SW,MOUNTLAKE TERRACE,WA,98043,NOT AVAILABLE,(206) 368-0210
5411,234933,CLARK COLLEGE,1933 FORT VANCOUVER WAY,VANCOUVER,WA,98663,3598,(360) 992-2000
6440,496423,ZORGANICS INSTITUTE BEAUTY AND WELLNESS,410 WEST BAKERVIEW ROAD SUITE 112,BELLINGHAM,WA,98226,NOT AVAILABLE,(360) 746-9609
229,488448,SEATTLE FILM INSTITUTE,3210 16TH AVENUE W,SEATTLE,WA,98119,1707,(206) 568-4387
2035,439914,SEATTLE INSTITUTE OF EAST ASIAN MEDICINE,226 SOUTH ORCAS STREET,SEATTLE,WA,98108,NOT AVAILABLE,(206) 517-4541
5356,235334,GRAYS HARBOR COLLEGE,1620 EDWARD P SMITH DRIVE,ABERDEEN,WA,98520,7599,(360) 532-9020
5357,235343,GREEN RIVER COLLEGE,12401 SE 320TH ST,AUBURN,WA,98092,3622,(253) 833-9111
6295,491260,CENTRALIA BEAUTY COLLEGE,217 S TOWER AVENUE,CENTRALIA,WA,98531,NOT AVAILABLE,(360) 736-2866
2515,234979,COLUMBIA BASIN COLLEGE,2600 N 20TH AVE,PASCO,WA,99301,NOT AVAILABLE,(509) 547-0511
