OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
3803,238722,FOX VALLEY TECHNICAL COLLEGE,1825 N BLUEMOUND DR,APPLETON,WI,54912,2277,(920) 735-5600
5272,240189,UNIVERSITY OF WISCONSIN-WHITEWATER,800 W MAIN ST,WHITEWATER,WI,53190,1790,(262) 472-1234
5750,240426,UNIVERSITY OF WISCONSIN-SUPERIOR,1605 CATLIN AVE,SUPERIOR,WI,54880,4500,(715) 394-8101
319,239743,HOLY FAMILY COLLEGE,2406 S ALVERNO RD,MANITOWOC,WI,54220,9319,NOT AVAILABLE
859,239628,RIPON COLLEGE,300 WEST SEWARD STREET,RIPON,WI,54971,0248,(920) 748-8115
1141,238980,LAKELAND UNIVERSITY,W3718 SOUTH DRIVE,PLYMOUTH,WI,53073,NOT AVAILABLE,(920) 565-1000
953,238397,BLACKHAWK TECHNICAL COLLEGE,6004 SOUTH COUNTY ROAD G,JANESVILLE,WI,53547,5009,(608) 758-6900
318,238476,CARTHAGE COLLEGE,2001 ALFORD PARK DR,KENOSHA,WI,53140,1994,(262) 551-8500
760,481137,SHEPHERDS COLLEGE,1805 15TH AVENUE,UNION GROVE,WI,53182,NOT AVAILABLE,(262) 878-5620 EXT 0
1756,239424,NASHOTAH HOUSE,2777 MISSION RD,NASHOTAH,WI,53058,9793,(262) 646-6500
4122,483799,EAST-WEST HEALING ARTS INSTITUTE,6425 NORMANDY LANE,MADISON,WI,53719,1133,(608) 240-1600
454,240365,UNIVERSITY OF WISCONSIN-OSHKOSH,800 ALGOMA BLVD,OSHKOSH,WI,54901,NOT AVAILABLE,(920) 424-1234
2417,413617,COLLEGE OF MENOMINEE NATION,N172 STATE HIGHWAY 47&55,KESHENA,WI,54135,1179,(715) 799-5600 EXT 3084
3076,491224,TRICOCI UNIVERSITY OF BEAUTY CULTURE-JANESVILLE,2310 W. COURT STREET,JANESVILLE,WI,53548,NOT AVAILABLE,(630) 528-3330
4324,238458,CARROLL UNIVERSITY,100 N EAST AVE,WAUKESHA,WI,53186,NOT AVAILABLE,(262) 547-1211
5898,238573,COLUMBIA COLLEGE OF NURSING,4425 N PORT WASHINGTON RD,GLENDALE,WI,53212,NOT AVAILABLE,(414) 326-2330
3078,491297,UNIVERSITY OF WISCONSIN-PARKSIDE FLEX,900 WOOD RD,KENOSHA,WI,53141,NOT AVAILABLE,(877) 895-3276
