OBJECTID,IPEDSID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
1702,377661,VALLEY COLLEGE-MARTINSBURG,287 AIKENS CTR EDWIN MILLER BLVD,MARTINSBURG,WV,25404,6203,(304) 263-0979
2974,377643,HUNTINGTON SCHOOL OF BEAUTY CULTURE,5636 U.S. ROUTE 60 EAST,HUNTINGTON,WV,25705,2030,(304) 736-6289
5473,237844,FRED W EBERLE TECHNICAL CENTER,208 MORTON AVE,BUCKHANNON,WV,26201,NOT AVAILABLE,(304) 472-1259
2022,237181,BETHANY COLLEGE,31 E CAMPUS DR,BETHANY,WV,26032,NOT AVAILABLE,(304) 829-7000
3790,447582,NEW RIVER COMMUNITY AND TECHNICAL COLLEGE,280 UNIVERSITY DRIVE,BEAVER,WV,25813,8987,(304) 929-5450
5268,237543,MERCER COUNTY TECHNICAL EDUCATION CENTER,1397 STAFFORD DR,PRINCETON,WV,24740,NOT AVAILABLE,(304) 425-9551
1701,237118,ALDERSON BROADDUS UNIVERSITY,101 COLLEGE HILL DRIVE,PHILIPPI,WV,26416,2035,(304) 457-1700
2559,431169,GARNET CAREER CENTER,422 DICKINSON ST,CHARLESTON,WV,25301,NOT AVAILABLE,(304) 348-6195
3568,237701,POTOMAC STATE COLLEGE OF WEST VIRGINIA UNIVERSITY,101 FORT AVE,KEYSER,WV,26726,NOT AVAILABLE,(304) 788-6820
1383,438708,EASTERN WEST VIRGINIA COMMUNITY AND TECHNICAL COLLEGE,316 EASTERN DRIVE,MOOREFIELD,WV,26836,0000,(304) 434-8000
5265,237473,JAMES RUMSEY TECHNICAL INSTITUTE,3274 HEDGESVILLE ROAD,MARTINSBURG,WV,25403,0259,(304) 754-7925
5474,237899,WEST VIRGINIA STATE UNIVERSITY,RTE 25,INSTITUTE,WV,25112,1000,(304) 766-3000
2521,237215,BLUEFIELD STATE COLLEGE,219 ROCK STREET,BLUEFIELD,WV,24701,2198,(304) 327-4000
5263,237172,BEN FRANKLIN CAREER CENTER,500 28TH ST,DUNBAR,WV,25064,NOT AVAILABLE,(304) 766-0369
6196,238078,WHEELING UNIVERSITY,316 WASHINGTON AVE,WHEELING,WV,26003,NOT AVAILABLE,(304) 243-2000
993,448275,MOUNTAIN STATE SCHOOL OF MASSAGE,601 50TH ST,CHARLESTON,WV,25304,NOT AVAILABLE,(304) 926-8822
3409,486202,MINGO EXTENDED LEARNING CENTER,165 BULLDOG BLVD,DELBARTON,WV,25670,9797,(304) 475-3347 EXT 16
5647,413176,FAYETTE INSTITUTE OF TECHNOLOGY,300 WEST OYLER AVENUE,OAK HILL,WV,25901,NOT AVAILABLE,(304) 469-2911 EXT 7104
6198,237358,DAVIS & ELKINS COLLEGE,100 CAMPUS DR,ELKINS,WV,26241,3996,(304) 637-1900
2585,237303,CHARLESTON SCHOOL OF BEAUTY CULTURE,210 CAPITOL ST,CHARLESTON,WV,25301,NOT AVAILABLE,(304) 346-9603
2973,238005,INTERNATIONAL BEAUTY SCHOOL 4,201 WEST KING STREET,MARTINSBURG,WV,25401,NOT AVAILABLE,(304) 263-4929
1531,237969,WEST VIRGINIA WESLEYAN COLLEGE,59 COLLEGE AVE,BUCKHANNON,WV,26201,2994,(304) 473-8000
2078,444954,MOUNTWEST COMMUNITY AND TECHNICAL COLLEGE,ONE MOUNTWEST WAY,HUNTINGTON,WV,25701,NOT AVAILABLE,(866) 710-3140
2520,237330,CONCORD UNIVERSITY,1000 VERMILLION STREET,ATHENS,WV,24712,NOT AVAILABLE,(888) 344-6679
5267,237525,MARSHALL UNIVERSITY,1 JOHN MARSHALL DR,HUNTINGTON,WV,25755,NOT AVAILABLE,(304) 696-3170
5589,237950,WEST VIRGINIA UNIVERSITY INSTITUTE OF TECHNOLOGY,512 SOUTH KANAWHA STREET,BECKLEY,WV,25801,NOT AVAILABLE,(304) 442-1000
128,486406,RANDOLPH TECHNICAL CENTER,200 KENNEDY DRIVE,ELKINS,WV,26241,9527,(304) 636-9195
5849,419031,UNITED TECHNICAL CENTER,251 MARIETTA STREET,CLARKSBURG,WV,26301,6313,(304) 326-7582
2064,443492,PIERPONT COMMUNITY AND TECHNICAL COLLEGE,1201 LOCUST AVE,FAIRMONT,WV,26554,NOT AVAILABLE,(304) 367-4907
2230,238032,WEST VIRGINIA UNIVERSITY,PO BOX 6201,MORGANTOWN,WV,26506,NOT AVAILABLE,(304) 293-0111
3802,237817,SOUTHERN WEST VIRGINIA COMMUNITY AND TECHNICAL COLLEGE,DEMPSEY BRANCH ROAD,MOUNT GAY,WV,25637,NOT AVAILABLE,(304) 896-7098
5476,238096,WOOD COUNTY SCHOOL OF PRACTICAL NURSING,1515 BLIZZARD DRIVE,PARKERSBURG,WV,26101,NOT AVAILABLE,(304) 420-9501
768,481906,ROSS MEDICAL EDUCATION CENTER-CHARLESTON,"5707 MACCORKLE AVENUE S.E., STE. 20",CHARLESTON,WV,25304,2816,(304) 925-5645
1238,237996,WEST VIRGINIA JUNIOR COLLEGE-MORGANTOWN,148 WILLEY ST,MORGANTOWN,WV,26505,NOT AVAILABLE,(304) 296-8282
2976,237145,B M SPURR SCHOOL OF PRACTICAL NURSING,800 WHEELING AVE,GLEN DALE,WV,26038,NOT AVAILABLE,(304) 843-3255
5475,237932,WEST LIBERTY UNIVERSITY,208 UNIVERSITY DRIVE,WEST LIBERTY,WV,26074,NOT AVAILABLE,(304) 336-5000
955,237367,FAIRMONT STATE UNIVERSITY,1201 LOCUST AVE,FAIRMONT,WV,26554,2470,(304) 367-4000
2225,237136,APPALACHIAN BIBLE COLLEGE,161 COLLEGE DRIVE,MOUNT HOPE,WV,25880,9557,(304) 877-6428
4311,449339,AMERICAN PUBLIC UNIVERSITY SYSTEM,111 W CONGRESS ST,CHARLES TOWN,WV,25414,NOT AVAILABLE,(877) 468-6268
5266,237491,RALPH R WILLIS CAREER AND TECHNICAL CENTER,"144 VOCATIONAL ROAD, THREE MILE CURVE",STOLLINGS,WV,25646,NOT AVAILABLE,(304) 752-4687 EXT 2202
956,237561,MONONGALIA COUNTY TECHNICAL EDUCATION CENTER,1000 MISSISSIPPI STREET,MORGANTOWN,WV,26501,6841,(304) 291-9240 EXT 2723
1757,201982,SCOTT COLLEGE OF COSMETOLOGY,1502 MARKET ST,WHEELING,WV,26003,NOT AVAILABLE,(304) 232-7798
4464,237987,WEST VIRGINIA JUNIOR COLLEGE-CHARLESTON,5514 BIG TYLER ROAD SUITE 200,CROSS LANES,WV,25313,1304,(304) 345-2820
659,476230,ROSS MEDICAL EDUCATION CENTER-MORGANTOWN,1064 SUNCREST TOWNE CENTRE DRIVE,MORGANTOWN,WV,26505,1875,(304) 598-3689
2229,237905,WEST VIRGINIA UNIVERSITY HOSPITAL DEPARTMENTS OF RAD TECH AND NUTRITION,MEDICAL CTR DR,MORGANTOWN,WV,26506,8062,(304) 598-4251
2360,237385,GLENVILLE STATE COLLEGE,200 HIGH STREET,GLENVILLE,WV,26351,1292,(304) 462-7361
2977,237570,MORGANTOWN BEAUTY COLLEGE INC,276 WALNUT ST,MORGANTOWN,WV,26505,5430,(304) 292-8475 EXT 0
2228,237783,SALEM UNIVERSITY,223 W MAIN ST,SALEM,WV,26426,NOT AVAILABLE,(304) 326-1109
2361,237792,SHEPHERD UNIVERSITY,301 NORTH KING ST,SHEPHERDSTOWN,WV,25443,NOT AVAILABLE,(304) 876-5000
4698,237312,UNIVERSITY OF CHARLESTON,"2300 MACCORKLE AVENUE, SE",CHARLESTON,WV,25304,NOT AVAILABLE,(800) 995-4682
5590,237880,WEST VIRGINIA SCHOOL OF OSTEOPATHIC MEDICINE,400 LEE STREET NORTH,LEWISBURG,WV,24901,NOT AVAILABLE,(304) 645-6270
5851,419420,PUTNAM CAREER AND TECHNICAL CENTER,300 ROOSEVELT BOULEVARD,ELEANOR,WV,25070,0640,(304) 586-3494 EXT 4421
2226,237686,WEST VIRGINIA UNIVERSITY AT PARKERSBURG,300 CAMPUS DRIVE,PARKERSBURG,WV,26104,NOT AVAILABLE,(304) 424-8000
6195,237321,CLARKSBURG BEAUTY ACADEMY AND SCHOOL OF MASSAGE THERAPY,120 S 3RD ST,CLARKSBURG,WV,26301,NOT AVAILABLE,(304) 624-6475 EXT 110
201,487977,MARTINSBURG COLLEGE,341 AIKENS CENTER,MARTINSBURG,WV,25404,6204,(917) 613-8499
756,481030,FUTURE GENERATIONS UNIVERSITY,400 ROAD LESS TRAVELED RD,FRANKLIN,WV,26807,0000,(304) 358-2000
2091,446774,BLUE RIDGE COMMUNITY AND TECHNICAL COLLEGE,13650 APPLE HARVEST DRIVE,MARTINSBURG,WV,25403,NOT AVAILABLE,(304) 260-4380
2668,368647,MINERAL COUNTY VOCATIONAL TECHNICAL CENTER,981 HARLEY O STAGGERS SR DR,KEYSER,WV,26726,NOT AVAILABLE,(304) 788-4240 EXT 10
