OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10273,62547003794,JOSEPH A. GASCON ELEMENTARY,630 S. LEONARD ST.,LOS ANGELES,CA,90022,3508,(323) 721-2025
10479,61722009856,HILMAR MIDDLE,7528 N. SCHOLAR WAY,HILMAR,CA,95324,9655,(209) 632-8847
10497,63417005375,NORTH PARK ELEMENTARY,5378 N. H ST.,SAN BERNARDINO,CA,92407,2561,(909) 881-8202
10516,64347007035,LINCOLN ELEMENTARY,1582 LINCOLN RD.,YUBA CITY,CA,95993,6017,(530) 822-5255
10934,62547003794,JOSEPH A. GASCON ELEMENTARY,630 S. LEONARD ST.,LOS ANGELES,CA,90022,3508,(323) 721-2025
11043,63498005920,BURLINGAME HIGH,1 MANGINI WAY,BURLINGAME,CA,94010,2708,(650) 558-2899
11164,60957004434,COLUSA ALTERNATIVE HOME,745 10TH ST.,COLUSA,CA,95932,2220,(530) 458-2156
11375,69104309256,TEHAMA OAKS HIGH,1790 WALNUT ST.,RED BLUFF,CA,96080,0810,(530) 527-4052
11391,60985001068,VICTRESS BOWER SCHOOL FOR EXCEPTIONAL STUDENTS,1250 W. PARKRIDGE AVE.,NORCO,CA,92860,2864,(951) 736-4646
11971,61949008865,ENTERPRISE HIGH,15405 SUNSET AVE.,KERMAN,CA,93630,1345,(559) 843-9580
12249,63384005280,SAM BRANNAN MIDDLE,5301 ELMER WAY,SACRAMENTO,CA,95822,2414,(916) 395-5360
12619,62271002830,DAN M. ISSACS AVALON HIGH,1425 N. AVALON BLVD.,WILMINGTON,CA,90744,1506,(310) 549-2112
12771,63543006052,SUTTER ELEMENTARY,3200 FORBES AVE.,SANTA CLARA,CA,95051,6119,(408) 423-4200
12941,63393005323,LOMA VISTA ELEMENTARY,757 SAUSAL DR.,SALINAS,CA,93906,2299,(831) 753-5670
13018,60750008312,PACIFIC RIM ELEMENTARY,1100 CAMINO DE LAS ONDAS,CARLSBAD,CA,92009,3400,(760) 331-6200
13051,60645000571,LUTHER BURBANK MIDDLE,3700 W. JEFFRIES AVE.,BURBANK,CA,91505,1849,(818) 558-4646
13149,61440000488,FOREST PARK ELEMENTARY,34400 MAYBIRD CIR.,FREMONT,CA,94555,2917,(510) 713-0414
13272,63417005361,GOLDEN VALLEY MIDDLE,3800 WATERMAN AVE.,SAN BERNARDINO,CA,92404,1739,(909) 881-8168
13380,62466003700,LIVINGSTON HIGH,1617 MAIN ST.,LIVINGSTON,CA,95334,1250,(209) 398-3200
13412,64080006742,VALLEY HOME ELEMENTARY,13231 PIONEER AVE.,VALLEY HOME,CA,95361,7773,(209) 847-0117
13415,62513003728,BURBANK ELEMENTARY,1135 PARADISE RD.,MODESTO,CA,95351,2999,(209) 574-1962
13832,62805004309,PRESCOTT,920 CAMPBELL ST.,OAKLAND,CA,94607,1320,(510) 874-3333
13865,68450013794,CYPRESS VILLAGE ELEMENTARY,355 RUSH LILY,IRVINE,CA,92620,4112,(949) 936-5000
14543,61734009378,CERRA VISTA ELEMENTARY,2151 CERRA VISTA DR.,HOLLISTER,CA,95023,6200,(831) 636-4470
15704,69102407578,OCCS:CHEP/PCHS,14262 FRANKLIN AVE. STE. 100,TUSTIN,CA,92780,7017,(714) 245-6500
15813,60558009314,ARELLANES (DON JUAN BAUTISTA) ELEMENTARY,1890 SANDALWOOD DR.,SANTA MARIA,CA,93455,2846,(805) 361-6860
15986,62271003461,WHITE POINT ELEMENTARY,1410 SILVIUS AVE.,SAN PEDRO,CA,90731,6099,(310) 833-5232
16403,61455001759,PYLE ELEMENTARY,4140 N. AUGUSTA AVE.,FRESNO,CA,93726,4101,(559) 248-7240
16435,62450003674,JOHN SINNOTT ELEMENTARY,2025 YELLOWSTONE AVE.,MILPITAS,CA,95035,6951,(408) 635-2674
16541,60962002220,CESAR CHAVEZ CONTINUATION HIGH,15301 SAN JOSE AVE.,COMPTON,CA,90221,3131,(310) 898-6340
16713,62316010903,MARCO ANTONIO FIREBAUGH HIGH,5246 MLK BLVD.,LYNWOOD,CA,90262,3903,(310) 886-5200
17395,63432011382,PORTER ELEMENTARY,4800 T ST.,SAN DIEGO,CA,92113,5006,(619) 266-7700
17767,62169013335,SPECIAL EDUCATION PRESCHOOL DIS,2016 PALOMA AVE.,STOCKTON,CA,95209,NOT AVAILABLE,(209) 953-8726
