OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10323,80555001932,ADVENTURE ELEMENTARY,7700 DELTA ST.,DENVER,CO,80221,4141,(303) 853-1410
10526,80723001246,SHERRELWOOD ELEMENTARY SCHOOL,8095 KALAMATH DRIVE,DENVER,CO,80221,3941,(303) 428-5353
12402,80360000477,GALETON ELEMENTARY SCHOOL,24750 THIRD STREET,GALETON,CO,80622,NOT AVAILABLE,(970) 454-3421
13707,80495001697,PLATTE VALLEY MIDDLE SCHOOL,700 HILL STREET,KERSEY,CO,80644,NOT AVAILABLE,(970) 336-8610
15158,80336001574,DENVER SCHOOL OF THE ARTS,7111 MONTVIEW BLVD,DENVER,CO,80220,1867,(720) 424-1700
15326,80615006496,70 ONLINE,301 LANE 28,PUEBLO,CO,81001,NOT AVAILABLE,(719) 295-6518
16892,80480006164,BRADFORD K8 SOUTH,1 WHITE OAK DRIVE,LITTLETON,CO,80127,4348,(303) 982-3480
18596,80306000242,MANN MIDDLE SCHOOL,1001 EAST VAN BUREN STREET,COLORADO SPRINGS,CO,80907,6417,(719) 328-2300
4432,80435001345,MOUNT GARFIELD MIDDLE SCHOOL,3475 FRONT STREET,CLIFTON,CO,81520,8405,(970) 254-4720
8275,80441000648,MEEKER ELEMENTARY SCHOOL,2221 28TH AVENUE,GREELEY,CO,80634,7650,(970) 348-2000
8831,80540000931,CENTENNIAL ELEMENTARY SCHOOL,1555 WEST 37TH STREET,LOVELAND,CO,80538,2003,(970) 613-5800
9742,80249000110,CREST VIEW ELEMENTARY SCHOOL,1897 SUMAC AVENUE,BOULDER,CO,80304,0815,(720) 561-5461
40867,80537006409,BLACK ROCK ELEMENTARY,2000 MOUNTAIN VIEW BLVD,ERIE,CO,80516,4714,(720) 890-3995
41482,80690001401,SKYVIEW ELEMENTARY SCHOOL,5021 EAST 123RD AVENUE,THORNTON,CO,80241,3203,(720) 972-5620
41500,80660001140,SIMLA JUNIOR HIGH SCHOOL,18091 COUNTY ROAD 125,SIMLA,CO,80835,NOT AVAILABLE,(719) 541-2291
41507,80480001548,SEMPER ELEMENTARY SCHOOL,7575 WEST 96TH AVENUE,WESTMINSTER,CO,80021,4873,(303) 982-6460
41528,80303006288,PLATEAU VALLEY MIDDLE SCHOOL,56600 HIGHWAY 330,COLLBRAN,CO,81624,9505,(970) 487-3547
49773,80678000138,STRATTON MIDDLE SCHOOL,219 ILLINOIS AVENUE,STRATTON,CO,80836,1156,(719) 348-5369
62928,80336006537,STRIVE PREP - MONTBELLO,5000 CROWN BLVD.,DENVER,CO,80239,3018,(303) 999-3825
65292,80336000328,COLLEGE VIEW ELEMENTARY SCHOOL,2675 SOUTH DECATUR STREET,DENVER,CO,80219,6031,(720) 424-8660
67055,80549000947,MANITOU SPRINGS ELEMENTARY SCHOOL,110 PAWNEE AVENUE,MANITOU SPRINGS,CO,80829,2149,(719) 685-2195
69233,80345006219,CRESTHILL MIDDLE SCHOOL,9195 CRESTHILL LANE,HIGHLANDS RANCH,CO,80130,4445,(303) 387-2800
69835,80480001970,FALCON BLUFFS MIDDLE SCHOOL,8449 SOUTH GARRISON STREET,LITTLETON,CO,80128,6156,(303) 982-9900
100441,80405000557,FORT MORGAN HIGH SCHOOL,709 EAST RIVERVIEW AVENUE,FORT MORGAN,CO,80701,3263,(970) 867-5648
101767,80651001130,HI-PLAINS SCHOOL DISTRICT R-23,200 IOWA AVE,SEIBERT,CO,80834,NOT AVAILABLE,(970) 664-2616
104520,80002006768,AXIS INTERNATIONAL ACADEMY,2130 WEST HORSETOOTH ROAD,FORT COLLINS,CO,80526,6436,(303) 866-4643
104549,80291006769,THE JOURNEY PRESCHOOL,4360 S. PITKIN,AURORA,CO,80015,NOT AVAILABLE,(720) 554-4083
104582,80606006811,PEYTON COLLEGE ACADEMY,18320 MAIN ST,PEYTON,CO,80831,8173,(719) 749-2330
104589,80723006799,EARLY LEARNING CENTER AT FRANCIS M. DAY,1740 JORDAN DR,DENVER,CO,80221,NOT AVAILABLE,(303) 523-8551
22033,80537000908,SUNSET MIDDLE SCHOOL,1300 S. SUNSET,LONGMONT,CO,80501,6528,(303) 776-3963
23680,80534006376,LONE STAR MIDDLE SCHOOL,44940 COUNTY ROAD 54,OTIS,CO,80743,9621,(970) 848-2778
25381,80345000812,PARKER CORE KNOWLEDGE CHARTER SCHOOL,1161 NORTH PINE DRIVE,PARKER,CO,80138,NOT AVAILABLE,(303) 840-7070
25459,80654001134,SHERIDAN HIGH SCHOOL,3201 WEST OXFORD AVENUE,ENGLEWOOD,CO,80110,6204,(720) 833-6987
25553,80285000177,HASKIN ELEMENTARY SCHOOL,550 S. SYLVESTER AVENUE,CENTER,CO,81125,9003,(719) 754-3982
25982,80378006331,ENGLEWOOD MIDDLE SCHOOL,3800 S LOGAN ST,ENGLEWOOD,CO,80110,6555,(303) 781-7817
28765,80480006311,MOUNTAIN PHOENIX COMMUNITY SCHOOL,4725 MILLER STREET,WHEATRIDGE,CO,80033,2824,(303) 728-9100
80007,80504000826,KIT CARSON JUNIOR-SENIOR HIGH SCHOOL,102 5TH AVENUE,KIT CARSON,CO,80825,NOT AVAILABLE,(719) 962-3219
80794,80336006473,GIRLS ATHLETIC LEADERSHIP SCHOOL MIDDLE SCHOOL,750 GALAPAGO ST.,DENVER,CO,80204,3270,(303) 282-6437
82366,80612001033,BRADFORD ELEMENTARY SCHOOL,107 SOUTH LA CROSSE AVENUE,PUEBLO,CO,81001,4428,(719) 549-7515
83976,80336006345,GILLIAM SCHOOL,2844 DOWNING,DENVER,CO,80205,NOT AVAILABLE,(303) 294-8930
84102,80399000533,IRISH ELEMENTARY SCHOOL,515 IRISH DRIVE,FORT COLLINS,CO,80521,1524,(970) 488-6900
84156,80579006499,PEAK VIRTUAL ACADEMY,526 N. 6TH STREET,MONTROSE,CO,81401,4835,(970) 249-7726
86002,80480000770,PATTERSON INTERNATIONAL SCHOOL,1263 SOUTH DUDLEY STREET,LAKEWOOD,CO,80232,5203,(303) 982-8470
88875,80249000135,UNIVERSITY HILL ELEMENTARY SCHOOL,956 16TH STREET,BOULDER,CO,80302,7316,(720) 561-5416
30020,80249000114,FAIRVIEW HIGH SCHOOL,1515 GREENBRIAR BOULEVARD,BOULDER,CO,80305,7043,(720) 561-3100
30832,80249000107,CENTAURUS HIGH SCHOOL,10300 SOUTH BOULDER ROAD,LAFAYETTE,CO,80026,1402,(720) 561-7500
31201,80231000049,HIGHLAND ELEMENTARY SCHOOL,101 2ND STREET,PIERCE,CO,80650,NOT AVAILABLE,(970) 834-2853
32302,80348000456,ESCALANTE MIDDLE SCHOOL,141 BAKER LANE,DURANGO,CO,81303,6559,(970) 247-9491
35707,80249001573,MONARCH K-8 SCHOOL,263 CAMPUS DRIVE,LOUISVILLE,CO,80027,9727,(720) 561-4000
37640,80336001276,MCGLONE ACADEMY,4500 CROWN BOULEVARD,DENVER,CO,80239,4416,(720) 424-5660
38215,80345001288,RENAISSANCE EXPEDITION LEARN OUTWARD BOUND SCHOOL,3960 TRAILBOSS LANE,CASTLE ROCK,CO,80104,7518,(303) 387-8000
39984,80408000566,ARAGON ELEMENTARY SCHOOL,211 SOUTH MAIN STREET,FOUNTAIN,CO,80817,2305,(719) 382-1340
90026,80399006380,BETHKE ELEMENTARY SCHOOL,5100 SCHOOL HOUSE DRIVE,TIMNATH,CO,80547,2304,(970) 488-4300
92665,80336001767,POLARIS ELEMENTARY SCHOOL,410 PARK AVENUE WEST,DENVER,CO,80205,3113,(720) 424-7860
93070,80306000256,NORTH MIDDLE SCHOOL,612 EAST YAMPA STREET,COLORADO SPRINGS,CO,80903,2941,(719) 328-2400
97019,80255000142,BRIGGSDALE ELEMENTARY SCHOOL,515 LESLIE STREET,BRIGGSDALE,CO,80611,NOT AVAILABLE,(970) 656-3417
99692,80585001693,PARADOX VALLEY CHARTER SCHOOL,21501 6 MILE ROAD,PARADOX,CO,81429,NOT AVAILABLE,(970) 859-7236
59018,80393000512,FLEMING HIGH SCHOOL,506 NORTH FREMONT AVE,FLEMING,CO,80728,9553,(970) 265-2022
72051,80411001981,FOWLER ELEMENTARY SCHOOL,601 WEST GRANT,FOWLER,CO,81039,1502,(719) 263-4364
75082,80336000378,MCMEEN ELEMENTARY SCHOOL,1000 SOUTH HOLLY STREET,DENVER,CO,80246,2308,(720) 424-5520
76673,80480000913,BRADFORD K8 NORTH,2 WOODRUFF,LITTLETON,CO,80127,2233,(303) 982-4882
877,80531000891,TWAIN ELEMENTARY SCHOOL,6901 SOUTH FRANKLIN STREET,CENTENNIAL,CO,80122,1317,(303) 347-4700
4081,80624001097,RIFLE HIGH SCHOOL,1350 PREFONTAINE AVE,RIFLE,CO,81650,2549,(970) 665-7725
8274,80480001009,ROONEY RANCH ELEMENTARY SCHOOL,2200 SOUTH COORS STREET,LAKEWOOD,CO,80228,4537,(303) 982-9620
9353,80480000714,DUTCH CREEK ELEMENTARY SCHOOL,7304 WEST ROXBURY PLACE,LITTLETON,CO,80128,4700,(303) 982-4565
41533,80300000217,CLEAR CREEK HIGH SCHOOL,185 BEAVER BROOK CANYON DR.,EVERGREEN,CO,80439,4920,(303) 679-4600
41534,80591001013,SOROCO MIDDLE SCHOOL,305 SOUTH GRANT STREET,OAK CREEK,CO,80467,NOT AVAILABLE,(970) 736-8531
44713,80258006465,FOUNDATIONS ACADEMY,340 SOUTH 45TH AVENUE,BRIGHTON,CO,80601,4652,(303) 659-9519
45087,80291006617,OUTBACK PRESCHOOL,5436 SOUTH RIVIERA WAY,AURORA,CO,80015,3500,(720) 554-4000
46435,80336006636,DSST: COLE HIGH SCHOOL,3240 HUMBOLDT STREET,DENVER,CO,80205,3934,(720) 524-6354
48473,80615001080,LIBERTY POINT ELEMENTARY SCHOOL,386 EAST HAHNS PEAK AVENUE,PUEBLO WEST,CO,81007,2793,(719) 547-2191
60030,80399000521,BENNETT ELEMENTARY SCHOOL,1125 BENNETT ROAD,FORT COLLINS,CO,80521,4501,(970) 488-4750
60120,80192006434,VILLAGE HIGH SCHOOL,1110 CHAPEL HILLS DRIVE,COLORADO SPRINGS,CO,80920,3923,(719) 234-1970
60132,80480000799,WELCHESTER ELEMENTARY SCHOOL,13000 WEST 10TH AVENUE,GOLDEN,CO,80401,4202,(303) 982-7342
61388,80453001314,BRICKER ELEMENTARY SCHOOL,4880 DOVER PLACE,COLORADO SPRINGS,CO,80916,2607,(719) 579-2150
62981,80336001679,SOUTHMOOR ELEMENTARY SCHOOL,3755 SOUTH MAGNOLIA WAY,DENVER,CO,80237,1219,(720) 424-3930
62982,80480000757,MITCHELL ELEMENTARY SCHOOL,200 RUBEY DRIVE,GOLDEN,CO,80403,2453,(303) 982-5874
63551,80480006306,CONNECTIONS LEARNING CENTER ON THE EARLE JOHNSON C,1200 JOHNSON ROAD,GOLDEN,CO,80401,2601,(303) 982-7004
64658,80336000401,SCHMITT ELEMENTARY SCHOOL,1820 SOUTH VALLEJO STREET,DENVER,CO,80223,3710,(720) 424-4230
53067,80207000027,ALAMOSA HIGH SCHOOL,805 CRAFT DRIVE,ALAMOSA,CO,81101,4247,(719) 587-6000
53431,80336006572,DSST: BYERS MIDDLE SCHOOL,150 S. PEARL ST.,DENVER,CO,80209,2016,(303) 524-6350
54043,80336006645,COMPASS ACADEMY,2285 S FEDERAL BLVD,DENVER,CO,80219,3418,(720) 424-0096
56987,80513001974,LA JUNTA INTERMEDIATE SCHOOL,901 SMITHLAND AVE.,LA JUNTA,CO,81050,2506,(719) 384-9151
57514,80258006718,REUNION ELEMENTARY SCHOOL,11021 LANDMARK DRIVE,COMMERCE CITY,CO,80022,NOT AVAILABLE,(720) 685-8501
59879,80336006449,ROCKY MOUNTAIN PREP: BERKELEY,3752 TENNYSON STREET,DENVER,CO,80212,1914,(303) 464-3550
90633,80234006318,GLOBAL VILLAGE ACADEMY AURORA,16401 E ALAMEDA DR,AURORA,CO,80017,3900,(303) 309-6657
92989,80306000263,RUSSELL MIDDLE SCHOOL,3825 EAST MONTEBELLO DRIVE,COLORADO SPRINGS,CO,80918,2428,(719) 328-5200
93911,80540001655,LUCILE ERWIN MIDDLE SCHOOL,4700 LUCERNE AVENUE,LOVELAND,CO,80538,1448,(970) 613-7600
98130,80447001600,GUNNISON MIDDLE SCHOOL,1099 NORTH 11TH,GUNNISON,CO,81230,2847,(970) 641-7710
99193,80291006791,CHERRY CREEK ELEVATION,4700 SOUTH YOSEMITE,GREENWOOD VILLAGE,CO,80111,NOT AVAILABLE,(720) 554-4246
99900,80564000969,MERINO ELEMENTARY SCHOOL,315 LEE,MERINO,CO,80741,NOT AVAILABLE,(970) 522-7229
82362,80540000932,GARFIELD ELEMENTARY SCHOOL,720 COLORADO AVENUE,LOVELAND,CO,80537,5354,(970) 613-6000
83515,80723006373,JOSEPHINE HODGKINS LEADERSHIP ACADEMY,3475 WEST 67TH AVENUE,DENVER,CO,80221,2605,(303) 428-1121
86650,80537001890,FLAGSTAFF CHARTER ACADEMY,1841 LEFT HAND CIRCLE,LONGMONT,CO,80501,6795,(303) 651-7900
87342,80666001360,STRAWBERRY PARK ELEMENTARY SCHOOL,39620 AMETHYST DRIVE,STEAMBOAT SPRINGS,CO,80487,9212,(970) 879-7550
87832,80399001848,FOSSIL RIDGE HIGH SCHOOL,5400 ZIEGLER ROAD,FORT COLLINS,CO,80528,9524,(970) 488-6260
89209,80432000596,MIDDLE PARK HIGH SCHOOL,765 NORTH 2ND STREET,GRANBY,CO,80446,NOT AVAILABLE,(970) 887-2104
100547,80399000536,LINCOLN MIDDLE SCHOOL,1600 LANCER DRIVE,FORT COLLINS,CO,80521,1609,(970) 488-5700
101721,80684001168,SWINK ELEMENTARY SCHOOL,610 COLUMBIA STREET,SWINK,CO,81077,NOT AVAILABLE,(719) 384-8103
104563,80387006774,INSPIRATION VIEW ELEMENTARY SCHOOL,9233 VISTA DEL PICO BLVD,COLORADO SPRINGS,CO,80927,4100,(719) 201-8026
10112,80354001722,BRUSH CREEK ELEMENTARY SCHOOL,333 EAGLE RANCH ROAD,EAGLE,CO,81631,NOT AVAILABLE,(970) 328-8930
11546,80234001789,OPTIONS SCHOOL,11351 E. MONTVIEW BLVD,AURORA,CO,80010,2536,(303) 340-0666
14293,80249000108,CENTENNIAL MIDDLE SCHOOL,2205 NORWOOD AVENUE,BOULDER,CO,80304,1332,(720) 561-5441
14909,80213000033,GUADALUPE ELEMENTARY SCHOOL,13099 COUNTY RD G,ANTONITO,CO,81120,NOT AVAILABLE,(303) 866-6600
15949,80540000936,MONROE ELEMENTARY SCHOOL,1500 MONROE AVENUE,LOVELAND,CO,80538,4035,(970) 613-6500
16458,80336000421,VALVERDE ELEMENTARY SCHOOL,2030 WEST ALAMEDA AVENUE,DENVER,CO,80223,1923,(720) 424-3250
16462,80480001450,UTE MEADOWS ELEMENTARY SCHOOL,11050 WEST MEADOWS DRIVE,LITTLETON,CO,80127,2871,(303) 982-4044
18733,80306000240,HENRY ELEMENTARY SCHOOL,1310 LEHMBERG BOULEVARD,COLORADO SPRINGS,CO,80915,2351,(719) 328-7200
30185,80480006311,MOUNTAIN PHOENIX COMMUNITY SCHOOL,4725 MILLER STREET,WHEATRIDGE,CO,80033,2824,(303) 728-9100
31309,80345006455,SKYVIEW ACADEMY,6161 BUSINESS CENTER DRIVE,HIGHLANDS RANCH,CO,80124,3605,(303) 471-8439
33853,80348000456,ESCALANTE MIDDLE SCHOOL,141 BAKER LANE,DURANGO,CO,81303,6559,(970) 247-9491
33994,80441001696,UNIVERSITY SCHOOLS,6525 18TH STREET,GREELEY,CO,80634,8674,(970) 330-2221
