OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10863,90447000904,SUFFIELD HIGH SCHOOL,1060 SHELDON STREET,WEST SUFFIELD,CT,6093,NOT AVAILABLE,(860) 668-3810
13043,90021000020,MARY E. GRISWOLD SCHOOL,133 HEATHER LN.,KENSINGTON,CT,6037,2056,(860) 828-6336
18791,90249000465,MIDDLETOWN HIGH SCHOOL,200 LAROSA LANE,MIDDLETOWN,CT,6457,NOT AVAILABLE,(860) 704-4500
19992,90483000685,WOODROW WILSON SCHOOL,235 BIRCH ST.,WATERBURY,CT,6704,NOT AVAILABLE,(203) 573-6660
40297,90522001095,SAGE PARK MIDDLE SCHOOL,25 SAGE PARK RD.,WINDSOR,CT,6095,3328,(860) 687-2030
47404,90279000549,COLUMBUS FAMILY ACADEMY,255 BLATCHLEY AVE.,NEW HAVEN,CT,6513,NOT AVAILABLE,(475) 220-2500
47934,90126000204,JOSEPH O. GOODWIN SCHOOL,1235 FORBES ST.,EAST HARTFORD,CT,6118,2803,(860) 622-5420
63339,90495001041,WEST HAVEN HIGH SCHOOL,ONE MCDONOUGH PLAZA,WEST HAVEN,CT,6516,5299,(203) 937-4360
24894,90459000917,FORBES SCHOOL,500 MIGEON AVE.,TORRINGTON,CT,6790,NOT AVAILABLE,(860) 489-2500
25418,90486001593,GREAT NECK ELEMENTARY SCHOOL,165 GREAT NECK RD.,WATERFORD,CT,6385,3739,(860) 442-2593
26353,90459000923,TORRINGFORD SCHOOL,800 CHARLES ST.,TORRINGTON,CT,6790,NOT AVAILABLE,(860) 489-2300
27824,90192001192,BETANCES LEARNING LAB MAGNET SCHOOL,42 CHARTER OAK AVENUE,HARTFORD,CT,6106,1909,(860) 695-2840
85444,90105000169,MIDDLESEX MIDDLE SCHOOL,204 HOLLOW TREE RIDGE RD.,DARIEN,CT,6820,4023,(203) 655-2518
31992,90537001110,WOODSTOCK ELEMENTARY SCHOOL,24 FROG POND RD.,WOODSTOCK,CT,6281,3009,(860) 928-0471
32397,90423000838,SOUTHINGTON HIGH SCHOOL,720 PLEASANT STREET,SOUTHINGTON,CT,6489,2713,(860) 628-3229
35014,90042000039,BRANFORD HIGH SCHOOL,185 EAST MAIN ST.,BRANFORD,CT,6405,3767,(203) 488-7291
37607,90033001375,CARMEN ARACE INTERMEDIATE SCHOOL,390 PARK AVENUE,BLOOMFIELD,CT,6002,3100,(860) 286-2626
38437,90123000188,EAST HAMPTON MIDDLE SCHOOL,19 CHILDS RD.,EAST HAMPTON,CT,6424,1709,(860) 365-4060
39630,90045000081,ROOSEVELT SCHOOL,680 PARK AVE.,BRIDGEPORT,CT,6604,4610,(203) 576-8032
39776,90507001059,ALFRED W. HANMER SCHOOL,50 FRANCIS ST.,WETHERSFIELD,CT,6109,1801,(860) 571-8370
39838,90267000521,NEW BRITAIN HIGH SCHOOL,110 MILL ST.,NEW BRITAIN,CT,6051,3413,(860) 225-6300
90539,90108000173,DEEP RIVER ELEMENTARY SCHOOL,12 RIVER ST.,DEEP RIVER,CT,6417,1921,(860) 526-5319
90839,90192000026,SANCHEZ SCHOOL,176 BABCOCK STREET,HARTFORD,CT,6106,1357,(860) 695-4940
91096,90483000984,REGAN SCHOOL,2780 NORTH MAIN ST.,WATERBURY,CT,6704,1603,(203) 574-8187
92955,90144000235,CENTER SCHOOL,49 MAIN ST.,ELLINGTON,CT,6029,NOT AVAILABLE,(860) 896-2315
94502,90279000546,BISHOP WOODS ARCHITECTURE AND DESIGN MAGNET SCHOOL,1481 QUINNIPIAC AVENUE,NEW HAVEN,CT,6513,NOT AVAILABLE,(475) 220-7300
98671,90381001467,BARLOW MOUNTAIN ELEMENTARY SCHOOL,115 BARLOW MOUNTAIN RD.,RIDGEFIELD,CT,6877,NOT AVAILABLE,(203) 894-5800
52013,90345001617,THREE RIVERS MIDDLE COLLEGE MAGNET SCHOOL,574 NEW LONDON TURNPIKE,NORWICH,CT,6360,NOT AVAILABLE,(860) 859-9203
54074,90022101803,CAPITAL PREPARATORY HARBOR SCHOOL,777 MAIN STREET,BRIDGEPORT,CT,6604,NOT AVAILABLE,(475) 422-5900
58822,90156000273,FARMINGTON HIGH SCHOOL,10 MONTEITH DR,FARMINGTON,CT,6032,1052,(860) 673-2514
59430,90495001039,SETH G. HALEY SCHOOL,148 SOUTH ST.,WEST HAVEN,CT,6516,7149,(203) 931-6810
71375,90309000649,KENDALL ELEMENTARY SCHOOL,57 FILLOW STREET,NORWALK,CT,6850,NOT AVAILABLE,(203) 899-2880
71542,90423000832,JOHN F. KENNEDY MIDDLE SCHOOL,1071 SOUTH MAIN ST.,PLANTSVILLE,CT,6479,1672,(860) 628-3275
77944,90117000182,EAST GRANBY MIDDLE SCHOOL,95 SOUTH MAIN ST.,EAST GRANBY,CT,6026,9550,(860) 653-7113
5212,90070001623,ANA GRACE ACADEMY OF THE ARTS ELEMENTARY SCHOOL,20 SECURITY DRIVE,AVON,CT,6001,NOT AVAILABLE,(860) 677-0380
43124,90000201672,J. M. WRIGHT TECHNICAL HIGH SCHOOL,120 BRIDGE ST.,STAMFORD,CT,6905,NOT AVAILABLE,(203) 324-7363
44241,90207000394,KILLINGLY MEMORIAL SCHOOL,339 MAIN ST.,DANIELSON,CT,6239,2856,(860) 779-6680
60736,90162000287,NAUBUC SCHOOL,82 GRISWOLD ST.,GLASTONBURY,CT,6033,1006,(860) 652-7918
51401,90381001361,SCOTTS RIDGE MIDDLE SCHOOL,750 NORTH SALEM RD.,RIDGEFIELD,CT,6877,NOT AVAILABLE,(203) 894-5725
53162,90381000780,SCOTLAND ELEMENTARY SCHOOL,111 BARLOW MOUNTAIN RD.,RIDGEFIELD,CT,6877,1902,(203) 894-5825
