OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
11066,110003000179,JANNEY ES,4130 ALBEMARLE ST. NW,WASHINGTON,DC,20016,NOT AVAILABLE,(202) 282-0110
47692,110000800479,FRIENDSHIP PCS - BLOW PIERCE ELEMENTARY,725 19TH STREET NE,WASHINGTON,DC,20002,NOT AVAILABLE,(202) 572-1070
49153,110003000062,J.O. WILSON ES,660 K ST. NE,WASHINGTON,DC,20002,NOT AVAILABLE,(202) 698-4733
104629,110011400538,I DREAM PCS,2220 BRANCH AVENUE SE,WASHINGTON,DC,20020,NOT AVAILABLE,(202) 922-7221
22760,110003000158,PATTERSON ES,4399 SOUTH CAPITOL TERR. SW,WASHINGTON,DC,20032,NOT AVAILABLE,(202) 939-5280
31745,110003000048,WATKINS ES (CAPITOL HILL CLUSTER),420 12TH ST. SE,WASHINGTON,DC,20003,NOT AVAILABLE,(202) 698-3355
32432,110008400440,CREATIVE MINDS INTERNATIONAL PCS,3700 NORTH CAPITOL STREET NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 588-0370
35763,110003000033,RAYMOND EDUCATION CAMPUS,915 SPRING RD. NW,WASHINGTON,DC,20010,NOT AVAILABLE,(202) 576-6236
54976,110001900324,WASHINGTON LATIN PCS - MS,5200 2ND STREET NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 223-1111
75740,110003000016,DUKE ELLINGTON SCHOOL OF THE ARTS,3500 R ST. NW,WASHINGTON,DC,20007,NOT AVAILABLE,(202) 282-0123
91384,110002900245,CEDAR TREE ACADEMY PCS,701 HOWARD RD SE,WASHINGTON,DC,20020,NOT AVAILABLE,(202) 610-4193
94876,110003100488,KIPP DC - QUEST ACADEMY PCS,5300 BLAINE STREET NE,WASHINGTON,DC,20019,NOT AVAILABLE,(202) 398-6811
104621,110005400517,APPLETREE EARLY LEARNING CENTER PCS - PARKLANDS AT THEARC,1801 MISSISSIPPI AVENUE SE,WASHINGTON,DC,20032,NOT AVAILABLE,(202) 506-1890
15755,110003000165,GARFIELD ES,2435 ALABAMA AVE. SE,WASHINGTON,DC,20020,NOT AVAILABLE,(202) 671-6140
17498,110003000050,STODDERT ES,4001 CALVERT ST. NW,WASHINGTON,DC,20007,NOT AVAILABLE,(202) 671-6030
79084,110008300443,BASIS DC PCS,410 8TH STREET NW,WASHINGTON,DC,20004,NOT AVAILABLE,(202) 803-6490
79207,110003000198,LUKE C. MOORE HS,1001 MONROE ST. NE,WASHINGTON,DC,20017,NOT AVAILABLE,(202) 281-3600
82241,110007200473,ACHIEVEMENT PREPARATORY ACADEMY PCS - WAHLER PLACE ES,908 WAHLER PLACE SE,WASHINGTON,DC,20032,NOT AVAILABLE,(202) 562-1307
83999,110003000035,MANN ES,4430 NEWARK ST. NW,WASHINGTON,DC,20016,NOT AVAILABLE,(202) 282-0126
84247,110003000034,MAURY ES,1250 CONSTITUTION AVE NE,WASHINGTON,DC,20002,NOT AVAILABLE,(202) 698-3838
84983,110003000466,SCHOOL-WITHIN-SCHOOL AT GODING,704 26TH ST. NE,WASHINGTON,DC,20002,NOT AVAILABLE,(202) 727-7377
59085,110001500229,MERIDIAN PCS,2120 13TH STREET NW,WASHINGTON,DC,20009,NOT AVAILABLE,(202) 387-9830
65477,110003000407,PHELPS ARCHITECTURE CONSTRUCTION AND ENGINEERING HS,704 26TH ST. NE,WASHINGTON,DC,20002,NOT AVAILABLE,(202) 729-4360
37900,110003500475,CAPITAL CITY PCS - HS,100 PEABODY STREET NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 808-9800
10352,110003000183,HEARST ES,3950 37TH ST. NW,WASHINGTON,DC,20008,NOT AVAILABLE,(202) 282-0106
27,110010000500,MONUMENT ACADEMY PCS,500 19TH STREET NE,WASHINGTON,DC,20002,NOT AVAILABLE,(202) 545-3180
2814,110005700431,EARLY CHILDHOOD ACADEMY PCS,885 BARNABY STREET SE,WASHINGTON,DC,20032,NOT AVAILABLE,(202) 373-0035
9043,110001100225,PERRY STREET PREPARATORY PCS,1800 PERRY STREET NE,WASHINGTON,DC,20018,NOT AVAILABLE,(202) 529-4400
63447,110003000157,PAYNE ES,1445 C ST. SE,WASHINGTON,DC,20003,NOT AVAILABLE,(202) 698-3262
68035,110003100452,KIPP DC - HEIGHTS ACADEMY PCS,2600 DOUGLASS ROAD SE,WASHINGTON,DC,20020,NOT AVAILABLE,(202) 610-5323
80521,110003000164,NOYES ES,2725 10TH ST. NE,WASHINGTON,DC,20018,NOT AVAILABLE,(202) 281-2580
46226,110003000085,ANACOSTIA HS,1601 16TH ST. SE,WASHINGTON,DC,20020,NOT AVAILABLE,(202) 698-2155
46258,110003100427,KIPP DC - DISCOVER ACADEMY PCS,2600 DOUGLASS ROAD SE,WASHINGTON,DC,20020,NOT AVAILABLE,(202) 678-7735
15380,110003000096,EATON ES,3373 VAN NESS ST. NW,WASHINGTON,DC,20008,NOT AVAILABLE,(202) 282-0103
2726,110003000207,BALLOU STAY HS,3401 4TH ST. SE,WASHINGTON,DC,20032,NOT AVAILABLE,(202) 645-3390
104611,110000800530,FRIENDSHIP PCS - IDEAL ELEMENTARY,6130 NORTH CAPITOL STREET NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 518-3928
104615,110003000529,BARD HS EARLY COLLEGE DC (BARD DC),4430 H ST. SE,WASHINGTON,DC,20019,NOT AVAILABLE,(202) 898-4664
104619,110004500533,TWO RIVERS PCS - YOUNG MS,830 26TH STREET NE,WASHINGTON,DC,20002,NOT AVAILABLE,(202) 543-8477
38129,110003000176,KETCHAM ES,1919 15TH ST. SE,WASHINGTON,DC,20020,NOT AVAILABLE,(202) 698-1122
13570,110000800422,FRIENDSHIP PCS - TECHNOLOGY PREPARATORY MS,2705 MARTIN LUTHER KING JR AVE SE,WASHINGTON,DC,20032,NOT AVAILABLE,(202) 552-5700
24897,110004800474,DC PREP PCS - BENNING MS,100 41ST STREET NE,WASHINGTON,DC,20019,NOT AVAILABLE,(202) 396-3780
57964,110003000180,HYDE-ADDISON ES,3219 O ST. NW,WASHINGTON,DC,20007,NOT AVAILABLE,(202) 282-0170
65773,110000800480,FRIENDSHIP PCS - CHAMBERLAIN ELEMENTARY,1345 POTOMAC AVENUE SE,WASHINGTON,DC,20003,NOT AVAILABLE,(202) 547-5800
45764,110009700492,DISTRICT OF COLUMBIA INTERNATIONAL SCHOOL,1400 MAIN DRIVE NW,WASHINGTON,DC,20012,NOT AVAILABLE,(202) 808-9033
47693,110000800482,FRIENDSHIP PCS - WOODRIDGE INTERNATIONAL ELEMENTARY,2959 CARLTON AVENUE NE,WASHINGTON,DC,20018,NOT AVAILABLE,(202) 635-6500
24,110000800497,FRIENDSHIP PCS - ARMSTRONG ELEMENTARY,111 O STREET NW,WASHINGTON,DC,20001,NOT AVAILABLE,(202) 518-3928
86698,110003000144,JOHNSON MS,1400 BRUCE PL SE,WASHINGTON,DC,20020,NOT AVAILABLE,(202) 939-3140
86915,110007300412,CENTER CITY PCS - CONGRESS HEIGHTS,220 HIGHVIEW PLACE SE,WASHINGTON,DC,20032,NOT AVAILABLE,(202) 562-7070
104608,110000800515,FRIENDSHIP PCS - SOUTHEAST MIDDLE,645 MILWAUKEE PLACE SE,WASHINGTON,DC,20032,NOT AVAILABLE,(202) 562-1980
60200,110003000097,DREW ES,5600 EADS ST. NE,WASHINGTON,DC,20019,NOT AVAILABLE,(202) 671-6040
1532,110003000511,MACFARLAND MS,4400 IOWA AVE. NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 671-6033
48901,110003100468,KIPP DC - CONNECT ACADEMY PCS,1375 MOUNT OLIVET ROAD NE,WASHINGTON,DC,20002,NOT AVAILABLE,(202) 396-5477
102064,110001900423,WASHINGTON LATIN PCS - UPPER SCHOOL,5200 2ND STREET NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 723-1171
102190,110003000397,WASHINGTON METROPOLITAN HS,300 BRYANT ST NW,WASHINGTON,DC,20001,NOT AVAILABLE,(202) 939-3610
12055,110003000125,POWELL ES,1350 UPSHUR ST. NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 671-6270
72567,110003500464,CAPITAL CITY PCS - MS,100 PEABODY STREET NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 808-9800
84861,110003000133,WOODROW WILSON HS,3950 CHESAPEAKE ST. NW,WASHINGTON,DC,20016,NOT AVAILABLE,(202) 282-0120
104613,110003000519,EXCEL ACADEMY,2501 MARTIN LUTHER KING JR. AVE. SE,WASHINGTON,DC,20020,NOT AVAILABLE,(202) 373-0097
27262,110003000049,THOMAS ES,650 ANACOSTIA AVE. NE,WASHINGTON,DC,20019,NOT AVAILABLE,(202) 724-4593
61509,110003000138,DEAL MS,3815 FORT DR. NW,WASHINGTON,DC,20016,NOT AVAILABLE,(202) 939-2010
67839,110003000445,LANGLEY ES,101 T STREET NE,WASHINGTON,DC,20002,NOT AVAILABLE,(202) 724-4223
44281,110003000032,MARIE REED ES,2201 18TH ST. NW,WASHINGTON,DC,20009,NOT AVAILABLE,(202) 673-7308
46504,110003000113,BRENT ES,301 NORTH CAROLINA AVE. SE,WASHINGTON,DC,20003,NOT AVAILABLE,(202) 698-3363
19024,110007300400,CENTER CITY PCS - BRIGHTWOOD,6008 GEORGIA AVENUE NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 723-3322
3536,110003000121,AMIDON-BOWEN ES,401 I ST. SW,WASHINGTON,DC,20024,NOT AVAILABLE,(202) 724-4867
45581,110000800482,FRIENDSHIP PCS - WOODRIDGE ES,2959 CARLTON AVE NE,WASHINGTON,DC,20018,NOT AVAILABLE,(202) 635-6500
38226,110003000135,HART MS,601 MISSISSIPPI AVE. SE,WASHINGTON,DC,20032,NOT AVAILABLE,(202) 671-6426
73853,110003000102,KING ES,3200 6TH ST. SE,WASHINGTON,DC,20032,NOT AVAILABLE,(202) 939-4900
100045,110003000396,COLUMBIA HEIGHTS EDUCATION CAMPUS,3101 16TH ST. NW,WASHINGTON,DC,20010,NOT AVAILABLE,(202) 939-7700
104610,110000800528,FRIENDSHIP PCS - IDEAL MIDDLE,6130 NORTH CAPITOL STREET NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 518-3928
16749,110003000470,MCKINLEY MS,151 T. ST. NE,WASHINGTON,DC,20002,NOT AVAILABLE,(202) 281-3950
19799,110007900424,NATIONAL COLLEGIATE PREPARATORY PCHS,4600 LIVINGSTON RD SE,WASHINGTON,DC,20032,NOT AVAILABLE,(202) 832-7737
44238,110008000437,INSPIRED TEACHING DEMONSTRATION PCS,200 DOUGLAS STREET NE,WASHINGTON,DC,20002,NOT AVAILABLE,(202) 248-6825
44413,110002200236,THE SEED PCS OF WASHINGTON DC,4300 C STREET SE,WASHINGTON,DC,20019,NOT AVAILABLE,(202) 248-7773
95637,110002900245,CEDAR TREE ACADEMY PCS,701 HOWARD ROAD SE,WASHINGTON,DC,20020,NOT AVAILABLE,(202) 610-4193
50111,110003000143,KRAMER MS,1700 Q ST. SE,WASHINGTON,DC,20020,NOT AVAILABLE,(202) 939-3150
60427,110003000191,STUART-HOBSON MS (CAPITOL HILL CLUSTER),410 E ST. NE,WASHINGTON,DC,20002,NOT AVAILABLE,(202) 671-6010
4530,110004400275,MARY MCLEOD BETHUNE DAY ACADEMY PCS,1404 JACKSON STREET NE,WASHINGTON,DC,20017,NOT AVAILABLE,(202) 459-4710
23241,110003000067,WEST EDUCATION CAMPUS,4300 13TH ST. NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 576-6226
27351,110006400367,ST. COLETTA SPECIAL EDUCATION PCS,1901 INDEPENDENCE AVENUE SE,WASHINGTON,DC,20003,NOT AVAILABLE,(202) 350-8680
76281,110003900477,PAUL PCS - INTERNATIONAL HS,5800 8TH STREET NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 291-7499
48091,110003000264,ROOSEVELT STAY HS,4301 13TH ST. NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 576-8399
88211,110003000034,MAURY ES,1250 CONSTITUTION AVE. NE,WASHINGTON,DC,20002,NOT AVAILABLE,(202) 698-3838
50589,110003000072,TYLER ES,1001 G ST. SE,WASHINGTON,DC,20003,NOT AVAILABLE,(202) 939-4810
52753,110003000504,DOROTHY I. HEIGHT ES,1300 ALLISON ST. NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 723-4100
55032,110003000512,RON BROWN COLLEGE PREPARATORY HS,4800 MEADE ST. NE,WASHINGTON,DC,20019,NOT AVAILABLE,(202) 729-4343
55841,110003000119,BARNARD ES,430 DECATUR ST. NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 576-1100
104616,110003000531,THADDEUS STEVENS EARLY LEARNING CENTER,1050 21ST STREET NW,WASHINGTON,DC,20036,NOT AVAILABLE,(202) 698-0677
104622,110008600527,MUNDO VERDE BILINGUAL PCS - CALLE OCHO,4401 8TH STREET NE,WASHINGTON,DC,20017,NOT AVAILABLE,(202) 803-8967
50675,110003100463,KIPP DC - LEAD ACADEMY PCS,421 P STREET NW,WASHINGTON,DC,20001,NOT AVAILABLE,(202) 223-4505
54481,110010600509,ROCKETSHIP PCS - RISE ACADEMY,2335 RAYNOLDS PLACE SE,WASHINGTON,DC,20020,NOT AVAILABLE,(202) 750-7177
64271,110005400448,APPLETREE EARLY LEARNING CENTER PCS - LINCOLN PARK,138 12TH STREET NE,WASHINGTON,DC,20002,NOT AVAILABLE,(202) 621-6581
97662,110003000397,WASHINGTON METROPOLITAN HS,300 BRYANT ST NW,WASHINGTON,DC,20001,NOT AVAILABLE,(202) 939-3610
99234,110000800526,FRIENDSHIP PCS - ARMSTRONG MIDDLE,1400 1ST NW,WASHINGTON,DC,20001,NOT AVAILABLE,(202) 572-1070
11981,110003000068,WHEATLEY EDUCATION CAMPUS,1299 NEAL ST. NE,WASHINGTON,DC,20002,NOT AVAILABLE,(202) 939-5970
5542,110003100421,KIPP DC - COLLEGE PREPARATORY PCS,1405 BRENTWOOD PARKWAY NE,WASHINGTON,DC,20002,NOT AVAILABLE,(202) 678-2527
6979,110008600444,MUNDO VERDE BILINGUAL PCS - J.F. COOK,30 P STREET NW,WASHINGTON,DC,20001,NOT AVAILABLE,(202) 750-7060
66149,110003000070,WALKER-JONES EDUCATION CAMPUS,1125 NEW JERSEY AVE. NW,WASHINGTON,DC,20001,NOT AVAILABLE,(202) 939-5934
17952,110000800481,FRIENDSHIP PCS - WOODRIDGE INTERNATIONAL MIDDLE,2959 CARLTON AVENUE NE,WASHINGTON,DC,20018,NOT AVAILABLE,(202) 635-6500
44191,110003000174,KEY ES,5001 DANA PL. NW,WASHINGTON,DC,20016,NOT AVAILABLE,(202) 729-3280
37967,110003000182,HENDLEY ES,425 CHESAPEAKE ST. SE,WASHINGTON,DC,20032,NOT AVAILABLE,(202) 645-3450
54826,110010400507,BREAKTHROUGH MONTESSORI PCS,1244 TAYLOR STREET NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 407-7021
92906,110001400391,MAYA ANGELOU PCS - HS,5600 EAST CAPITOL STREET NE,WASHINGTON,DC,20019,NOT AVAILABLE,(202) 379-4335
95193,110003000186,HARDY MS,1819 35TH ST. NW,WASHINGTON,DC,20007,NOT AVAILABLE,(202) 729-4350
95391,110003000024,SEATON ES,1503 10TH ST. NW,WASHINGTON,DC,20001,NOT AVAILABLE,(202) 673-7215
83529,110003100432,KIPP DC - GROW ACADEMY PCS,421 P STREET NW,WASHINGTON,DC,20001,NOT AVAILABLE,(202) 986-4769
14770,110003000107,BURROUGHS ES,1820 MONROE ST. NE,WASHINGTON,DC,20018,NOT AVAILABLE,(202) 576-6150
67042,110004800387,DC PREP PCS - BENNING ES,100 41ST STREET NE,WASHINGTON,DC,20019,NOT AVAILABLE,(202) 398-2838
24469,110003000084,BALLOU HS,3401 4TH ST. SE,WASHINGTON,DC,20032,NOT AVAILABLE,(202) 645-3400
26648,110003000076,THOMSON ES,1200 L ST NW,WASHINGTON,DC,20005,NOT AVAILABLE,(202) 898-4660
57912,110004900278,EAGLE ACADEMY PCS - CONGRESS HEIGHTS,3400 WHEELER ROAD SE,WASHINGTON,DC,20032,NOT AVAILABLE,(202) 544-2646
79110,110003000013,STANTON ES,2701 NAYLOR RD. SE,WASHINGTON,DC,20020,NOT AVAILABLE,(202) 671-6180
630,110010200503,WASHINGTON GLOBAL PCS,525 SCHOOL STREET SW,WASHINGTON,DC,20024,NOT AVAILABLE,(202) 796-2415
45763,110009600491,HARMONY DC PCS - SCHOOL OF EXCELLENCE,62 T STREET NE,WASHINGTON,DC,20002,NOT AVAILABLE,(202) 529-7500
104617,110003100522,KIPP DC - HONOR ACADEMY PCS,3301 WHEELER ROAD SE,WASHINGTON,DC,20032,NOT AVAILABLE,(202) 562-9170
81349,110004300472,E.L. HAYNES PCS - ES,4501 KANSAS AVENUE NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 667-4446
90964,110007200405,ACHIEVEMENT PREPARATORY ACADEMY PCS - WAHLER PLACE MS,908 WAHLER PL SE,WASHINGTON,DC,20032,NOT AVAILABLE,(202) 562-1214
104612,110000900520,ELSIE WHITLOW STOKES COMMUNITY FREEDOM PCS - EAST END,5600 EAST CAPITOL STREET NE,WASHINGTON,DC,20019,NOT AVAILABLE,(202) 975-2100
104625,110011000518,STATESMEN COLLEGE PREPARATORY ACADEMY FOR BOYS PCS,4600 LIVINGSTON ROAD SE,WASHINGTON,DC,20032,NOT AVAILABLE,(202) 830-2810
58888,110003000160,OYSTER-ADAMS BILINGUAL SCHOOL,2801 CALVERT ST. NW AND 2020 19TH ST. NW,WASHINGTON,DC,20008,NOT AVAILABLE,(202) 671-6130
629,110000800495,FRIENDSHIP PCS - ONLINE,1351 NICHOLSON ST NW,WASHINGTON,DC,20011,NOT AVAILABLE,(202) 281-1700
23116,110003000494,BROOKLAND MS,1150 MICHIGAN AVE NE,WASHINGTON,DC,20017,NOT AVAILABLE,(202) 759-1999
79201,110003000126,PLUMMER ES,4601 TEXAS AVE. SE,WASHINGTON,DC,20019,NOT AVAILABLE,(202) 939-4360
87602,110003000011,TAKOMA EDUCATION CAMPUS,7010 PINEY BRANCH RD. NW,WASHINGTON,DC,20012,NOT AVAILABLE,(202) 671-6050
