OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10557,130240001065,GLYNN ACADEMY,1001 MANSFIELD ST,BRUNSWICK,GA,31520,NOT AVAILABLE,(912) 267-4210
13455,130135000576,BROXTON-MARY HAYES ELEMENTARY,102 LITTLE AVE W,BROXTON,GA,31519,NOT AVAILABLE,(912) 359-2391
14531,130288001237,SHIRLEY HILLS ELEMENTARY SCHOOL,300 MARY LN,WARNER ROBINS,GA,31088,NOT AVAILABLE,(478) 929-7824
15264,130336004120,LONG COUNTY MIDDLE SCHOOL,2001 US HIGHWAY 84 E,LUDOWICI,GA,31316,NOT AVAILABLE,(912) 545-2069
16693,130002603515,WAYCROSS REGIONAL YOUTH DETENTION CENTER,3275 HARRIS RD,WAYCROSS,GA,31503,NOT AVAILABLE,(912) 287-6680
16761,130021403723,MOUNTAIN EDUCATION CHARTER HIGH SCHOOL,1963 TOM BELL RD,CLEVELAND,GA,30528,NOT AVAILABLE,(706) 219-4664
17888,130054001417,BROOKS COUNTY MIDDLE SCHOOL,2171 MOULTRIE HWY,QUITMAN,GA,31643,NOT AVAILABLE,(229) 588-2342
18269,130228000976,MOUNTAIN PARK ELEMENTARY SCHOOL,11895 MOUNTAIN PARK RD,ROSWELL,GA,30075,NOT AVAILABLE,(470) 254-4530
18614,130012002290,CENTENNIAL ACADEMY,531 LUCKIE ST NW,ATLANTA,GA,30313,NOT AVAILABLE,(404) 802-8550
18857,130123002057,KENDRICK MIDDLE SCHOOL,7971 KENDRICK RD,JONESBORO,GA,30238,NOT AVAILABLE,(770) 472-8400
19495,130489002147,THOMAS COUNTY MIDDLE SCHOOL,4681 US HIGHWAY 84 BYP W,THOMASVILLE,GA,31792,NOT AVAILABLE,(229) 225-4394
19843,130414001494,PATTERSON ELEMENTARY SCHOOL,3414 DRAWDY ST,PATTERSON,GA,31557,NOT AVAILABLE,(912) 647-5373
767,130023504203,FOOTHILLS CHARTER HIGH SCHOOL (CENTRAL OFFICE - ATHENS),2415 JEFFERSON RD STE B,ATHENS,GA,30607,NOT AVAILABLE,(706) 795-2191
784,130255004210,GRAVES ELEMENTARY SCHOOL,1700 GRAVES RD,NORCROSS,GA,30093,NOT AVAILABLE,(770) 326-8000
1429,130255001132,NORCROSS HIGH SCHOOL,5300 SPALDING DR,NORCROSS,GA,30092,NOT AVAILABLE,(770) 448-3674
3130,130006000007,APPLING COUNTY ELEMENTARY SCHOOL,680 BLACKSHEAR HWY,BAXLEY,GA,31513,NOT AVAILABLE,(912) 367-8640
4787,130087000088,CARROLLTON ELEMENTARY SCHOOL,401 BEN SCOTT BLVD,CARROLLTON,GA,30117,NOT AVAILABLE,(770) 832-2120
7595,130044000256,BLECKLEY COUNTY PRIMARY SCHOOL,259 E PETER ST,COCHRAN,GA,31014,NOT AVAILABLE,(478) 934-2280
9362,130029000134,BRAMLETT ELEMENTARY SCHOOL,622 FREEMAN BROCK RD,AUBURN,GA,30011,NOT AVAILABLE,(770) 307-1627
40139,130228003369,HAPEVILLE CHARTER MIDDLE SCHOOL,3510 ATLANTA AVE,HAPEVILLE,GA,30354,NOT AVAILABLE,(404) 767-7730
40658,130255003376,MILL CREEK HIGH SCHOOL,4400 BRASELTON HWY,HOSCHTON,GA,30548,NOT AVAILABLE,(678) 714-5850
41201,130264001178,HANCOCK CENTRAL HIGH SCHOOL,11311 GA HIGHWAY 15,SPARTA,GA,31087,NOT AVAILABLE,(706) 444-7009
41746,130029001913,WESTSIDE MIDDLE SCHOOL,240 MATTHEWS SCHOOL RD,WINDER,GA,30680,NOT AVAILABLE,(770) 307-2972
41778,130444001605,WEST END ELEMENTARY SCHOOL,5 BROWN FOX DR SW,ROME,GA,30165,NOT AVAILABLE,(706) 234-9366
43380,130357000459,NORRIS ELEMENTARY SCHOOL,1861 HARRISON RD SE,THOMSON,GA,30824,NOT AVAILABLE,(706) 986-4600
44080,130174003915,ARABIA MOUNTAIN HIGH SCHOOL - ACADEMY OF ENGINEERING- MEDIC,6610 BROWNS MILL RD,LITHONIA,GA,30038,NOT AVAILABLE,(678) 875-3602
44944,130288003618,LAKE JOY ELEMENTARY SCHOOL,985 LAKE JOY RD,WARNER ROBINS,GA,31088,NOT AVAILABLE,(478) 971-2712
45860,130174000712,MCNAIR HIGH SCHOOL,1804 BOULDERCREST RD SE,ATLANTA,GA,30316,NOT AVAILABLE,(678) 874-4902
