OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
13864,150003000121,MAUKA LANI ELEMENTARY SCHOOL,92-1300 PANANA ST,KAPOLEI,HI,96707,NOT AVAILABLE,(808) 672-1100
19304,150003000278,KE ANA LAAHANA - PCS,160 BAKER AVE,HILO,HI,96720,NOT AVAILABLE,(808) 961-6228
3336,150003000220,MAYOR JOSEPH J FERN ELEMENTARY SCHOOL,1121 MIDDLE ST,HONOLULU,HI,96819,NOT AVAILABLE,(808) 832-3040
43575,150003000169,ILIAHI ELEMENTARY SCHOOL,2035 CALIFORNIA AVE,WAHIAWA,HI,96786,NOT AVAILABLE,(808) 622-6411
60564,150003000004,KAAAWA ELEMENTARY SCHOOL,51-296 KAMEHAMEHA HWY,KAAAWA,HI,96730,NOT AVAILABLE,(808) 237-7751
20234,150003000138,MAJOR SHELDON WHEELER ELEMENTARY SCHOOL,1 WHEELER ARMY AIRFIELD,WAHIAWA,HI,96786,4198,(808) 622-6400
25485,150003000210,KALIHI UKA ELEMENTARY SCHOOL,2411 KALIHI ST,HONOLULU,HI,96819,NOT AVAILABLE,(808) 832-3310
28674,150003000287,KE KULA O EHUNUIKAIMALINO,81-1041 KONAWAENA SCHOOL RD,KEALAKEKUA,HI,96750,NOT AVAILABLE,(808) 323-1900
82320,150003000002,HAUULA ELEMENTARY SCHOOL,54-046 KAMEHAMEHA HWY,HAUULA,HI,96717,NOT AVAILABLE,(808) 293-8925
36535,150003000112,POHAKEA ELEMENTARY SCHOOL,91-750 FORT WEAVER RD,EWA BEACH,HI,96706,NOT AVAILABLE,(808) 689-1290
58507,150003000073,MAUI HIGH SCHOOL,660 S LONO AVE,KAHULUI,HI,96732,NOT AVAILABLE,(808) 873-3000
73764,150003000211,KAIMUKI MIDDLE SCHOOL,631 18TH AVE,HONOLULU,HI,96816,NOT AVAILABLE,(808) 733-4800
65010,150003000160,KALIHI KAI ELEMENTARY SCHOOL,626 MCNEILL ST,HONOLULU,HI,96817,NOT AVAILABLE,(808) 832-3322
65570,150003000119,NANAIKAPONO ELEMENTARY SCHOOL,89-153 MANO AVE,WAIANAE,HI,96792,NOT AVAILABLE,(808) 668-5800
55697,150003000291,KEONEULA ELEMENTARY SCHOOL,91-970 KAILEOLEA DR,EWA BEACH,HI,96706,NOT AVAILABLE,(808) 689-1380
56818,150003000281,VOLCANO SCHOOL OF ARTS & SCIENCES - A COMMUNITY PCS,99-128 OLD VOLCANO RD,VOLCANO,HI,96785,NOT AVAILABLE,(808) 985-9800
92272,150003000260,KEAAU HIGH SCHOOL,16-725 KEAAU-PAHOA RD,KEAAU,HI,96749,NOT AVAILABLE,(808) 982-4220
11182,150003000062,KAUNAKAKAI ELEMENTARY SCHOOL,30 AILOA ST,KAUNAKAKAI,HI,96748,NOT AVAILABLE,(808) 533-1730
39084,150003000205,PRINCE DAVID KAWANANAKOA MIDDLE SCHOOL,49 FUNCHAL ST,HONOLULU,HI,96813,NOT AVAILABLE,(808) 587-4430
74223,150003000198,LINAPUNI ELEMENTARY SCHOOL,1434 LINAPUNI ST,HONOLULU,HI,96819,NOT AVAILABLE,(808) 832-3303
74851,150003000244,KEONEPOKO ELEMENTARY SCHOOL,15-890 KAHAKAI BLVD,PAHOA,HI,96778,NOT AVAILABLE,(808) 965-2131
26826,150003000186,PRESIDENT THEODORE ROOSEVELT HIGH SCHOOL,1120 NEHOA ST,HONOLULU,HI,96822,NOT AVAILABLE,(808) 587-4600
51217,150003000032,HOLUALOA ELEMENTARY SCHOOL,76-5957 MAMALAHOA HWY,HOLUALOA,HI,96725,NOT AVAILABLE,(808) 322-4800
