OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10333,160210000602,CROSSROADS MIDDLE SCHOOL,650 NORTH NOLA,MERIDIAN,ID,83642,4084,(208) 855-4275
11637,160015001010,CALDER SCHOOL,#1 SCHOOLHOUSE HILL LANE,CALDER,ID,83808,0001,(208) 245-2479
11643,160177000915,ROSS ELEMENTARY SCHOOL,610 NORTH SCHOOL AVENUE,KUNA,ID,83634,1807,(208) 922-1011
12557,160303000529,TENDOY ELEMENTARY SCHOOL,2217 LEMHI ROAD,TENDOY,ID,83468,0013,(208) 756-3524
12957,160093000172,FAIRVIEW ELEMENTARY SCHOOL,979 EAST 97TH NORTH,IDAHO FALLS,ID,83401,5425,(208) 525-4425
18282,160078000156,SORENSEN MAGNET SCHOOL OF THE ARTS AND HUMANITIES,311 NORTH 9TH STREET,COEUR D'ALENE,ID,83814,4203,(208) 664-2822
1354,160017600760,POCATELLO COMMUNITY CHARTER,615 WEST MAPLE,POCATELLO,ID,83204,3400,(208) 478-2522
4575,160000501087,RICHARD MCKENNA CHARTER SCHOOL - MONTESSORI,1305 EAST 8TH NORTH,MOUNTAIN HOME,ID,83647,2337,(208) 250-2347
7004,160051000041,CANYON SPRINGS HIGH SCHOOL,516 NORTH 11TH STREET,CALDWELL,ID,83605,3422,(208) 455-3325
46337,160111000200,ASHTON ELEMENTARY SCHOOL,168 SOUTH 1ST STREET,ASHTON,ID,83420,5738,(208) 652-7601
60666,160246000430,NOTUS ELEMENTARY SCHOOL,25257 NOTUS ROAD,CALDWELL,ID,83607,8736,(208) 459-7442
65183,160264000686,KINPORT MIDDLE SCHOOL,655 WEST ALAMEDA,POCATELLO,ID,83201,3622,(208) 237-2233
66915,160000300858,VICTORY CHARTER SCHOOL,9779 KRIS JENSEN LANE,NAMPA,ID,83686,NOT AVAILABLE,(208) 442-9400
69351,160013900933,ELK CITY SCHOOL,100 SCHOOL ROAD,ELK CITY,ID,83525,NOT AVAILABLE,(208) 926-2270
107090,160018601114,FERN-WATERS PUBLIC CHARTER SCHOOL,103 VAN DREFF STREET,SALMON,ID,83647,NOT AVAILABLE,(208) 332-6800
20495,160159000272,HORIZON ELEMENTARY SCHOOL,934 10TH AVENUE EAST,JEROME,ID,83338,2148,(208) 324-2015
23957,160018000334,BASIN ELEMENTARY SCHOOL,101 NORTH ELK CREEK ROAD,IDAHO CITY,ID,83631,0227,(208) 392-6631
26617,160210000824,HUNTER ELEMENTARY SCHOOL,2051 WEST MCMILLAN ROAD,MERIDIAN,ID,83642,5149,(208) 855-4285
80911,160180000295,BETTY KIEFER ELEMENTARY SCHOOL,13898 NORTH SCHOONER STREET,RATHDRUM,ID,83858,0130,(208) 687-5206
30591,160063000121,CASCADE JR/SR HIGH SCHOOL,209 SCHOOL STREET,CASCADE,ID,83611,0291,(208) 382-4227
32149,160203000584,PAYETTE LAKES MIDDLE SCHOOL,111 SAMSON TRAIL,MCCALL,ID,83638,5187,(208) 634-5994
35178,160210000985,ROCKY MOUNTAIN HIGH SCHOOL,5450 NORTH LINDER ROAD,MERIDIAN,ID,83642,6106,(208) 350-4340
36386,160333000566,PARK INTERMEDIATE SCHOOL,758 EAST PARK STREET,WEISER,ID,83672,2342,(208) 414-2861
38444,160210000370,MERIDIAN MIDDLE SCHOOL,1507 WEST 8TH STREET,MERIDIAN,ID,83642,2013,(208) 855-4225
90598,160210000367,LOWELL SCOTT MIDDLE SCHOOL,13600 WEST MCMILLAN ROAD,BOISE,ID,83713,0531,(208) 350-4060
50685,160177001052,KUNA CAREER TECHNICAL SCHOOL,711 EAST PORTER ROAD,KUNA,ID,83634,1484,(208) 922-1000
54841,160324000553,ROBERT STUART MIDDLE SCHOOL,644 CASWELL AVENUE WEST,TWIN FALLS,ID,83301,3707,(208) 733-4875
56767,160168000299,KENDRICK JR/SR HIGH SCHOOL,2001 HIGHWAY 3,KENDRICK,ID,83537,9739,(208) 289-4202
57188,160324001105,TWIN FALLS VIRTUAL SCHOOLHOUSE,201 MAIN AVENUE WEST,TWIN FALLS,ID,83301,6103,(208) 733-6900
73469,160033000040,BLISS SCHOOL,601 EAST HIGHWAY 30,BLISS,ID,83314,0115,(208) 352-4445
75824,160234000775,REAGAN ELEMENTARY SCHOOL,3400 SOUTHSIDE BOULEVARD,NAMPA,ID,83686,1310,(208) 468-4619
981,160096001045,SOUTHEAST IDAHO PROFESSIONAL TECHNICAL SCHOOL,25 EAST 50 SOUTH SUITE A,MALAD CITY,ID,83252,1305,(208) 332-6800
5540,160000501108,RICHARD MCKENNA CHARTER SCHOOL - ONSITE,675 SOUTH HASKETT STREET,MOUNTAIN HOME,ID,83647,3375,(208) 580-2449
6307,160123000219,GLENNS FERRY ELEMENTARY SCHOOL,639 NORTH BANNOCK STREET,GLENNS FERRY,ID,83623,2885,(208) 366-7435
7199,160249000856,ONEIDA HIGH SCHOOL,300 W 450 N,MALAD CITY,ID,83252,1374,(208) 766-2255
