OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10334,173870003934,MEMORIAL ELEM SCHOOL,101 E ADAMS ST,TAYLORVILLE,IL,62568,2201,(217) 287-7929
10769,170020203193,MONROE/RANDOLPH RED BRICK SCH,107 E MILL ST,WATERLOO,IL,62298,1518,(618) 473-2222
11150,171200001450,HUNTLEY MIDDLE SCHOOL,1515 S 4TH ST,DEKALB,IL,60115,4656,(815) 754-2241
12250,171371001664,ABBOTT MIDDLE SCHOOL,949 VAN ST,ELGIN,IL,60123,6131,(847) 888-5160
13487,170993000693,COOK CO JUVENILE DETENTION CTR - YORK ALTERNATIVE HS,2700 S CALIFORNIA AVE,CHICAGO,IL,60608,5108,(773) 535-7021
15361,173708004194,LINDSAY SCHOOL,3600 FIELDING DR,SPRINGFIELD,IL,62711,6288,(217) 546-0200
16059,170993000970,MORRILL ELEM MATH & SCI SCHOOL,6011 S ROCKWELL ST,CHICAGO,IL,60629,1133,(773) 535-9288
16787,170141606312,MILFORD GRADE SCHOOL EAST CAMPUS,150 S RANDOLPH ST,SHELDON,IL,60966,8213,(815) 889-5176
17649,174182004192,MCCLURE JR HIGH SCHOOL,4225 WOLF RD,WESTERN SPRINGS,IL,60558,1453,(708) 246-7590
18734,171608001916,NIELSON ELEMENTARY SCHOOL,547 N FARNHAM ST,GALESBURG,IL,61401,4015,(309) 973-2014
18860,174026004049,VIENNA ELEM SCHOOL DIST 55,PO BOX 427,VIENNA,IL,62995,0427,(618) 658-6611
18900,171125001347,CRETE-MONEE MIDDLE SCHOOL,635 OLMSTEAD LN,UNIVERSITY PARK,IL,60484,3311,(708) 367-2400
1148,171020001236,CICERO EAST ELEM SCHOOL,3003 S 50TH CT,CICERO,IL,60804,3514,(708) 652-9440
1713,173714003850,ST ANNE COMM HIGH SCHOOL,650 W GUERTIN ST,SAINT ANNE,IL,60964,7306,(815) 427-8145
3013,171125001344,CRETE-MONEE HIGH SCHOOL,1515 W EXCHANGE ST,CRETE,IL,60417,9601,(708) 367-8230
3530,172745002912,MULBERRY GROVE SR HIGH SCHOOL,801 W WALL ST,MULBERRY GROVE,IL,62262,1049,(618) 326-8812
6184,170993006439,NOBLE ST CHTR-GOLDER COLLEGE PREP,1454 W SUPERIOR ST,CHICAGO,IL,60642,5255,(312) 265-9925
6441,170993006454,NOBLE ST CHTR-HANSBERRY COLLEGE PREP - SILVER,8748 S ABERDEEN ST,CHICAGO,IL,60620,3438,(773) 729-3400
7244,173759004845,STAUNTON JR HIGH SCHOOL,801 N DENEEN ST,STAUNTON,IL,62088,1017,(618) 635-3831
8022,172103002388,WILLOW GROVE EARLY LEARNING CENTER,777 CHECKER DR,BUFFALO GROVE,IL,60089,1412,(847) 541-3660
8098,172730002894,BROWN COUNTY ELEMENTARY SCHOOL,501 NW CROSS ST,MOUNT STERLING,IL,62353,1149,(217) 773-7500
8631,173454003623,ROCKTON ELEM SCHOOL,1050 E UNION ST,ROCKTON,IL,61072,1628,(815) 624-8585
8693,170420000118,ARMSTRONG-ELLIS ELEM SCHOOL,PO BOX 7,ARMSTRONG,IL,61812,0007,(217) 569-2115
9857,172680002863,LINCOLN ELEM SCHOOL,100 S NEBRASKA AVE,MORTON,IL,61550,2784,(309) 266-6989
42063,170993000884,ADDAMS ELEM SCHOOL,10810 S AVENUE H,CHICAGO,IL,60617,6726,(773) 535-6210
42078,171047001266,CAROL STREAM ELEM SCHOOL,422 SIOUX LN,CAROL STREAM,IL,60188,1522,(630) 588-5400
42081,174169004173,WAUBONSIE VALLEY HIGH SCHOOL,2590 OGDEN AVE,AURORA,IL,60504,5900,(630) 375-3300
42091,170006505246,SAUNEMIN ELEM SCHOOL,39 MAIN ST,SAUNEMIN,IL,61769,6110,(815) 832-4421
42809,174155006205,EDUCARE OF WEST DUPAGE,851 PEARL RD,WEST CHICAGO,IL,60185,3716,(630) 957-5500
43276,171443001780,DAVENPORT ELEM SCHOOL,301 S MAIN ST,EUREKA,IL,61530,1311,(309) 467-3012
43607,172649002840,MONROE ELEM SCHOOL,5137 W CISNA RD,BARTONVILLE,IL,61607,1434,(309) 697-3120
44288,171185001411,MACARTHUR HIGH SCHOOL,1499 W GRAND AVE,DECATUR,IL,62522,1410,(217) 362-3152
44491,172820002975,NEW TRIER TOWNSHIP H S WINNETKA,385 WINNETKA AVE,WINNETKA,IL,60093,4238,(847) 446-7000
44790,171458001810,EVERGREEN PARK HIGH SCHOOL,9901 S KEDZIE AVE,EVERGREEN PARK,IL,60805,3416,(708) 424-7400
45135,170696000360,BRADLEY-BOURBONNAIS C HIGH SCHOOL,700 W NORTH ST,BRADLEY,IL,60915,1013,(815) 937-3707
45249,170993000773,FISKE ELEM SCHOOL,6020 S LANGLEY AVE,CHICAGO,IL,60637,2595,(773) 535-0990
45550,173996004012,M L KING JR ELEM SCHOOL,1108 FAIRVIEW AVE,URBANA,IL,61801,1508,(217) 384-3675
48065,173330003447,RED BUD ELEM SCHOOL,200 W FIELD DR,RED BUD,IL,62278,1304,(618) 282-3858
48295,172989003096,OLYMPIA HIGH SCHOOL,7832 N 100 EAST RD,STANFORD,IL,61774,9494,(309) 379-5911
49891,171920002206,HILLSBORO HIGH SCHOOL,522 E TREMONT ST,HILLSBORO,IL,62049,1853,(217) 532-2841
60143,170140403079,ODIN ATTENDANCE CENTER K-8,102 S MERRITT ST,ODIN,IL,62870,1112,(618) 775-8266
61083,172163002429,WM F GURRIE MIDDLE SCHOOL,1001 S SPRING AVE,LA GRANGE,IL,60525,2760,(708) 482-2720
64619,173291003407,PROVISO WEST HIGH SCHOOL,4701 HARRISON ST,HILLSIDE,IL,60162,1616,(708) 449-6400
66166,173063003186,PANA SR HIGH SCHOOL,PO BOX 377,PANA,IL,62557,0377,(217) 562-6600
67605,172919003051,J COVINGTON ELEM SCHOOL,9130 S 52ND AVE,OAK LAWN,IL,60453,1742,(708) 423-1530
68193,171044001263,CLINTON ELEM SCHOOL,680 ILLINI DR,CLINTON,IL,61727,2289,(217) 935-6218
69263,173645003758,JANE STENSON SCHOOL,9201 LOCKWOOD AVE,SKOKIE,IL,60077,1137,(847) 676-9480
69958,173708005593,EDWIN A LEE ELEMENTARY SCHOOL,1201 BUNN AVE,SPRINGFIELD,IL,62703,5362,(217) 585-5828
101143,173123003274,MANUAL HIGH SCHOOL,811 S GRISWOLD ST,PEORIA,IL,61605,1458,(309) 672-6600
101230,173708003825,ILES ELEM SCHOOL,1700 S 15TH ST,SPRINGFIELD,IL,62703,2962,(217) 525-3226
101558,170020003117,EVERGREEN ACADEMY,6506 NATIONAL ST,UNION,IL,60180,9638,(815) 334-4055
101808,174089004101,WARSAW ELEM SCHOOL,340 S 11TH ST,WARSAW,IL,62379,1431,(217) 256-4281
101984,170993000988,NETTELHORST ELEM SCHOOL,3252 N BROADWAY ST,CHICAGO,IL,60657,3521,(773) 534-5810
102547,170002406575,A.E.R.O-FUNCTIONAL ACAD LEARNING-SATELLITE,7600 MASON AVE,BURBANK,IL,60459,1200,(708) 496-3330
102561,170017006790,CAREER & TECH EDUC CONSORTIUM,2037 W GALENA AVE,FREEPORT,IL,61032,3004,(815) 232-0709
102573,170019006798,FIVE COUNTY REG VOC CENTER,130 WASHINGTON ST,TAMMS,IL,62988,NOT AVAILABLE,(618) 747-2703
102580,170022706647,BI-COUNTY SP ED-K-2 LIFE SKILLS-STERLING,806 E LE FEVRE RD,STERLING,IL,61081,1551,(815) 625-6402
102609,170143706757,WCSEA-RIVERVIEW,1421 SPRING BAY RD,EAST PEORIA,IL,61611,9762,(309) 367-4901
102613,170143906699,SOWIC-EDUC & LIFE SKILLS-WILMINGTON HS,209 WILDCAT CT,WILMINGTON,IL,60481,4500,(815) 741-7777
104884,171857006781,HAWTHORN SCHOOL FOR YOUNG LEARNERS,637 N ASPEN DR,VERNON HILLS,IL,60061,1620,(847) 990-4760
104911,174281006720,WCSEC-INTERMEDIATE INSTRUC PRGRM,11810 OLD RIVER RD,ROCKTON,IL,61072,9468,(815) 624-5900
107109,170015206761,ALSP-WESTFIELD MS-BLOOMINGDALE SD 13,149 FAIRFIELD WAY,BLOOMINGDALE,IL,60108,1547,(630) 529-6211
107128,170651006780,A.N.C.H.O.R. ACADEMY,12015 MAPLE AVE,BLUE ISLAND,IL,60406,1023,(708) 385-6800
21762,170999001229,ELDEN D FINLEY JR HIGH SCHOOL,10835 LOMBARD AVE,CHICAGO RIDGE,IL,60415,2110,(708) 636-2005
22445,170850000470,JEFFERSON ATTENDANCE CENTER,713 4TH ST,CARMI,IL,62821,1077,(618) 382-7016
22484,170993000794,GOETHE ELEM SCHOOL,2236 N ROCKWELL ST,CHICAGO,IL,60647,3004,(773) 534-4135
22600,174169005460,MAY WATTS ELEMENTARY SCHOOL,800 S WHISPERING HILLS DR,NAPERVILLE,IL,60540,1317,(630) 428-6700
22839,173252003735,PRAIRIE GROVE JUNIOR HIGH SCHOOL,3225 IL ROUTE 176,CRYSTAL LAKE,IL,60014,2145,(815) 459-3557
22924,170993001059,ROGERS ELEM SCHOOL,7345 N WASHTENAW AVE,CHICAGO,IL,60645,1429,(773) 534-2125
23647,170993004962,ALBANY PARK MULTICULTURAL ELEM,4929 N SAWYER AVE,CHICAGO,IL,60625,5008,(773) 534-5108
24871,171371001685,LORDS PARK ELEM SCHOOL,323 WAVERLY DR,ELGIN,IL,60120,4626,(847) 888-5360
25653,171110001338,CRAB ORCHARD HIGH SCHOOL,19189 BAILEY ST,MARION,IL,62959,7355,(618) 982-2181
26223,171767002064,GREENFIELD HIGH SCHOOL,502 EAST ST,GREENFIELD,IL,62044,1316,(217) 368-2219
26340,173651003763,SMITHTON ELEM SCHOOL,PO BOX 395,SMITHTON,IL,62285,0395,(618) 233-6863
26663,172151002419,LADD COMM CONS SCH,232 E CLEVELAND ST,LADD,IL,61329,9741,(815) 894-2363
27139,174107004112,WATERLOO JUNIOR HIGH SCHOOL,200 BELLEFONTAINE DR,WATERLOO,IL,62298,1511,(618) 939-3457
27287,170381000068,ANNAWAN GRADE SCHOOL,501 W SOUTH ST,ANNAWAN,IL,61234,9715,(309) 935-6623
27467,173597003733,INDIAN CREEK HIGH SCHOOL,506 S SHABBONA RD,SHABBONA,IL,60550,9784,(815) 824-2197
28250,172739002911,MT ZION INTERMEDIATE SCHOOL,310 S HENDERSON ST,MOUNT ZION,IL,62549,1384,(217) 864-2921
28540,171446001794,DR ML KING JR LITERARY & FINE ARTS SCH,2424 LAKE ST,EVANSTON,IL,60201,3932,(847) 859-8500
28653,171125001342,BALMORAL ELEM SCH,1124 W NEW MONEE RD,CRETE,IL,60417,4072,(708) 367-2500
29111,170993005790,DEVRY ADVANTAGE ACADEMY HIGH SCHL,1326 W 14TH PL,CHICAGO,IL,60608,2106,(773) 697-2216
29941,172771002937,MILL STREET ELEM SCHOOL,1300 N MILL ST,NAPERVILLE,IL,60563,6301,(630) 420-6353
81748,171245001500,ROOSEVELT ELEM SCHOOL,111 W 146TH ST,DOLTON,IL,60419,1453,(708) 201-2070
82137,173712003849,ST ANNE ELEM SCHOOL,PO BOX 530,SAINT ANNE,IL,60964,0530,(815) 427-8153
83688,172058002345,TAFT ELEMENTARY SCHOOL,1125 OREGON ST,JOLIET,IL,60435,3900,(815) 725-2700
83984,170505000195,ARNETT C LINES ELEM SCHOOL,217 EASTERN AVE,BARRINGTON,IL,60010,4627,(847) 381-7850
84742,171185004100,STEPHEN DECATUR MIDDLE SCHOOL,1 EDUCATIONAL PARK,DECATUR,IL,62526,2548,(217) 362-3251
