OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10306,180882001463,PERRY MERIDIAN MIDDLE SCHOOL,202 W MERIDIAN SCHOOL RD,INDIANAPOLIS,IN,46217,4290,(317) 789-4100
12086,180096000173,VAN BUREN ELEMENTARY SCHOOL,4045 STATE ROAD 135 SOUTH,NASHVILLE,IN,47448,9608,(812) 988-6658
14857,180477000901,IPS/BUTLER LAB AT WILLIAM BELL 60,3330 N PENNSYLVANIA,INDIANAPOLIS,IN,46205,3402,(317) 226-4369
17887,181161001867,LIBERTY ELEMENTARY SCHOOL,501 EATON ST,LIBERTY,IN,47353,1499,(765) 458-5521
18401,180981001601,SALEM MIDDLE SCHOOL,1001 N HARRISON ST,SALEM,IN,47167,1685,(812) 883-3808
18773,181087001236,HUNTINGBURG ELEMENTARY SCHOOL,501 W SUNSET DR,HUNTINGBURG,IN,47542,NOT AVAILABLE,(812) 683-1172
18950,181209001907,HONEY CREEK MIDDLE SCHOOL,6601 S CARLISLE ST,TERRE HAUTE,IN,47802,4797,(812) 462-4372
2233,180813002522,NORTH WHITE MIDDLE SCHOOL,305 E BROADWAY,MONON,IN,47959,NOT AVAILABLE,(219) 253-7701
2737,181065002392,FISHERS HIGH SCHOOL,13000 PROMISE RD,FISHERS,IN,46038,NOT AVAILABLE,(317) 915-4290
7915,180786001347,SPRINGVILLE ELEMENTARY SCHOOL,126 BRICK STREET,SPRINGVILLE,IN,47462,0061,(812) 279-1388
40327,180942001542,RENSSELAER CENTRAL PRIMARY SCHOOL,1144 N MELVILLE ST,RENSSELAER,IN,47978,NOT AVAILABLE,(219) 866-5441
42215,180558001013,KINGSBURY ELEMENTARY SCHOOL,0802 W 400 S,LAPORTE,IN,46350,9347,(219) 362-1823
42217,180567001026,CRESTVIEW ELEMENTARY SCHOOL,7600 E 71ST ST,INDIANAPOLIS,IN,46256,1999,(317) 964-4200
42222,180306002234,NORTHEAST IN SPEC ED COOP,1607 E DOWLING,KENDALLVILLE,IN,46755,9407,(260) 347-5236
43577,180033000061,BARR REEVE MIDDLE/HIGH SCHOOL,627 N 3RD ST,MONTGOMERY,IN,47558,NOT AVAILABLE,(812) 486-3265
47454,180906002211,RIVERSIDE INTERMEDIATE,905 E BAKER,PLYMOUTH,IN,46563,NOT AVAILABLE,(574) 936-3787
48365,180048002403,PRAIRIE CROSSING ELEMENTARY SCHOOL,2758 S 400 E,OXFORD,IN,47971,NOT AVAILABLE,(765) 884-3000
48629,180177000242,WINCHESTER COMMUNITY HIGH SCHOOL,700 UNION ST,WINCHESTER,IN,47394,1298,(765) 584-8201
48748,180537000947,KOKOMO HIGH SCHOOL,2501 S BERKLEY,KOKOMO,IN,46902,3099,(765) 455-8040
49599,180008802495,DISCOVERY CHARTER SCHOOL,800 CANONIE DR,PORTER,IN,46304,NOT AVAILABLE,(219) 983-9800
60912,180942001543,RENSSELAER CENTRAL HIGH SCHOOL,1106 E GRACE ST,RENSSELAER,IN,47978,3297,(219) 866-5175
61520,180309002419,EASTERN GREENE MIDDLE SCHOOL,10503 E ST RD 54,BLOOMFIELD,IN,47424,NOT AVAILABLE,(812) 825-5010
63834,180075000153,HEBRON HIGH SCHOOL,509 S MAIN ST,HEBRON,IN,46341,8909,(219) 996-4771
64065,180363000541,LINDLEY ELEMENTARY SCHOOL,2201 ARDMORE AVE,FORT WAYNE,IN,46802,5057,(260) 467-5350
67281,180771001648,NORTH DAVIESS ELEMENTARY SCHOOL,5498 E SR 58,ELNORA,IN,47529,NOT AVAILABLE,(812) 636-8000
67384,180120000195,CLAY MIDDLE SCHOOL,5150 E 126TH ST,CARMEL,IN,46033,9747,(317) 844-7251
22277,180399000693,TZOUANAKIS INTERMEDIATE SCHOOL,500 LINWOOD DR,GREENCASTLE,IN,46135,1139,(765) 653-4700
22929,181236001961,CRESTON INTERMEDIATE & MIDDLE SCHL,10925 E PROSPECT ST,INDIANAPOLIS,IN,46239,9697,(317) 532-6812
