OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10083,200813001966,SOUTH BARBER 7-12,1220 N. 8TH STREET,KIOWA,KS,67070,NOT AVAILABLE,(833) 722-7237
14326,200573001333,EL DORADO HIGH,401 MCCOLLUM ROAD,EL DORADO,KS,67042,NOT AVAILABLE,(316) 322-4810
19295,201200001400,SUNSET RIDGE ELEMENTARY,14901 ENGLAND ST.,OVERLAND PARK,KS,66221,2273,(913) 239-7400
5705,200479000582,CHEYLIN ELEMENTARY,121 E.SIXTH,BIRD CITY,KS,67731,0028,(785) 734-2351
8901,200654002052,EISENHOWER HIGH SCHOOL,1230 S 167TH ST. W.,GODDARD,KS,67052,NOT AVAILABLE,(316) 794-4190
9187,200001400454,CENTRAL HEIGHTS ELEM,3521 ELLIS ROAD,RICHMOND,KS,66080,NOT AVAILABLE,(785) 869-3355
40349,200780000107,HODGEMAN COUNTY ELEMENTARY,401 DOUGLAS,JETMORE,KS,67854,0398,(620) 357-8396
40489,201278001381,VALLEY HEIGHTS ELEM,508 CHESTNUT,BLUE RAPIDS,KS,66411,NOT AVAILABLE,(785) 363-7693
42243,201110000820,RILEY COUNTY HIGH SCHOOL,12451 FAIRVIEW CHURCH ROAD,RILEY,KS,66531,NOT AVAILABLE,(785) 485-4020
45336,201161000169,WALLACE COUNTY HIGH,521 N. MAIN,SHARON SPRINGS,KS,67758,NOT AVAILABLE,(785) 852-4240
45868,200951000669,JEFFERSON WEST MIDDLE,210 N MILLER,MERIDEN,KS,66512,NOT AVAILABLE,(785) 484-2900
48962,200789001266,JUNCTION CITY MIDDLE SCHOOL,700 WILDCAT LANE,JUNCTION CITY,KS,66441,NOT AVAILABLE,(785) 717-4400
60732,200807001985,NORWICH ELEMENTARY SCHOOL,209 PARKWAY,NORWICH,KS,67118,NOT AVAILABLE,(620) 478-2235
62061,200834001920,LANSING ELEMENTARY SCHOOL,450 W MARY ST.,LANSING,KS,66043,NOT AVAILABLE,(913) 727-1128
62178,200795001416,WEST MIDDLE,2600 N 44TH STREET,KANSAS CITY,KS,66104,NOT AVAILABLE,(913) 627-6000
64296,200813001933,SOUTH BARBER PRE-K-6,913 MAIN,KIOWA,KS,67070,NOT AVAILABLE,(833) 722-7237
64315,200843002036,DAVID BREWER ELEMENTARY,401 N 17TH ST,LEAVENWORTH,KS,66048,NOT AVAILABLE,(913) 684-1490
65207,201176000883,SOLOMON ELEM,411 NORTH PINE,SOLOMON,KS,67480,0247,(785) 655-2521
66177,200336001183,MEADOWLARK ELEMENTARY,1122 N. 159TH ST. EAST,WICHITA,KS,67230,NOT AVAILABLE,(316) 218-4630
66696,200580000527,ELL-SALINE MIDDLE/HIGH SCHOOL,414 E ANDERSON,BROOKVILLE,KS,67425,0097,(785) 225-6633
67589,200672001009,KIOWA COUNTY ELEM/JR. HIGH,730 S. MAIN,GREENSBURG,KS,67054,1940,(620) 723-2332
67789,200459000973,CHANUTE HIGH,1501 WEST 36TH STREET,CHANUTE,KS,66720,NOT AVAILABLE,(620) 432-2510
68489,201014001670,HERITAGE ELEMENTARY,1700 E PAWNEE DR,OLATHE,KS,66062,3200,(913) 780-7490
100631,201050000776,PAOLA MIDDLE,405 HOSPITAL DRIVE,PAOLA,KS,66071,NOT AVAILABLE,(913) 294-8030
105000,200002402104,LAWRENCE GARDNER HIGH SCHOOL,1430 NW 25TH ST,TOPEKA,KS,66618,NOT AVAILABLE,(785) 746-7266
20691,201200000112,BLUE VALLEY HIGH,6001 W. 159TH ST.,STILWELL,KS,66085,8808,(913) 239-4800
20839,200708001225,HEALY ELEM,5006 NORTH DODGE RD,HEALY,KS,67850,NOT AVAILABLE,(620) 398-2248
22356,200546001599,TANGLEWOOD ELEM,830 RIDGECREST RD,DERBY,KS,67037,3599,(316) 788-8565
22786,200993000499,NESS CITY ELEM,500 E CHESTNUT,NESS CITY,KS,67560,1709,(785) 798-2222
25989,200477001907,ST. PAUL MIDDLE SCHOOL,118 FIRST STREET,ST. PAUL,KS,66771,NOT AVAILABLE,(620) 449-2245
26749,200696001679,HAVEN MIDDLE SCHOOL,320 NORTH EMPORIA,HAVEN,KS,67543,NOT AVAILABLE,(620) 465-2587
83948,200402000923,OTIS-BISON JUNIOR/SENIOR HIGH SCHOOL,301 EAGLE ST.,OTIS,KS,67565,NOT AVAILABLE,(785) 387-2337
84428,200819001298,KISMET ELEM,505 KANSAS AVENUE,KISMET,KS,67859,NOT AVAILABLE,(620) 563-7248
87115,200327000061,ALMENA ELEM,512 W BRYANT,ALMENA,KS,67622,NOT AVAILABLE,(785) 664-2446
30259,200318001062,ABILENE MIDDLE SCHOOL,500 NORTHWEST 14TH,ABILENE,KS,67410,NOT AVAILABLE,(785) 263-1471
31469,200426001161,BURLINGAME JUNIOR/SENIOR HIGH,417 NORTH DACOTAH,BURLINGAME,KS,66413,NOT AVAILABLE,(785) 654-3315
31655,201125000886,ROSE HILL HIGH,710 S ROSE HILL ROAD,ROSE HILL,KS,67133,9785,(316) 776-3360
32009,200654001856,EXPLORER ELEMENTARY SCHOOL,16746 W EXPLORER,GODDARD,KS,67052,NOT AVAILABLE,(316) 794-4181
33667,200735000798,HOLCOMB MIDDLE,500 N HENDERSON,HOLCOMB,KS,67851,NOT AVAILABLE,(620) 277-2699
