OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10161,210495001572,SOUTHERN MIDDLE SCHOOL,200 ENTERPRISE DR,SOMERSET,KY,42501,NOT AVAILABLE,(606) 679-6855
10621,210186000389,MARY TODD ELEMENTARY SCHOOL,551 PARKSIDE DR,LEXINGTON,KY,40505,NOT AVAILABLE,(859) 381-3512
10721,210186000351,ASHLAND ELEMENTARY SCHOOL,195 N ASHLAND AVE,LEXINGTON,KY,40502,NOT AVAILABLE,(859) 381-3243
16745,210303002388,RED OAK ELEMENTARY SCHOOL,921 UNION MILL RD,NICHOLASVILLE,KY,40356,NOT AVAILABLE,(859) 885-0616
18234,210495001233,PULASKI COUNTY HIGH SCHOOL,511 UNIVERSITY DR,SOMERSET,KY,42503,NOT AVAILABLE,(606) 679-1574
19079,210390000995,MAYFIELD HIGH SCHOOL,700 DOUTHITT ST,MAYFIELD,KY,42066,NOT AVAILABLE,(270) 247-4461
1442,210147001700,VALLEY HIGH SCHOOL,1000 INDUSTRIAL DR.,OWENSBORO,KY,42301,NOT AVAILABLE,(270) 689-6773
2878,210573002427,GEO INTERNATIONAL HIGH SCHOOL,1808 LOOP DRIVE,BOWLING GREEN,KY,42101,NOT AVAILABLE,(270) 842-7302
3371,210495000506,SOUTHWESTERN HIGH SCHOOL,1765 WTLO RD,SOMERSET,KY,42503,NOT AVAILABLE,(606) 678-9000
4623,210381002428,SOUTH MARSHALL MIDDLE,2211 US 641 SOUTH,BENTON,KY,42025,NOT AVAILABLE,(270) 527-3828
5225,210425001867,HILLCREST HALL TREATMENT CENTER,209 DAVIS RD,MOUNT STERLING,KY,40353,NOT AVAILABLE,(859) 498-6574
6011,210378002443,MARION COUNTY KNIGHT ACADEMY,200 CORPORATE DRIVE,LEBANON,KY,40033,NOT AVAILABLE,(270) 692-3441
6895,210375000960,MAGOFFIN COUNTY HIGH SCHOOL,1100 EAST MOUNTAIN PARKWAY,SALYERSVILLE,KY,41465,NOT AVAILABLE,(606) 349-2011
8594,210299000661,WILDER ELEMENTARY,1913 HERR LANE,LOUISVILLE,KY,40222,NOT AVAILABLE,(502) 485-8350
8903,210459002011,EMERSON ACADEMY,1335 W 11TH STREET,OWENSBORO,KY,42301,NOT AVAILABLE,(270) 686-1087
44884,210072000141,IRVINGTON ELEMENTARY SCHOOL,1 WILDCAT WAY,IRVINGTON,KY,40146,NOT AVAILABLE,(270) 756-3050
46181,210078002407,BURGIN INDEPENDENT SCHOOL,440 E MAIN ST,BURGIN,KY,40310,NOT AVAILABLE,(859) 748-5282
49306,210588001621,WHITLEY COUNTY CENTRAL PRIMARY SCHOOL,520 BLVD OF CHAMPIONS,WILLIAMSBURG,KY,40769,NOT AVAILABLE,(606) 549-7060
49433,210159000318,EAST BERNSTADT ELEMENTARY SCHOOL,229 SCHOOL STREET,EAST BERNSTADT,KY,40729,NOT AVAILABLE,(606) 843-6221
60240,210372002392,MADISON KINDERGARTEN ACADEMY,300 BOND ST.,RICHMOND,KY,40475,NOT AVAILABLE,(859) 625-6050
64240,210299002262,HOME/HOSPITAL,3332 NEWBURG ROAD,LOUISVILLE,KY,40218,NOT AVAILABLE,(502) 485-6054
65887,210299000702,WILT ELEMENTARY,6700 PRICE LANE,LOUISVILLE,KY,40229,NOT AVAILABLE,(502) 485-8353
105023,210144002500,ANCHOR ACADEMY,115 E. LEXINGTON AVE.,DANVILLE,KY,40422,4042,(859) 238-1300
105033,210201002518,FAYETTE COUNTY JUVENILE DETENTION CENTER,3475 SPURR RD,LEXINGTON,KY,40511,NOT AVAILABLE,(859) 246-2806
21084,210396001461,HEATH ELEMENTARY SCHOOL,4365 METROPOLIS LAKE RD,WEST PADUCAH,KY,42086,NOT AVAILABLE,(270) 538-4060
24747,210051000086,CHESTER GOODRIDGE ELEMENTARY SCHOOL,3330 COUGAR PATH,HEBRON,KY,41048,9642,(859) 334-4420
24860,210299000690,MINORS LANE ELEMENTARY,8510 MINORS LANE,LOUISVILLE,KY,40219,0019,(502) 485-8303
25610,210135000270,JOHN G CARLISLE ELEMENTARY,910 HOLMAN ST,COVINGTON,KY,41011,NOT AVAILABLE,(859) 292-5812
26297,210176000341,ESTILL COUNTY MIDDLE SCHOOL,51 PATRIOT DR.,IRVINE,KY,40336,NOT AVAILABLE,(606) 723-5136
29168,210573001603,DRAKES CREEK MIDDLE SCHOOL,704 CYPRESS WOOD,BOWLING GREEN,KY,42104,NOT AVAILABLE,(270) 843-0165
83476,210254000541,JAMES A. CAWOOD ELEMENTARY,279 BALL PARK RD,HARLAN,KY,40831,NOT AVAILABLE,(606) 573-5029
84564,210072000139,BEN JOHNSON ELEMENTARY SCHOOL,13598 S. HWY 259,MC DANIELS,KY,40152,NOT AVAILABLE,(270) 756-3070
88696,210408001039,MENIFEE ELEMENTARY SCHOOL,57 INDIAN CREEK ROAD,FRENCHBURG,KY,40322,NOT AVAILABLE,(606) 768-8351
30946,210081001977,BUTLER COUNTY LEARNING CENTER,178 ACADEMIC WAY,MORGANTOWN,KY,42261,NOT AVAILABLE,(270) 526-2264
34804,210309000817,RYLAND HEIGHTS ELEMENTARY SCHOOL,3845 STEWART DR,COVINGTON,KY,41015,NOT AVAILABLE,(859) 356-9270
39801,210072001304,BRECKINRIDGE COUNTY MIDDLE SCHOOL,1877 E. HIGHWAY 60,HARNED,KY,40144,NOT AVAILABLE,(270) 756-3060
90014,210405002202,JAMES R. ALLEN HIGH SCHOOL,918 OLD STATE ROAD,BRANDENBURG,KY,40108,NOT AVAILABLE,(270) 422-7516
90864,210327000216,LEE COUNTY ELEMENTARY SCHOOL,1665 HWY 11 SOUTH,BEATTYVILLE,KY,41311,NOT AVAILABLE,(606) 464-5020
91817,210339000910,LEWIS COUNTY HIGH SCHOOL,79 LIONS LANE,VANCEBURG,KY,41179,NOT AVAILABLE,(606) 796-2823
94197,210249001446,NEW HIGHLAND ELEMENTARY SCHOOL,110 W A JENKINS RD,ELIZABETHTOWN,KY,42701,NOT AVAILABLE,(270) 737-6612
95006,210186002337,FAYETTE COUNTY PRESCHOOL CENTER,165 SPRINGHILL DR,LEXINGTON,KY,40503,NOT AVAILABLE,(859) 381-4105
95549,210021002404,BALLARD COUNTY CAREER AND TECHNOLOGY CTR,11 VOCATIONAL SCHOOL RD,BARLOW,KY,42024,NOT AVAILABLE,(270) 665-8400
97371,210519001275,RUSSELLVILLE HIGH SCHOOL,1101 W 9TH ST,RUSSELLVILLE,KY,42276,NOT AVAILABLE,(270) 726-8421
99279,210405001034,BRANDENBURG PRIMARY SCHOOL,750 BROADWAY,BRANDENBURG,KY,40108,NOT AVAILABLE,(270) 422-7545
99467,210299000780,SHELBY TRADITIONAL ACADEMY,735 ZIEGLER STREET,LOUISVILLE,KY,40217,NOT AVAILABLE,(502) 485-8327
100000,210573002302,JACKSON ACADEMY HIGH SCHOOL,877 JACKSON STREET,BOWLING GREEN,KY,42101,NOT AVAILABLE,(270) 467-0293
50181,210286000602,MADISONVILLE NORTH HOPKINS HIGH SCHOOL,4515 HANSON RD,MADISONVILLE,KY,42431,NOT AVAILABLE,(270) 825-6017
55065,210069001623,BREATHITT REGIONAL JUVENILE DET CTR,2725 HWY 30 W,JACKSON,KY,41339,NOT AVAILABLE,(606) 295-2350
