OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
102679,690000200091,SUSUPE EARLY HEADSTART,SUSUPE,SAIPAN,MP,96950,NOT AVAILABLE,(670) 234-4677
106589,690000200050,CHALAN KANOA HEADSTART,CHALAN KANOA,SAIPAN,MP,96950,NOT AVAILABLE,(670) 234-5204
106608,690000200072,SAN ANTONIO HEADSTART,SAN ANTONIO,SAIPAN,MP,96950,NOT AVAILABLE,(670) 234-6157
106613,690000200077,TINIAN ELEMENTARY SCHOOL (TINIAN),SAN JOSE,TINIAN,MP,96952,NOT AVAILABLE,(670) 433-9251
106594,690000200057,DAN DAN HEADSTART,DANDAN,SAIPAN,MP,96950,NOT AVAILABLE,(670) 288-8820
106596,690000200059,OLEAI HEADSTART,OLEAI,SAIPAN,MP,96950,NOT AVAILABLE,(670) 234-5692
106598,690000200061,OLEAI ELEMENTARY SCHOOL,OLEAI,SAIPAN,MP,96950,NOT AVAILABLE,(670) 664-3942
106617,690000200081,KAGMAN ELEMENTARY SCHOOL,KAGMAN,SAIPAN,MP,96950,NOT AVAILABLE,(670) 664-3911
106619,690000200086,CHALAN KANOA EARLY HEADSTART,CHALAN KANOA,SAIPAN,MP,96950,NOT AVAILABLE,(670) 234-4634
106607,690000200071,DANDAN MIDDLE SCHOOL,DANDAN,SAIPAN,MP,96950,NOT AVAILABLE,(670) 664-5025
106590,690000200051,FRANCISCO M. SABLAN MIDDLE SCHOOL,SAN ANTONIO,SAIPAN,MP,96950,NOT AVAILABLE,(670) 664-3930
106599,690000200062,TANAPAG MIDDLE SCHOOL,TANAPAG,SAIPAN,MP,96950,NOT AVAILABLE,(670) 664-3425
106588,690000200049,W S REYES ELEMENTARY SCHOOL,CHALAN KANOA,SAIPAN,MP,96950,NOT AVAILABLE,(670) 664-3971
106612,690000200076,TINIAN HEADSTART,SAN JOSE,TINIAN,MP,96952,NOT AVAILABLE,(670) 433-9253
106603,690000200067,G T CAMACHO ELEMENTARY SCHOOL,SAN ROQUE,SAIPAN,MP,96950,NOT AVAILABLE,(670) 664-3400
106609,690000200073,KAGMAN HIGH SCHOOL,KAGMAN,SAIPAN,MP,96950,NOT AVAILABLE,(670) 664-3780
106610,690000200074,KAGMAN EARLY HEADSTART,KAGMAN,SAIPAN,MP,96950,NOT AVAILABLE,(670) 256-5633
106591,690000200053,TANAPAG HEADSTART,TANAPAG,SAIPAN,MP,96950,NOT AVAILABLE,(670) 322-1422
106620,690000200087,KAGMAN HEADSTART,KAGMAN,SAIPAN,MP,96950,NOT AVAILABLE,(670) 664-3751
106592,690000200055,SINAPALO ELEMENTARY SCHOOL (ROTA),SINAPALO,ROTA,MP,96951,NOT AVAILABLE,(670) 532-9521
106618,690000200083,DANDAN EARLY HEADSTART,DANDAN,SAIPAN,MP,96950,NOT AVAILABLE,(670) 288-5633
106621,690000200090,TANAPAG EARLY HEADSTART,TANAPAG,SAIPAN,MP,96950,NOT AVAILABLE,(670) 323-4677
106600,690000200063,GARAPAN HEADSTART,GARAPAN,SAIPAN,MP,96950,NOT AVAILABLE,(670) 664-1087
106615,690000200079,KOBLERVILLE ELEMENTARY SCHOOL,KOBLERVILLE,SAIPAN,MP,96950,NOT AVAILABLE,(670) 664-3961
106605,690000200069,CHACHA OCEANVIEW MIDDLE SCHOOL,KAGMAN,SAIPAN,MP,96950,NOT AVAILABLE,(670) 664-4100
106611,690000200075,EARLY INTERVENTION SERVICES,GARAPAN,SAIPAN,MP,96950,NOT AVAILABLE,(670) 664-3754
106616,690000200080,DA'OK ACADEMY,SUSUPE,SAIPAN,MP,96950,NOT AVAILABLE,(670) 237-3296
106601,690000200065,TINIAN JUNIOR/SENIOR HIGH,SAN JOSE,TINIAN,MP,96952,NOT AVAILABLE,(670) 237-4163
106604,690000200068,ROTA HEADSTART,SINAPALO,ROTA,MP,96951,NOT AVAILABLE,(670) 237-4065
106614,690000200078,SAIPAN SOUTHERN HIGH SCHOOL,KOBLERVILLE,SAIPAN,MP,96950,NOT AVAILABLE,(670) 664-4002
106595,690000200058,GARAPAN ELEMENTARY SCHOOL,GARAPAN,SAIPAN,MP,96950,NOT AVAILABLE,(670) 664-3955
106593,690000200056,MARIANAS HIGH SCHOOL,SUSUPE,SAIPAN,MP,96950,NOT AVAILABLE,(670) 664-3800
106597,690000200060,DR. RITA H. INOS JUNIOR & SENIOR HIGH,SINAPALO,ROTA,MP,96951,NOT AVAILABLE,(670) 532-9502
106602,690000200066,HOPWOOD JUNIOR HIGH SCHOOL,CHALAN PIAO,SAIPAN,MP,96950,NOT AVAILABLE,(670) 664-5075
106606,690000200070,SAN VICENTE ELEMENTARY SCHOOL,SAN VICENTE,SAIPAN,MP,96950,NOT AVAILABLE,(670) 237-3792
