OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
751,380813000874,DISCOVERY ELEMENTARY SCHOOL,3300 43RD AVE S,GRAND FORKS,ND,58201,NOT AVAILABLE,(701) 787-4359
3170,380516000140,DIVIDE COUNTY HIGH SCHOOL,605 SE 4TH,CROSBY,ND,58730,NOT AVAILABLE,(701) 965-6392
45493,381794000620,SWEET BRIAR SCHOOL,4060 COUNTY RD 83,MANDAN,ND,58554,NOT AVAILABLE,(701) 663-7453
47510,380001400047,CENTURY HIGH SCHOOL,1000 E CENTURY AVE,BISMARCK,ND,58503,NOT AVAILABLE,(701) 323-4900
49809,381605000558,ROLETTE ELEMENTARY SCHOOL,901 3RD AVE NE,ROLETTE,ND,58366,NOT AVAILABLE,(701) 246-3595
69674,380000400803,SCHOOL FOR THE BLIND,500 STANFORD RD,GRAND FORKS,ND,58203,NOT AVAILABLE,(701) 795-2700
105951,380001400929,BISMARCK 6-8 VIRTUAL ACADEMY,806 N WASHINGTON ST,BISMARCK,ND,58501,NOT AVAILABLE,(701) 323-4000
105981,381713000947,SOUTH HEART HIGH VIRTUAL ACADEMY,310 4TH STREET NW,SOUTH HEART,ND,58655,NOT AVAILABLE,(701) 677-5671
107220,381254000905,WOLVES CENTER ACADEMY,908 4TH AVENUE NE,WATFORD CITY,ND,58854,NOT AVAILABLE,(701) 444-3626
21339,381941000684,WESTSIDE ELEMENTARY SCHOOL,945 7TH AVE W,WEST FARGO,ND,58078,NOT AVAILABLE,(701) 356-2110
21447,380813000256,LAKE AGASSIZ ELEMENTARY SCHOOL,605 STANFORD RD,GRAND FORKS,ND,58203,NOT AVAILABLE,(701) 746-2275
22718,380609000178,ELLENDALE HIGH SCHOOL,321 N 1ST ST,ELLENDALE,ND,58436,NOT AVAILABLE,(701) 349-3232
27498,381303000441,LONGFELLOW ELEMENTARY SCHOOL,600 16TH ST NW,MINOT,ND,58703,NOT AVAILABLE,(701) 857-4610
86421,381704000590,VELVA ELEMENTARY SCHOOL,101 W 4TH ST,VELVA,ND,58790,NOT AVAILABLE,(701) 338-2022
34937,381376000831,GARDEN VALLEY ELEMENTARY SCHOOL,13565 60TH ST NW STE 102,WILLISTON,ND,58801,NOT AVAILABLE,(701) 826-4261
93004,381376000482,ROUND PRAIRIE ELEMENTARY SCHOOL,5098 151ST AVE NW,WILLISTON,ND,58801,NOT AVAILABLE,(701) 875-4346
94125,381698000587,SOLEN HIGH SCHOOL,902 E BROADWAY,SOLEN,ND,58570,NOT AVAILABLE,(701) 445-3331
50092,381182000390,MARY STARK ELEMENTARY SCHOOL,405 8TH AVE SW,MANDAN,ND,58554,NOT AVAILABLE,(701) 751-6506
51821,380003600552,RICHLAND ELEMENTARY SCHOOL,106 BROADWAY,ABERCROMBIE,ND,58001,NOT AVAILABLE,(701) 553-8321
54876,380006100884,GRANT COLONY SCHOOL,5543 129TH AVE SE,ENDERLIN,ND,58027,NOT AVAILABLE,(701) 864-2611
54978,464164000394,SPRING CREEK COLONY ELEMENTARY - 04,36562 102ND ST,FORBES,ND,58439,NOT AVAILABLE,(605) 439-3477
55657,380913000291,HAZELTON-MOFFIT-BRADDOCK ELEMENTARY SCHOOL,211 HAZEL AVE,HAZELTON,ND,58544,NOT AVAILABLE,(701) 782-6231
