OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
18654,317098001005,GIBBON ELEMENTARY SCHOOL,1030 COURT STREET,GIBBON,NE,68840,0790,(308) 468-6546
41418,310414000092,BLOOMFIELD ELEMENTARY SCHOOL,514 S MCNAMARA,BLOOMFIELD,NE,68718,2079,(402) 373-4985
62644,317590001536,BLUMFIELD ELEMENTARY SCHOOL,10310 MOCKINGBIRD DR,OMAHA,NE,68127,1923,(402) 331-0891
101162,317284001166,MORLEY ELEMENTARY SCHOOL,6800 MONTEREY DR,LINCOLN,NE,68506,2399,(402) 436-1154
102046,310014501480,NOVA ALTERNATIVE SCHOOL,8502 MORMON BRIDGE RD,OMAHA,NE,68152,1929,(402) 991-8551
105609,310399002403,ANCHOR POINTE ELEMENTARY,17007 NORTH HWS CLEVELAND BLVD,BENNINGTON,NE,68007,NOT AVAILABLE,(402) 238-2166
105648,318013002387,WESTWAY HEAD START,1701 W 27 ST,SCOTTSBLUFF,NE,69361,NOT AVAILABLE,(308) 633-3712
25011,317071000986,WASHINGTON ELEMENTARY SCHOOL,515 S BROAD ST,FREMONT,NE,68025,5634,(402) 727-3164
25253,317065000969,FORT CALHOUN JR-SR HIGH SCHOOL,5876 COUNTY ROAD P43,FORT CALHOUN,NE,68023,0430,(402) 468-5591
25636,310018402308,RIVERSIDE HIGH SCHOOL,408 W DAYTON ST,CEDAR RAPIDS,NE,68627,5559,(308) 358-0640
81964,317383001266,MINDEN HIGH SCHOOL,622 WEST THIRD,MINDEN,NE,68959,0301,(308) 832-2254
83680,310501000143,CHAMBERS HIGH SCHOOL,201 SOUTH A ST,CHAMBERS,NE,68725,0218,(402) 482-5233
30838,317022000933,ELWOOD ELEMENTARY SCHOOL,502 FIRST AVE,ELWOOD,NE,68937,0107,(308) 785-2491
32490,310009000056,BAYARD ELEMENTARY SCHOOL,726 4TH AVE,BAYARD,NE,69334,0607,(308) 586-1211
32787,317599001551,RED CLOUD HIGH SCHOOL,121 W 7TH AVE,RED CLOUD,NE,68970,2498,(402) 746-2818
36621,310000801734,WISNER-PILGER HIGH SCHOOL,801 18TH ST,WISNER,NE,68791,0580,(402) 529-3249
