OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
14001,350261000591,ARREY ELEMENTARY,7 ARREY CEMETERY RD,ARREY,NM,87930,NOT AVAILABLE,(575) 894-8150
15684,350006000053,JANET KAHN FINE ARTS ACADEMY,9717 INDIAN SCHOOL RD NE,ALBUQUERQUE,NM,87112,NOT AVAILABLE,(505) 299-4483
16199,350006000025,ALVARADO ELEMENTARY,1100 SOLAR RD NW,ALBUQUERQUE,NM,87107,NOT AVAILABLE,(505) 344-4412
18278,350069000242,MEMORIAL ELEMENTARY,1000 SOUTH 10TH ST,DEMING,NM,88030,NOT AVAILABLE,(575) 546-2502
19098,350129000359,HONDO ELEMENTARY,111 DON PABLO LANE,HONDO,NM,88336,NOT AVAILABLE,(575) 653-4411
776,590003900098,TE TSU GEH OWEENGE DAY SCHOOL,TESUQUE PUEBLO,TESUQUE PUEBLO,NM,87506,NOT AVAILABLE,(505) 303-1255
6181,350237001139,MILAGRO MIDDLE,351 W. ZIA ROAD,SANTA FE,NM,87505,NOT AVAILABLE,(505) 467-3300
6188,350006000962,LA RESOLANA LEADERSHIP,230 TRUMAN NE,ALBUQUERQUE,NM,87108,NOT AVAILABLE,(505) 243-8114
8550,350006000066,HOOVER MIDDLE,12015 TIVOLI NE,ALBUQUERQUE,NM,87111,NOT AVAILABLE,(505) 298-6896
9014,350006000019,JOHN ADAMS MIDDLE,5401 GLENRIO RD NW,ALBUQUERQUE,NM,87105,NOT AVAILABLE,(505) 831-0400
48076,350006000108,SCHOOL ON WHEELS HIGH SCHOOL,129 HARTLINE RD SW,ALBUQUERQUE,NM,87105,NOT AVAILABLE,(505) 243-2395
63057,350006000457,SIERRA ALTERNATIVE,2611 EUBANK NE,ALBUQUERQUE,NM,87112,NOT AVAILABLE,(505) 296-6708
69664,350001000736,ERNEST STAPLETON ELEMENTARY,3100 STAPLETON AVE NE,RIO RANCHO,NM,87124,NOT AVAILABLE,(505) 891-8473
105770,350001001159,JOE HARRIS ELEMENTARY,2100 10TH STREET SE,RIO RANCHO,NM,87124,NOT AVAILABLE,(505) 896-0706
105774,350006000890,GILBERT L SENA CHARTER HS,69 HOTEL CIR NE,ALBUQUERQUE,NM,87123,NOT AVAILABLE,(505) 237-2374
20795,350018000146,RIO GRANDE ELEMENTARY,15 EASTSIDE SCHOOL RD,BELEN,NM,87002,NOT AVAILABLE,(505) 966-2200
22239,350057000208,BARRY ELEMENTARY,3401 THORNTON ST,CLOVIS,NM,88101,NOT AVAILABLE,(575) 769-4300
22347,350030000169,CARLSBAD INTERMEDIATE SCHOOL,800 WEST CHURCH,CARLSBAD,NM,88220,NOT AVAILABLE,(575) 234-3300
25250,350225000517,MONTERREY ELEMENTARY,910 WEST GAYLE ST,ROSWELL,NM,88203,NOT AVAILABLE,(575) 637-3475
26250,350024000156,BLOOMFIELD HIGH,520 NORTH FIRST ST,BLOOMFIELD,NM,87413,NOT AVAILABLE,(505) 634-3400
26265,350225000508,DEL NORTE ELEMENTARY,2701 NORTH GARDEN AVE,ROSWELL,NM,88201,NOT AVAILABLE,(575) 637-3325
26516,350108000631,GADSDEN MIDDLE,1301 WEST WASHINGTON,ANTHONY,NM,88021,NOT AVAILABLE,(575) 882-6203
80281,350177000694,MAGDALENA MIDDLE,201 DUGGINS DR,MAGDALENA,NM,87825,NOT AVAILABLE,(575) 854-2241
86021,350006000070,JOHN BAKER ELEMENTARY,12015-B TIVOLI ST NE,ALBUQUERQUE,NM,87111,NOT AVAILABLE,(505) 298-7486
87120,350006000856,VISION QUEST ALTERNATIVE MIDDLE,5401 GLENRIO RD NW,ALBUQUERQUE,NM,87105,NOT AVAILABLE,(505) 352-0343
88397,350006000065,L.B. JOHNSON MIDDLE,6811 TAYLOR RANCH DR NW,ALBUQUERQUE,NM,87120,NOT AVAILABLE,(505) 898-1492
31749,350117000334,MOUNT TAYLOR ELEMENTARY,1607 DEL NORTE,GRANTS,NM,87020,NOT AVAILABLE,(505) 285-2740
35966,350174000446,LEA ELEMENTARY,1202 WEST BIRCH AVE,LOVINGTON,NM,88260,NOT AVAILABLE,(575) 739-2625
36657,350213000493,QUEMADO HIGH,HWY 60,QUEMADO,NM,87829,NOT AVAILABLE,(575) 773-4700
38370,350168000792,DESERT VIEW ELEMENTARY,49 CAMINO LA CANADA,LOS LUNAS,NM,87031,NOT AVAILABLE,(505) 866-8231
95567,350030001109,CARLSBAD EARLY COLLEGE HIGH,1500 UNIVERSITY DR,CARLSBAD,NM,88220,NOT AVAILABLE,(575) 234-9415
97602,350001000101,RIO RANCHO ELEMENTARY,4601 PEPE ORTIZ SE,RIO RANCHO,NM,87124,NOT AVAILABLE,(505) 892-0220
51006,350165000434,PINON ELEMENTARY,90 GRAND CANYON DR,WHITE ROCK,NM,87547,NOT AVAILABLE,(505) 663-2680
51890,350006000020,ADOBE ACRES ELEMENTARY,1724 CAMINO DEL VALLE SW,ALBUQUERQUE,NM,87105,NOT AVAILABLE,(505) 877-4799
59097,350006000124,ZIA ELEMENTARY,440 JEFFERSON ST NE,ALBUQUERQUE,NM,87108,NOT AVAILABLE,(505) 260-2020
70392,350018000145,JARAMILLO ELEMENTARY,900 ESPERANZA DR,BELEN,NM,87002,NOT AVAILABLE,(505) 966-2001
70594,350117000332,MESA VIEW ELEMENTARY,400 EAST WASHINGTON,GRANTS,NM,87020,NOT AVAILABLE,(505) 285-2717
70885,350030000170,MONTERREY ELEMENTARY,1101 NORTH 9TH ST,CARLSBAD,NM,88220,NOT AVAILABLE,(575) 234-3300
72366,350123000666,HATCH VALLEY MIDDLE,901 EAST HERRERA,HATCH,NM,87937,NOT AVAILABLE,(575) 267-8250
74398,350006000094,REGINALD CHAVEZ ELEMENTARY,2700 MOUNTAIN RD NW,ALBUQUERQUE,NM,87104,NOT AVAILABLE,(505) 764-2008
78024,350183000466,MELROSE HIGH,100 MISSOURI AVE,MELROSE,NM,88124,NOT AVAILABLE,(575) 253-4267
79547,350048000199,EAGLE NEST ELEMENTARY,132 NORTH COLLISON,EAGLE NEST,NM,87718,NOT AVAILABLE,(575) 376-2445
710,350039001115,JUDY NELSON ELEMENTARY,40 RD 6580,KIRTLAND,NM,87417,NOT AVAILABLE,(505) 598-6285
3641,350231000464,SIERRA VISTA PRIMARY,199 WHITE MOUNTAIN DR,RUIDOSO,NM,88345,NOT AVAILABLE,(575) 258-4943
4225,350171000443,LOVING HIGH,602 SOUTH SIXTH,LOVING,NM,88256,NOT AVAILABLE,(575) 745-2020
5137,350006000924,ALICE KING COMMUNITY SCHOOL,8100 MOUNTAIN RD. NE,ALBUQUERQUE,NM,87110,NOT AVAILABLE,(505) 344-0746
5659,350186000637,MORA ELEMENTARY,HWY 518 AND RANGER DR,MORA,NM,87732,NOT AVAILABLE,(575) 387-3132
8828,350051000203,CLAYTON HIGH,323 SOUTH 5TH ST,CLAYTON,NM,88415,NOT AVAILABLE,(575) 374-9611
40518,350198000475,MESA VISTA HIGH,HWY 285 JUNCTION 111,OJO CALIENTE,NM,87549,NOT AVAILABLE,(575) 583-2274
41707,350030000162,CARLSBAD SIXTH GRADE ACADEMY,301 SOUTH ALTA VISTA,CARLSBAD,NM,88220,NOT AVAILABLE,(575) 234-3300
44441,350147000375,LAKE ARTHUR HIGH,700 BROADWAY,LAKE ARTHUR,NM,88253,NOT AVAILABLE,(575) 365-2000
47287,350003000799,ACADEMY DEL SOL ALT.,1200 N FLORIDA AVE BLDG C,ALAMOGORDO,NM,88310,NOT AVAILABLE,(575) 812-5500
48077,350003000016,YUCCA ELEMENTARY,310 DALE SCOTT BLVD,ALAMOGORDO,NM,88310,NOT AVAILABLE,(575) 812-6900
63098,350111030021,DAVID SKEET ELEMENTARY,JONES RANCH RD 45,VANDERWAGEN,NM,87326,NOT AVAILABLE,(505) 721-1051
63332,350186000784,LAZARO LARRY GARCIA MIDDLE,HWY 518,MORA,NM,87732,NOT AVAILABLE,(575) 387-3127
65540,350174000445,JEFFERSON ELEMENTARY,300 WEST JEFFERSON AVE,LOVINGTON,NM,88260,NOT AVAILABLE,(575) 739-2540
67110,350006000916,EARLY COLLEGE ACADEMY,807 MOUNTAIN RD NE,ALBUQUERQUE,NM,87102,NOT AVAILABLE,(505) 247-3658
68552,350138000368,GALLINA ELEMENTARY,1903 STATE HIGHWAY 96,GALLINA,NM,87017,NOT AVAILABLE,(575) 638-5419
53554,590002800094,SAN ILDEFONSO DAY SCHOOL,36 TUNYO PO,SANTA FE,NM,87506,NOT AVAILABLE,(505) 455-2366
56228,350017600846,ROOTS & WINGS COMMUNITY,35 OLD LAMA RD,QUESTA,NM,87556,NOT AVAILABLE,(575) 586-2076
57278,350017901136,HOZHO ACADEMY,104 E AZTEC AVENUE,GALLUP,NM,87301,NOT AVAILABLE,(505) 722-4463
58415,350001001024,CLEVELAND HIGH SCHOOL,4800 CLEVELAND HEIGHTS RD NE,RIO RANCHO,NM,87144,NOT AVAILABLE,(505) 938-0300
59589,350006000046,MACARTHUR ELEMENTARY,1100 MACARTHUR RD NW,ALBUQUERQUE,NM,87107,NOT AVAILABLE,(505) 344-1482
95250,350000100607,VAUGHN ELEMENTARY,101 4TH,VAUGHN,NM,88353,NOT AVAILABLE,(575) 584-2283
80558,350030000166,EARLY CHILDHOOD EDUCATION CENTER,1801 WEST LEA,CARLSBAD,NM,88220,NOT AVAILABLE,(575) 234-3300
80839,350021000728,WD CARROLL ELEMENTARY,842 CAMINO DON TOMAS,BERNALILLO,NM,87004,NOT AVAILABLE,(505) 867-4441
100237,350153000406,ROBERTSON HIGH,1236 5TH STREET,LAS VEGAS,NM,87701,NOT AVAILABLE,(505) 454-5770
100279,350006000031,BARCELONA ELEMENTARY,2311 BARCELONA RD SW,ALBUQUERQUE,NM,87105,NOT AVAILABLE,(505) 877-0400
10121,590008100152,ISLETA ELEMENTARY SCHOOL,1000 MOONLIGHT DRIVE,ALBUQUERQUE,NM,87105,NOT AVAILABLE,(505) 869-2321
11924,350237000550,SALAZAR ELEMENTARY,1231 APACHE AVE.,SANTA FE,NM,87505,NOT AVAILABLE,(505) 467-3900
14833,350225000524,VALLEY VIEW ELEMENTARY,1400 S WASHINGTON,ROSWELL,NM,88203,NOT AVAILABLE,(575) 637-3600
19588,350162000424,LORDSBURG HIGH,501 WEST FOURTH ST,LORDSBURG,NM,88045,NOT AVAILABLE,(575) 542-3782
30297,350126000356,TAYLOR ELEMENTARY,1520 N. BRECKON,HOBBS,NM,88240,NOT AVAILABLE,(575) 433-2000
31830,350123000344,HATCH VALLEY HIGH,170 EAST HERRERA,HATCH,NM,87937,NOT AVAILABLE,(575) 267-8230
37256,350012000133,YUCCA ELEMENTARY,900 NORTH 13TH ST,ARTESIA,NM,88210,NOT AVAILABLE,(575) 746-3585
38736,350006000692,MARYANN BINFORD ELEMENTARY,1400 CORRIZ SW,ALBUQUERQUE,NM,87121,NOT AVAILABLE,(505) 836-0623
78026,350111000301,CROWNPOINT HIGH,#1 EAGLE DR,CROWNPOINT,NM,87313,NOT AVAILABLE,(505) 721-1051
25863,350039000186,SHIPROCK HIGH,HWY 64,SHIPROCK,NM,87420,NOT AVAILABLE,(505) 368-5161
27703,350099030006,FARMINGTON PRESCHOOL ACADEMY EAST,5840 FORTUNA,FARMINGTON,NM,87402,NOT AVAILABLE,(505) 324-9840
27731,350057000221,SANDIA ELEMENTARY,2801 LORE ST,CLOVIS,NM,88101,NOT AVAILABLE,(575) 769-4300
28153,350246000572,R. SARRACINO MIDDLE,1425 EL CAMINO REAL,SOCORRO,NM,87801,NOT AVAILABLE,(575) 835-0283
72236,350126000351,HOUSTON MIDDLE SCHOOL,300 NORTH HOUSTON,HOBBS,NM,88240,NOT AVAILABLE,(575) 433-1300
75044,350102000294,FLOYD ELEMENTARY,1564 NM 267,FLOYD,NM,88118,NOT AVAILABLE,(575) 478-2211
79117,350111000311,RAMAH ELEMENTARY,17 EVANS CIRCLE,RAMAH,NM,87321,NOT AVAILABLE,(505) 721-1051
90984,350216000495,ALTA VISTA INTERMEDIATE,4 WILDCAT RD,QUESTA,NM,87556,NOT AVAILABLE,(575) 586-0032
94206,350057000213,CLOVIS HIGH,1900 THORNTON,CLOVIS,NM,88101,NOT AVAILABLE,(575) 769-4300
97780,350048000197,CIMARRON ELEMENTARY,132 NORTH COLLISON AVE,CIMARRON,NM,87714,NOT AVAILABLE,(575) 376-2445
98301,350006000104,SAN ANTONITO ELEMENTARY,12555 N HWY 14,SANDIA PARK,NM,87047,NOT AVAILABLE,(505) 281-3931
100404,350018401149,RAICES DEL SABER XINACHTLI COMMUNITY SCHOOL,2211 NORTH VALLEY DRIVE,LAS CRUCES,NM,88007,NOT AVAILABLE,(575) 571-2177
101758,350225000509,EAST GRAND PLAINS ELEMENTARY,3773 EAST GRAND PLAINS,ROSWELL,NM,88203,NOT AVAILABLE,(575) 637-3350
105777,350006001074,ACE LEADERSHIP HIGH SCHOOL,1240 BELLAMAH AVE. NW,ALBUQUERQUE,NM,87104,NOT AVAILABLE,(505) 242-4733
82826,350003000005,HIGH ROLLS MOUNTAIN PARK ELEMENTARY,23 KARR CANYON,HIGH ROLLS,NM,88325,NOT AVAILABLE,(575) 812-5275
82832,350015000139,LYDIA RIPPEY ELEMENTARY,401 RIO PECOS RD,AZTEC,NM,87410,NOT AVAILABLE,(575) 334-9474
83183,350006000088,MITCHELL ELEMENTARY,10121 COMANCHE RD NE,ALBUQUERQUE,NM,87111,NOT AVAILABLE,(505) 299-1937
85904,350156000815,WLV FAMILY PARTNERSHIP,1341 SOUTH GONZALES ST,LAS VEGAS,NM,87701,NOT AVAILABLE,(505) 426-2559
87311,350006000030,BANDELIER ELEMENTARY,3309 PERSHING ST SE,ALBUQUERQUE,NM,87106,NOT AVAILABLE,(505) 255-8744
52206,350105000718,FORT SUMNER MIDDLE,1001 SUMNER AVE,FORT SUMNER,NM,88119,NOT AVAILABLE,(575) 355-7734
