OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
11023,361170000932,J E LANIGAN SCHOOL,59 BAKEMAN AVE,FULTON,NY,13069,3399,(315) 593-5470
11866,360009602707,IS 211 JOHN WILSON,1001 E 100TH ST,BROOKLYN,NY,11236,4400,(718) 251-4411
12387,361716001529,NORTHSIDE SCHOOL,35 PELICAN RD,LEVITTOWN,NY,11756,3201,(516) 434-7502
12710,362358003291,JOHN J DALY ELEMENTARY SCHOOL,36 ROCKWOOD AVE,PORT WASHINGTON,NY,11050,2497,(516) 767-5200
14183,360016405887,NIAGARA CHARTER SCHOOL,2077 LOCKPORT RD,NIAGARA FALLS,NY,14304,NOT AVAILABLE,(716) 297-4520
15254,360103506226,RIVERTON STREET CHARTER SCHOOL,118-34 RIVERTON ST,SAINT ALBANS,NY,11412,4024,(718) 481-8200
16238,360011902816,IS 318 EUGENIO MARIA DE HOSTOS,101 WALTON ST,BROOKLYN,NY,11206,4311,(718) 782-0589
16938,362172003077,EAST VIEW ELEMENTARY SCHOOL,690 E SPRING ST,OLEAN,NY,14760,2999,(716) 375-8922
17136,361461004207,HOLLEY ELEMENTARY SCHOOL,3800 N MAIN ST,HOLLEY,NY,14470,9330,(585) 638-6318
18289,360007804458,FIORELLO H LAGUARDIA HIGH SCHOOL,100 AMSTERDAM AVE,NEW YORK,NY,10023,6406,(212) 496-0700
19915,363096004160,POWELLS LANE SCHOOL,603 POWELLS LN,WESTBURY,NY,11590,1345,(516) 876-5125
19935,362421003330,RED CREEK HIGH SCHOOL,6574 SOUTH ST,RED CREEK,NY,13143,0190,(315) 754-2040
690,360113706552,STOREFRONT ACADEMY CHARTER SCHOOL,609 JACKSON AVE,BRONX,NY,10455,NOT AVAILABLE,(646) 476-1400
1780,361446001200,MERTON WILLIAMS MIDDLE SCHOOL,200 SCHOOL LN,HILTON,NY,14468,1295,(585) 392-1000
2601,360008305647,MS 324 PATRIA MIRABAL,21 JUMEL PL,NEW YORK,NY,10032,NOT AVAILABLE,(212) 923-4057
3052,360891000681,DELAWARE ACADEMY HIGH SCHOOL,2 SHELDON DR,DELHI,NY,13753,1276,(607) 746-1281
4197,362133003042,STANFORD J GIBSON PRIMARY SCHOOL,8 RIDGELAND RD,NORWICH,NY,13815,9964,(607) 334-1600
7582,360007706126,BUSINESS OF SPORTS SCHOOL,439 W 49TH ST,NEW YORK,NY,10019,NOT AVAILABLE,(212) 246-2183
7769,360009806066,VOYAGES PREPARATORY,45-10 94TH ST,ELMHURST,NY,11373,NOT AVAILABLE,(718) 271-7851
8077,360010301974,IS 72 ROCCO LAURIE,33 FERNDALE AVE,STATEN ISLAND,NY,10314,4899,(718) 698-5757
