OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10759,390437800514,MILES PARK SCHOOL,4090 E 93RD ST,CLEVELAND,OH,44105,5163,(216) 838-4450
11025,390458502363,RIDGEVIEW ELEMENTARY SCHOOL,3456 LIBERTY ST,ASHTABULA,OH,44004,5969,(440) 997-7321
12852,390455402271,NEWCOMERSTOWN MIDDLE SCHOOL,325 W STATE ST,NEWCOMERSTOWN,OH,43832,1400,(740) 498-8151
13315,390153305789,FRANKLINTON PREPARATORY ACADEMY,40 CHICAGO AVE,COLUMBUS,OH,43222,1132,(614) 636-3721
13883,390439405104,ELYRIA EARLY CHILDHOOD CENTER,42101 GRISWOLD RD,ELYRIA,OH,44035,2117,(440) 284-8250
17010,390437800513,MILES SCHOOL,11918 MILES AVE,CLEVELAND,OH,44105,5466,(216) 838-5250
17538,390446301518,THOREAU PARK ELEMENTARY SCHOOL,5401 W 54TH ST,PARMA,OH,44129,2201,(440) 885-2352
17735,390437805531,GARFIELD ELEMENTARY SCHOOL,3800 W 140TH ST,CLEVELAND,OH,44111,4972,(216) 838-6300
18381,390493303564,FORT JENNINGS HIGH SCHOOL,#1 MUSKETEER DRIVE,FORT JENNINGS,OH,45844,NOT AVAILABLE,(419) 286-2238
359,390148805715,IMAGINE ENVIRONMENTAL SCIENCE ACADEMY,1030 CLAY AVE,TOLEDO,OH,43608,2167,(419) 727-9900
668,390510605846,INSTRUCTIONAL RESOURCE CENTER,100 SCARLET OAKS DR,CINCINNATI,OH,45241,NOT AVAILABLE,(513) 771-8840
2582,390505303977,CHIPPEWA INTERMEDIATE SCHOOL,100 VALLEY VIEW RD,DOYLESTOWN,OH,44230,1334,(330) 658-2214
2618,390500703831,SAMUEL BISSELL ELEMENTARY SCHOOL,1811 GLENWOOD DR,TWINSBURG,OH,44087,1214,(330) 486-2100
2748,390468802688,LIBERTY UNION MIDDLE SCHOOL,994 S MAIN ST,BALTIMORE,OH,43105,9538,(740) 862-4126
4193,390508804056,D RUSSEL LEE CAREER-TECHNOLOGY CENTER,3603 HAMILTON MIDDLETOWN RD,HAMILTON,OH,45011,2241,(513) 868-6300
4974,390439000862,CHAMBERS ELEMENTARY SCHOOL,14121 SHAW AVE,EAST CLEVELAND,OH,44112,2522,(216) 268-6640
5594,390435000080,TAFT INTERMEDIATE SCHOOL,825 SMITH RD,ASHLAND,OH,44805,3644,(419) 289-7967
5917,390159605913,SOUTH COLUMBUS PREPARATORY ACADEMY AT GERMAN VILLAGE,387 E BECK ST,COLUMBUS,OH,43206,3259,(614) 669-6301
5934,390463205916,CNE EARLY CHILDHOOD ACADEMY,463 SOUTH BROADWAY,OWENSVILLE,OH,45160,NOT AVAILABLE,(513) 685-5374
40100,390445601456,NORWALK MIDDLE SCHOOL,64 CHRISTIE AVE,NORWALK,OH,44857,2304,(419) 668-8370
40294,390448201704,PUGLIESE ELEMENTARY WEST,435 JOHN SCOTT HWY CONNECTOR,STEUBENVILLE,OH,43952,3026,(740) 264-1590
42621,390471802789,CHARDON HIGH SCHOOL,151 CHARDON AVE,CHARDON,OH,44024,1097,(440) 285-4057
43558,390484703263,BUCKEYE JUNIOR HIGH SCHOOL,3024 COLUMBIA RD,MEDINA,OH,44256,9411,(330) 722-8257
44403,390438000611,COLERAIN ELEMENTARY SCHOOL,499 E WEISHEIMER RD,COLUMBUS,OH,43214,2238,(614) 365-6001
44826,390049305203,SUMMIT ACADEMY COMMUNITY SCHOOL - DAYTON,4128 CEDAR RIDGE RD,DAYTON,OH,45414,3908,(937) 278-4298
45311,390506204010,EDON ELEMENTARY SCHOOL,802 W INDIANA ST,EDON,OH,43518,9627,(419) 272-3213
46938,390458305294,MAPLETON ELEMENTARY SCHOOL,2 MOUNTIE DR,ASHLAND,OH,44805,NOT AVAILABLE,(419) 945-2188
47365,390483503222,MCKINLEY HIGH SCHOOL,225 E INDIANA AVE,SEBRING,OH,44672,1432,(330) 938-2963
48086,390448101686,HAYWARD MIDDLE SCHOOL,1700 CLIFTON AVE,SPRINGFIELD,OH,45505,4008,(937) 505-4190
48767,390498803732,MARLINGTON HIGH SCHOOL,10450 MOULIN AVE NE,ALLIANCE,OH,44601,5907,(330) 823-1300
49323,390488303416,JOHN GLENN HIGH SCHOOL,13115 JOHN GLENN SCHOOL RD,NEW CONCORD,OH,43762,9762,(740) 826-7641
49917,390456502321,MCCORMICK MIDDLE SCHOOL,627 S MAIN ST,WELLINGTON,OH,44090,1345,(440) 647-2342
60207,390454202209,HUBBARD HIGH SCHOOL,350 HALL AVE,HUBBARD,OH,44425,2067,(330) 534-1921
62058,390450301945,GARFIELD ELEMENTARY SCHOOL,1600 LINCOLN AVE,WELLSVILLE,OH,43968,1247,(330) 532-3301
62528,390444801404,WEST ELEMENTARY SCHOOL,232 TUSCARAWAS AVE NW,NEW PHILADELPHIA,OH,44663,1535,(330) 364-0755
63379,390476802942,WINESBURG ELEMENTARY SCHOOL,2165 US ROUTE 62,WINESBURG,OH,44690,NOT AVAILABLE,(330) 359-5059
63826,390437500371,ROTHENBERG PREPARATORY ACADEMY,241 E CLIFTON AVE,CINCINNATI,OH,45202,8905,(513) 363-5700
63963,390442204537,FREEDOM ELEMENTARY SCHOOL,575 CALUMET AVE,LIMA,OH,45804,1405,(419) 996-3380
64044,390439000867,PROSPECT ACADEMY,1843 STANWOOD RD,EAST CLEVELAND,OH,44112,4513,(216) 268-6630
64141,390436305093,BOWLING GREEN PRESCHOOL,542 HASKINS RD,BOWLING GREEN,OH,43402,3245,(419) 352-3576
65148,390479304628,FAIRLAND WEST ELEMENTARY SCHOOL,110 TOWNSHIP ROAD 1125,PROCTORVILLE,OH,45669,8519,(740) 886-3150
65916,390453902197,GRANVILLE ELEMENTARY SCHOOL,310 N GRANGER ST,GRANVILLE,OH,43023,1395,(740) 587-8102
67258,390467605348,OLENTANGY MEADOWS ELEMENTARY SCHOOL,8950 EMERALD HILL DRIVE,LEWIS,OH,43035,NOT AVAILABLE,(740) 657-5550
67327,390500703830,GEO G DODGE ELEMENTARY SCHOOL,10225 RAVENNA RD,TWINSBURG,OH,44087,1722,(330) 486-2200
68391,390620204116,R G DRAGE CAREER TECHNICAL CTR,2800 RICHVILLE DR SE,MASSILLON,OH,44646,9480,(330) 832-9856
69038,390461002428,FAIRFIELD CENTRAL ELEMENTARY SCHOOL,5054 DIXIE HWY,FAIRFIELD,OH,45014,2934,(513) 829-7979
69633,390459002378,ALEXANDER JR. / SR. HIGH SCHOOL,6125 SCHOOL RD,ALBANY,OH,45710,8904,(740) 698-8831
100581,390501303845,CHAMPION MIDDLE SCHOOL,5976 MAHONING AVE NW STE C,WARREN,OH,44483,1262,(330) 847-2340
100883,390050705217,CONSTELLATION SCHOOLS: LORAIN COMMUNITY MIDDLE,1110 W 4TH ST,LORAIN,OH,44052,1408,(440) 242-2023
101048,390483403217,MCKINLEY ELEMENTARY SCHOOL,7 ELM ST,POLAND,OH,44514,2022,(330) 757-7015
101135,390490603478,MILLER HIGH SCHOOL,10397 STATE ROUTE 155 SE,CORNING,OH,43730,9710,(740) 721-0521
106016,390449305970,BURBANK EARLY CHILDHOOD SCHOOL,4770 BURBANK DR,UPPER,OH,43220,2800,(614) 487-5000
107244,390470006014,REYNOLDSBURG HIGH SCHOOL 9X IMPACT,6699 E LIVINGSTON AVE,REYNOLDSBURG,OH,43068,3688,(614) 501-4000
20252,390447001574,GOLDWOOD PRIMARY ELEMENTARY SCHOOL,21600 CENTER RIDGE RD,ROCKY RIVER,OH,44116,3918,(440) 356-6720
20852,390038104918,CAPITAL CITY CAREER PREP HIGH SCHOOL,2400 S HAMILTON RD,COLUMBUS,OH,43232,4963,(614) 863-9175
21108,390452302131,THE BRIDGEPORT SCHOOL DISTRICT - ELEMENTARY,55707 INDUSTRIAL DR,BRIDGEPORT,OH,43912,1516,(740) 635-0853
23266,390455702283,OAKWOOD ELEMENTARY SCHOOL,309 N 1ST ST,OAKWOOD,OH,45873,8933,(419) 594-3346
24725,390437300267,CENTERVILLE HIGH SCHOOL,500 E FRANKLIN ST,CENTERVILLE,OH,45459,5714,(937) 439-3500
25257,390452802160,CHAGRIN FALLS MIDDLE SCHOOL,342 E WASHINGTON ST,CHAGRIN FALLS,OH,44022,2994,(440) 247-4746
25673,390435300109,BARBERTON MIDDLE SCHOOL,477 4TH ST NW,BARBERTON,OH,44203,2030,(330) 745-9950
26406,390003302834,EDGE ACADEMY THE,92 N UNION ST,AKRON,OH,44304,1347,(330) 535-4581
26889,390492403542,WATERLOO HIGH SCHOOL,1464 INDUSTRY RD,ATWATER,OH,44201,9349,(330) 947-2124
27040,390002201520,AUTISM MODEL SCHOOL,3020 TREMAINSVILLE RD,TOLEDO,OH,43613,1901,(419) 897-4400
27180,390492703547,NATIONAL TRAIL HIGH SCHOOL,6940 OXFORD GETTYSBURG RD,NEW PARIS,OH,45347,9065,(937) 437-3333
27355,390504803962,SALEM-LIBERTY ELEMENTARY SCHOOL,10930 STATE ROUTE 821,LOWER SALEM,OH,45745,8830,(740) 585-2252
27511,390450701983,WHITEHALL YEARLING HIGH SCHOOL,675 S YEARLING RD,WHITEHALL,OH,43213,2800,(614) 417-5100
27512,390456502323,WESTWOOD ELEMENTARY SCHOOL,305 UNION ST,WELLINGTON,OH,44090,1072,(440) 647-3636
28378,390505603990,NORWAYNE ELEMENTARY SCHOOL,286 S. MAIN STREET,CRESTON,OH,44217,NOT AVAILABLE,(330) 435-6383
80128,390438000626,EAST LINDEN ELEMENTARY SCHOOL,2505 BRENTNELL AVE,COLUMBUS,OH,43211,1991,(614) 365-5459
80274,390134505467,HARRISBURG PIKE COMMUNITY SCHOOL,680 HARRISBURG PIKE,COLUMBUS,OH,43223,2100,(614) 223-1510
83389,390495103617,PAINT VALLEY HIGH SCHOOL,7454 US HIGHWAY 50 W,BAINBRIDGE,OH,45612,9708,(740) 634-3582
83391,390050005210,SUMMIT ACADEMY COMMUNITY SCHOOL-WARREN,2106 ARBOR AVE SE,WARREN,OH,44484,5225,(330) 369-4233
83545,390486503324,BEALLSVILLE ELEMENTARY SCHOOL,43824 SR 556,BEALLSVILLE,OH,43716,0262,(740) 926-1435
83780,390461705296,MALVERN MIDDLE SCHOOL,3242 CORAL RD NW,MALVERN,OH,44644,9467,(330) 863-1355
84904,390447401603,THE SANDUSKY PRIMARY SCHOOL,924 ONTARIO ST,SANDUSKY,OH,44870,4049,(419) 984-1251
85998,390437800424,BENJAMIN FRANKLIN,1905 SPRING RD,CLEVELAND,OH,44109,4460,(216) 838-3150
86247,390466002608,GRACE L ROXBURY ELEMENTARY SCHOOL,6795 SOLON BLVD,SOLON,OH,44139,4128,(440) 349-6210
87520,390482304231,WASHINGTON JUNIOR HIGH SCHOOL,5700 WHITMER DR,TOLEDO,OH,43613,2033,(419) 473-8449
87641,391003303992,NORTHWESTERN MIDDLE SCHOOL,7569 N ELYRIA RD,WEST SALEM,OH,44287,9707,(419) 846-3974
89563,391001700127,BEDFORD HIGH SCHOOL,481 NORTHFIELD RD,BEDFORD,OH,44146,2201,(440) 786-3522
89660,390470005653,REYNOLDSBURG HS BUSINESS EDUCATION LEADERSHIP & LAW ACADEMY,6699 E LIVINGSTON AVE,REYNOLDSBURG,OH,43068,3688,(614) 501-4000
89897,390487003359,SPINNING HILLS MIDDLE SCHOOL (5-6),5001 EASTMAN AVE,DAYTON,OH,45432,1437,(937) 259-6635
30414,390469702731,GROVEPORT MADISON MIDDLE SCHOOL NORTH,5474 SEDALIA DR,COLUMBUS,OH,43232,6346,(614) 837-5508
31212,391002305672,VAN WERT EARLY CHILDHOOD CENTER,1120 BUCKEYE DR,VAN WERT,OH,45891,2655,(419) 238-0384
31780,390466702618,MISSISSINAWA VALLEY ELEMENTARY SCHOOL,10480 STAUDT RD,UNION CITY,OH,45390,8648,(937) 968-4464
31808,390052805238,FINDLAY DIGITAL ACADEMY,1219 W MAIN CROSS ST STE 101,FINDLAY,OH,45840,0702,(419) 425-3598
32034,390502403888,LABRAE INTERMEDIATE SCHOOL,1001 N LEAVITT RD,LEAVITTSBURG,OH,44430,9644,(330) 898-0800
34221,390445605290,MAIN STREET SCHOOL,80 E MAIN ST,NORWALK,OH,44857,1714,(419) 668-2779
34313,390485103279,EASTERN HIGH SCHOOL,38900 STATE ROUTE 7,REEDSVILLE,OH,45772,9724,(740) 985-3329
35563,390438000598,BUCKEYE MIDDLE SCHOOL,2950 PARSONS AVE,COLUMBUS,OH,43207,3742,(614) 365-5417
35566,391000301636,NORTHWOOD INTERMEDIATE SCHOOL,1152 SAINT MARYS RD,SIDNEY,OH,45365,8901,(937) 497-2231
37390,390437805395,WARNER GIRLS LEADERSHIP ACADEMY,8315 JEFFRIES AVE,CLEVELAND,OH,44105,6558,(216) 838-8950
37957,390451602069,HARDING ELEMENTARY SCHOOL,1903 CORDOVA AVE,YOUNGSTOWN,OH,44504,1809,(330) 744-7517
38723,390434900071,ALLIANCE EARLY LEARNING SCHOOL AT SOUTH LINCOLN,285 W OXFORD ST,ALLIANCE,OH,44601,2872,(330) 829-2266
91181,390461902463,GRAHAM HIGH SCHOOL,7800 US HIGHWAY 36,SAINT PARIS,OH,43072,9496,(937) 663-4127
91248,390437100260,WORLEY ELEMENTARY SCHOOL,1340 23RD ST NW,CANTON,OH,44709,3655,(330) 452-5748
92065,390500703829,R B CHAMBERLIN MIDDLE SCHOOL,10270 RAVENNA RD,TWINSBURG,OH,44087,1723,(330) 486-2281
92311,390143205676,CONSTELLATION SCHOOLS: EASTSIDE ARTS ACADEMY,6700 LANSING AVE,CLEVELAND,OH,44105,3756,(216) 441-9830
93066,390470702768,PETTISVILLE ELEMENTARY SCHOOL,232 SUMMIT ST,PETTISVILLE,OH,43553,NOT AVAILABLE,(419) 446-2705
93471,390444801403,JOSEPH WELTY MIDDLE SCHOOL,315 4TH ST NW,NEW PHILADELPHIA,OH,44663,1919,(330) 364-0645
93487,390445201433,NORTH OLMSTED MIDDLE SCHOOL,27401 BUTTERNUT RIDGE RD,NORTH OLMSTED,OH,44070,3210,(440) 588-5703
93504,391003005629,HEAD START,585 E LIVINGSTON ST,CELINA,OH,45822,8151,(419) 268-0301
