OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
12633,420336000242,BENTWORTH EL CTR,100 BEARCAT DR,BENTLEYVILLE,PA,15314,1422,(724) 239-3606
13604,422508006148,SENECA HS,10770 WATTSBURG RD,ERIE,PA,16509,6422,(814) 824-3400
13607,421776004579,DILLSBURG EL SCH,202 S CHESTNUT ST,DILLSBURG,PA,17019,1017,(717) 432-8691
14311,422259004622,SPRING GROVE AREA INTRMD SCH,1480 ROTH CHURCH RD,SPRING GROVE,PA,17362,8724,(717) 225-4731
14354,422587005059,WEST SIDE CTC,75 EVANS STREET,KINGSTON,PA,18704,1899,(570) 288-8493
14936,421575003045,MONTOURSVILLE AREA SHS,700 MULBERRY ST,MONTOURSVILLE,PA,17754,1904,(570) 368-2611
15734,421098004379,BAGGALEY EL SCH,4080 ROUTE 982,LATROBE,PA,15650,9055,(724) 539-4531
16913,422240006501,HARRIS SCH,501 SHARON AVENUE,COLLINGDALE,PA,19023,3498,(610) 522-4370
1193,422109006970,MCNICHOLS PLAZA,1111 S IRVING AVE,SCRANTON,PA,18505,2487,(570) 348-3685
2800,422409006795,UNION CITY EL SCH,91 MILES STREET,UNION CITY,PA,16438,1306,(814) 438-7611
2801,421215002321,EISENHOWER EL SCH,1460 SCHOOL ST,INDIANA,PA,15701,2561,(724) 463-8566
5757,422237004068,NORTH PENN-MANSFIELD JSHS,73 W WELLSBORO ST,MANSFIELD,PA,16933,1412,(570) 662-2674
6351,422454009968,MARLBOROUGH EL SCH,1450 GRAVEL PIKE,GREEN LANE,PA,18054,2015,(215) 541-7299
6819,422421000709,CHADDS FORD EL SCH,3 BALTIMORE PIKE,CHADDS FORD,PA,19317,9441,(610) 388-1112
7401,421098004845,GREATER LATROBE SHS,131 HIGH SCHOOL RD,LATROBE,PA,15650,3400,(724) 539-4225
9284,420708001653,MEADVILLE MS,974 NORTH ST,MEADVILLE,PA,16335,4927,(814) 333-1188
9795,422499000184,WASHINGTON PARK EL SCH,801 E WHEELING ST,WASHINGTON,PA,15301,3746,(724) 223-5150
40078,422529005137,J R FUGETT MS,500 ELLIS LN,WEST CHESTER,PA,19380,4673,(484) 266-2900
42651,421899003717,LINGELBACH ANNA L SCH,6340 WAYNE AVE,PHILADELPHIA,PA,19144,3113,(215) 400-3630
43356,421007006780,HARTWOOD EL SCH,3730 SAXONBURG BLVD,PITTSBURGH,PA,15238,1020,(412) 767-5396
62069,420540000838,CENTRAL DAUPHIN MS,4600 LOCUST LANE,HARRISBURG,PA,17109,NOT AVAILABLE,(717) 540-4606
62885,420357003456,FARMERSVILLE EL SCH,7036 WM PENN HIGHWAY,EASTON,PA,18045,2998,(610) 868-0471
63380,422595002917,SCHUYLER AVENUE EL SCH,715 SCHUYLER AVENUE,KINGSTON,PA,18704,3630,(570) 287-6041
63530,420655006898,NEW OXFORD MS,130 BERLIN ROAD,NEW OXFORD,PA,17350,1206,(717) 624-2157
63863,420368806560,PATTERSON PRIMARY SCH,701 DARLINGTON RD,BEAVER FALLS,PA,15010,2815,(724) 843-1268
66452,420368806558,HIGHLAND MS,402 SHENANGO RD,BEAVER FALLS,PA,15010,1657,(724) 843-1700
67191,420414000068,MOORE SCH,3809 DALEWOOD ST,PITTSBURGH,PA,15227,3509,(412) 881-7776
67724,421529007399,MIFFLIN CO MS,2 MANOR DRIVE,LEWISTOWN,PA,17044,NOT AVAILABLE,(717) 242-1401
67947,421899003725,SHAWMONT SCH,535 SHAWMONT AVE,PHILADELPHIA,PA,19128,4032,(215) 400-3440
69514,421794004482,NORWIN MS,10870 MOCKINGBIRD DR,NORTH HUNTINGDON,PA,15642,2548,(724) 861-3010
101483,422415006097,LAFAYETTE EL SCH,303 CONNELLSVILLE ST,UNIONTOWN,PA,15401,3812,(724) 438-3581
101608,422193000198,KNOCH MS,754 DINNERBELL RD,SAXONBURG,PA,16056,9350,(724) 352-1700
101621,422482004135,YOUNGSVILLE MS/HS,227 COLLEGE ST,YOUNGSVILLE,PA,16371,1109,(814) 563-7573
106081,420300007654,FIVE POINTS EL SCH,363 FIVE POINTS RICHMOND RD,BANGOR,PA,18013,5268,(610) 599-7015
107262,421260007664,EAST JUNIATA EL SCH,54 MAIN ST,RICHFIELD,PA,17086,0188,(717) 694-3961
21130,422520005366,MCKEE EL SCH,1501 OAKDALE RD,OAKDALE,PA,15071,3638,(724) 693-8451
21825,420324001340,MARION-WALKER EL SCH,100 SCHOOL DR,BELLEFONTE,PA,16823,7760,(814) 357-2425
22523,420013700879,YOUNG SCHOLARS OF CENTRAL PA CS,1530 WESTERLY PARKWAY,STATE COLLEGE,PA,16801,NOT AVAILABLE,(814) 237-9727
23603,420849006364,HUGHESVILLE JSHS,349 CEMETERY ST,HUGHESVILLE,PA,17737,1028,(570) 584-5111
24813,421575003044,LOYALSOCK VALLEY EL SCH,3790 ROUTE 87 HIGHWAY,MONTOURSVILLE,PA,17754,NOT AVAILABLE,(570) 435-0446
25148,420732003425,DANVILLE AREA SHS,733 IRONMEN LANE,DANVILLE,PA,17821,9131,(570) 271-3268
25352,420013500869,PROPEL CS-EAST,1611 MONROEVILLE AVE,TURTLE CREEK,PA,15145,1652,(412) 325-7305
25363,421083006952,GLENDALE EL SCH,1500 BEAVER VALLEY RD,FLINTON,PA,16640,8901,(814) 687-4263
26595,421611000251,HOOVER EL SCH,37 ROBB HOLLOW RD,PITTSBURGH,PA,15243,1799,(412) 276-7411
26922,421575003042,LYTER EL SCH,900 SPRUCE ST,MONTOURSVILLE,PA,17754,2023,(570) 368-2614
28037,420684002729,SOUTH LEBANON EL SCH,1825 S 5TH AVE,LEBANON,PA,17042,7998,(717) 273-4546
28257,420486001680,HOOVER EL SCH,420 S 24TH ST,CAMP HILL,PA,17011,2993,(717) 901-2550
