OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
5334,440002400484,SHEILA SKIP NOWELL (CENTRAL),43 HAWES STREET,CENTRAL FALLS,RI,2863,NOT AVAILABLE,(401) 751-0405
6101,440120000517,WOONSOCKET MIDDLE @ VILLA NOVA,240 FLORENCE DR.,WOONSOCKET,RI,2895,NOT AVAILABLE,(401) 235-6125
87807,440099000260,VINCENT J. GALLAGHER MIDDLE,10 INDIAN RUN TRAIL,SMITHFIELD,RI,2917,NOT AVAILABLE,(401) 949-2056
89679,440002400483,SHEILA SKIP NOWELL,150 WASHINGTON STREET,PROVIDENCE,RI,2903,NOT AVAILABLE,(401) 751-0405
31158,440024000064,STONE HILL SCHOOL,21 VILLAGE AVENUE,CRANSTON,RI,2920,NOT AVAILABLE,(401) 270-8022
32995,440030000377,GEORGE HANAFORD SCHOOL,200 MIDDLE ROAD,EAST GREENWICH,RI,2818,NOT AVAILABLE,(401) 398-1351
39814,440090000222,GEORGE J. WEST EL. SCHOOL,145 BEAUFORT STREET,PROVIDENCE,RI,2908,NOT AVAILABLE,(401) 456-9337
90291,440000900413,DCYF ALTERNATIVE ED. PROGRAM,57 POWER ROAD,CRANSTON,RI,2920,NOT AVAILABLE,(401) 462-7253
78016,440114000315,JOHN F. HORGAN SCHOOL,124 PROVIDENCE STREET,WEST WARWICK,RI,2893,NOT AVAILABLE,(401) 822-8449
578,440002900494,RISE PREP MAYORAL ACADEMY ELE,30 CUMBERLAND STREET,WOONSOCKET,RI,2895,NOT AVAILABLE,(401) 765-5127
7362,440087000207,PORTSMOUTH HIGH SCHOOL,120 EDUCATION LANE,PORTSMOUTH,RI,2871,NOT AVAILABLE,(401) 683-2124
9796,440087000206,MELVILLE SCHOOL,1351 WEST MAIN ROAD,PORTSMOUTH,RI,2871,NOT AVAILABLE,(401) 683-1650
40054,440090000240,RESERVOIR AVENUE SCHOOL,156 RESERVOIR AVENUE,PROVIDENCE,RI,2907,NOT AVAILABLE,(401) 456-9406
45093,440120000345,WOONSOCKET HIGH SCHOOL,777 CASS AVENUE,WOONSOCKET,RI,2895,NOT AVAILABLE,(401) 767-4703
47862,440024000047,EDEN PARK SCHOOL,180 OAKLAND AVENUE,CRANSTON,RI,2910,NOT AVAILABLE,(401) 270-8029
68768,440003000004,NAYATT SCHOOL,400 NAYATT ROAD,BARRINGTON,RI,2806,NOT AVAILABLE,(401) 247-3175
91481,440090000323,E-CUBED ACADEMY,812 BRANCH AVENUE,PROVIDENCE,RI,2904,NOT AVAILABLE,(401) 456-0694
96778,440030000090,MEADOWBROOK FARMS SCHOOL,2 CHESTNUT DRIVE,EAST GREENWICH,RI,2818,NOT AVAILABLE,(401) 398-1602
