OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
11482,450090001206,NEW PROSPECT ELEMENTARY,126 NEW PROSPECT CHURCH ROAD,ANDERSON,SC,29625,NOT AVAILABLE,(864) 260-5195
12024,450078000072,SPEARMAN ELEMENTARY,2001 EASLEY HIGHWAY,PIEDMONT,SC,29673,NOT AVAILABLE,(864) 947-9787
14924,450234000594,NORTHSIDE MIDDLE,431 DEADFALL ROAD WEST,GREENWOOD,SC,29649,NOT AVAILABLE,(864) 941-5780
15741,450219000451,MAIN STREET ELEMENTARY,318 EAST MAIN STREET,LAKE CITY,SC,29560,NOT AVAILABLE,(843) 374-2221
17141,450156000308,MCBEE ELEMENTARY,284 E. MAPLE AVE,MCBEE,SC,29101,NOT AVAILABLE,(843) 335-8347
513,450231001335,OVERBROOK CHILD DEVELOPMENT CENTER,111 LAURENS ROAD,GREENVILLE,SC,29607,NOT AVAILABLE,(864) 355-7350
1440,450201001674,ALSTON-BAILEY ELEMENTARY,820 WEST 5TH NORTH STREET,SUMMERVILLE,SC,29483,NOT AVAILABLE,(843) 695-5210
3660,450351001451,CHESNEE MIDDLE,805 SOUTH ALABAMA AVENUE,CHESNEE,SC,29323,NOT AVAILABLE,(864) 461-3900
5295,450078000686,POWDERSVILLE ELEMENTARY,139 HOOD ROAD,GREENVILLE,SC,29611,NOT AVAILABLE,(864) 269-4431
5680,450390101688,GREER MIDDLE COLLEGE CHARTER HIGH,138 WEST MCELHANEY ROAD,TAYLORS,SC,29687,NOT AVAILABLE,(864) 469-7571
5899,450390901701,THE MONTESSORI SCHOOL OF CAMDEN,2 MONTESSORI WAY,CAMDEN,SC,29020,NOT AVAILABLE,(803) 432-6828
7102,450390101582,EAST POINT ACADEMY,1401 LEAPHART STREET,WEST COLUMBIA,SC,29169,NOT AVAILABLE,(803) 926-0524
40171,450336000499,BURTON PACK ELEMENTARY,111 GARDEN DRIVE,COLUMBIA,SC,29204,NOT AVAILABLE,(803) 691-5550
41368,450231000530,STONE ACADEMY,115 RANDALL STREET,GREENVILLE,SC,29609,NOT AVAILABLE,(864) 355-8400
43266,450390101619,PEE DEE MATH SCI & TECH,101 DOCS DRIVE,BISHOPVILLE,SC,29010,NOT AVAILABLE,(803) 428-8400
45933,450231000490,ARMSTRONG ELEMENTARY,8601 WHITE HORSE ROAD,GREENVILLE,SC,29617,NOT AVAILABLE,(864) 355-1100
47354,450186001498,DARLINGTON COUNTY INSTITUTE OF TECHNOLOGY,160 PINEDALE DRIVE,DARLINGTON,SC,29532,NOT AVAILABLE,(843) 398-4796
48553,450125000424,SANDY RUN SCHOOL,450 OLD SWAMP ROAD,SWANSEA,SC,29160,NOT AVAILABLE,(803) 655-2746
49071,450258001260,A. R. RUCKER MIDDLE,422 OLD DIXIE ROAD,LANCASTER,SC,29720,NOT AVAILABLE,(803) 416-8555
49089,450270001484,CAROLINA SPRINGS ELEMENTARY,6340 PLATT SPRINGS ROAD,LEXINGTON,SC,29073,NOT AVAILABLE,(803) 821-5100
49815,450144000224,MATILDA F. DUNSTON ELEMENTARY,1825 REMOUNT ROAD,NORTH CHARLESTON,SC,29406,NOT AVAILABLE,(843) 745-7109
61728,450069000010,WRIGHT MIDDLE,111 HIGHWAY 71,ABBEVILLE,SC,29620,NOT AVAILABLE,(864) 366-5998
62070,450213000434,SAVANNAH GROVE ELEMENTARY,2348 SAVANNAH GROVE ROAD,EFFINGHAM,SC,29541,NOT AVAILABLE,(843) 664-8463
67299,450117001209,SANGAREE ELEMENTARY,1460 ROYLE ROAD,SUMMERVILLE,SC,29483,NOT AVAILABLE,(843) 820-3868
67419,450270000977,PLEASANT HILL MIDDLE,660 RAWL ROAD,LEXINGTON,SC,29072,NOT AVAILABLE,(803) 821-2700
69034,450270000720,LEXINGTON ELEMENTARY,116 AZALEA DRIVE,LEXINGTON,SC,29072,NOT AVAILABLE,(803) 821-4000
69812,450144001328,BURKE HIGH,244 PRESIDENT STREET,CHARLESTON,SC,29403,NOT AVAILABLE,(843) 579-4815
101439,450384001124,BETHANY ELEMENTARY,337 MAYNARD GRAYSON ROAD,CLOVER,SC,29710,NOT AVAILABLE,(803) 810-8800
102226,450303001281,GALLMAN ELEMENTARY,255 HAWKINS ROAD,NEWBERRY,SC,29108,NOT AVAILABLE,(803) 321-2655
102806,450390001735,KINGS TOWN ELEMENTARY,1774 MASON BEND DRIVE,FORT MILL,SC,29708,NOT AVAILABLE,(803) 396-3400
102807,450390001736,FOREST CREEK MIDDLE SCHOOL,2211 WHITE'S ROAD,FORT MILL,SC,29715,NOT AVAILABLE,(803) 548-2527
106166,450390901590,ROYAL LIVE OAKS ACADEMY OF THE ARTS AND SCIENCES CHARTER SCH,400 JOHN SMITH ROAD,HARDEEVILLE,SC,29927,NOT AVAILABLE,(843) 784-2630
106185,450391000849,BETHUNE-BOWMAN ELEMENTARY,4857 CHARLESTON HIGHWAY,ROWESVILLE,SC,29133,NOT AVAILABLE,(803) 533-6371
20356,450111001350,HILTON HEAD ISLAND HIGH,70 WILBORN ROAD,HILTON HEAD ISLAND,SC,29926,NOT AVAILABLE,(843) 689-4800
21424,450282000758,IRMO MIDDLE,6051 WESCOTT ROAD,COLUMBIA,SC,29212,NOT AVAILABLE,(803) 476-3600
22473,450231001517,RULDOLPH G. GORDON SCHOOL AT JONES MILL,1507 SCUFFLETOWN ROAD,SIMPSONVILLE,SC,29681,NOT AVAILABLE,(864) 355-0200
23319,450231000523,PARIS ELEMENTARY,32 EAST BELVUE ROAD,TAYLORS,SC,29687,NOT AVAILABLE,(864) 355-4260
26480,450072000046,AIKEN HIGH,449 RUTLAND DRIVE,AIKEN,SC,29801,NOT AVAILABLE,(803) 641-2500
26643,450111000047,JOSEPH S. SHANKLIN ELEMENTARY,121 MORRALL DRIVE,BEAUFORT,SC,29906,NOT AVAILABLE,(843) 466-3400
27050,450264001397,EASTSIDE ELEMENTARY,103 OLD COLONY ROAD,CLINTON,SC,29325,NOT AVAILABLE,(864) 833-0827
80523,450378001094,W.M. ANDERSON PRIMARY,500 LEXINGTON AVENUE,KINGSTREE,SC,29556,NOT AVAILABLE,(843) 355-5493
82620,450072000018,BYRD ELEMENTARY,1225 WELDON WAY,GRANITEVILLE,SC,29829,NOT AVAILABLE,(803) 663-4320
83012,450336000649,FOREST HEIGHTS ELEMENTARY,2500 BLUE RIDGE TERRACE,COLUMBIA,SC,29203,NOT AVAILABLE,(803) 691-3780
85815,450282000017,DUTCH FORK HIGH,1400 OLD TAMAH ROAD,IRMO,SC,29063,NOT AVAILABLE,(803) 476-3300
86363,450201001489,RIVER OAKS MIDDLE,8642 RIVER OAKS DRIVE,NORTH CHARLESTON,SC,29420,NOT AVAILABLE,(843) 695-2470
87666,450276000744,BATESBURG-LEESVILLE ELEMENTARY SCHOOL,403 SOUTH LEE STREET,BATESBURG-LEESVILLE,SC,29070,NOT AVAILABLE,(803) 532-1155
88458,450348000986,INMAN ELEMENTARY,25 OAKLAND AVENUE,INMAN,SC,29349,NOT AVAILABLE,(864) 472-8403
37123,450231000961,LANGSTON CHARTER MIDDLE,1950 WOODRUFF ROAD,GREENVILLE,SC,29607,NOT AVAILABLE,(864) 286-9700
39063,450279000615,SANDHILLS ELEMENTARY,130 LEWIS RAST ROAD,SWANSEA,SC,29160,NOT AVAILABLE,(803) 490-7003
39246,450195000390,LATTA MIDDLE,612 NORTH RICHARDSON STREET,LATTA,SC,29565,NOT AVAILABLE,(843) 752-7117
93252,450249000900,ST. JAMES HIGH,10800 HIGHWAY 707,MURRELLS INLET,SC,29576,NOT AVAILABLE,(843) 650-5600
94148,450306000844,HAMILTON CAREER AND TECHNOLOGY CENTER,445 OCONEE BUSINESS PARKWAY,WESTMINSTER,SC,29693,NOT AVAILABLE,(864) 886-4425
94224,450390800771,NORTH MULLINS PRIMARY,105 CHARLES STREET,MULLINS,SC,29574,NOT AVAILABLE,(843) 464-3750
94920,450144001167,DRAYTON HALL ELEMENTARY,3138 ASHLEY RIVER ROAD,CHARLESTON,SC,29414,NOT AVAILABLE,(843) 852-0678
96135,450390101645,RIVERWALK ACADEMY,5750 MOUNT GALLANT ROAD,ROCK HILL,SC,29732,NOT AVAILABLE,(803) 327-8400
97002,450261001622,HICKORY TAVERN ELEMENTARY/MIDDLE,163 NEELY FERRY ROAD,GRAY COURT,SC,29645,NOT AVAILABLE,(864) 575-2126
97276,450387001141,SUNSET PARK CENTER FOR ACCELERATED STUDIES,1036 OGDEN ROAD,ROCK HILL,SC,29730,NOT AVAILABLE,(803) 981-1260
99989,450156000303,CHERAW PRIMARY,321 HIGH STREET,CHERAW,SC,29520,NOT AVAILABLE,(843) 921-1020
52351,450231000546,BRYSON MIDDLE,3657 SOUTH INDUSTRIAL DRIVE,SIMPSONVILLE,SC,29681,NOT AVAILABLE,(864) 355-2100
53023,450390101617,BRIDGES PREPARATORY SCHOOL,1100 BOUNDARY ST,BEAUFORT,SC,29449,NOT AVAILABLE,(843) 982-7737
54479,450390901699,VIRTUS ACADEMY OF SOUTH CAROLINA,404 DORADO DRIVE,FLORENCE,SC,29505,NOT AVAILABLE,(843) 799-4032
55421,450144000429,CHARLES PINCKNEY ELEMENTARY,3300 THOMAS CARIO BOULEVARD,MT. PLEASANT,SC,29466,NOT AVAILABLE,(843) 856-4585
57163,450390901699,VIRTUS ACADEMY OF SOUTH CAROLINA,2407 PISGAH ROAD,FLORENCE,SC,29501,NOT AVAILABLE,(843) 799-4032
59266,450234000871,WESTVIEW MIDDLE,1410 WEST ALEXANDER ROAD,GREENWOOD,SC,29646,NOT AVAILABLE,(864) 229-4301
72906,450390201453,KINGSBURY ELEMENTARY,825 KINGSBURY ROAD,SUMTER,SC,29154,NOT AVAILABLE,(803) 775-6244
79126,450213001332,SOUTHSIDE MIDDLE,200 EAST HOWE SPRINGS ROAD,FLORENCE,SC,29505,NOT AVAILABLE,(843) 664-8467
1011,450144000230,ST. ANDREW'S SCHOOL OF MATH AND SCIENCE,30 CHADWICK DRIVE,CHARLESTON,SC,29407,NOT AVAILABLE,(843) 763-1503
3674,450234000591,HODGES ELEMENTARY,4717 MAIN STREET,HODGES,SC,29653,NOT AVAILABLE,(864) 374-5000
6050,450390101698,POLARIS TECH CHARTER SCHOOL,1508 GRAYS HIGHWAY,RIDGELAND,SC,29936,NOT AVAILABLE,(843) 645-0605
6990,450144000265,RB STALL HIGH,3625 ASHLEY PHOSPHATE ROAD,NORTH CHARLESTON,SC,29418,NOT AVAILABLE,(843) 764-2200
