OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
14684,463999000368,LAKE PRESTON HIGH SCHOOL - 01,300 1ST ST NE,LAKE PRESTON,SD,57249,NOT AVAILABLE,(605) 847-4455
8528,465430000492,PARKSTON HIGH SCHOOL - 01,102A S CHAPMAN DR,PARKSTON,SD,57366,NOT AVAILABLE,(605) 928-3368
64183,466627001238,DISCOVERY ELEMENTARY - 26,1506 S DISCOVERY AVE,SIOUX FALLS,SD,57106,NOT AVAILABLE,(605) 362-3530
106201,466627001412,JEFFERSON HIGH SCHOOL - 67,1600 N MARION RD,SIOUX FALLS,SD,57101,NOT AVAILABLE,(605) 367-6184
22971,467437000690,VERMILLION MIDDLE SCHOOL - 02,422 PRINCETON ST,VERMILLION,SD,57069,NOT AVAILABLE,(605) 677-7025
24208,465982000823,RAPID VALLEY ELEMENTARY - 12,2601 COVINGTON ST,RAPID CITY,SD,57703,NOT AVAILABLE,(605) 393-2221
85267,467662000944,LINCOLN ELEMENTARY - 05,1100 13TH ST NE,WATERTOWN,SD,57201,NOT AVAILABLE,(605) 882-6340
85440,462134000900,ELK POINT-JEFFERSON MIDDLE SCHOOL - 03,402 S DOUGLAS ST,ELK POINT,SD,57025,NOT AVAILABLE,(605) 356-5901
88552,467857000951,WHITE RIVER MIDDLE SCHOOL - 04,501 E 3RD ST,WHITE RIVER,SD,57579,NOT AVAILABLE,(605) 259-3135
88999,460393200099,SANBORN CENTRAL HIGH SCHOOL - 01,40405 SD HWY 34,FORESTBURG,SD,57314,NOT AVAILABLE,(605) 495-4183
32707,466045000858,REDFIELD MIDDLE SCHOOL - 02,111 6TH AVE E,REDFIELD,SD,57469,NOT AVAILABLE,(605) 472-4520
33596,465427000925,PARKER JR. HIGH - 03,335 W 1ST ST,PARKER,SD,57053,NOT AVAILABLE,(605) 297-3456
33963,468012001001,DEVELOPMENTAL DISABILITIES PROGRAM - 01,2885 DICKSON DR,STURGIS,SD,57785,NOT AVAILABLE,(605) 423-4444
36793,467542000694,WAGNER ELEMENTARY - 02,101 WALNUT AVE SW,WAGNER,SD,57380,NOT AVAILABLE,(605) 384-3393
37347,461413000787,WOOD ELEMENTARY - 05,114 S DAKOTA ST,WOOD,SD,57585,NOT AVAILABLE,(605) 842-1624
37573,463135001318,FREEDOM ELEMENTARY - 06,1101 TOM SAWYER TRL,HARRISBURG,SD,57032,NOT AVAILABLE,(605) 743-2567
38049,464155000389,WORTHING ELEMENTARY - 05,230 CEDAR ST,WORTHING,SD,57077,NOT AVAILABLE,(605) 372-4114
39455,463049000256,PHILIP HIGH SCHOOL - 01,330 SCOTTIE AVE,PHILIP,SD,57567,NOT AVAILABLE,(605) 859-2680
97655,466627001128,ALL CITY ELEMENTARY - 50,2511 W BROOKINGS ST,SIOUX FALLS,SD,57104,NOT AVAILABLE,(605) 367-6120
53025,464839001337,ABBOTT HOUSE HIGH SCHOOL - 07,909 COURT MERRILL ST,MITCHELL,SD,57301,NOT AVAILABLE,(605) 996-2486
53295,460004101364,SUNSET COLONY HIGH SCHOOL - 06,41632 109TH ST,BRITTON,SD,57430,NOT AVAILABLE,(605) 448-2234
54488,462130001371,ELK MOUNTAIN HIGH SCHOOL - 04,10222 VALLEY RD,DEWEY,SD,57735,NOT AVAILABLE,(605) 749-2258
