OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10667,470018000034,CASCADE HIGH SCHOOL,1165 BELL BCKLE/WARTRACE,WARTRACE,TN,37183,NOT AVAILABLE,(931) 389-9389
14185,470303001207,BYRNS DARDEN ELEMENTARY,609 E ST,CLARKSVILLE,TN,37042,4317,(931) 648-5615
14634,470014801042,CROMWELL ELEMENTARY,4989 CROMWELL RD,MEMPHIS,TN,38118,5544,(901) 416-2500
15459,470126001385,POPLAR GROVE 5-8,2959 DEL RIO PIKE,FRANKLIN,TN,37064,NOT AVAILABLE,(615) 790-4721
16746,470315002426,OVERALL CREEK ELEMENTARY,429 OTTER TRL,MURFREESBORO,TN,37128,NOT AVAILABLE,(615) 624-5500
18800,470018002276,CASCADE MIDDLE SCHOOL,1165 BELL BUCKLE WARTRACE RD,WARTRACE,TN,37183,NOT AVAILABLE,(931) 389-9389
19014,470369002251,OAKLAND MIDDLE SCHOOL,853 DEJARNETTE LN,MURFREESBORO,TN,37130,NOT AVAILABLE,(615) 904-6760
172,470318002449,EXPLORE COMMUNITY SCHOOL,707 SOUTH 7TH ST,NASHVILLE,TN,37206,NOT AVAILABLE,(615) 784-8222
4408,470159000757,HILLCREST ELEMENTARY,4302 BONNY OAKS DR,CHATTANOOGA,TN,37416,NOT AVAILABLE,(423) 855-2602
4720,470408000046,MUNFORD MIDDLE SCHOOL,100 EDUCATION AVE,MUNFORD,TN,38058,NOT AVAILABLE,(901) 837-1700
4886,470014702462,MEMPHIS SCHOLARS CALDWELL-GUTHRIE,951 CHELSEA AVE,MEMPHIS,TN,38107,NOT AVAILABLE,(901) 219-5648
4890,470014802470,WESTHAVEN ELEMENTARY,4585 HODGE RD.,MEMPHIS,TN,38109,5958,(901) 416-8202
8537,470234001940,LEOMA ELEMENTARY,2612 HWY 43 SOUTH,LEOMA,TN,38468,NOT AVAILABLE,(931) 231-8199
8785,470252000900,LOUDON HIGH SCHOOL,1039 MULBERRY ST,LOUDON,TN,37774,NOT AVAILABLE,(865) 458-4326
40057,470315001249,BRADLEY ACADEMY - AN ARTS INTEGRATED SCHOOL,511 MERCURY BLVD,MURFREESBORO,TN,37130,NOT AVAILABLE,(615) 895-2672
40254,470014801070,GOODLETT ELEMENTARY,3001 S GOODLETT ST,MEMPHIS,TN,38118,NOT AVAILABLE,(901) 416-2510
41623,470060000240,JACKS CREEK ELEMENTARY,65 STATE ROUTE 22A,JACKS CREEK,TN,38347,NOT AVAILABLE,(731) 989-8155
41631,470455001818,LAKEVIEW ELEMENTARY SCHOOL,6211 SAUNDERSVILLE RD,MT JULIET,TN,37122,NOT AVAILABLE,(615) 758-5619
45650,470015201358,ARLINGTON MIDDLE,5470 LAMB RD,ARLINGTON,TN,38002,NOT AVAILABLE,(901) 867-6015
46000,470159000704,DALEWOOD MIDDLE SCHOOL,1300 SHALLOWFORD RD,CHATTANOOGA,TN,37411,NOT AVAILABLE,(423) 493-0323
60229,470015001587,MILLINGTON CENTRAL HIGH SCHOOL,8050 WEST ST,MILLINGTON,TN,38053,NOT AVAILABLE,(901) 873-8100
64750,470359001480,MIDTOWN ELEMENTARY,2830 ROANE STATE HWY,HARRIMAN,TN,37748,NOT AVAILABLE,(865) 882-1228
65142,470318001289,DUPONT HADLEY MIDDLE,1901 OLD HICKORY BLVD,OLD HICKORY,TN,37138,NOT AVAILABLE,(615) 847-7300
68986,470018000039,COMMUNITY HIGH SCHOOL,100 COMMUNITY CROSSING,UNIONVILLE,TN,37180,NOT AVAILABLE,(931) 685-1418
101411,470258000648,ALEXANDER ELEMENTARY SCHOOL,900 N HIGHLAND AVE,JACKSON,TN,38301,NOT AVAILABLE,(731) 422-1841
102374,470042002399,JELLICO LEARNING ACADEMY,141 HIGH SCHOOL RD,JELLICO,TN,37762,NOT AVAILABLE,(423) 784-9455
102392,470210002167,DANDRIDGE HEAD START,546 PATRIOT DR,JEFFERSON CITY,TN,37760,NOT AVAILABLE,(865) 397-6390
106218,470014802630,ALCY ELEMENTARY,1750 E ALCY RD,MEMPHIS,TN,38114,5809,(901) 416-7800
106258,470318002498,CASA AZAFRAN EARLY LEARNING CENTER,2195 NOLENSVILLE PIKE,NASHVILLE,TN,37211,NOT AVAILABLE,(615) 291-4672
20021,470318001371,STRATTON ELEMENTARY,310 OLD HICKORY BLVD. WEST,MADISON,TN,37115,NOT AVAILABLE,(615) 860-1486
20666,470222000730,CORRYTON ELEMENTARY,7200 CORRYTON RD,CORRYTON,TN,37721,NOT AVAILABLE,(865) 687-4573
20861,470447001788,SHARON SCHOOL,254 NORTH WOODLAWN DR,SHARON,TN,38255,NOT AVAILABLE,(731) 456-2672
23391,470432001737,SPENCER ELEMENTARY,311 SPARTA STREET,SPENCER,TN,38585,NOT AVAILABLE,(931) 946-2171
26954,470282000986,CALHOUN ELEMENTARY,150 SHERWOOD AVE,CALHOUN,TN,37309,NOT AVAILABLE,(423) 336-2974
27364,470348002230,PRESCOTT SOUTH MIDDLE SCHOOL,1859 S. JEFFERSON ST,COOKEVILLE,TN,38506,NOT AVAILABLE,(931) 528-3647
28170,470180000600,BARGERTON ELEMENTARY,6141 POPLAR SPRINGS/BARGERTON RD,LEXINGTON,TN,38351,NOT AVAILABLE,(731) 968-7484
29207,470126000396,JOHNSON ELEMENTARY,815 GLASS LN,FRANKLIN,TN,37064,NOT AVAILABLE,(615) 794-4837
29655,470063000245,CLAIRFIELD ELEMENTARY,6360 HWY 90,CLAIRFIELD,TN,37715,NOT AVAILABLE,(423) 784-6052
83482,470369001889,SMYRNA ELEMENTARY,1001 SAM DAVIS RD,SMYRNA,TN,37167,NOT AVAILABLE,(615) 904-6725
83744,470318001337,MAPLEWOOD HIGH,401 WALTON LN,NASHVILLE,TN,37216,NOT AVAILABLE,(615) 262-6770
