OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
12654,490075000901,MCPOLIN SCHOOL,2270 KEARNS BLVD,PARK CITY,UT,84098,NOT AVAILABLE,(435) 645-5630
2394,490003001462,DRY CREEK SCHOOL,1301 W. 1450 S.,LEHI,UT,84043,NOT AVAILABLE,(801) 610-8730
5007,490099001535,SILVER SUMMIT SCHOOL,6407 N BUSINESS PARTK LOOP RD,PARK CITY,UT,84098,NOT AVAILABLE,(435) 640-6095
6010,490030000712,PANGUITCH MIDDLE,75 S 400 E,PANGUITCH,UT,84759,NOT AVAILABLE,(435) 676-8225
46910,490000501404,AMERICAN PREPARATORY ACADEMY - ACCELERATED SCHOOL,3636 W 3100 S,WEST VALLEY CITY,UT,84120,NOT AVAILABLE,(385) 351-3090
47220,490042000324,SOUTHLAND SCHOOL,12675 S 2700 W,RIVERTON,UT,84065,NOT AVAILABLE,(801) 254-8047
47950,490063001159,MAPLE MOUNTAIN HIGH,51 N 2550 E,SPANISH FORK,UT,84660,NOT AVAILABLE,(801) 794-6740
49140,490060000375,PARKSIDE SCHOOL,495 E 5175 S,MURRAY,UT,84107,NOT AVAILABLE,(801) 264-7434
49227,490003000672,HIGHLAND SCHOOL,10865 N 6000 W,HIGHLAND,UT,84003,NOT AVAILABLE,(801) 610-8710
66876,490036000272,WEST LAKE JR HIGH,3400 S 3450 W,WEST VALLEY CITY,UT,84119,NOT AVAILABLE,(385) 646-5254
69501,490087000509,MEADOWLARK SCHOOL,497 N MORTON DR,SALT LAKE CITY,UT,84116,NOT AVAILABLE,(801) 578-8529
69678,490114001132,CORAL CANYON SCHOOL,3435 CANYON CREST AVE,WASHINGTON,UT,84780,NOT AVAILABLE,(435) 652-4787
101088,490003000009,CHERRY HILL SCHOOL,250 E 1650 S,OREM,UT,84097,NOT AVAILABLE,(801) 610-8105
101303,490021000108,H C BURTON SCHOOL,827 E 200 S,KAYSVILLE,UT,84037,NOT AVAILABLE,(801) 402-3150
