OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
58306,780003000033,CANCRYN JUNIOR HIGH SCHOOL,1 CROWN BAY,SAINT THOMAS,VI,804,NOT AVAILABLE,(340) 774-4540
42806,780000200030,SAINT CROIX CENTRAL HIGH,RSD 2 KINGSHILL,SAINT CROIX,VI,851,NOT AVAILABLE,(340) 778-0123
7305,780000200023,LEW MUCKLE ELEMENTARY SCHOOL,317 SION FARM,SAINT CROIX,VI,820,NOT AVAILABLE,(340) 778-5286
52249,780003000026,ULLA F MULLER ELEMENTARY SCHOOL,7B ESTATE CONTANT,SAINT THOMAS,VI,802,NOT AVAILABLE,(340) 774-0059
31659,780000200011,EULALIE RIVERA ELEMENTARY SCHOOL,ROUTE 1 GROVE PLACE,SAINT CROIX,VI,840,NOT AVAILABLE,(340) 692-2121
25373,780000200007,ST. CROIX EDUCATIONAL COMPLEX VOCATIONAL SCHOOL,RR2 KINGSHILL,SAINT CROIX,VI,850,NOT AVAILABLE,(340) 778-2036
16681,780003000019,JOSEPH GOMEZ ELEMENTARY SCHOOL,142 ANNAS RETREAT,SAINT THOMAS,VI,802,NOT AVAILABLE,(340) 775-4490
76376,780003000027,YVONNE BOWSKY ELEMENTARY SCHOOL,15B AND 16 ESTATE MANDAHL,SAINT THOMAS,VI,802,NOT AVAILABLE,(340) 775-3220
93036,780000200037,JOHN H. WOODSON JUNIOR HIGH SCHOOL,RURAL ROUTE 1 KINGSHILL,SAINT CROIX,VI,850,NOT AVAILABLE,(340) 778-2710
48223,780003000034,BERTHA BOSCHULTE JUNIOR HIGH,9 1 AND 12A BOVONI,SAINT THOMAS,VI,802,NOT AVAILABLE,(340) 775-4222
71309,780003000015,IVANNA EUDORA KEAN HIGH SCHOOL,1 AND 2 ESTATE NAZARETH,SAINT THOMAS,VI,802,NOT AVAILABLE,(340) 775-6380
34318,780000200003,ARTHUR A. RICHARDS JUNIOR HIGH SCHOOL,20 21 STONEY GROUND,SAINT CROIX,VI,840,NOT AVAILABLE,(340) 772-1500
68019,780003000015,IVANNA EUDORA KEAN HIGH SCHOOL,1 AND 2 ESTATE NAZARETH,SAINT THOMAS,VI,802,NOT AVAILABLE,(340) 775-6380
19012,780000200021,JUANITA GARDINE ELEMENTARY SCHOOL,ESTATE RICHMOND,SAINT CROIX,VI,820,NOT AVAILABLE,(340) 773-0050
69084,780000200002,ALFREDO ANDREWS ELEMENTARY SCHOOL,RFD 1 KINGSHILL,SAINT CROIX,VI,820,NOT AVAILABLE,(340) 778-1925
20462,780003000020,JOSEPH SIBILLY ELEMENTARY SCHOOL,14 15 16 ESTATE ELIZABETH,SAINT THOMAS,VI,802,NOT AVAILABLE,(340) 774-7001
62882,780000200029,RICARDO RICHARDS ELEMENTARY SCCHOOL,491 BARREN SPOT,SAINT CROIX,VI,850,NOT AVAILABLE,(340) 778-0612
101145,780003000022,JULIUS E SPRAUVE,14 18 ESTATE ENIGHED,SAINT JOHN,VI,831,NOT AVAILABLE,(340) 776-6336
16204,780000200028,PEARL B. LARSEN ELEMENTARY SCHOOL,ESTATE ST PETERS,SAINT CROIX,VI,820,NOT AVAILABLE,(340) 773-3070
13361,780003000024,LOCKHART ELEMENTARY SCHOOL,41 ESTATE THOMAS,SAINT THOMAS,VI,802,NOT AVAILABLE,(340) 775-0820
62437,780003000018,JANE E. TUITT ELEMENTARY SCHOOL,19 LEVOKI STRAEDE,SAINT THOMAS,VI,802,NOT AVAILABLE,(340) 774-0520
71501,780000200013,ST. CROIX EDUCATIONAL COMPEX HIGH SCHOOL,RR2 KINGSHILL,SAINT CROIX,VI,850,NOT AVAILABLE,(340) 778-2216
44312,780000200006,CLAUDE O. MARKOE ELEMENTARY SCHOOL,PLOTS 71 75 MARS HILL,SAINT CROIX,VI,840,NOT AVAILABLE,(340) 772-4510
54678,780003000005,CHARLOTTE AMALIE HIGH SCHOOL,8 AND 9 ESTATE THOMAS,SAINT THOMAS,VI,802,NOT AVAILABLE,(340) 774-0780
