OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
6203,500040000057,BROOKFIELD SCHOOL,1728 RIDGE ROAD,BROOKFIELD,VT,5036,9707,(802) 276-3153
101343,500705000094,STAFFORD TECHNICAL CENTER,8 STRATTON ROAD,RUTLAND,VT,5701,3775,(802) 770-1033
103112,500041900177,METTAWEE COMMUNITY SCHOOL,5788 VT ROUTE 153,WEST PAWLET,VT,5775,NOT AVAILABLE,(802) 645-9009
103138,500042700345,CHESTER ANDOVER ELEMENTARY SCHOOL,72 MAIN STREET,CHESTER,VT,5143,NOT AVAILABLE,(802) 875-2108
106291,500044300399,CAMELS HUMP MIDDLE SCHOOL,173 SCHOOL STREET,RICHMOND,VT,5477,NOT AVAILABLE,(802) 434-2188
54557,500039500452,SUMMIT STREET SCHOOL,17 SUMMIT STREET,ESSEX JUNCTION,VT,5452,3640,(802) 878-1377
56411,500039009274,BARSTOW MEMORIAL SCHOOL,223 CHITTENDEN ROAD,CHITTENDEN,VT,5737,NOT AVAILABLE,(802) 773-6926
77511,500870000536,WEATHERSFIELD SCHOOL,1355 SCHOOLHOUSE ROAD,ASCUTNEY,VT,5030,NOT AVAILABLE,(802) 674-5400
67185,500285000074,CABOT SCHOOL,25 COMMON ROAD,CABOT,VT,5647,0098,(802) 563-2289
54501,500039600158,HINESBURG ELEMENTARY SCHOOL,10888 ROUTE 116,HINESBURG,VT,5461,9725,(802) 482-2106
57031,500039900215,NORTHWEST TECHNICAL CENTER,71 SOUTH MAIN STREET,SAINT ALBANS,VT,5478,NOT AVAILABLE,(802) 527-6517
82143,500753000298,RIVERSIDE SCHOOL,13 FAIRGROUNDS ROAD,SPRINGFIELD,VT,5156,2198,(802) 885-8490
103092,500040900367,WELLS VILLAGE SCHOOL,135 VT ROUTE 30,WELLS,VT,5774,NOT AVAILABLE,(802) 645-0386
103095,500041000201,UNION ELEMENTARY SCHOOL,1 PARK AVENUE,MONTPELIER,VT,5602,NOT AVAILABLE,(802) 223-6343
106292,500044400022,ENOSBURG FALLS JUNIOR/SENIOR HIGH SCHOOL,65 DICKENSON AVENUE,ENOSBURG FALLS,VT,5450,0417,(802) 933-7777
14688,500282000063,BURLINGTON SENIOR HIGH SCHOOL,52 INSTITUTE ROAD,BURLINGTON,VT,5408,2721,(802) 864-8411
27982,500693000262,BELLOWS FALLS MIDDLE SCHOOL,15 SCHOOL STREET,BELLOWS FALLS,VT,5101,1596,(802) 463-4366
103122,500042200176,LUDLOW ELEMENTARY SCHOOL,45 MAIN STREET,LUDLOW,VT,5149,1105,(802) 228-5151
