OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10220,530423001784,EMERSON HIGH SCHOOL,10903 NE 53RD ST,KIRKLAND,WA,98033,7508,(425) 936-2300
10918,530774003084,GOOD BEGINNINGS CENTER,780 COOK RD,SEDRO-WOOLLEY,WA,98273,NOT AVAILABLE,(360) 855-3565
13996,530231002948,CLOVIS POINT INTERMEDIATE SCHOOL,1855 4TH ST SE,EAST WENATCHEE,WA,98802,NOT AVAILABLE,(509) 888-1400
13997,530354000550,SHOREWOOD ELEMENTARY,2725 SW 116TH ST,BURIEN,WA,98146,3499,(206) 631-4900
14964,530354000539,MOUNT VIEW ELEMENTARY,10811 12TH AVE SW,SEATTLE,WA,98146,2125,(206) 631-4500
14973,531011001708,WASHINGTON MIDDLE SCHOOL,510 S 9TH ST,YAKIMA,WA,98901,4617,(509) 573-2300
15464,530594003474,IGRAD ACADEMY,#1 WILDCAT WAY,OAK HARBOR,WA,98277,NOT AVAILABLE,(253) 373-4723
16635,530180003350,ICCF ED PROGRAM,501 N MAIN ST,COUPEVILLE,WA,98239,NOT AVAILABLE,(360) 678-4522
17160,530237003060,EATONVILLE DEVELOPMENAL PRE-SCHOOL,213 RAINIER AVE N,EATONVILLE,WA,98328,NOT AVAILABLE,(360) 879-1812
17195,530333000510,GRIFFIN SCHOOL,6530 33RD AVE NW,OLYMPIA,WA,98502,8846,(360) 866-2515
18384,530294000473,COLLINS ELEMENTARY,1920 128TH STREET E,TACOMA,WA,98444,NOT AVAILABLE,(253) 298-3405
18891,530957001625,WASHTUCNA ELEMENTARY/HIGH SCHOOL,730 EAST BOOTH AVENUE,WASHTUCNA,WA,99371,0688,(509) 646-3211
442,530657003542,MARIE CURIE STEM ELEMENTARY,715 N CALIFORNIA,PASCO,WA,99301,NOT AVAILABLE,(509) 416-7817
445,530771003505,INTERAGENCY OPEN DOORS,3528 S. FERDINAND STREET,SEATTLE,WA,98118,NOT AVAILABLE,(206) 252-0010
1240,530270003567,OPEN DOORS EVERGREEN,2205 NE 138TH AVE,VANCOUVER,WA,98682,NOT AVAILABLE,(360) 604-3900
2268,530972003029,WEST VALLEY PRESCHOOL,3006 S WILEY RD,YAKIMA,WA,98903,9720,(509) 965-2031
2708,530114000207,EDISON ELEMENTARY,607 H STREET,CENTRALIA,WA,98531,4623,(360) 330-7631
2709,530774001279,SEDRO WOOLLEY SENIOR HIGH SCHOOL,1235 THIRD STREET,SEDRO-WOOLLEY,WA,98284,NOT AVAILABLE,(360) 855-3510
2895,531011001694,HOOVER ELEMENTARY SCHOOL,400 W VIOLA AVE,YAKIMA,WA,98902,5697,(509) 573-5900
3266,530240000360,SHERWOOD ELEMENTARY,22901 106TH AVE W,EDMONDS,WA,98020,5199,(425) 431-7460
8125,530066000135,ARMIN JAHR ELEMENTARY,800 DIBB STREET,BREMERTON,WA,98310,2777,(360) 473-4100
8650,530846002879,CHLOE CLARK ELEMENTARY,1700 PALISADE BOULEVARD,DUPONT,WA,98327,NOT AVAILABLE,(253) 583-7100
9029,530732001097,JEFFERSON ELEMENTARY,1550 GEORGE WASHINGTON WAY,RICHLAND,WA,99352,NOT AVAILABLE,(509) 967-6250
43613,530618003205,OLYMPIA REGIONAL LEARNING ACADEMY,2400 15TH AVE SE,OLYMPIA,WA,98501,NOT AVAILABLE,(360) 596-7730
43675,530696001040,SPINNING ELEMENTARY,1306 E PIONEER,PUYALLUP,WA,98372,3384,(253) 841-8742
44127,530042000116,SUNNYLAND ELEMENTARY SCHOOL,2800 JAMES ST,BELLINGHAM,WA,98225,2639,(360) 676-6446
44232,530270002711,HERITAGE HIGH SCHOOL,7825 NE 130TH AVENUE,VANCOUVER,WA,98682,3316,(360) 604-3400
44786,530039003149,INTERNATIONAL SCHOOL,445 128TH AVE SE,BELLEVUE,WA,98005,NOT AVAILABLE,(425) 456-6500
45679,530825003491,OPEN DOORS,200 N. BERNARD,SPOKANE,WA,99201,NOT AVAILABLE,(509) 340-7800
46135,530030000036,LEA HILL ELEMENTARY SCHOOL,30908 124TH AVE SE,AUBURN,WA,98092,3154,(253) 931-4982
