OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
13591,540111001411,MID OHIO VALLEY TECHNICAL INSTITUTE,2134 N PLEASANTS HIGHWAY,ST MARYS,WV,26170,NOT AVAILABLE,(304) 684-2464
17541,540060001443,CAPITAL HIGH SCHOOL,1500 GREENBRIER ST,CHARLESTON,WV,25311,NOT AVAILABLE,(304) 348-6500
5514,540138001056,WEST TAYLOR ELEMENTARY SCHOOL,200 MORROW CROSS ROAD,FLEMINGTON,WV,26347,NOT AVAILABLE,(304) 842-0490
8934,540153001116,GLADE ELEMENTARY SCHOOL,25 MILL STREET,COWEN,WV,26206,NOT AVAILABLE,(304) 226-5353
41389,540051000300,LOST CREEK ELEMENTARY SCHOOL,128 COLLEGE ST,LOST CREEK,WV,26385,NOT AVAILABLE,(304) 326-7040
41844,540006000034,WINCHESTER AVENUE ELEMENTARY SCHOOL,650 WINCHESTER AVENUE,MARTINSBURG,WV,25401,NOT AVAILABLE,(304) 267-3570
42117,540120000934,ROCK BRANCH ELEMENTARY,4616 1ST AVE,NITRO,WV,25143,NOT AVAILABLE,(304) 755-1443
43934,540069000506,BUFFALO ELEMENTARY SCHOOL,RT. 16 BUFFALO CREEK ROAD,ACCOVILLE,WV,25606,NOT AVAILABLE,(304) 583-9132
47930,540165001209,MULLENS ELEMENTARY SCHOOL,2107 CALORIC ROAD,MULLENS,WV,25882,NOT AVAILABLE,(304) 294-5252
65285,540060000434,POINT HARMONY ELEMENTARY SCHOOL,5312 BIG TYLER ROAD,CROSS LANES,WV,25313,NOT AVAILABLE,(304) 776-3482
67557,540003000009,PHILIPPI ELEMENTARY SCHOOL,547 CHERRY HILL ROAD,PHILIPPI,WV,26416,7709,(304) 457-4229
67720,540042000252,ROMNEY MIDDLE SCHOOL,296 CALVERT DRIVE,ROMNEY,WV,26757,NOT AVAILABLE,(304) 822-5014
106507,540051101600,STEPPING STONES,1235 BUFFALO CREEK ROAD,HUNTINGTON,WV,25704,NOT AVAILABLE,(304) 429-2297
106511,540123001591,RIDGEVIEW ELEMENTARY,388 TANK WATER HILL ROAD,SOPHIA,WV,25921,NOT AVAILABLE,(304) 683-4572
26005,540018000100,DAVIS CREEK ELEMENTARY SCHOOL,6330 DAVIS CREEK RD,BARBOURSVILLE,WV,25504,NOT AVAILABLE,(304) 733-3024
85781,540165001028,WYOMING COUNTY EAST HIGH SCHOOL,260 WARRIOR WAY,NEW RICHMOND,WV,24867,NOT AVAILABLE,(304) 294-5200
