OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
15958,20069000310,SKAGWAY SCHOOL,1563 MAIN ST,SKAGWAY,AK,99840,NOT AVAILABLE,(907) 983-2960
40256,20048000435,AKTEACH,722 MILL BAY RD,KODIAK,AK,99615,NOT AVAILABLE,(907) 486-7544
43342,20002000499,DIOMEDE SCHOOL,MAIN ST,DIOMEDE,AK,99762,NOT AVAILABLE,(907) 686-3021
63050,20018000107,RUSSIAN JACK ELEMENTARY,4300 E 20TH AVE,ANCHORAGE,AK,99508,3598,(907) 742-1300
65049,20051000414,SNOWSHOE ELEMENTARY,2001 W FAIRVIEW LOOP,WASILLA,AK,99654,NOT AVAILABLE,(907) 352-9500
66610,20000700177,KING COVE SCHOOL,100 SLOCUM DR,KING COVE,AK,99612,0069,(907) 497-2354
101352,20007000039,GLENNALLEN JR/SR HIGH SCHOOL,1976 AURORA DR,GLENNALLEN,AK,99588,NOT AVAILABLE,(907) 822-5286
27493,20018000598,FIRE LAKE ELEMENTARY,13801 HARRY MCDONALD RD,EAGLE RIVER,AK,99577,2569,(907) 742-3350
27559,20000100440,AYAPRUN SCHOOL,112 VILLAGE RD,NEWTOK,AK,99559,NOT AVAILABLE,(907) 237-2505
80204,20039000538,KENAI MIDDLE SCHOOL,201 TINKER LN,KENAI,AK,99611,NOT AVAILABLE,(907) 283-1700
84297,20051000450,HOUSTON MIDDLE SCHOOL,12801 W HAWK LN,HOUSTON,AK,99694,NOT AVAILABLE,(907) 892-9500
84356,20039000152,CHAPMAN SCHOOL,73286 SCHOOL AVE,ANCHOR POINT,AK,99556,NOT AVAILABLE,(907) 235-8671
86072,20076000350,ZACKAR LEVI ELEMENTARY,208 BEACH FRONT RD,LOWER KALSKAG,AK,99626,NOT AVAILABLE,(907) 471-2318
87208,20060000049,GOLDEN HEART ACADEMY,1502 WILBUR ST,FAIRBANKS,AK,99701,5758,(907) 456-1536
35358,20002000422,MARTIN L. OLSON SCHOOL,40 MAIN ST,GOLOVIN,AK,99762,NOT AVAILABLE,(907) 779-3021
