OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10468,10138000849,THE ETOWAH COUNTY REFOCUS CENTER,106 BURKE AVE SE,ATTALLA,AL,35954,NOT AVAILABLE,(256) 538-8431
10814,10087000345,EVERGREEN ELEMENTARY SCHOOL,821 WEST FRONT STREET,EVERGREEN,AL,36401,2933,(251) 578-2576
11877,10114000422,PLAINVIEW SCHOOL,76 CHAVIES RD,RAINSVILLE,AL,35986,4670,(256) 638-3510
12849,10000700337,BERRY MIDDLE SCHOOL,4500 JAGUAR DR,HOOVER,AL,35242,4698,(205) 439-2000
14691,10036000669,BIBB COUNTY CAREER ACADEMY,17191 HIGHWAY 5,WEST BLOCTON,AL,35184,3638,(205) 938-7434
15447,10237001414,HUTCHENS ELEMENTARY SCHOOL,10005 WEST LAKE RD,MOBILE,AL,36695,NOT AVAILABLE,(251) 221-1420
15477,10210001454,CREEKSIDE ELEMENTARY SCHOOL,15983 SANDERSON RD,HARVEST,AL,35749,7064,(256) 233-6452
19166,10054001747,ALEXANDRIA ELEMENTARY SCHOOL,2525 ALEXANDRIAWELLINGTON RD,ALEXANDRIA,AL,36250,NOT AVAILABLE,(256) 741-4300
1314,10114000423,RUHUMA JUNIOR HIGH SCHOOL,3371 COUNTY ROAD 81,FT PAYNE,AL,35967,6047,(256) 845-3377
2108,10240001094,MONROE COUNTY CAREERTECHNICAL CENTER,230 TIGER DR,MONROEVILLE,AL,36460,NOT AVAILABLE,(251) 575-4381
3644,10024000587,AUTAUGA COUNTY ALTERNATIVE SCHOOL,816 CARDINAL LN,PRATTVILLE,AL,36067,NOT AVAILABLE,(334) 361-3833
4436,10066002437,JEMISON INTERMEDIATE SCHOOL,1491 COUNTY ROAD 44,JEMISON,AL,35085,NOT AVAILABLE,(205) 280-4840
4439,10210002422,TANNER ELEMENTARY SCHOOL,12067 DOWD STREET,TANNER,AL,35671,NOT AVAILABLE,(256) 998-5266
5165,10243001027,MACMILLAN INTERNATIONAL AT MCKEE,4015 MCINNIS ROAD,MONTGOMERY,AL,36116,5509,(334) 284-7137
6288,10210002436,ALABAMA CONNECTIONS ACADEMY,21465 AL HWY 99,ATHENS,AL,35614,NOT AVAILABLE,(256) 233-6463
6877,10132001867,ENTERPRISE EARLY EDUCATION CENTER,6500 BOLL WEEVIL CIRCLE,ENTERPRISE,AL,36330,NOT AVAILABLE,(334) 393-9542
42688,10204000785,MOULTON ELEMENTARY SCHOOL,412 MAIN ST,MOULTON,AL,35650,NOT AVAILABLE,(256) 905-2450
43747,10078000318,CLEBURNE COUNTY HIGH SCHOOL,520 EVANS BRIDGE RD,HEFLIN,AL,36264,2235,(256) 463-2012
45603,10192000718,IRONDALE COMMUNITY SCHOOL,225 16TH ST S,IRONDALE,AL,35210,1647,(205) 379-4200
46144,10171000588,HALE COUNTY HIGH SCHOOL,50 WILDCAT WAY,MOUNDVILLE,AL,35474,0188,(205) 371-2514
49431,10162000552,LITCHFIELD MIDDLE SCHOOL,1109 HOKE ST,GADSDEN,AL,35903,2063,(256) 492-6793
61676,10309001195,YORK WEST END JUNIOR HIGH SCHOOL,515 LINCOLN ST,YORK,AL,36925,NOT AVAILABLE,(205) 392-5901
62345,10036001426,WEST BLOCTON MIDDLE SCHOOL,4721 TRUMAN ALDRICH PKWY,WEST BLOCTON,AL,35184,NOT AVAILABLE,(205) 938-2451
62657,10207000795,SMITHS STATION HIGH SCHOOL,4228 LEE ROAD 430,SMITHS STATION,AL,36877,3744,(334) 664-4060
66796,10166001772,SAMSON MIDDLE SCHOOL,209 N BROAD ST,SAMSON,AL,36477,NOT AVAILABLE,(334) 898-2371
100829,10231000861,BRILLIANT SCHOOL,10180 STATE HIGHWAY 129,BRILLIANT,AL,35548,NOT AVAILABLE,(205) 465-2323
103181,10003502105,LEARNING TREE INC TALLASSEE,100 S DUBOIS ST,TALLASSEE,AL,36078,NOT AVAILABLE,(334) 252-0025
106978,10020302470,LEAD ACADEMY,2897 EASTERN BLVD,MONTGOMERY,AL,36116,1021,(334) 451-3127
22482,10282001119,RANDOLPH COUNTY HIGH SCHOOL,465 WOODLAND AVE,WEDOWEE,AL,36278,0490,(256) 357-4751
22952,10312002100,NICHOLSLAWSON MIDDLE SCHOOL,1550 TALLADEGA HIGHWAY,SYLACAUGA,AL,35150,NOT AVAILABLE,(256) 245-4376
28034,10248001044,FALKVILLE HIGH SCHOOL,43 CLARK DR,FALKVILLE,AL,35622,0388,(256) 784-5248
81763,10231000869,PHILLIPS HIGH SCHOOL,142 SCHOOL AVENUE,BEAR CREEK,AL,35543,4720,(205) 486-3737
81877,10048000222,UNION SPRINGS ELEMENTARY SCHOOL,211 CONECUH AVENUE WEST,UNION SPRINGS,AL,36089,1314,(334) 651-8968
84153,10102000387,WEST POINT HIGH SCHOOL,4314 COUNTY ROAD 1141,CULLMAN,AL,35057,6651,(256) 734-5375
88368,10342001299,R E THOMPSON INTERMEDIATE SCHOOL,829 FRANKFORT RD,TUSCUMBIA,AL,35674,3518,(256) 389-2930
30666,10351001419,WILCOX COUNTY ALTERNATIVE SCHOOL,30 CLAIBORNE STREET,CAMDEN,AL,36726,0160,(334) 682-5074
30708,10030000074,BARBOUR COUNTY HIGH SCHOOL,165 S MIDWAY,CLAYTON,AL,36016,NOT AVAILABLE,(334) 775-3545
31115,10345001703,CURRY MIDDLE SCHOOL,115 YELLOW JACKET DR,JASPER,AL,35503,NOT AVAILABLE,(205) 384-3441
32196,10030000074,BARBOUR COUNTY HIGH SCHOOL,165 S MIDWAY,CLAYTON,AL,36016,NOT AVAILABLE,(334) 775-3545
32338,10216000816,CENTRAL ELEMENTARY SCHOOL,141 MAIN ST,HAYNEVILLE,AL,36040,NOT AVAILABLE,(334) 563-7319
32598,10054000240,OHATCHEE HIGH SCHOOL,100 CHEROKEE TRL,OHATCHEE,AL,36271,NOT AVAILABLE,(256) 741-4900
34289,10114000832,DEKALB TECHNICAL CENTER,409 MAIN ST E,RAINSVILLE,AL,35986,4552,(256) 638-4421
37577,10033000090,WESTHILLS ELEMENTARY SCHOOL,710 GLENN RD,BESSEMER,AL,35022,NOT AVAILABLE,(205) 432-3500
39520,10237001595,DR ROBERT W GILLIARD ELEMENTARY,2757 DAUPHIN ISLAND PARKWAY,MOBILE,AL,36605,NOT AVAILABLE,(251) 221-1820
97286,10240000983,MONROEVILLE MIDDLE SCHOOL,201 YORK STREET,MONROEVILLE,AL,36460,NOT AVAILABLE,(251) 575-4121
97819,10173000598,HARTSELLE JUNIOR HIGH SCHOOL,904 SPARKMAN STREET,HARTSELLE,AL,35640,3299,(256) 773-5426
99757,10288001441,RUSSELL COUNTY MIDDLE SCHOOL,4716 OLD SEALE HIGHWAY,SEALE,AL,36875,NOT AVAILABLE,(334) 468-5604
99774,10339001274,BROOKWOOD HIGH SCHOOL,12250 GEORGE RICHMOND PARKWAY,BROOKWOOD,AL,35444,3714,(205) 342-2777
51983,10081000323,KINSTON SCHOOL,201 COLLEGE STREET,KINSTON,AL,36453,NOT AVAILABLE,(334) 565-3016
54605,10117001728,JULIAN HARRIS ELEMENTARY SCHOOL,1922 MCAULIFFE DR SW,DECATUR,AL,35603,1051,(256) 552-3096
55899,10282002438,WOODLAND ELEMENTARY SCHOOL,24654 HWY 48,WOODLAND,AL,36280,NOT AVAILABLE,(256) 610-9589
57286,10138000498,GLENCOE HIGH SCHOOL,803 LONESOME BEND RD,GLENCOE,AL,35905,NOT AVAILABLE,(256) 492-2250
57433,10141002439,ALABAMA VIRTUAL ACADEMY AT EUFAULA CITY SCHOOLS,831 WEST WASHINGTON STREET,EUFAULA,AL,36027,NOT AVAILABLE,(334) 689-5059
57979,10306201372,MOODY MIDDLE SCHOOL,696 HIGH SCHOOL DRIVE,MOODY,AL,35004,2307,(205) 640-2190
71440,10132000474,COPPINVILLE SCHOOL,4641 BOLL WEEVIL CIRCLE,ENTERPRISE,AL,36330,4000,(334) 347-2215
72765,10195001720,SOUTH LAMAR SCHOOL,300 SLS ROAD,MILLPORT,AL,35576,0309,(205) 662-4411
74575,10177000611,ASHFORD HIGH SCHOOL,607 CHURCH ST,ASHFORD,AL,36312,4525,(334) 899-5411
75915,10129002147,AIRPORT ROAD INTERMEDIATE SCHOOL,384 BLACKMON FARM LANE,COOSADA,AL,36020,NOT AVAILABLE,(334) 285-2115
77790,10001201781,BOAZ ELEMENTARY SCHOOL,362 COLLIER ST,BOAZ,AL,35957,NOT AVAILABLE,(256) 593-3481
79486,10291001142,RUSSELLVILLE HIGH SCHOOL,1865 WATERLOO RD,RUSSELLVILLE,AL,35653,NOT AVAILABLE,(256) 331-2110
1810,10237000970,WILMER ELEMENTARY SCHOOL,7456 WILMERGEORGETOWN RD,WILMER,AL,36587,NOT AVAILABLE,(251) 221-1780
3246,10024001408,AUTAUGAVILLE SCHOOL,2708 DUTCH BEND ST,AUTAUGAVILLE,AL,36003,NOT AVAILABLE,(334) 365-8329
3352,10237001435,BERNICE J CAUSEY MIDDLE SCHOOL,2205 MCFARLAND RD,MOBILE,AL,36695,NOT AVAILABLE,(251) 221-2060
8639,10222000836,HAZEL GREEN HIGH SCHOOL,14380 HIGHWAY 231431 N,HAZEL GREEN,AL,35750,NOT AVAILABLE,(256) 851-3220
43268,10018000035,ATTALLA ELEMENTARY SCHOOL,300 CULLMAN AVENUE,ATTALLA,AL,35954,NOT AVAILABLE,(256) 538-7266
46966,10204000776,R A HUBBARD HIGH SCHOOL,12905 JESSE JACKSON PKWY,COURTLAND,AL,35618,3417,(256) 637-3010
49036,10243001105,MORRIS ELEMENTARY SCHOOL,801 HILL ST,MONTGOMERY,AL,36108,NOT AVAILABLE,(334) 223-6920
49065,10027001710,FAIRHOPE EAST ELEMENTARY,2 N BISHOP RD,FAIRHOPE,AL,36532,3657,(251) 928-7841
60899,10243000993,BELLINGRATH MIDDLE SCHOOL,3350 S COURT ST,MONTGOMERY,AL,36105,1699,(334) 269-3623
66785,10297001153,SCHOOL OF DISCOVERY GENESIS CENTER,400 WASHINGTON ST,SELMA,AL,36701,4456,(334) 874-1670
67206,10093000360,FLORALA HIGH SCHOOL,22114 BEGONIA ST,FLORALA,AL,36442,NOT AVAILABLE,(334) 858-3765
67943,10249001057,MOUNTAIN BROOK JUNIOR HIGH SCHOOL,205 OVERBROOK DR,MOUNTAIN BROOK,AL,35213,NOT AVAILABLE,(205) 871-3516
68183,10237001732,SAINT ELMO ELEMENTARY SCHOOL,8666 MCDONALD RD,IRVINGTON,AL,36544,NOT AVAILABLE,(251) 957-6314
50509,10237001619,MEADOWLAKE ELEMENTARY,8251 THREE NOTCH RD,MOBILE,AL,36619,NOT AVAILABLE,(251) 221-1529
53486,10159001869,THARPTOWN HIGH SCHOOL,255 HIGHWAY 80,RUSSELLVILLE,AL,35654,NOT AVAILABLE,(256) 332-6485
54601,10018500952,SARALAND ELEMENTARY SCHOOL,229 MCKEOUGH AVE,SARALAND,AL,36571,3214,(251) 679-5739
55094,10001301498,PAINE ELEMENTARY SCHOOL,7600 GADSDEN HIGHWAY,TRUSSVILLE,AL,35173,2636,(205) 228-3200
58540,10039000139,HUDSON KEIGHT SCHOOL,3300 F L SHUTTLESWORTH DR,BIRMINGHAM,AL,35207,3758,(205) 231-3000
59396,10027002072,DAPHNE EAST ELEMENTARY SCHOOL,26651 COUNTY ROAD 13,DAPHNE,AL,36526,NOT AVAILABLE,(251) 626-1663
91762,10303001186,VINCENT ELEMENTARY SCHOOL,40800 HIGHWAY 25,VINCENT,AL,35178,NOT AVAILABLE,(205) 682-7320
93131,10042000670,ALLGOOD ALTERNATIVE SCHOOL,45 COMMUNITY RD,ONEONTA,AL,35121,NOT AVAILABLE,(205) 775-1960
93899,10018802193,CHICKASAW CITY ELEMENTARY SCHOOL,80 GRANT STREET,CHICKASAW,AL,36611,2700,(251) 452-6452
98214,10180001774,CHALLENGER MIDDLE SCHOOL,13555 CHANEY THOMPSON RD,HUNTSVILLE,AL,35803,NOT AVAILABLE,(256) 428-7620
98369,10330001248,THOMASVILLE HIGH SCHOOL,777 GATES DR,THOMASVILLE,AL,36784,NOT AVAILABLE,(334) 636-4451
